index,109_1_www.dropbox.com,109_2_www.dropbox.com,109_3_www.dropbox.com,109_4_www.dropbox.com,109_5_www.dropbox.com,109_6_www.dropbox.com,109_7_www.dropbox.com,109_8_www.dropbox.com,109_9_www.dropbox.com,109_10_www.dropbox.com
1,67.0,-442.0,67.0,67.0,67.0,-442.0,67.0,67.0,67.0,-442.0
2,2200.120000000001,891.1999999999998,857.4399999999999,681.5200000000002,2039.78,257.56,556.28,1597.62,980.0600000000001,4716.08
3,6678.44,4360.4,3704.879999999999,2663.5199999999977,4794.04,7470.08,1903.0799999999995,4764.28,3561.6,7152.52
4,14037.78,8718.000000000005,5582.600000000001,7823.360000000001,12110.32,11155.68,2819.1400000000003,9912.38,9223.02,14752.940000000002
5,19886.92,13203.4,14369.48,12160.640000000001,17951.12,15583.72,6421.600000000006,12352.880000000001,15867.96,17401.119999999984
6,33501.9,15244.5,16994.6,14058.199999999999,35229.700000000004,19517.2,9092.9,19926.699999999997,20374.1,35776.29999999999
7,40333.72,19213.6,17897.799999999985,18012.999999999996,37416.92,33672.64,15766.48,34253.96,22119.44,35596.64000000001
8,83355.34,33810.1,34575.16,32519.48,71705.3600000001,36411.76,16941.94,37257.92000000001,40129.34,41691.58
9,88562.44,32218.200000000008,36305.52,36520.88,93825.28,46795.15999999999,18379.04,80745.48,40147.48,87209.44
10,91137.02,36342.60000000002,41397.56,75020.24,99188.86,85998.6,20616.06,86757.79999999999,45955.26,94390.47999999994
11,93879.40000000001,78827.0,85800.60000000002,85350.2,144850.8,94412.40000000001,34457.8,89002.4,92372.4,95872.6
12,95746.44,84203.4,90847.24,96092.27999999996,146982.52,124058.40000000001,35634.26,91603.74,125480.74,95440.66
13,99700.36,87196.59999999999,88477.64,98700.04,152660.36,141228.36000000002,39048.64,91718.56,143246.56000000017,120642.31999999988
14,164174.95999999993,91152.2,88123.44,144107.24,154603.19999999998,138821.68,41083.94,92776.28000000003,148850.28000000003,169835.3199999999
15,197835.52,92624.0,108305.68000000001,147375.16,277275.8800000003,139828.96,82683.68000000002,100792.31999999999,149923.96,181871.39999999997
16,234541.0000000001,90379.0,129306.6,147390.0,386964.4,155472.60000000006,82613.00000000003,104775.1,153320.1,204847.3
17,309087.12,91446.40000000001,180318.19999999998,150084.15999999997,386549.92,192784.88,95246.96000000002,180072.16,213603.48,210002.92
18,348004.26,94095.7,194535.04,159015.96000000002,394475.9,242062.59999999998,98442.26,202137.06,309756.56000000006,255953.79999999938
19,383042.04,136362.00000000003,198832.12,236455.16000000003,394221.32,332487.16,103083.72,202914.96,356062.6,340480.92000000004
20,391599.27999999997,158629.9,198151.88,331542.1599999999,399059.22000000003,380001.64,142677.96000000002,257271.0400000001,390355.66,392861.98
21,389752.2,168934.0,262720.2000000001,385088.8,402854.2,384719.4,145700.2,276536.2,392929.2,395395.5999999999
22,395666.5200000001,194115.50000000003,294075.72,390041.24,410860.08,388916.28,143820.38,318718.02,396295.94,404312.68
23,402964.68,195686.2,377983.64,393770.68,473412.56,389928.76,144118.44,353607.64,395404.52,402674.68
24,435725.8400000001,196233.3,385639.12,395116.96,510889.64,390085.12,150803.74,388831.3,403918.62,407501.06
25,478853.52,198239.60000000006,390950.60000000003,395224.48,521322.60000000003,392487.72000000003,153561.8800000001,388939.16,406633.27999999997,412038.72
26,479325.5,203083.5,394726.0,400045.0,527939.5,398908.0,165670.0000000003,398313.5,436447.5,417451.0
27,563350.4,203433.4,394980.16,404930.04000000004,608938.5999999999,403019.88,246448.80000000028,401975.64,493762.6,459950.9599999995
28,673016.9999999999,207321.69999999998,397582.88,426923.47999999963,709707.1999999998,404543.84,321290.20000000024,405201.39999999997,515256.87999999995,497272.16
29,690568.12,216119.99999999997,401861.52,467990.08,862547.76,405923.19999999995,360006.84,420096.40000000026,648301.68,494875.63999999996
30,700346.94,263358.7,404825.36,524886.2,969794.92,467087.92000000004,388494.66,466139.63999999996,786273.8399999997,527685.5599999998
31,797666.0000000001,297027.0,413396.5999999999,586239.2,1042153.6000000001,551617.6000000003,389464.4,486838.2,921810.8000000002,596178.4
32,892294.0799999998,300888.3,501012.24000000034,688448.76,1119192.5199999993,675500.72,392447.12,516260.6399999998,1018390.7600000006,629929.5
33,1021248.92,329367.6,607647.08,769364.72,1251803.84,689121.48,392201.6400000001,605182.36,1157302.72,739758.9199999993
34,1174235.4800000002,394704.3,616588.72,826009.84,1250988.46,699839.36,395816.76,693169.28,1255820.5999999999,812368.7999999999
35,1288782.88,400641.6,619202.56,873702.8,1351476.28,716969.3199999998,394390.52,710991.96,1413074.4000000001,897583.3999999998
36,1442384.2000000007,400260.5,650186.0,954052.5999999994,1493583.0,786144.6,395022.2,794196.4,1497269.0,1002588.7999999992
37,1623831.1199999996,406831.4,732792.28,1109536.7600000007,1618167.52,851187.7200000001,400536.72000000003,830367.28,1630959.1999999997,1131042.5999999999
38,1817937.24,409788.0,844510.4000000006,1238825.3999999997,1675181.8,917705.84,402681.06,932314.7599999993,1770162.9599999997,1242415.4
39,1972117.9599999995,420365.8,962003.72,1387167.3199999998,1793674.2799999993,1006468.7600000006,402725.96,1069876.2,1866094.4,1327267.7999999998
40,2093974.6400000001,419656.2,1008466.0399999999,1496957.2399999993,1955000.22,1077162.04,405661.2,1118350.8,1884458.24,1419941.719999998
41,2138223.2,418249.0,1092469.6,1578642.9999999998,2133960.7999999993,1127378.6,445691.0,1206429.3999999997,1912641.5999999999,1459908.1999999988
42,2165825.98,461425.6000000001,1218048.7999999998,1667671.4,2185643.4,1219428.4000000001,479064.48,1367640.9200000009,2022786.7200000007,1641463.6799999995
43,2168832.76,513478.0,1329961.52,1791301.72,2336743.8000000003,1350097.8,485578.36,1484961.3200000005,2094204.6,1860630.8399999994
44,2306800.56,556716.0,1401613.36,1844129.52,2433975.32,1425958.2,484735.74,1588649.6,2121914.82,1973748.5999999999
45,2343779.92,622630.6,1537063.9600000002,1899984.76,2576282.28,1522790.6,483993.48,1701078.5999999996,2124805.28,2086425.3199999998
46,2344429.7,696484.0,1645877.7999999998,1942920.2,2585446.1,1603307.6,503670.8000000002,1820828.2000000011,2126882.1,2131764.4
47,2348598.0,703363.8,1728337.8,1946205.56,2604370.72,1772514.960000001,558634.4,1886487.2400000002,2129032.44,2136080.6
48,2372651.66,711454.3,1865319.2,1960381.5999999994,2608278.38,1872462.8,571790.2400000003,1975532.4,2150253.4,2155414.22
49,2379088.36,714198.4,1950396.919999999,2041979.6399999997,2611677.44,1993901.5199999998,669877.3600000009,2026562.6,2154988.68,2158044.16
50,2395175.82,741872.5,2087824.4,2181160.84,2616976.56,2115676.28,700335.98,2130697.0400000005,2173597.2,2159718.92
