index,288_1_www.dkb.de,288_2_www.dkb.de,288_3_www.dkb.de,288_4_www.dkb.de,288_5_www.dkb.de,288_6_www.dkb.de,288_7_www.dkb.de,288_8_www.dkb.de,288_9_www.dkb.de,288_10_www.dkb.de
1,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-48.0
2,1618.94,3447.7999999999997,3774.2000000000003,4088.3199999999997,4059.7999999999993,4100.36,4100.36,3794.5999999999995,4102.08,1489.9199999999998
3,4329.84,5226.32,5006.76,4571.32,4885.84,5092.639999999999,4539.36,5105.4800000000005,6966.44,4408.079999999998
4,6574.08,8560.460000000001,8213.539999999999,8464.74,8366.78,8412.88,8301.88,8326.16,10667.02,6130.28
5,8189.04,18650.52,18365.36,20331.52,16317.159999999996,18181.28,20151.36,17530.239999999998,13871.24,7861.679999999999
6,20311.7,20811.399999999998,20574.0,21837.800000000007,21059.0,21088.8,20742.400000000005,20716.0,17506.000000000004,20139.600000000002
7,21070.199999999993,40543.280000000006,39415.719999999994,38892.72,39974.52,39119.08,39207.08,40238.44,27754.2,20870.6
8,39401.36,38289.840000000004,70849.16,68175.16,43673.35999999999,49294.76000000001,65211.24,55481.32,28603.220000000005,39375.880000000005
9,67360.15999999997,75526.95999999999,93572.12,74178.16,77043.64,72917.16,117060.52000000003,73101.04,48566.2,41854.719999999994
10,93729.24,118634.76000000001,121229.53999999998,105304.22,116182.58,96753.03999999996,131900.16,95341.76,45918.64,63683.2
11,135401.4,141403.2,136644.8,118911.40000000001,135930.4,121921.8,137042.4,121444.2,71450.40000000001,80900.19999999997
12,164402.7599999999,139900.62,134032.19999999998,137350.6,134959.94,147435.84000000023,169602.28,169891.28,100166.66,102683.28
13,226769.36,137691.32,207207.16,237504.52000000002,172727.96,209916.59999999998,258001.88,196840.32,132085.08000000005,133542.72
14,292494.64,167247.31999999998,301931.56,268234.8,240407.03999999998,284700.84,348980.60000000003,293566.88,144067.18,136105.92
15,331576.08,250403.76,413686.0000000001,293797.4,312865.12,362058.6400000001,413525.2,340464.4399999999,145109.56000000003,167491.55999999988
16,408473.19999999966,315374.8,495695.80000000005,339662.00000000006,360819.79999999993,385461.39999999997,484428.19999999995,434742.7999999999,215089.00000000003,207374.2
17,440242.19999999995,374311.92,531041.28,428203.96,407271.68,427995.28,535119.48,514958.36,257931.44000000003,286091.07999999996
