index,141_1_www.alexa.com,141_2_www.alexa.com,141_3_www.alexa.com,141_4_www.alexa.com,141_5_www.alexa.com,141_6_www.alexa.com,141_7_www.alexa.com,141_8_www.alexa.com,141_9_www.alexa.com,141_10_www.alexa.com,142_1_www.alexa.com,142_2_www.alexa.com,142_3_www.alexa.com,142_4_www.alexa.com,142_5_www.alexa.com,142_6_www.alexa.com,142_7_www.alexa.com,142_8_www.alexa.com,142_9_www.alexa.com,142_10_www.alexa.com,143_1_www.alexa.com,143_2_www.alexa.com,143_3_www.alexa.com,143_4_www.alexa.com,143_5_www.alexa.com,143_6_www.alexa.com,143_7_www.alexa.com,143_8_www.alexa.com,143_9_www.alexa.com,143_10_www.alexa.com,144_1_www.alexa.com,144_2_www.alexa.com,144_3_www.alexa.com,144_4_www.alexa.com,144_5_www.alexa.com,144_6_www.alexa.com,144_7_www.alexa.com,144_8_www.alexa.com,144_9_www.alexa.com,144_10_www.alexa.com
1,67.0,-442.0,67.0,-442.0,67.0,-442.0,-442.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,-442.0,67.0,67.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,4965.800000000002,4486.36,5029.679999999999,4931.26,6071.880000000001,4450.5199999999995,4321.56,4691.0,4542.58,4811.74,4566.82,4470.3,5035.639999999999,4902.12,4433.599999999999,6567.04,4558.5199999999995,5041.720000000004,6364.52,5441.6,1426.2799999999997,4011.24,3991.8,3141.7999999999993,3427.4000000000005,1625.26,4600.84,3957.24,2355.800000000001,1113.7999999999981,3702.3,3811.1400000000012,4244.7199999999975,3798.7999999999993,4124.22,3983.8999999999996,4126.34,3566.04,4167.94,3712.420000000001
3,25346.2,22833.840000000007,18928.96,18991.12,36534.240000000005,33664.72,32465.24,10086.0,23259.160000000007,51557.600000000006,19497.200000000004,24607.599999999988,18787.079999999998,18947.44,25273.599999999984,58944.8,72037.6,22246.879999999997,27277.72,20084.999999999996,5519.44,6912.719999999999,4177.4,5170.92,5063.36,4321.36,7475.16,5357.160000000002,5195.96,5580.12,6237.8,8776.36,8397.760000000002,8679.800000000001,8309.84,8366.4,8542.960000000001,8603.92,8232.16,7378.320000000007
4,38518.1,33428.68,36930.46,30845.18,41311.48,34541.72,36194.159999999996,39984.0,33883.12000000002,101622.54,33010.62,31463.2,30961.76,34327.48,29744.199999999975,94426.6,151026.16,31321.16000000001,30910.74,40490.200000000004,7379.0399999999945,8988.619999999999,7870.199999999999,10359.68,8402.96,6469.32,13570.44,7747.200000000008,6150.68,6240.48,15856.399999999978,18990.920000000002,20383.320000000003,19496.999999999993,27718.100000000013,18946.99999999999,50880.48,19223.66,28235.660000000003,18738.34
5,43291.2,44956.52,43066.16,44199.88,59854.04000000001,47090.159999999996,45877.88,48944.0,45948.04,114005.76,46760.16,41515.4,44855.64,44900.64,40021.6,152491.92,203530.96,39390.96000000003,39955.88,46428.799999999996,15431.400000000003,16288.88,19573.600000000002,9948.359999999991,19235.56,8119.16,16847.28,22255.080000000005,10607.200000000004,10744.639999999987,42015.2,93749.56000000003,28441.68,90296.4,32594.719999999998,25934.2,100863.08000000005,32729.04,31992.440000000002,59756.00000000001
6,75147.0,64305.799999999996,54707.7,57794.000000000015,95412.99999999997,72617.8,67319.80000000005,62034.0,65960.4,191996.0,71573.59999999999,63985.0,65657.8,61929.6,70990.0,218263.0,229840.59999999998,78939.49999999999,70914.4,64362.0,23586.8,26880.2,23794.0,16175.8,24870.2,18762.9,34513.79999999995,33863.6,52106.600000000006,14835.8,40676.0,97062.20000000006,35847.99999999997,96222.0,44710.700000000004,47750.0,154219.3,48813.70000000001,59507.6,96008.4
7,204461.80000000005,88105.52,74851.16,81519.83999999995,224776.6,168034.28000000003,117264.16000000002,94880.0,130624.44,239170.28000000006,90885.20000000001,116540.39999999989,87547.92,86182.64,73728.19999999994,311275.08,302416.32,199379.88000000003,148080.12,102130.59999999998,22453.84,60833.36000000002,39040.799999999996,26941.079999999998,26956.08,22751.800000000003,39225.88,34584.24,81345.32,18453.28,58838.199999999975,134238.84,57998.16,164130.6,48340.24,58317.799999999996,160823.72,63801.76,67962.31999999999,117335.44
8,276507.6,169493.75999999998,107929.48000000001,179913.08,308085.5999999999,271632.52,262084.76,184314.0,230726.84000000003,297385.36,223833.40000000008,248487.99999999997,209285.88,207562.52000000002,198015.4,436667.56,385186.04000000004,254880.26,237126.9,148324.2,37845.44,61365.78,52889.8,100326.68000000002,45232.520000000026,35419.55999999999,62950.24,57100.759999999995,111235.52000000002,35545.6,98363.4,154389.12000000002,64075.32,191094.4,80086.76000000005,94452.9,222867.06,106679.64000000001,102172.8,120307.78
9,313271.2,277431.28,211592.0400000001,270002.95999999996,367039.23999999993,317166.92,296965.8,283013.0,298976.72,456353.0,288200.28,270325.6,279115.68,289810.8,221469.99999999997,605568.3200000001,419136.7200000001,301126.96,266095.92,267477.79999999993,57707.36,86456.52000000003,72204.4,133640.68,51424.52,38757.64,70036.64,122694.48000000001,127724.4,33212.240000000005,135550.0,187030.96,130692.47999999982,224598.2,129142.84000000004,160229.8,250504.48,173191.2,155126.0,126439.04
10,365078.1,308446.36,292661.82,305154.28,528898.6799999997,362061.24,351431.12,330004.0,354839.27999999997,549698.24,354544.66,327682.39999999997,331133.6,313301.64,286804.2,765350.1199999998,576731.08,334577.18000000005,314381.48,334184.2,59058.439999999995,102506.42,96149.2,134030.36000000002,56900.08,40739.19999999999,115962.64000000001,149740.04,127956.04,43766.19999999997,204498.3,210620.96,180791.15999999995,280158.2,173752.32,200471.39999999997,316887.00000000006,266698.26,203922.0,182985.94
