index,287_1_www.dkb.de,287_2_www.dkb.de,287_3_www.dkb.de,287_4_www.dkb.de,287_5_www.dkb.de,287_6_www.dkb.de,287_7_www.dkb.de,287_8_www.dkb.de,287_9_www.dkb.de,287_10_www.dkb.de
1,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,67.0,-442.0,-442.0
2,1225.0399999999997,1063.3400000000001,1560.9,1505.3200000000004,1497.62,1322.0599999999995,1519.04,1567.14,1429.8600000000001,1548.4400000000005
3,5623.92,5545.32,4095.6,4299.839999999999,3690.76,4133.76,4067.6799999999994,4269.96,4112.56,4089.24
4,6311.16,8109.120000000001,4333.5999999999985,4907.759999999998,4689.380000000001,6702.02,4766.24,4118.639999999999,5762.480000000002,4592.919999999995
5,8176.96,7765.3600000000015,8354.4,8296.92,8560.12,10227.48,8620.039999999999,8328.56,8244.64,8500.64
6,16814.8,20074.300000000003,16984.5,18410.2,9392.999999999996,12487.80000000001,8013.999999999991,14759.400000000001,18205.7,18776.4
7,20932.2,20548.2,20375.200000000004,20774.28,19976.920000000002,16035.04,20366.64,20776.96,20670.56,20991.76
8,32592.359999999997,32247.440000000002,26218.400000000052,33901.76,20699.8,26010.78,20641.399999999998,32924.34,33164.9,34465.920000000006
9,54074.600000000035,32841.08,31953.399999999998,34253.08,32923.32,28480.68,33008.48,30943.72,62683.08,32653.43999999998
10,62269.04,37082.34,49281.299999999996,52089.32,31129.36,40811.979999999996,31094.280000000002,44947.719999999994,64202.38,60894.4
11,88638.4,47036.999999999985,69378.0,71661.2,61391.4,38791.799999999996,58036.79999999998,66699.4,82620.8,73020.39999999998
12,104336.64000000004,66203.94,73399.4,79708.32,75940.35999999997,67569.74,65174.840000000004,68507.92000000001,123271.84,76315.76
13,129041.84,70141.08,78045.79999999999,106332.84,89107.28,80310.08,71368.44,75515.12,127351.48,106401.68
14,166958.76,113383.4,119202.20000000003,129149.12,107624.83999999978,82326.42,83293.83999999998,127099.54,128361.58,128771.72000000002
15,195671.92000000004,140500.19999999998,128771.8,127633.32,129049.72,139434.8,118931.08,130594.56000000007,130703.79999999997,127682.12
16,248141.8,155062.0,128102.0,167606.19999999998,129705.90000000001,241590.2,122431.6,147183.60000000003,173031.3,132145.19999999998
17,308565.68000000005,195246.71999999994,188893.60000000006,250664.15999999995,169688.59999999998,314318.1600000002,129732.08,212857.52000000002,211064.19999999998,191996.79999999996
18,359471.3999999999,280958.35999999987,215784.60000000015,319789.63999999996,222479.75999999998,415246.92000000033,150637.39999999985,291657.04,265474.6399999999,269109.07999999967
19,444753.64,350732.63999999996,292412.00000000006,355586.36,306278.1999999999,470853.28,184568.5199999998,329210.16,308651.08,352808.03999999975
20,518518.52000000014,449779.0,349162.39999999997,413308.87999999995,383607.36,515783.62,267878.92,347027.8,332320.36,442016.31999999995
21,571680.4000000001,542963.5999999997,406036.0,512593.59999999974,464571.5999999999,533434.2,345147.19999999984,398198.8,382421.8,509816.59999999986
22,577847.36,578075.46,469636.60000000003,575824.64,541994.86,536771.82,411623.4399999997,470448.2,463474.7600000001,576128.88
23,611650.4800000002,577918.72,538582.4000000001,576624.24,577942.04,583745.84,483146.2799999999,529764.04,524168.04,580602.84
24,631513.52,612358.24,556439.2,611530.52,578962.04,586728.16,529568.9599999996,578205.68,576096.86,630875.84
25,634365.04,636489.44,577950.4,628831.84,583723.92,627017.8,576104.44,579433.88,577810.4,631576.84
26,638672.0,639000.5,590065.0,635425.0,614535.0,638795.0000000001,577437.0,609947.0,583780.0,636725.0
27,636678.52,639324.36,618343.6000000001,639318.88,636382.6,643301.4400000001,580943.76,631806.88,584839.6799999999,642095.72
28,640605.4800000001,640869.88,631546.8,640807.3200000001,638469.42,646003.5599999999,587706.6,636659.28,637908.44,645713.12
29,646389.68,647348.28,636963.6,640584.76,639260.12,646942.52,636376.24,639739.28,638764.04,647322.16
30,648412.24,649201.66,634308.7000000001,642834.48,641626.78,648857.86,640020.48,648563.72,641004.72,648840.84
31,646623.2,649130.2,636145.0,644283.4,648312.6,649459.2,637861.8,645900.4,644134.8,646748.8
32,675637.16,649325.46,638996.4,648799.28,647462.22,653397.76,640134.56,647703.0800000001,646539.42,650701.56
