index,141_1_www.alexa.com,141_2_www.alexa.com,141_3_www.alexa.com,141_4_www.alexa.com,141_5_www.alexa.com,141_6_www.alexa.com,141_7_www.alexa.com,141_8_www.alexa.com,141_9_www.alexa.com,141_10_www.alexa.com
1,67.0,-442.0,67.0,-442.0,67.0,-442.0,-442.0,67.0,67.0,67.0
2,4965.800000000002,4486.36,5029.679999999999,4931.26,6071.880000000001,4450.5199999999995,4321.56,4691.0,4542.58,4811.74
3,25346.2,22833.840000000007,18928.96,18991.12,36534.240000000005,33664.72,32465.24,10086.0,23259.160000000007,51557.600000000006
4,38518.1,33428.68,36930.46,30845.18,41311.48,34541.72,36194.159999999996,39984.0,33883.12000000002,101622.54
5,43291.2,44956.52,43066.16,44199.88,59854.04000000001,47090.159999999996,45877.88,48944.0,45948.04,114005.76
6,75147.0,64305.799999999996,54707.7,57794.000000000015,95412.99999999997,72617.8,67319.80000000005,62034.0,65960.4,191996.0
7,204461.80000000005,88105.52,74851.16,81519.83999999995,224776.6,168034.28000000003,117264.16000000002,94880.0,130624.44,239170.28000000006
8,276507.6,169493.75999999998,107929.48000000001,179913.08,308085.5999999999,271632.52,262084.76,184314.0,230726.84000000003,297385.36
9,313271.2,277431.28,211592.0400000001,270002.95999999996,367039.23999999993,317166.92,296965.8,283013.0,298976.72,456353.0
10,365078.1,308446.36,292661.82,305154.28,528898.6799999997,362061.24,351431.12,330004.0,354839.27999999997,549698.24
11,403840.0,362989.5999999999,334086.00000000006,361085.20000000007,611779.4,379778.4,368518.80000000005,376892.0,388719.40000000014,660786.0
12,563872.7,395346.56,376833.5200000002,391393.66000000003,633935.2,398233.12,399014.08,419018.0,426334.0400000005,771926.96
13,650838.6,429244.12,453002.88,452291.67999999993,685510.92,413860.96,436807.68,518850.0,608051.4000000004,836482.0400000005
14,670506.2,521921.91999999987,622971.88,544369.28,717363.2400000001,429751.28,463992.08,645014.0,651220.56,927171.34
15,703464.6,680994.2800000003,645857.96,647092.64,798279.3599999999,457742.56,478313.64,679456.0,698533.16,1015815.04
16,809990.5,834582.8,680787.7,683116.8999999999,809312.8,497803.2,557716.6,752809.0,722647.1,1154827.2
17,934668.6,996930.28,718510.24,699109.08,816963.04,560468.52,591994.4,780253.0,765177.76,1323548.44
18,1137474.6000000003,1147341.8,777793.98,754389.4,838139.1199999999,575098.4,620070.76,797285.0,770192.7999999999,1494010.78
19,1278187.4000000001,1263819.52,790824.4400000001,788042.52,848147.2400000001,585911.56,638453.6,825788.0,828074.0800000001,1612481.4
20,1485008.0000000002,1456671.8800000001,825555.0399999999,822811.54,880030.52,627491.04,654141.04,845077.0,834770.8,1638700.6
21,1600326.0,1652727.7999999993,858663.4,832920.4,892529.7999999999,674646.6,668376.0000000001,948156.0,839643.9999999999,1728520.5999999999
22,1783459.8,1739885.16,911853.42,852246.62,938215.3999999993,685620.2399999999,698150.24,1136129.0,846415.78,1771396.72
23,1862726.6,1786664.8800000004,945522.72,861447.8400000001,1228433.3199999996,704639.48,714459.88,1266716.0,858576.6,1787993.08
24,1921331.1,1919361.28,1103253.8800000004,877723.64,1442543.64,716140.4,722247.56,1268054.0,883415.24,1814097.2
25,1948955.0,2181707.52,1325642.6,907270.9199999999,1702966.5999999994,724970.6,752059.2800000001,1308464.0,898814.2000000001,1826364.6800000004
26,2005780.5,2197648.0,1337820.0,927851.5,1927975.9999999998,908406.0,898562.0,1322165.0,898646.0,1867619.0
27,2062442.4000000001,2224158.76,1359360.64,933599.08,2086603.1999999997,1128727.76,1017040.48,1329915.0,955052.2400000001,1886982.64
28,2066753.5,2303923.12,1364606.84,974077.28,2325283.36,1173279.6799999995,1194595.08,1406984.0,1051751.08,1901293.52
29,2084688.0,2316090.0,1388515.4400000002,1086856.6799999997,2388353.32,1409773.76,1413013.2400000002,1448625.0,1276721.2400000007,1985671.36
30,2092744.8,2319210.96,1454269.14,1222629.4800000002,2407773.96,1601474.52,1627880.0399999998,1499589.0,1393691.76,2122814.7199999997
31,2187504.0,2346970.8000000003,1522766.6,1417168.1999999997,2477582.6,1785853.2000000007,1869372.5999999996,1661386.0,1582884.0000000005,2385903.8
32,2362404.800000001,2439771.24,1662833.360000001,1652898.2400000007,2541849.6399999997,2029869.0400000005,2032184.9600000004,1851248.0,1837065.9,2532631.48
33,2452129.2,2523120.96,1780071.36,1808589.5599999998,2619759.039999999,2283177.72,2193133.2,2090410.0,2035298.84,2751815.16
34,2458637.7,2530681.32,1892063.3800000001,1936296.2399999998,2746976.96,2416822.8,2375334.28,2305458.0,2252685.840000001,2975332.68
