index,155_1_www.icann.org,155_2_www.icann.org,155_3_www.icann.org,155_4_www.icann.org,155_5_www.icann.org,155_6_www.icann.org,155_7_www.icann.org,155_8_www.icann.org,155_9_www.icann.org,155_10_www.icann.org
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1422.1200000000001,1431.6000000000001,1489.9199999999998,1488.1,1420.54,1414.22,1528.1399999999999,1442.66,1539.06,1480.82
3,3996.52,3670.2,3692.639999999999,3669.2,3760.08,3811.44,4164.76,3601.68,4152.04,3575.4399999999996
4,5242.76,4946.8,4991.4800000000005,4622.100000000001,5678.42,5055.780000000001,4422.38,4968.16,4001.64,4774.42
5,6518.920000000002,6811.6,8383.92,8434.6,6769.6399999999985,6201.72,8349.720000000001,8434.64,8120.56,6467.279999999996
6,8088.599999999999,10246.0,7961.599999999999,7706.5,8512.699999999999,8136.099999999999,10934.99999999999,8585.7,13155.699999999993,7992.100000000003
7,10796.599999999999,12278.799999999997,14233.08,15361.19999999999,10980.200000000004,11600.119999999997,30678.08,14896.36,30141.72,14328.279999999999
8,27173.72000000001,13891.2,29825.88,29818.3,14239.18,23569.879999999983,31191.28,28769.04,33532.54,30556.52
9,29512.76,15594.2,33780.359999999986,33789.8,16035.880000000001,29682.56,33480.03999999999,30122.28,35900.68,31652.64
10,32501.319999999992,22458.399999999998,37276.799999999996,54762.999999999876,19684.24,32877.92000000001,67166.67999999996,33837.96,48277.71999999998,37975.29999999999
11,37635.6,30760.0,61386.59999999998,70743.0,39081.200000000004,39136.99999999999,86709.19999999992,39313.799999999996,91403.79999999999,81657.99999999991
12,54181.799999999996,29479.000000000007,89513.79999999999,92231.59999999999,39544.76,56065.59999999998,107128.92,58471.899999999994,98237.42,92488.78
13,89758.04,34920.000000000015,91786.76,101692.39999999992,41681.48,89432.2,112361.12000000001,78677.08000000002,103493.2,102833.4
14,99554.12,40361.00000000001,110449.2799999999,117916.0,52843.399999999936,103450.26000000004,139211.23999999993,94306.95999999999,115487.3,120118.94
15,119816.2,46854.000000000015,129952.48000000001,136767.0,88482.04000000001,132946.19999999998,169877.59999999998,117370.20000000001,142510.72,153561.44
16,129665.6,61740.0,152395.39999999997,161972.0,102037.6,170514.69999999995,218819.49999999994,150774.5,205169.0000000001,178727.2
17,141574.80000000002,96102.00000000001,172392.11999999994,193878.0,126287.71999999999,199819.87999999995,249550.28,175120.0,261042.6,238536.19999999998
