index,248_1_taz.de,248_2_taz.de,248_3_taz.de,248_4_taz.de,248_5_taz.de,248_6_taz.de,248_7_taz.de,248_8_taz.de,248_9_taz.de,248_10_taz.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,3855.8,4039.4,3345.8,3957.7999999999997,1778.8999999999987,4103.8,4040.16,4050.48,4086.9000000000005,3447.7999999999997
3,4987.639999999999,4847.12,5230.52,4636.76,5101.92,4647.8,4384.84,4598.36,4813.28,4930.32
4,8284.38,8324.039999999999,8617.72,8468.08,7720.919999999995,8389.4,8227.62,8357.06,8350.26,8272.62
5,15626.92,15808.4,13761.92,15792.28,12030.839999999993,15475.400000000001,17564.199999999997,16284.16,15887.6,15654.72
6,63524.20000000005,86114.0,51174.4,50739.4,28042.999999999938,90266.0,53102.6,63803.9,86457.6,63308.20000000005
7,84991.35999999999,89703.64,48421.92,86038.96,89349.68000000001,87501.6,67050.52,74822.44,89592.16,82881.96
8,99701.26,94382.92,100507.32,97623.84,92825.12,101722.40000000001,104985.44,100330.90000000001,119477.51999999999,96633.33999999998
9,127338.52000000003,152854.16,109786.92,146691.91999999998,128373.68,156218.79999999996,154150.72,110162.56,166705.36,116534.79999999999
10,204619.26,233855.28,169439.15999999995,164678.24,152927.47999999998,205157.59999999995,184702.34,114282.02,232420.9600000001,213256.66
11,233203.6,240031.8,221541.80000000005,188319.4,213985.4,225606.0,213817.4,179110.0,249643.8,244296.2
12,252293.06,242282.24,224221.84,226214.96,249654.44,252104.19999999998,257429.54,204444.74000000017,287721.62,296527.51999999996
13,295455.56,317836.64,246483.19999999995,255062.48,249835.88,267537.4,297000.96,253114.4,326519.44,326910.83999999997
14,344863.22,350210.56,264757.0,297771.0,266170.1199999997,313389.5999999999,341986.88,273724.82,354900.60000000015,333539.77999999997
15,353856.24,359834.44,296505.0000000002,338344.63999999996,297334.36000000004,341122.8,383106.2,326754.2800000001,370083.6,352189.68
16,373846.39999999997,403132.6,341540.6,341295.2,321878.1,394373.0,425958.0,370596.00000000006,435610.50000000006,358661.0
17,441203.0,443142.8,381559.92000000004,404867.6,321192.76,458750.2,459665.52,447264.2,477845.48000000004,408278.12
18,458694.4,493432.36,435962.16,458346.76,368470.86,491112.6,475313.44,457716.18,494711.14,432087.06
19,490174.76,494912.36,458964.96,477149.44,464029.55999999976,495141.4,488498.52,493583.6,498144.76000000007,490497.92000000004
20,493237.32,515270.08,507243.84,521507.4800000001,468067.8,508642.6,511385.6399999999,497762.78,521562.4,495601.2
21,510177.4,531726.2000000001,516955.8,524545.8,473162.79999999993,521262.0,535761.0,505779.0,538634.6,509510.2
22,523227.78,550131.08,530323.4400000001,525290.76,502016.9,548825.6,542473.18,533898.7000000001,551524.74,516076.93999999994
23,550385.4,551918.84,547487.8,531868.3200000001,500014.52,552637.4,552797.88,550419.72,553458.96,547045.64
24,551379.32,558356.4,548390.64,544418.52,522683.28,558675.8,553882.92,556142.76,556233.46,550345.86
25,553435.24,558464.4400000001,551487.48,548121.16,529766.3599999999,560486.6,556701.08,554880.76,559421.08,556638.6
26,560487.5,564587.0,550302.0,559415.0,534266.5,565033.0,563619.0,557940.0,565869.0,558088.5
27,561429.8,562980.12,554064.8,563882.76,557237.3999999999,565506.0,564602.84,567415.2,571526.72,560574.16
28,564534.94,580582.8399999999,560426.88,568016.04,558003.2799999999,572332.8,573061.6,572151.0,575300.92,564410.38
29,570754.24,646694.24,563173.6,573244.84,564306.0,588591.7999999997,598988.4,576077.6,617412.64,563282.72
30,583689.3,732940.68,570826.88,574465.96,566510.3,669498.7999999995,653524.3999999999,601994.4400000001,644466.16,617333.2000000001
31,636719.6,737207.2,573306.4,601856.7999999999,565783.0,717793.0,724458.5999999999,640674.4,703551.4,649181.2
32,649471.8,765608.8799999999,576315.24,640937.0,576642.2999999999,777012.6,740134.4,660527.7000000001,769824.48,697616.18
33,689512.12,794947.12,630243.3200000001,688843.6,577556.08,799887.4,773866.7999999999,704457.1200000001,806186.32,737283.36
34,763310.38,810313.7200000002,652288.6400000001,766316.9199999997,613749.98,866435.2000000001,807631.3999999999,762983.88,828432.8,772898.5
35,818365.7200000002,898815.0399999999,731690.5200000001,802658.16,652806.72,918544.3999999998,879810.6399999998,801688.9199999999,886314.4,831443.88
36,901847.3000000009,985278.4,805184.6,857698.3999999999,708825.2999999998,993156.0,927867.0,850708.9999999999,985532.8,921202.3999999997
37,980280.52,992203.4,841945.6,927396.88,785730.1599999992,994952.0,987798.92,942222.9999999999,990900.6,976521.84
38,993597.48,1022842.84,923659.2799999999,987318.2,839871.1999999996,1004346.1999999998,998558.6,989713.1,1027697.7,993853.44
39,1027227.04,1061167.48,988855.88,998060.9600000002,912955.2,1020603.0,1020609.48,993659.64,1072509.12,1017859.32
40,1051024.6,1094246.88,1016724.4000000001,1047343.92,953345.359999999,1055582.1999999997,1045867.9399999996,995641.1,1143274.3200000005,1069309.46
41,1089874.0,1095188.2,1036311.6000000002,1073941.0,991284.7999999999,1083400.0,1087758.8000000003,1024730.7999999995,1252490.0000000002,1086878.0
42,1169452.44,1098837.6,1077010.64,1161832.1199999999,1000316.8799999999,1134423.6,1099285.8399999999,1052490.7,1322032.28,1135048.8
43,1252203.5999999999,1135121.7599999998,1138425.7199999997,1228373.04,1044426.36,1238302.6,1184243.28,1084433.2,1428140.0800000003,1192649.6799999995
44,1332788.52,1161052.2,1204146.64,1316474.4,1060271.4,1302260.4,1251802.1199999996,1123312.8399999999,1481296.06,1268950.24
45,1420655.2000000004,1164376.04,1309835.16,1419606.2800000003,1087958.84,1384710.8,1306328.96,1219986.1199999999,1548621.48,1337767.0799999998
46,1508230.7999999996,1164788.2,1395505.0,1515937.6,1169554.7999999993,1420282.0,1373660.1999999997,1313847.7,1586507.0000000002,1363892.5000000002
47,1584147.7999999998,1165116.44,1468460.2799999996,1546582.24,1241548.8,1472849.8,1449040.4,1392794.7200000002,1625206.5600000005,1401575.48
48,1663495.9599999997,1206825.6,1565332.6799999995,1587791.16,1268143.279999999,1539707.3999999997,1529064.3,1481296.88,1756667.66,1460246.9600000002
49,1724331.2,1290304.1199999999,1650952.1199999996,1645469.04,1351089.4,1570281.5999999985,1580188.56,1559571.28,1790936.04,1509085.12
50,1809838.76,1407884.8800000001,1759297.5999999999,1725340.9999999998,1454796.3999999994,1680892.799999999,1666915.9999999995,1684896.2400000005,1790889.48,1529121.3199999996
