index,362_1_soundcloud.com,362_2_soundcloud.com,362_3_soundcloud.com,362_4_soundcloud.com,362_5_soundcloud.com,362_6_soundcloud.com,362_7_soundcloud.com,362_8_soundcloud.com,362_9_soundcloud.com,362_10_soundcloud.com
1,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,6644.62,6266.360000000002,4320.5599999999995,4559.72,5268.52,4497.18,5160.94,4948.14,4969.76,4440.76
3,22686.44,21683.44,23054.960000000003,21864.440000000002,17107.92,16925.56,14862.719999999992,17319.88,15528.28,16815.920000000002
4,19767.66,28032.88,27842.16000000001,23585.059999999998,22323.44,18543.78,22508.24,21678.74,20579.279999999995,20808.16
5,31295.48,31472.36,34192.24,36530.08,24297.08,25551.36,21700.84,27065.32,26669.28,27066.72
6,39383.899999999994,38914.799999999996,42948.00000000003,37468.7,33484.4,35544.299999999996,31509.799999999992,30508.599999999988,31557.600000000002,34330.4
7,85665.08000000002,67888.24,49364.20000000001,66595.24,39191.68,43834.840000000004,36703.96000000001,46189.92000000001,39426.92,81621.39999999978
8,214298.08000000002,85333.2,63293.399999999994,89776.8,39980.200000000026,63271.57999999994,57283.63999999993,212975.64,51395.63999999999,199286.16
9,242642.63999999998,191491.52000000002,113313.96000000005,94970.04,49645.84,138448.84,111836.24,226365.76,108942.96,240220.04
10,251974.39999999997,291565.9200000001,237458.52000000008,215703.28000000003,65187.68,240336.84,226707.63999999998,252533.38,246909.32,242450.48
11,404135.2000000001,404622.80000000016,322290.00000000006,267430.3999999999,111266.00000000001,241389.4,248553.59999999998,253233.4,253711.6,247254.0
12,552624.8400000001,454613.24,459423.2,327745.4,211146.72000000018,272574.8,254380.84,256992.39999999994,255805.52,379818.60000000003
13,692556.6,491523.92,569947.92,403399.60000000003,294289.48,494994.2799999999,272350.72,337305.72,261500.12000000014,526680.2
14,830743.72,556526.04,656245.6000000001,495542.69999999995,394085.52,752256.66,354230.6799999995,415986.86,369023.80000000034,786723.7999999997
15,983193.0800000001,642279.4,747864.24,597273.2,526876.56,995195.1599999993,552938.12,627109.6399999998,507474.1600000001,1012032.1199999996
16,1071985.2,710150.2000000001,808284.0,695228.7999999999,695805.3999999999,1076324.1,754521.2,857041.5,717877.0,1260559.2
17,1095077.56,792344.48,849580.5200000001,785901.72,801894.68,1083677.16,979813.08,1086697.08,973642.7200000001,1280566.64
