index,394_1_www.expedia.de,394_2_www.expedia.de,394_3_www.expedia.de,394_4_www.expedia.de,394_5_www.expedia.de,394_6_www.expedia.de,394_7_www.expedia.de,394_8_www.expedia.de,394_9_www.expedia.de,394_10_www.expedia.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,3692.639999999999,4111.5,4067.6799999999994,4088.18,4032.52,4098.78,4130.58,5446.7,4552.719999999999,3717.8799999999997
3,8368.92,8289.0,8591.76,8081.080000000005,8607.64,8349.08,8522.52,7970.4,10558.119999999999,6365.76
4,17415.24,18444.5,17425.56,17068.28,17494.84,19408.600000000002,20353.879999999997,26311.599999999984,16410.42,17779.16
5,55842.51999999996,110634.0,108617.11999999994,101587.88,85456.64000000001,35610.16,149123.15999999997,135437.79999999996,35586.51999999999,67458.28000000004
6,74301.2,141066.5,126126.6,232518.00000000003,182245.29999999996,98272.6,190403.8,192647.0,121291.59999999996,162338.20000000007
7,120180.63999999996,219901.0,194039.76,279515.64,277827.08,171169.76,275331.76,249765.39999999985,183309.24,278070.24
8,183603.56,283658.0,227736.12,287175.26,280656.34,246248.68000000005,291412.59999999974,280922.3,251063.44,281141.64
9,249726.11999999994,291433.0,230744.2,284285.48,288456.08,256541.84000000003,322570.12,283966.6,297301.88,289081.84
10,280443.88,295405.5,287209.68,301403.96,285360.84,288665.08,347986.46,294366.8,298066.48,288434.36
11,316332.6,295893.0,298458.2,309839.4,332078.8,299647.4,355621.4,305712.0,310550.19999999995,331449.00000000006
12,336732.36,328329.5,302258.72,313658.44,373204.74000000005,306915.2,361125.22000000003,310717.7,330473.26,337206.44
13,378059.52,441176.0,304040.72,317924.48,437102.32,369225.92,387521.32,333681.99999999994,350124.76,364085.24000000005
14,415218.12,450938.0,307730.76,356606.4000000001,472288.16,383907.83999999997,407148.76000000007,375915.6,404536.22000000003,368367.36
15,420942.44,537385.0,345681.19999999995,375769.76,489979.80000000005,445295.80000000005,452201.64,406056.8,428870.24,372981.28
16,470331.60000000003,580011.0,416674.8,402277.8,550084.3,490190.6000000001,467936.49999999994,431684.5,433991.99999999994,370701.2
17,492408.79999999993,668947.0,433766.7199999998,424354.27999999997,554177.4,543753.68,514204.6,512458.3999999999,469366.5999999999,482476.2
18,520011.72,707772.0,520343.84,422991.34,571331.8,545284.64,540011.76,568564.2,535690.56,508419.56000000006
19,528194.36,726388.0,612184.52,439342.16,581672.76,565987.64,542154.48,643494.9999999999,605443.84,550336.8800000006
20,529001.44,752351.5,720226.2,494837.64,646634.9,622853.2000000008,541726.3,673860.1,729180.74,589705.68
21,530527.3999999999,805555.0,798132.0,553407.6000000002,805386.2,673149.4000000006,580206.3999999999,678766.0,755558.3999999997,624162.2
22,626549.2399999994,831594.0,847136.0,623449.52,882839.02,738529.7600000006,679523.56,709088.8,825997.86,671920.68
23,731167.28,857111.0,851875.44,683039.8,889366.16,871367.08,735802.4400000001,726974.3999999997,886002.24,839469.0400000005
24,794117.52,876883.0,873239.84,807756.16,894037.4,923835.6800000003,760063.28,779495.7,893937.92,888886.24
25,869958.0399999999,896567.0,899648.68,880629.9199999999,909754.72,939869.76,834256.6399999999,852980.9999999999,916323.68,894066.12
26,887925.0,923623.0,901864.0,893991.5,919948.0,949257.5,892491.5,865294.0,929114.5,917375.0
27,908229.5599999998,930607.0,911102.28,918097.12,929169.36,952140.4800000001,943410.56,950484.2000000001,935402.28,917056.92
28,933590.2,937750.0,920397.48,925614.6000000001,936345.52,978465.3200000001,946470.96,986980.2,936750.3400000001,925038.44
