index,226_1_www.gmx.net,226_2_www.gmx.net,226_3_www.gmx.net,226_4_www.gmx.net,226_5_www.gmx.net,226_6_www.gmx.net,226_7_www.gmx.net,226_8_www.gmx.net,226_9_www.gmx.net,226_10_www.gmx.net,227_1_www.gmx.net,227_2_www.gmx.net,227_3_www.gmx.net,227_4_www.gmx.net,227_5_www.gmx.net,227_6_www.gmx.net,227_7_www.gmx.net,227_8_www.gmx.net,227_9_www.gmx.net,227_10_www.gmx.net,228_1_www.gmx.net,228_2_www.gmx.net,228_3_www.gmx.net,228_4_www.gmx.net,228_5_www.gmx.net,228_6_www.gmx.net,228_7_www.gmx.net,228_8_www.gmx.net,228_9_www.gmx.net,228_10_www.gmx.net,229_1_www.gmx.net,229_2_www.gmx.net,229_3_www.gmx.net,229_4_www.gmx.net,229_5_www.gmx.net,229_6_www.gmx.net,229_7_www.gmx.net,229_8_www.gmx.net,229_9_www.gmx.net,229_10_www.gmx.net
11,965476.8,957209.6,877185.6,896464.0,909621.6,930909.6,908684.4000000001,872530.4,967936.2,956513.2,775623.0,481474.0,489240.4,316803.19999999984,518280.6,778086.8000000002,600068.6,323640.80000000016,116950.0,142149.19999999992,18891.600000000006,21644.0,20574.599999999988,21250.6,22187.4,22421.0,20297.800000000003,19746.600000000002,20862.0,19779.0,18762.199999999997,19522.6,19541.8,28111.2,21461.0,27527.8,28186.2,18110.8,27775.0,28546.199999999997
12,984680.6599999999,977447.66,897537.04,916597.6,907691.4,960655.34,970878.88,899595.4,985225.82,975992.8,827996.0,517607.58,507051.74,466056.56,542895.4,853112.86,611677.48,479698.22,255387.09999999998,280015.67999999993,22911.72,20421.7,23418.960000000006,27441.44,20718.219999999998,21169.0,19333.63999999998,21091.44,24930.0,23350.8,17639.279999999995,18390.320000000003,18183.320000000003,26574.22,23672.8,29943.48,32586.18,16929.559999999998,26278.199999999997,27119.279999999995
13,996136.2,991160.12,916316.9199999999,968097.6,939683.56,979247.56,989496.16,935708.7600000001,1079596.5600000003,993426.6799999999,844687.0,541914.24,536343.36,481414.68,599777.84,865362.04,680878.4400000001,494657.1599999999,392846.2,413493.39999999997,27574.83999999999,21780.399999999998,24989.079999999998,29392.92,19655.68,19917.0,23571.68,24013.680000000008,28996.0,25168.600000000002,21788.32,19642.08,17243.440000000002,26684.16000000001,25301.600000000002,31976.760000000002,33980.20000000002,20225.24,24781.399999999994,26004.120000000017
14,1093549.02,1071130.48,962497.26,986469.1999999998,954003.24,991818.1199999999,997962.72,954640.9199999999,1187775.2,1093287.44,858939.0,594742.2799999999,578132.7999999999,505621.51999999984,674647.4400000002,872554.42,779671.86,517806.72,481770.6,482642.24000000005,33823.880000000005,21068.1,29439.680000000008,31744.079999999998,21207.34,21274.0,30304.28,29061.52,30740.0,28630.60000000002,25605.34,21587.46,19956.720000000005,30706.840000000022,31760.6,29762.94,31781.14,25766.76,30596.200000000008,29361.68
15,1229048.08,1166106.48,980700.08,998243.6,971205.64,1087662.96,1094861.9200000004,970049.96,1233190.48,1194272.92,874157.0,606844.04,614380.68,539374.2,777750.76,893710.64,815837.28,539769.28,496130.8,497938.68,33631.08,25266.6,33506.76,33761.16,23216.640000000014,23313.0,37390.27999999999,30944.24,35079.0,31125.2,27606.16,25810.04,23453.16,33154.88,31436.8,40262.399999999965,45738.2,32072.28,32935.799999999996,32977.16
16,1236560.2,1240486.3,990789.4,1009506.0,984759.8,1208494.2,1183972.8,980335.8,1243130.2,1236181.4,899194.0,695603.7,675857.6000000002,553190.5999999999,823327.2,908575.1000000001,864328.7000000001,557132.4000000003,518563.0,518113.6,33032.8,25987.0,34800.50000000001,32955.6,25310.100000000002,27221.0,36990.4,31500.399999999998,36490.0,33410.0,27542.100000000002,27844.300000000003,25273.599999999988,39084.200000000004,32844.0,58594.4,52217.8,34840.8,35157.5,35647.4
17,1254600.44,1245771.24,1067980.08,1109823.3999999994,994074.68,1229341.24,1243995.12,1062708.44,1262196.4,1249266.84,915396.0,786307.68,785525.92,597489.88,854407.76,947519.12,870647.24,599440.12,540902.2,531482.64,33628.39999999999,29173.8,33491.96,37685.799999999974,27033.359999999997,29566.0,36574.96,33391.04,39412.0,35093.2,31870.76,30180.44,34482.799999999996,42525.68,37726.8,58200.88,54135.08,33977.72,36885.6,39840.04
18,1273532.28,1260545.02,1176923.42,1195533.0,1091765.96,1239426.42,1255199.08,1156087.56,1276360.58,1269165.5999999999,921570.0,844424.58,823978.24,621382.32,857005.18,959441.78,879170.6,608316.06,544455.5,544362.32,41776.44,31040.899999999998,44473.62,53324.36,29381.98,31605.0,36197.44,32746.479999999996,38605.0,36679.400000000016,34677.40000000001,32063.579999999998,36375.14,42328.06,43229.6,58340.44,59404.8,32615.24,41232.3,40618.40000000001
19,1281893.92,1280101.1600000001,1229951.48,1249600.8,1177995.04,1259210.6,1261212.16,1218041.84,1294031.76,1279480.9200000002,951095.0,843671.56,841289.36,694681.16,863201.04,970294.36,891328.8,614185.84,600245.2,598561.12,42511.36,35245.6,45911.880000000005,60587.59999999999,31410.28,33344.0,40672.32,34069.399999999994,42150.0,38079.999999999985,34163.68,31838.319999999996,35866.48,46388.80000000003,42469.4,57164.96,135336.56,32713.84,39305.19999999999,39893.27999999999
20,1302619.8,1290415.04,1234719.86,1256341.7,1238062.92,1273383.46,1281310.48,1227918.24,1312804.74,1294135.2000000002,960812.0,851049.64,854373.56,738532.96,873722.24,976317.2,909631.82,702883.56,614419.7999999997,606946.92,46411.59999999999,34728.7,51902.76,60763.76,35414.86,33347.0,39285.76,48863.95999999998,54394.0,45191.2,38045.80000000001,32290.060000000005,35450.98,49854.40000000001,51544.99999999998,85173.39999999973,177970.13999999998,40743.48,48423.999999999985,41506.16
21,1327300.0,1311929.6,1246815.2,1269354.0,1238895.4,1278650.8,1293317.8,1233136.0,1364222.8000000005,1316288.0,970351.0,856681.7999999999,861275.2,785526.2,883395.6,998851.8000000002,938898.2,751858.8,694362.0,632341.1999999998,48549.4,35328.0,55798.200000000004,61170.99999999999,37181.00000000001,34612.0,46250.99999999996,48936.8,111116.0,51787.0,45589.8,35350.8,41013.6,54585.6,55083.0,150986.4,180591.0,42068.399999999994,54266.0,40927.200000000004
22,1452827.62,1441120.14,1263614.02,1284790.7,1248929.04,1299675.1,1314816.24,1244163.72,1466422.5,1328456.5999999999,988620.0,869891.22,867072.8,844600.62,900615.54,1016983.1200000001,958948.82,800124.5599999999,739625.3999999999,718249.04,52267.39999999997,42430.600000000006,61214.35999999999,61031.12,38629.659999999996,35877.0,52756.4,59908.16,158965.0,52496.20000000004,49750.44,48020.28,40459.04,55785.88,90713.2,178921.62,189511.24,43993.52000000001,60553.6,42394.200000000004
