index,228_1_www.gmx.net,228_2_www.gmx.net,228_3_www.gmx.net,228_4_www.gmx.net,228_5_www.gmx.net,228_6_www.gmx.net,228_7_www.gmx.net,228_8_www.gmx.net,228_9_www.gmx.net,228_10_www.gmx.net
1,-442.0,-113.0,-442.0,-442.0,-442.0,-113.0,-442.0,-442.0,-442.0,-442.0
2,1441.08,1624.8,1436.34,1482.6399999999999,1355.3,1647.0,1371.56,1403.16,1479.0,1415.8
3,3603.84,2279.999999999999,3631.68,3598.879999999999,3835.4000000000005,1038.0,4004.76,3901.32,3552.0,3798.6
4,4920.44,4086.399999999999,5276.62,5182.160000000001,4138.26,3559.0,5601.439999999999,5161.839999999999,5216.0,5253.2
5,5925.32,5159.6,6329.64,6274.639999999999,4983.919999999999,5346.0,4519.080000000001,6205.16,8437.0,6413.8
6,8252.6,6305.5,8599.3,8032.2,6267.3,4094.0,8723.2,8050.8,8002.0,8370.0
7,15456.24,8375.199999999999,15364.159999999996,15448.72,8240.64,8328.0,8221.44,9863.800000000005,15430.0,12096.200000000006
8,14630.72,9851.000000000004,18630.739999999994,23251.72,7531.400000000007,7888.0,15649.960000000001,15247.76,23183.0,15328.0
9,21671.84,15299.0,22124.24,21317.68,15383.76,15612.0,23293.88,22928.68,21687.0,22664.2
10,19827.760000000002,23308.3,20420.86,19786.64,21777.04000000001,16242.0,21778.68,21178.52,19710.0,21000.600000000002
11,18891.600000000006,21644.0,20574.599999999988,21250.6,22187.4,22421.0,20297.800000000003,19746.600000000002,20862.0,19779.0
12,22911.72,20421.7,23418.960000000006,27441.44,20718.219999999998,21169.0,19333.63999999998,21091.44,24930.0,23350.8
13,27574.83999999999,21780.399999999998,24989.079999999998,29392.92,19655.68,19917.0,23571.68,24013.680000000008,28996.0,25168.600000000002
14,33823.880000000005,21068.1,29439.680000000008,31744.079999999998,21207.34,21274.0,30304.28,29061.52,30740.0,28630.60000000002
15,33631.08,25266.6,33506.76,33761.16,23216.640000000014,23313.0,37390.27999999999,30944.24,35079.0,31125.2
16,33032.8,25987.0,34800.50000000001,32955.6,25310.100000000002,27221.0,36990.4,31500.399999999998,36490.0,33410.0
17,33628.39999999999,29173.8,33491.96,37685.799999999974,27033.359999999997,29566.0,36574.96,33391.04,39412.0,35093.2
18,41776.44,31040.899999999998,44473.62,53324.36,29381.98,31605.0,36197.44,32746.479999999996,38605.0,36679.400000000016
19,42511.36,35245.6,45911.880000000005,60587.59999999999,31410.28,33344.0,40672.32,34069.399999999994,42150.0,38079.999999999985
20,46411.59999999999,34728.7,51902.76,60763.76,35414.86,33347.0,39285.76,48863.95999999998,54394.0,45191.2
21,48549.4,35328.0,55798.200000000004,61170.99999999999,37181.00000000001,34612.0,46250.99999999996,48936.8,111116.0,51787.0
22,52267.39999999997,42430.600000000006,61214.35999999999,61031.12,38629.659999999996,35877.0,52756.4,59908.16,158965.0,52496.20000000004
23,73155.19999999997,46337.6,99044.12,61359.2,38686.40000000003,42520.0,55039.679999999964,59819.840000000004,159553.0,56150.0
24,121100.55999999997,52433.000000000015,133356.62,115407.91999999997,38354.98,44979.0,59189.52,59108.200000000004,162258.0,128184.8
25,154928.67999999996,51990.399999999994,163672.96,163877.28,42379.48,49371.0,61020.72,61066.4,167722.0,156913.4000000001
26,157935.0,60359.0,165455.0,167956.0,50995.0,54071.0,62522.0,133010.0,172308.0,160479.0
27,161709.32,102932.99999999972,169606.88,171836.28000000003,67214.4000000001,55123.0,72956.47999999998,164783.68,171068.0,164066.4
