index,40_1_en.wikipedia.org,40_2_en.wikipedia.org,40_3_en.wikipedia.org,40_4_en.wikipedia.org,40_5_en.wikipedia.org,40_6_en.wikipedia.org,40_7_en.wikipedia.org,40_8_en.wikipedia.org,40_9_en.wikipedia.org,40_10_en.wikipedia.org
1,67.0,67.0,67.0,67.0,-442.0,67.0,67.0,-442.0,67.0,67.0
2,-130.98000000000002,-15.339999999999975,107.32,-97.66000000000003,-271.72,-56.5,228.07999999999998,-271.72,87.55999999999997,-166.25999999999993
3,1445.8,-419.31999999999994,214.64,32.84000000000049,371.03999999999985,-511.0,1507.4399999999996,371.03999999999985,-190.12000000000006,939.2399999999993
4,1344.06,1646.7,-109.03999999999999,1470.3,1526.8,1558.5,1690.04,1526.8,1737.24,1472.34
5,372.56,1556.08,-289.0399999999999,1429.36,1390.52,1594.0,849.7600000000001,1390.52,1461.28,1278.72
6,4334.399999999997,1340.1,1840.3999999999999,933.6999999999995,1273.2,1159.0,2887.5999999999995,1273.2,1456.8,634.9
7,4434.68,652.7199999999999,1557.32,448.95999999999975,1112.76,724.0,3746.319999999999,1112.76,1166.6399999999999,2426.7199999999957
8,4191.46,1837.5600000000004,1690.04,4848.84,513.9599999999999,2571.0,4634.76,600.639999999998,680.44,4623.14
9,7027.28,2385.639999999998,1409.56,4636.84,318.68000000000006,2374.0,6667.48,2851.24,1792.2400000000014,4677.56
10,7208.54,4673.18,1041.8400000000004,4506.379999999999,3580.680000000001,4682.0,6788.88,2686.2799999999997,4820.72,4515.0199999999995
11,8575.8,4453.800000000001,819.2,4582.2,4637.2,4485.0,8728.8,2656.7999999999997,4624.2,4403.999999999999
12,11200.600000000002,4580.38,1544.680000000001,5813.400000000001,4518.68,4385.5,8258.320000000002,2368.560000000001,4653.88,7115.84
13,17224.68,5275.199999999997,2610.7599999999998,7070.48,4556.64,7204.0,12828.8,4556.64,4481.84,6643.64
14,16795.26,7123.16,4313.44,6640.46,4319.44,6849.5,17621.28,4319.44,4633.4400000000005,8035.219999999996
15,19986.679999999993,6671.72,4716.52,6606.5599999999995,4456.28,7221.0,17400.12,4456.28,5753.760000000002,8539.68
