index,272_1_www.transfermarkt.de,272_2_www.transfermarkt.de,272_3_www.transfermarkt.de,272_4_www.transfermarkt.de,272_5_www.transfermarkt.de,272_6_www.transfermarkt.de,272_7_www.transfermarkt.de,272_8_www.transfermarkt.de,272_9_www.transfermarkt.de,272_10_www.transfermarkt.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,59042.88,60238.399999999994,61272.31999999999,24538.99999999999,58960.96,58485.56,61144.28,56957.44,74263.32,59432.82
3,86775.60000000002,90112.4,91550.64,88118.6,89726.2,89873.88,84671.68,89574.84,101604.59999999996,89737.8
4,134973.80000000002,209772.2,161564.64,102249.79999999996,132222.56,190712.89999999997,132411.24,208530.8,226291.68,138737.96
5,272224.48,377404.8000000001,304190.6,227863.2,274651.96,361919.52,293365.24,313409.92,717937.6399999999,274485.4000000001
6,537781.2000000008,699293.0,699646.4,413177.0,694390.4,710856.5,657879.7999999999,700174.8,808694.6,537575.4000000006
7,707754.48,771252.4,726701.76,713487.4,722059.96,771022.36,722607.2,731288.6,990490.32,713928.36
8,771529.12,796744.6,806912.74,773426.1999999998,799230.72,800255.44,774334.56,794234.08,1123454.24,771520.08
9,779055.92,816283.8,889717.92,799603.8,865250.4799999999,945975.96,802670.24,817057.6800000002,1272951.2,823377.96
10,815704.8,1082177.0,1023381.82,823577.0,1014644.92,1076023.4,956412.48,1169944.8,1514209.0,1005875.7
11,973167.8,1273048.0,1230365.6,982760.0,1220662.2,1248994.8,1171401.6,1293925.8,1802242.2,1183767.5999999999
12,1171222.72,1337781.0000000002,1333867.5,1177328.6,1258784.88,1457797.72,1327532.32,1550723.92,1921235.8800000001,1239206.0
13,1322100.92,1664123.6,1561592.4,1308212.2,1492209.32,1810652.96,1570120.7600000007,1732963.92,2209893.16,1463582.9600000007
14,1395179.2,1850038.0,1807729.86,1554452.2,1698750.84,1912758.06,1679197.7999999998,1830620.28,2363260.04,1641837.32
15,1737030.8399999999,2139225.4,2019027.6799999995,1770027.799999999,1851338.56,2156935.56,1887670.76,2152561.9600000004,2402299.68,1806240.04
16,1825211.8,2223319.0,2180886.4,1961284.0,2085938.8,2236123.9,1952386.0,2209296.8,2435919.6,1907683.5000000002
17,2137509.640000001,2379956.4,2234329.68,2176167.2,2191453.76,2396518.04,2182448.0,2300030.2,2462310.88,2030256.640000001
18,2205155.48,2429906.4,2373223.12,2224178.6,2339805.64,2408655.78,2255773.239999999,2430291.64,2484796.76,2217899.7600000002
19,2300545.24,2514738.2,2411598.72,2380368.8,2378498.28,2450002.6,2380360.04,2447731.16,2527032.04,2356367.8400000003
20,2404860.16,2533737.4,2512301.58,2405873.6,2424360.6,2480005.86,2423204.8,2472918.8,2555387.0,2389593.18
21,2424305.2,2562511.0,2537060.4,2512170.0,2448209.6,2494321.6,2440944.6,2483303.2,2565583.2,2422945.8
22,2440815.56,2581554.4,2569078.1,2528479.4,2450595.92,2550052.02,2514261.76,2514708.1199999996,2594968.28,2448715.56
23,2450760.6,2609653.8000000003,2585899.6,2542530.1999999997,2496514.52,2557037.24,2538607.76,2526750.32,2611744.96,2469323.6
24,2472987.8400000003,2621949.8,2607557.2800000003,2577629.8,2514339.76,2577841.26,2577029.44,2621520.16,2635950.8,2488444.8000000003
25,2500898.32,2633342.4,2621920.8,2616582.6,2537674.16,2597159.8,2605550.92,2647847.92,2717487.88,2512085.16
26,2521998.0,2655434.0,2635855.5,2640719.0,2552317.0,2611085.5,2623823.0,2664084.0,2768086.0,2533809.5
27,2543113.32,2688878.0,2657399.24,2652333.4,2563113.52,2631878.6,2652281.32,2684768.88,2807544.64,2548494.880000001
28,2553854.2399999998,2702036.8000000003,2676139.8,2667910.2,2579758.92,2660145.9,2663307.84,2701633.16,2871291.88,2559166.2800000003
29,2565914.52,2716985.6,2705835.92,2687189.4,2617467.92,2772646.04,2673794.88,2728085.76,2980527.2,2574278.44
30,2584934.28,2764055.1999999997,2726173.52,2703986.2,2695496.88,2788240.46,2691134.2399999998,2769373.88,3002754.48,2600225.36
31,2600345.4,2788262.0,2767674.1999999997,2725529.0,2705160.2,2809067.6,2711146.2,2799363.2,3084245.6,2615421.0
32,2617326.8,2829669.2,2781702.92,2738294.6,2724056.12,2861009.52,2735861.0,2809347.36,3105886.999999999,2620537.0999999996
33,2734493.52,2868442.8,2845020.64,2753134.6,2765813.16,2891563.88,2748277.44,2881639.56,3207540.1999999997,2699636.6799999997
34,2745280.04,3028416.800000003,2869334.62,2802963.2,2806640.68,2982807.56,2783765.76,2892726.0000000005,3641500.92,2765988.68
35,2786605.96,3075633.6000000015,2886894.7600000002,2811824.999999999,2855007.36,3025390.4800000004,2861732.1999999997,3044859.28,3737795.8,2774930.48
36,2796605.6,3107362.0,3001457.2,2856858.0,2938543.4,3104472.6,2883127.3999999976,3076948.0,3784193.9999999995,2793862.3000000007
37,2865606.7600000002,3137845.1999999997,3075722.16,2979915.5999999996,3066035.32,3135538.64,2921812.48,3427187.88,3871909.8800000004,2901270.08
38,2894360.4,3208760.6,3078823.34,2992630.1999999997,3095878.92,3272679.64,3034047.56,3649666.96,3866117.1600000006,2930671.8000000003
39,3037715.24,3339124.8,3180675.68,3039311.5999999996,3106289.44,3325762.52,3063538.08,3661680.92,4028856.12,3034460.56
40,3102176.36,3348652.4,3192973.7,3124716.6,3114293.08,3405759.58,3073076.24,3684735.6,4149818.92,3078400.78
41,3117439.2,3475089.0,3308017.2,3137188.0,3129347.8,3434394.0000000005,3168033.2,3809655.6,4194041.8000000003,3093400.2
42,3188500.3600000003,4155657.8,3392273.1599999974,3203817.7999999993,3208307.36,3844414.38,3180695.28,4217961.320000004,4371344.68,3104826.02
43,3831472.9200000023,4363874.6,3428829.56,3249314.8,3413706.24,3896540.2399999998,3193395.7600000002,4591323.56,4391113.84,3198541.4
44,4589466.720000005,4539249.6,3440483.94,3352076.9999999995,3753789.7600000007,4375470.359999999,3319671.04,4626367.919999999,4422819.199999998,3302842.04
45,4811348.72,4773200.4,3465732.959999999,3356673.4,4542060.319999999,4431539.96,3600437.08,4788176.68,4544980.28,3516326.28
46,4826281.0,4790140.0,3564460.6,3363231.0,5162158.0,4477094.800000001,3631963.6,4885695.0,4576116.6,3603468.4
47,4837852.52,4972768.0,4229025.600000001,3368035.4,5196784.32,4615657.28,3690482.2399999998,4917781.32,4586399.72,4047694.4000000027
48,4999102.36,5096359.8,4704222.56,3534066.1999999993,5273442.32,4743439.3,3708327.6,5062619.840000001,4597432.2,4077056.28
49,5431348.4,5221696.6,4723278.96,3710303.6,5297230.68,4881611.56,3732349.12,5124202.84,4628053.76,4157682.2
50,5715709.32,5295403.2,4740636.78,3862774.1999999997,5328805.6,4899676.28,3808973.9600000004,5122472.28,4646261.24,4174534.9
