index,34_1_www.bahn.com,34_2_www.bahn.com,34_3_www.bahn.com,34_4_www.bahn.com,34_5_www.bahn.com,34_6_www.bahn.com,34_7_www.bahn.com,34_8_www.bahn.com,34_9_www.bahn.com,34_10_www.bahn.com
1,0.0,0.0,67.0,67.0,67.0,-442.0,67.0,67.0,67.0,67.0
2,210.8,208.4,218.0,207.92000000000002,792.04,-496.12000000000006,324.36,208.4,223.76,355.58
3,381.40000000000003,363.20000000000005,436.0,359.56,1406.0800000000002,1487.6,648.72,416.8,479.68000000000006,644.16
4,565.4000000000001,558.2,654.0,623.76,5608.600000000005,1477.42,503.5799999999998,578.3000000000001,671.28,507.51999999999975
5,762.8000000000001,726.4000000000001,805.0,719.12,8295.239999999998,990.5199999999998,2170.24,726.4000000000001,475.7199999999997,2246.08
6,920.0,511.5,1312.0,501.6,18679.2,494.39999999999975,1417.9000000000003,511.5,2393.2,1404.1
7,711.8000000000003,2400.6,2205.0,2409.48,24121.96,2421.96,3441.3599999999997,2400.6,2133.0799999999995,3094.12
8,2645.3999999999996,2260.2999999999997,1849.0,2249.2400000000002,92215.4,4502.9800000000005,5116.620000000001,2357.5,1332.82,5243.139999999999
9,2482.4,1734.3999999999996,3680.0,1795.5199999999998,208876.6,4560.12,4915.919999999995,1734.3999999999996,3229.92,7819.68
10,1964.3999999999996,3670.1000000000004,3493.5,1138.9600000000005,319152.86,4478.86,6780.66,1070.1999999999991,4646.560000000009,7139.120000000001
11,1262.0,3764.0,5343.0,3039.2,378130.6000000004,5259.000000000003,8758.999999999996,2993.0,5222.6,11047.2
12,3238.8,5409.599999999999,5098.5,5407.52,452337.48,6990.92,12742.66,5409.599999999999,4961.240000000002,14752.68
13,5617.4,5206.8,6910.0,5187.84,554813.1200000001,6540.32,13455.879999999983,5206.8,6668.52,14491.6
14,5592.4,5290.299999999997,6717.5,4904.799999999998,587707.6000000001,6405.380000000001,14339.939999999995,5290.299999999997,6604.819999999998,14756.84
15,5687.8,7271.999999999997,6400.0,7811.039999999999,642644.76,6722.800000000004,14965.560000000003,7271.999999999997,10369.759999999998,15043.68
16,5845.0,11580.0,10416.5,7738.800000000006,643293.2,10318.3,20902.69999999999,12524.5,12883.9,15375.4
17,7885.200000000006,11063.8,12916.0,9241.48,646331.48,13627.960000000005,24068.28,13429.600000000004,12281.16,18728.76
18,9161.199999999997,10444.2,12247.5,11590.759999999998,650303.32,15583.54,26256.88,13886.300000000001,13857.019999999997,22524.120000000003
19,11178.6,11792.80000000001,14107.0,12516.92,692157.8800000002,15078.839999999998,25918.48,14856.2,14403.039999999999,25887.800000000007
20,11448.2,11812.1,14127.0,14270.88,716023.34,16992.26,26873.879999999997,14643.2,15883.460000000001,40980.4
21,9955.0,12432.0,15492.0,14276.6,722993.2,17121.600000000002,30001.8,14525.0,19172.800000000025,68875.39999999995
22,16389.600000000002,15757.9,16018.0,17265.880000000016,725609.62,17803.36,48352.51999999998,20324.7,22161.78000000001,110493.6
23,16881.6,18646.8,18696.0,18788.76,742541.84,17583.52,93716.47999999997,19943.2,23076.600000000002,148863.16
24,17220.2,18509.4,22383.0,18558.84,745883.32,17422.479999999996,131217.4,23962.39999999998,25858.78,168383.43999999992
25,19360.40000000001,18160.399999999998,24067.0,18136.12,759339.72,17713.48,184261.1199999999,58118.80000000003,26059.96,195850.7200000001
26,19428.0,18573.5,26271.0,18710.0,762527.5,23174.0,223295.5,78465.0,26252.5,258946.0
27,19198.8,22748.80000000003,26055.0,22749.760000000002,762886.04,22793.04,265473.36,100542.80000000009,26427.88,319537.23999999993
28,19454.8,23722.7,25765.0,22553.319999999996,767579.92,36605.60000000011,324715.88,116854.80000000003,26970.48,326645.19999999995
29,23619.20000000003,30474.99999999998,26186.0,31513.320000000025,769486.84,67214.88000000006,346086.5199999998,140593.59999999998,26664.24,362310.8399999998
30,24596.8,61527.80000000003,30347.0,50559.40000000001,773075.9400000001,92295.64,392240.36000000004,162603.80000000002,26900.32,417804.16000000003
31,37329.0,100317.0,29835.0,86717.4000000001,777776.4,122708.80000000019,457669.6,181982.0,32419.399999999998,452423.0
32,51412.20000000005,124521.20000000008,37678.0,119233.72000000003,777860.98,150880.76000000013,458924.8,200707.80000000002,31863.359999999997,469004.68
33,86122.60000000003,138485.20000000004,47891.0,141311.08000000002,777674.28,179272.7200000001,511972.04,203180.0,65595.28000000006,495089.2
34,100093.80000000003,173984.79999999996,85120.0,159649.96,785708.68,195271.18,562465.2,219119.3,101074.40000000001,531259.7999999999
35,142247.40000000014,208995.40000000008,117549.0,184762.31999999998,793546.48,215721.43999999997,589766.68,220554.8,130192.24,539396.4
36,165313.0,243584.0,132106.0,204759.0,797289.0,226682.60000000015,591782.1,227327.0,158453.0,577693.0
37,183108.6,279298.60000000015,158247.0,235595.63999999993,824992.9199999999,258548.64,613159.2799999999,245846.60000000003,183645.84000000023,580731.68
38,194945.40000000008,301689.2,191132.0,254407.88000000012,826669.22,261815.24,640057.9,276003.2,206454.59999999998,585748.36
39,222872.6,319369.4,209081.0,274076.1200000001,845227.72,281964.4800000002,647654.12,305596.6,232194.7200000001,633095.0
40,254425.8000000002,323247.0,229655.0,304556.12,850597.06,299423.80000000005,648892.22,318139.10000000003,263450.8,640328.74
41,291351.0,329069.0,264479.0,319619.8,865713.2000000003,318526.8,647797.4,319372.0,296664.8,639289.4
42,320427.8,340117.4,298396.0,323089.6,891419.68,320738.2,646902.26,324645.0000000001,328417.8,638250.06
43,324301.0,352731.00000000006,333389.0,340680.08,898283.36,334319.32,648502.88,365784.20000000007,333417.76,639795.16
44,339263.99999999994,373399.4000000001,359170.0,365023.63999999996,898592.94,372118.28000000014,650305.52,377429.80000000005,356298.9000000003,646307.86
45,380821.80000000016,388529.0,364411.0,391554.04000000004,898984.32,400988.2400000001,652329.5599999999,383564.2,391991.2,648348.72
46,417025.0,416450.0,399690.0,424460.6,904901.8,429028.20000000007,656298.7,397678.0,425502.2,647961.9
47,450902.60000000003,438636.5999999999,426441.0,440077.24000000005,907849.36,449911.72,656243.76,423239.3999999999,453032.8000000001,650573.92
48,451611.2,450747.9,438814.0,450997.0,921659.8400000001,451802.4,657474.9199999999,435295.60000000003,459096.06,650537.94
49,465509.6000000004,454295.0,458789.0,451593.12,926446.36,481393.08000000013,696349.6799999998,450081.4000000001,462099.32,664710.32
50,489090.8,454121.2,468797.0,477495.12000000017,929190.04,490471.32,714025.36,450613.2,486441.8000000003,704495.9600000001
