index,177_1_www.aboutads.info,177_2_www.aboutads.info,177_3_www.aboutads.info,177_4_www.aboutads.info,177_5_www.aboutads.info,177_6_www.aboutads.info,177_7_www.aboutads.info,177_8_www.aboutads.info,177_9_www.aboutads.info,177_10_www.aboutads.info,178_1_www.aboutads.info,178_2_www.aboutads.info,178_3_www.aboutads.info,178_4_www.aboutads.info,178_5_www.aboutads.info,178_6_www.aboutads.info,178_7_www.aboutads.info,178_8_www.aboutads.info,178_9_www.aboutads.info,178_10_www.aboutads.info,179_1_www.aboutads.info,179_2_www.aboutads.info,179_3_www.aboutads.info,179_4_www.aboutads.info,179_5_www.aboutads.info,179_6_www.aboutads.info,179_7_www.aboutads.info,179_8_www.aboutads.info,179_9_www.aboutads.info,179_10_www.aboutads.info,180_1_www.aboutads.info,180_2_www.aboutads.info,180_3_www.aboutads.info,180_4_www.aboutads.info,180_5_www.aboutads.info,180_6_www.aboutads.info,180_7_www.aboutads.info,180_8_www.aboutads.info,180_9_www.aboutads.info,180_10_www.aboutads.info
1,-442.0,-442.0,1210.0,1210.0,1210.0,1210.0,1210.0,-442.0,1210.0,1210.0,1210.0,-442.0,-442.0,1210.0,1210.0,1210.0,1210.0,-442.0,1210.0,1210.0,1210.0,1210.0,1210.0,-442.0,1210.0,1210.0,1210.0,1210.0,1210.0,1210.0,1210.0,1210.0,-442.0,1210.0,-442.0,1210.0,1210.0,1210.0,1210.0,1210.0
2,1450.56,1390.52,2643.78,2730.9,2735.7999999999997,2308.84,2635.88,1415.8,2840.28,2721.1,2832.88,1436.34,1325.74,2716.2,2172.879999999999,2696.6,2601.12,1431.6000000000001,2789.7000000000003,2832.88,2926.7000000000003,2601.12,2610.6,1395.26,2841.76,2871.4,2809.3,2647.6,2612.18,2809.3,2686.8,2730.9,1341.54,2745.6,1480.82,2804.4,2760.3,2875.8,2667.2000000000003,2775.0
3,3590.88,3952.92,1174.5199999999998,5313.64,5305.24,2569.2799999999997,4840.24,3798.6,4930.200000000001,5306.76,4969.799999999999,3631.68,4110.68,5303.32,2429.64,5288.68,2855.9200000000005,3670.2,5354.92,4969.799999999999,4992.4,5005.240000000001,4928.2,3545.12,1997.48,5271.4,5368.68,5245.4800000000005,4915.36,5368.68,5280.04,5313.64,4076.28,5323.96,3575.4399999999996,5365.24,5334.28,3530.999999999999,5262.76,5344.6
4,4100.4400000000005,5059.36,7225.34,6735.46,6872.12,4852.12,6024.119999999999,5268.2,5725.22,6700.14,5864.240000000001,6713.82,4228.639999999999,6856.48,3748.04,6629.92,6206.439999999991,4907.8,5968.039999999997,5376.92,5890.199999999999,6375.16,6161.5999999999985,4360.5199999999995,3099.0799999999995,6830.2,6488.26,6427.84,6209.680000000001,5658.799999999999,6500.52,6537.98,4715.040000000001,6516.3200000000015,4771.42,6702.36,6560.42,5365.299999999999,3932.08,6833.4
5,7911.24,6039.8,8720.400000000001,6609.319999999999,6561.040000000003,6383.719999999999,9599.52,6428.8,5745.88,6943.879999999999,5690.48,7327.44,4649.68,7285.1600000000035,5578.72,10096.08,7858.52,5889.599999999999,5613.080000000001,5911.64,9314.800000000001,7199.48,9271.4,7044.92,5355.799999999998,7802.400000000001,8107.8399999999965,7286.68,9348.72,5833.320000000001,7477.24,7561.52,4328.96,5586.04,6237.279999999996,6129.120000000001,7558.04,6351.6,7672.56,7369.800000000001
6,20510.4,8888.599999999999,23442.7,9584.1,9709.2,7047.200000000006,23146.4,8462.0,7333.099999999999,9571.9,9455.6,9599.699999999999,5852.7,9730.800000000001,7206.999999999998,13096.799999999968,12920.999999999998,9614.0,9540.2,7297.599999999999,9415.5,10095.6,9591.0,7128.1,8287.599999999999,9802.0,9478.699999999999,10098.4,10364.60000000001,9672.800000000001,9453.199999999999,9566.1,5876.7,9422.6,21209.899999999998,9517.6,9479.699999999999,7382.0,11070.39999999997,9718.0
7,18702.120000000003,22704.96,28596.08,22536.72,23235.879999999997,9584.44,23715.68,18839.6,14130.599999999999,20184.640000000003,20722.96,17405.68,8842.439999999999,20790.36,7923.319999999998,21160.84,17115.760000000002,20085.8,24167.120000000003,20808.96,11146.800000000001,22256.760000000002,23256.8,8479.96,10113.839999999998,20880.2,9780.32,10894.32,19695.640000000003,9693.04,20393.52,15589.039999999999,15111.16,15037.439999999999,19623.84,22507.52,21949.079999999998,9644.199999999999,20646.88,25380.8
8,26795.52,20938.120000000003,29458.879999999997,20979.34,21098.48,20871.26,30710.04,26990.8,19262.22,18445.58,18979.88,24921.02,21669.56,18574.920000000002,20722.32,27182.72,21833.359999999986,18131.6,22326.02,19065.88,23201.00000000002,20627.280000000002,21181.6,22739.059999999998,20747.68,19167.8,10242.68,14137.56,18018.920000000002,23991.56,19012.56,13848.880000000001,20905.76,22523.48,23039.06,20920.44,19994.18,20537.399999999998,22875.19999999998,23805.6
9,27807.48,24284.04,33513.56,28411.28,22194.52,19711.559999999998,31621.24,27368.8,18175.32,19531.44,19299.439999999995,33968.76,19961.52,20814.320000000007,19371.56,30806.88,25380.96,20026.200000000008,25583.48,20192.64,29009.8,24371.24,22344.8,21183.36,19093.56,19768.799999999992,21056.87999999999,26363.039999999997,22588.76,22373.64,22396.92,16989.72,19557.56,21563.079999999998,31070.559999999994,27049.64,23263.32,19014.2,29717.88,28338.8
10,32015.04,26065.720000000005,36706.780000000006,29565.18,26226.96,18221.34,35008.759999999995,28297.2,21228.320000000007,26929.62,29970.76,35346.86,28681.539999999997,23772.36000000002,18549.32,34504.68,30018.52,23239.799999999996,27505.760000000002,21267.68,27278.3,27806.52,25561.199999999997,20014.28,17990.120000000003,21425.6,22630.64,29266.359999999997,24409.62,23874.64,24449.39999999999,20669.92,20629.86,25737.199999999993,34528.68,25559.64,25201.84,18845.499999999993,31281.04,31763.8
