index,90_1_www.theguardian.com,90_2_www.theguardian.com,90_3_www.theguardian.com,90_4_www.theguardian.com,90_5_www.theguardian.com,90_6_www.theguardian.com,90_7_www.theguardian.com,90_8_www.theguardian.com,90_9_www.theguardian.com,90_10_www.theguardian.com
1,-48.0,-48.0,67.0,67.0,0.0,67.0,67.0,-48.0,67.0,67.0
2,34615.159999999996,18997.28,18279.6,12222.52,25490.640000000003,15923.799999999996,1508.6999999999996,23204.799999999952,18013.0,2314.5
3,146751.76,143008.96,142681.48,136226.28,66406.12,127730.12,9120.199999999999,144704.28,142799.0,7386.199999999999
4,155721.16,153432.06,151991.96,153443.04,146584.58,173930.7,36359.800000000025,154808.48,154731.5,18883.4
5,250403.40000000002,179835.92,177473.04,166102.32,172183.8,281763.9199999999,114516.40000000005,175737.2,179263.0,38513.6
6,479081.2,414986.9,220302.8,227595.0,461099.0,403193.9999999999,142631.5,326660.0,408036.5,120861.5
7,509004.20000000007,520597.83999999997,583206.16,370310.88,500315.44,661464.08,144535.4,364091.04,505117.0,141694.6
8,585603.52,538566.4400000001,742516.9199999999,723707.56,553005.88,887800.6,146750.6,692430.4,626769.0,148832.40000000002
9,707600.04,715703.7999999999,957084.44,889132.88,629414.52,1087357.96,154428.2,840838.28,776624.0,151131.4
10,879058.4000000001,903703.78,1080938.4,962999.44,870082.2,1143927.2,152825.2,934006.5599999999,839925.0,156096.7
11,1161456.8,1143316.8,1173930.0000000002,1113970.0000000005,1011335.5999999997,1252358.4,163224.0,1134925.4000000001,1162645.0,160889.0
12,1223472.4,1221456.78,1242846.52,1238440.52,1214525.06,1286607.74,178457.3,1185292.08,1233568.5,167489.9
13,1277071.56,1269653.36,1254518.4,1257405.32,1267946.72,1312613.48,270713.20000000077,1231749.72,1274562.0,178144.0
14,1305350.28,1303157.32,1275186.6,1300684.12,1311784.6000000008,1339541.56,323040.8,1258924.68,1323122.5,316723.9
15,1362542.64,1319964.08,1311904.8,1322347.24,1318583.92,1396793.8800000001,452262.4000000001,1278488.76,1328294.0,375311.0
16,1402874.2,1388276.9999999995,1368779.8,1401872.2,1364568.9,1456590.5,515217.5,1314417.4,1373608.0,415782.0
17,1421385.36,1420985.96,1375597.24,1417640.52,1472710.76,1479683.96,513786.4,1384537.2,1421512.0,458438.8
18,1435511.36,1489801.16,1437466.08,1490183.84,1479141.48,1606004.02,616967.4,1408426.28,1494900.0,458741.6
19,1571447.36,1498743.24,1526226.8800000001,1497949.76,1544036.48,1615182.04,762699.0,1421112.5999999999,1502765.0,457209.60000000003
20,1583759.88,1542562.42,1581066.76,1529793.96,1676267.9600000002,1685903.02,816073.1,1487491.16,1575110.0,517055.4
21,1649046.2,1583733.2,1597317.8,1614939.0000000002,1700358.2,1686434.2,891256.0,1509515.2,1672785.0,600430.0
22,1651724.68,1709656.5999999999,1629306.56,1694922.92,1805985.18,1760506.54,897121.7,1599066.64,1728790.5,676548.6
23,1727098.96,1713556.44,1683621.8,1716676.84,1821270.08,1785060.4399999997,901512.8,1633372.52,1796236.0,739632.4
24,1752738.8,1743319.94,1695983.28,1788656.32,1828210.12,1800400.58,920734.4,1701194.72,1803023.0,790219.7000000001
25,1771800.28,1815492.0,1808608.76,1805934.8,1850460.52,1951544.2,939582.7999999999,1730108.68,1809447.0,817552.7999999992
26,1919393.0,1875324.0,1826825.0,1820111.0,1875694.0,2010183.0,944714.0,1746586.0,1818098.5,919137.0
27,1987804.44,1888466.92,1933500.36,1842094.24,1919116.2000000002,2099124.76,954454.6,1759915.4,1865095.0,1054472.5999999999
28,2006393.64,1909827.2999999996,2002082.72,1854530.44,2029103.22,2135849.96,1008143.2000000008,1841197.7599999998,1948558.5,1148442.0
29,2058865.56,1942682.44,2051444.84,1911625.4000000001,2085425.44,2202940.32,1163485.4000000001,1864841.48,2001849.0,1168866.6
30,2103524.2,2039228.2799999982,2076306.16,2007519.16,2103523.96,2216614.76,1199848.0000000002,1952112.64,2052820.5,1172447.3
31,2108317.2,2093214.6,2103899.2,2131092.4,2113995.2,2225515.6,1238021.0,2016675.6,2078658.0,1225533.0
32,2114151.72,2112104.88,2171290.56,2141502.16,2166358.86,2235661.7399999998,1251622.7,2043581.4000000001,2084817.5,1234143.1
33,2129686.56,2118056.64,2172240.7600000002,2154322.56,2189375.68,2249965.5999999996,1254001.0,2057196.28,2092065.0,1239867.6
