index,303_1_www.history.de,303_2_www.history.de,303_3_www.history.de,303_4_www.history.de,303_5_www.history.de,303_6_www.history.de,303_7_www.history.de,303_8_www.history.de,303_9_www.history.de,303_10_www.history.de
1,-442.0,-442.0,-113.0,-442.0,-442.0,-113.0,-442.0,-442.0,-442.0,-442.0
2,8241.16,6237.400000000001,6191.58,8335.900000000001,8446.7,6123.499999999999,8701.2,8532.3,10295.720000000001,10229.76
3,24454.24,25770.8,25779.36,24587.24,24380.24,26331.8,22556.559999999994,27983.04,24672.799999999985,26470.599999999995
4,82376.47999999995,40575.200000000004,56682.66000000001,78173.29999999999,65058.34,34703.000000000124,70442.63999999998,53678.560000000005,36131.26,41462.07999999997
5,154759.79999999996,99767.0,129855.2,176289.35999999993,112555.0,98031.40000000004,121123.2,99046.72000000003,94705.76000000001,116474.44
6,261497.2,208890.0,212741.00000000006,247708.1,183930.30000000002,179739.5,182167.8,172209.9,160436.49999999997,202131.99999999997
7,435740.44,343868.00000000006,325067.2,327528.4799999998,253487.2399999999,329547.00000000006,245357.92,262627.96,258454.36,342789.87999999983
8,469566.2799999999,498994.4000000002,429650.9,417918.0799999999,356088.1,459126.9,377711.28,409172.9,350484.1,512997.08
9,502512.04,587957.0,468776.92,447514.52,444841.96,473616.4,439757.36,479070.4,445724.76,545328.4
10,520977.48,618289.4,478252.26,480715.1799999998,490448.98,517298.1,448635.48,620811.6,491028.54,574182.24
11,569479.3999999998,615218.0,498512.6,503012.79999999993,501037.8,558467.0,466680.6,777536.8000000003,499245.60000000003,632832.4
12,631910.6,636263.0,590015.02,527921.64,535777.96,618407.7,551028.2799999999,877240.4400000002,563553.76,694310.16
13,721435.2,731833.4,657971.8,592670.1199999999,595878.1999999997,676736.0000000001,648351.4799999999,965790.56,629353.2399999999,781331.5199999999
14,784319.4400000001,804430.6,731432.1000000001,661657.2999999999,707038.8999999999,753707.3,771918.5199999999,1018640.16,712525.4,871058.24
15,855618.5199999999,864270.2000000005,829223.2,735246.5199999999,787570.6000000001,891065.0000000001,867999.3200000001,1063684.8,770537.4399999998,976243.52
16,963941.0,960201.0,894104.6000000004,820493.3,889283.2,915975.5,939561.5999999999,1183728.600000001,844483.7,1062125.2
17,1044665.4399999997,1070466.6,979692.2000000001,891575.8799999999,969754.9199999997,1023770.8000000003,1012221.0799999998,1265520.32,947307.7999999999,1164776.48
18,1128398.04,1127010.4000000001,1071238.32,942239.2399999995,1075358.1,1107612.2000000002,1055880.08,1353905.76,1031322.1,1257405.6
19,1168256.1600000001,1216852.4,1139035.32,1025936.5999999997,1172929.04,1144266.6,1133840.0,1459803.28,1084978.96,1343900.7999999998
20,1220804.44,1322477.7999999998,1210063.7600000014,1077017.04,1261915.4,1243018.5,1213711.64,1537398.1200000003,1196352.9199999997,1434041.2
21,1330085.2,1419195.0,1292675.0000000002,1157673.0,1339663.9999999998,1305981.0,1296731.4,1599981.0000000002,1253117.9999999998,1524334.399999999
22,1406708.5999999999,1500408.0,1360389.7000000002,1230511.04,1391684.46,1423386.5,1413279.3199999998,1634952.88,1359518.78,1595033.8
23,1469990.4,1664589.0,1411587.4000000001,1316343.4,1428206.72,1511596.6000000008,1531257.6,1681727.7200000002,1452146.8800000001,1755383.88
24,1533239.9999999998,1717774.0000000002,1502342.08,1403178.64,1518938.8399999992,1625139.4,1643635.6400000001,1720889.56,1534798.9999999998,1881152.9999999993
25,1626586.7199999997,1749817.4,1601361.04,1495214.2799999996,1588450.44,1740316.2000000004,1726084.64,1795843.8,1594388.36,1921663.96
26,1740305.9999999998,1785254.0,1631937.5000000002,1582459.0,1676013.0,1877673.5000000002,1754960.0,1860353.5,1702456.4999999998,1945274.0
27,1818159.24,1847694.6,1750713.9600000002,1673685.84,1722342.92,1921341.2,1791193.7999999998,1912225.3200000003,1807685.0399999998,2001053.3999999997
