index,31_1_www.spiegel.de,31_2_www.spiegel.de,31_3_www.spiegel.de,31_4_www.spiegel.de,31_5_www.spiegel.de,31_6_www.spiegel.de,31_7_www.spiegel.de,31_8_www.spiegel.de,31_9_www.spiegel.de,31_10_www.spiegel.de
41,2752729.5999999996,3055491.5999999996,2507803.0,2614369.3999999994,2616750.6,2658157.6,2292024.4,2630683.0,2284465.8000000003,2872668.0
42,2759926.78,3086909.7599999993,2618025.0,2623686.48,2675709.08,2683906.8000000003,2297637.1799999997,2651141.9999999995,2314612.12,2937592.2
43,2787075.16,3107007.7600000002,2687735.0,2632603.1600000006,2716633.36,2735196.48,2302221.52,2671607.4,2377738.2399999998,2944027.6
44,2797046.36,3214964.58,2696664.0,2655545.56,2751291.38,2769884.92,2336188.04,2679638.4000000004,2399194.96,2960819.4
45,2815707.52,3258149.68,2723482.0,2664719.1999999997,2762774.24,2789199.56,2360629.72,2737229.2,2420373.6,2997934.8000000003
46,2981144.999999999,3312245.7,2738686.0,2686579.4,2802750.9999999986,2819240.0,2363981.8,2747334.0,2431881.6,3018849.0
47,3033070.9999999995,3575440.1999999997,2880369.0,2801690.08,2858719.32,2933005.24,2438014.16,2786346.8,2433295.28,3033827.8
48,3091102.44,3613760.04,2938220.0,2798803.06,2868031.42,3131230.88,2467130.06,2856760.8,2451080.48,3048442.7
49,3090967.32,3664024.08,3131730.0,2821853.08,3107307.64,3165988.1600000015,2475052.5200000005,3060606.999999999,2562889.84,3065070.1999999997
50,3322411.72,3682069.04,3136660.0,2883683.2399999998,3116339.92,3178318.92,2488946.98,3108963.8000000003,2570181.32,3067510.9
