index,330_1_www.wetter.com,330_2_www.wetter.com,330_3_www.wetter.com,330_4_www.wetter.com,330_5_www.wetter.com,330_6_www.wetter.com,330_7_www.wetter.com,330_8_www.wetter.com,330_9_www.wetter.com,330_10_www.wetter.com
41,6566767.4,5661344.399999999,6982712.0,3517878.0,7896670.2,3109505.1999999993,3284563.0,2814666.0,11472062.2,10752230.8
42,6722754.799999998,5739930.04,7243116.0,3534891.0,7969253.72,3137439.16,3301787.3,2845588.9,11645209.799999991,10899679.4
43,6782976.28,5771790.64,7373658.399999999,3547047.0,8154091.88,3168156.72,3317846.8,2851535.6,11844651.36,10990730.88
44,6852276.62,5904377.96,7432021.0,3577352.0,8227002.4799999995,3200446.16,3334320.2,2866955.0,11994505.69999999,11160372.32
45,6911608.320000001,5937948.36,7481664.400000001,3636191.0,8372006.16,3226626.9200000004,3361591.1999999997,2889135.8000000003,12557771.92,11304785.48
46,6943939.7,6014175.600000001,7530820.999999999,3714871.0,8538855.7,3252108.2,3412947.0,3113133.5,13080104.1,11509050.6
47,7022460.32,6135520.800000001,7867551.6,3753574.0,8633657.359999994,3259977.6799999992,3523883.1999999997,3157399.4,13344966.64,11920232.16
48,7260242.04,6190089.400000002,7959486.6,3769025.0,8971174.82,3278358.2399999998,3646097.9,3178710.9,13656307.76,12098298.44
49,7364402.24,6372219.960000009,8015063.8,3842421.0,9087391.4,3284755.92,3656230.8000000003,3193358.4,13891775.519999996,12453708.400000002
50,7491749.96,6405773.12,8125011.400000006,3862435.0,9153673.200000001,3296408.16,3677696.6,3233737.1,14356563.860000001,12789569.6
