index,354_1_www.deezer.com,354_2_www.deezer.com,354_3_www.deezer.com,354_4_www.deezer.com,354_5_www.deezer.com,354_6_www.deezer.com,354_7_www.deezer.com,354_8_www.deezer.com,354_9_www.deezer.com,354_10_www.deezer.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1392.1,1499.02,1406.32,1528.1399999999999,1456.8799999999999,1357.34,1428.44,1433.18,1528.1399999999999,1345.5
3,3948.6,3604.24,2420.12,4164.76,3582.2400000000002,4041.88,3695.8799999999997,3657.36,4133.76,3780.000000000001
4,5083.899999999999,4686.560000000009,4844.96,5084.12,5057.88,5111.82,4868.92,5161.74,4571.38,4131.9
5,6293.599999999999,7223.88,7071.48,7307.119999999995,6137.5199999999995,3883.12,6731.04,6259.2,8496.400000000001,4838.799999999999
6,8183.5,7980.099999999999,7152.4,8119.7,8108.599999999999,8180.8,11250.00000000001,8466.1,9808.399999999994,6134.5
7,10304.000000000011,17212.159999999996,8377.560000000005,17354.120000000003,17493.64,7673.16,12001.84,14676.04,17630.6,8163.6
8,17222.2,20817.719999999998,17970.12,21138.22,20903.28,17219.44,14996.320000000007,17568.2,17558.04,8015.000000000009
9,20575.8,20769.16000000001,17608.0,19214.68,19061.32,17952.16,15565.08,20058.64,21445.24,17319.0
10,19187.600000000002,25349.680000000008,20451.04,23201.36,20391.920000000002,19996.98,24979.239999999998,20598.480000000003,24370.759999999966,19129.500000000004
11,20777.0,27263.8,21830.2,26103.39999999998,24862.2,21058.399999999998,27508.00000000002,25337.8,26770.600000000002,20298.0
12,22585.100000000002,26410.58,22913.07999999999,28800.039999999994,26723.68,23291.56,29878.039999999997,27363.98,28061.54,21585.100000000002
13,26898.8,27931.039999999994,24969.039999999997,28244.280000000006,25774.04,22412.32,29033.76,26439.96,28959.92,20839.399999999994
14,26069.3,26069.299999999992,27202.28,26228.42,26852.76,25928.48,30142.72,28307.66,30457.840000000004,22311.3
15,27888.600000000002,24383.800000000017,28619.48,27638.199999999975,28455.4,25622.76,34609.04,26548.680000000004,30157.200000000004,24481.4
16,28635.5,37367.6,27867.199999999997,37643.099999999984,29467.8,27007.1,33872.399999999994,31156.5,30489.499999999993,26672.5
17,30651.000000000007,42934.48,26179.88,47759.63999999996,29019.4,26324.76,31968.32,29415.72,72484.19999999981,25706.399999999998
18,30932.499999999993,47320.04,26747.8,48828.560000000005,43868.920000000006,25047.219999999998,33425.6,29053.3,134763.63999999993,26967.800000000025
19,33498.8,79247.12000000001,28984.56,117910.15999999951,82613.68000000004,28208.399999999998,35493.600000000035,58434.360000000015,192076.67999999988,28532.2
20,33864.2,146583.26000000007,28577.92,163738.55999999985,123843.60000000002,33319.76,43312.84,88124.29999999999,235477.23999999996,29392.00000000002
21,37605.0,207415.40000000008,46595.999999999985,232687.99999999988,166760.0,33198.8,51866.8,123110.60000000002,281363.39999999997,35632.0
22,52714.400000000016,260183.68,83924.08000000012,303303.5199999996,204330.56000000006,32681.379999999997,51318.52,150597.36,325358.0999999996,37993.900000000016
23,75453.40000000011,301855.48,125177.27999999991,371985.2799999999,252154.52000000005,47899.76000000001,115868.28000000019,188706.52000000002,390670.12,44048.2
24,105713.60000000015,344612.2,173498.32,446970.5999999998,343064.36000000004,91841.4800000002,172463.84,239518.83999999997,427222.83999999985,44228.5
25,113945.00000000003,387482.60000000003,210971.52000000025,508942.63999999984,426448.84,159004.95999999996,233834.84000000023,293656.87999999995,486284.03999999986,65327.00000000003
26,157510.0,427969.5000000001,271688.0,573476.9999999995,489043.0,190095.5,296449.0,323172.0,567134.9999999999,114366.5
27,204459.0,451879.56000000006,324505.84,640243.16,504282.2,191671.84,371943.1600000002,373647.7599999998,609656.9199999999,166426.60000000003
28,255995.9000000001,489461.12000000005,367568.83999999997,642300.82,520426.4,216397.43999999983,423343.8,433198.9,625451.08,195452.0000000001
29,300172.60000000003,537489.76,408396.52,645818.64,607664.6799999999,292884.2799999999,477207.92000000004,490199.23999999993,627142.68,237834.8000000001
30,339442.50000000006,626901.9200000003,450231.32,648468.16,624323.88,338395.9,543393.5599999999,556445.98,628721.62,270308.0000000002
31,395369.0,645847.6,490062.4,648159.2,627559.4,352795.0,590497.2000000001,605213.7999999999,630400.2,295972.0
32,439381.4000000001,650111.12,513716.27999999997,656647.22,628691.24,415370.1599999999,644829.12,624261.58,633053.12,332548.80000000005
33,479605.4,649658.72,570245.72,657777.88,630273.64,441565.2,646333.08,627519.16,658981.6,370376.80000000005
34,526235.5,651350.1000000001,600169.4,660929.4,632578.92,507758.3,647497.88,628430.02,676638.18,463477.60000000027
35,569321.8000000002,653954.96,622342.04,685865.6,647210.8,541130.3599999999,650024.0,630219.48,677995.48,512879.80000000005
36,603957.5,664914.0,624060.2,696267.6,669859.0,562915.6,650793.2000000001,632509.4,679550.9,543400.0
37,634633.8,664727.24,625456.52,712560.0799999993,678392.92,625428.6,659381.12,645993.56,690575.12,593763.0
38,636202.7,668598.52,624254.48,737698.2999999999,679890.64,630766.72,661436.04,672715.5800000002,690630.06,636602.7
39,639548.4,685963.9600000001,631296.68,742654.64,680608.96,634213.72,661013.32,677961.48,727326.8,638339.8
40,640726.5,705475.8600000001,637035.6,746004.74,688644.52,635525.22,665029.04,681474.32,728453.78,639057.8
41,641626.0,712687.6,657206.9999999999,751726.6,713975.0,637279.4,669578.0,684429.2,730078.4,643169.0
42,641567.9,726734.94,672041.7600000001,754456.32,725433.48,636768.26,681134.6,685832.38,732083.86,643316.3
43,650792.8,751084.76,678151.36,756114.52,726988.92,641797.28,692585.24,687263.56,734962.5999999999,645646.0
44,652636.6,752392.28,678386.04,761384.7,725740.92,642975.66,703033.52,690842.4,735659.7,646459.6
45,667532.4,755626.16,679091.32,776569.76,728578.48,649970.28,708530.32,697736.12,742849.04,651123.0
46,669085.5,762709.0000000001,690152.8,819629.7999999992,733434.4,673554.6,711115.8,715317.9999999997,744986.4,663229.5
47,691777.6,764085.8,691669.12,881642.9199999998,738393.52,687755.84,738717.92,733838.24,747572.84,684368.0000000003
48,695642.5,765419.98,726809.4,923911.62,742377.6,689051.12,747301.5599999999,735534.32,760655.2399999999,692572.8
49,702191.7999999999,767300.16,725482.12,933706.1599999999,744493.56,690885.32,749033.04,737472.5599999999,769583.88,692111.6
50,719367.7,788853.6000000001,729731.92,950552.08,744369.72,690888.9,752552.52,743088.6,772477.28,693918.1
