index,123_1_www.springer.com,123_2_www.springer.com,123_3_www.springer.com,123_4_www.springer.com,123_5_www.springer.com,123_6_www.springer.com,123_7_www.springer.com,123_8_www.springer.com,123_9_www.springer.com,123_10_www.springer.com
1,67.0,-442.0,67.0,-442.0,-442.0,67.0,67.0,67.0,67.0,67.0
2,13479.2,10785.8,13876.800000000003,13693.100000000006,18503.92,12770.759999999998,10196.219999999998,13017.2,11184.2,11417.339999999995
3,78320.63999999996,50218.08,56267.6,83550.0,77498.8,71194.59999999998,94594.2,96924.68000000001,64307.79999999999,47746.04
4,125987.16,114491.44,120950.2,140335.60000000006,111456.28,122886.12,137818.46,125314.48000000001,117300.8,71081.26
5,232144.08,157105.12,172971.0,265433.80000000016,163335.56000000003,163326.44,168809.60000000003,208491.03999999998,155163.12,157239.92
6,444669.8,294124.0,457100.0,493173.0,394224.0,378893.4,382033.6000000004,416535.2,393293.0,353979.0
7,505949.39999999997,404802.60000000003,610745.6,607116.2,533971.88,593110.32,554531.4,528226.28,525783.76,479076.08
8,738329.4799999997,555992.9600000001,756886.6,785436.0,645330.0000000001,792024.7199999999,820316.6400000001,762080.7599999999,718960.7999999999,555440.8599999999
9,1036214.16,739281.3200000001,962091.2,1063873.4,918864.3600000001,1000988.24,1030693.88,1063081.28,935259.2,805639.7999999999
10,1209926.36,909944.7599999999,1074730.8,1072045.7,1065377.64,1066593.72,1043744.22,1074427.08,1050618.52,919021.82
11,1267552.6,1069049.8,1191266.0,1166940.0,1084449.2,1083874.4,1105009.8000000005,1162592.8,1078929.8,1045381.3999999999
12,1384619.04,1118358.4800000007,1324886.6,1325382.0000000002,1246819.1199999999,1247849.68,1359250.08,1402712.16,1226222.9599999997,1131760.7999999998
13,1546615.52,1314008.44,1450284.2,1449699.8,1325958.68,1280997.8,1533753.28,1471624.2,1356417.8,1252411.04
14,1555678.64,1452189.56,1507674.8000000003,1534263.9,1480040.72,1455164.04,1640199.2,1563446.12,1429108.36,1296289.14
15,1645864.4000000001,1534771.6,1635798.2,1575547.6000000003,1546097.68,1619888.5999999999,1738242.4,1621276.8,1478552.56,1370489.2
16,1808354.0,1689075.6000000003,1768639.0,1804332.0,1631519.2,1838870.7999999998,1746952.7,1800394.5999999999,1553150.8,1433179.0999999999
17,1946164.36,1795322.6,1856595.4,2084627.8,1737794.64,2045882.68,1805851.6400000004,1962523.72,1630410.08,1608471.32
18,2086315.04,1933250.72,2057826.0,2238570.800000001,1755583.52,2208927.56,2076371.9200000004,2084355.28,1896056.1600000001,1727975.74
19,2293288.16,2140903.2399999993,2293046.4,2314938.2,1763356.96,2442524.8,2339545.52,2322411.64,2111067.0,2062820.72
20,2677484.079999999,2383909.4,2602266.2,2445394.9,1987440.8400000003,2640155.159999999,2541433.8800000004,2643895.12,2224098.7600000002,2107037.0799999987
21,2988136.4,2573499.6000000006,2952697.0,2672430.0,2294746.0,2718754.6,2649052.8,2824960.6,2367542.0,2205467.4
22,3303699.72,2878552.48,3226491.0,2981284.2000000007,2591565.64,2878352.64,2847654.22,3139111.1199999996,2697439.72,2415541.0599999996
23,3573137.8,3169036.9600000014,3500233.2000000007,3256316.6,2854722.2,3181127.4399999995,3015887.8000000003,3366407.8,2946475.8000000003,2774552.359999999
24,3816097.2,3453103.8000000003,3823186.4,3455963.0,3004262.8000000003,3450481.76,3230073.7600000007,3558677.68,3321909.44,3040190.5199999996
25,4051814.6,3735717.72,4152010.1999999997,3675525.2000000007,3247832.6000000006,3714744.6399999997,3528158.4,3705201.5999999996,3587643.6799999997,3258171.4
26,4217935.0,3985770.0,4278520.0,3993566.0,3553856.0,3947068.0,3750501.5,3886589.0,3832739.0,3512573.0
27,4306830.88,4191427.3999999994,4334464.4,4243992.4,3820342.6,4111949.4,3923899.4,4133084.1599999997,4079179.56,3778866.2800000003
28,4313437.92,4279837.039999999,4377158.0,4330023.3,4075369.6399999997,4236130.6,4143096.7200000016,4466689.8,4239045.44,4055827.0399999996
29,4346582.84,4321539.16,4416800.6,4362984.4,4218297.16,4332852.56,4275274.56,4641361.48,4329667.16,4208030.5600000005
30,4367521.36,4327302.92,4539744.0,4408240.500000001,4341219.88,4355371.64,4361666.08,4689573.4,4341113.08,4326523.5600000005
31,4426830.399999999,4386076.8,4555440.0,4448104.0,4353519.4,4408129.2,4449716.6,4710934.6,4412214.8,4344691.2
32,4445302.04,4431386.52,4575705.2,4495686.0,4407546.32,4456602.4799999995,4467939.92,4755162.12,4444388.64,4392371.66
33,4531563.04,4441456.28,4727541.8,4557520.6,4449010.36,4555572.96,4476398.64,4807099.8,4542590.4,4434247.159999998
34,4617372.04,4460358.84,4895582.799999999,4603829.4,4468015.76,4570794.92,4481639.62,4913331.5600000005,4553999.36,4473361.8
35,4649538.6,4591220.12,5106987.4,4694595.8,4534396.12,4611725.96,4513859.600000001,4929280.2,4574481.72,4558154.16
36,4794090.4,4630584.8,5166039.0,4764409.0,4582118.8,4722020.600000001,4584629.7,4944711.2,4709362.8,4574597.1
37,5071065.520000001,4727769.28,5246997.0,4983368.200000001,4632170.279999999,4919597.720000001,4798249.32,5004912.52,4799862.520000001,4684090.8
38,5097999.56,4784727.52,5248399.8,5127086.4,4745120.760000001,5107484.52,4999028.8,5107237.279999998,5073775.959999999,4912300.6
39,5132672.2,5055014.12,5294179.8,5171520.4,5040544.920000002,5134994.2,5054854.5200000005,5175755.64,5128167.36,5104818.84
40,5243304.04,5142197.440000001,5310516.4,5251281.8,5132482.08,5181320.28,5138153.22,5192320.76,5133805.16,5167112.719999999
41,5256500.6,5170214.2,5331491.0,5250964.0,5177732.6,5260730.0,5178933.200000001,5242032.8,5146548.0,5251523.0
42,5264198.48,5245725.52,5335558.6,5293452.7,5229817.5200000005,5314505.4,5296372.92,5241501.44,5228893.36,5252933.68
43,5263554.24,5249700.16,5352516.2,5308232.4,5235114.76,5318831.76,5304241.44,5251164.16,5256812.52,5279253.199999999
44,5284718.04,5291535.96,5373190.4,5321639.0,5235499.72,5317896.72,5317674.2,5266560.5600000005,5324572.8,5305345.8
45,5306172.24,5313913.32,5393679.0,5338056.800000001,5252395.44,5331417.88,5343269.600000001,5299975.48,5336379.6,5335115.4
46,5309035.6,5322025.4,5441246.0,5352597.0,5262603.8,5347766.6,5359838.8,5414322.8,5347648.4,5335154.7
47,5326657.36,5335630.88,5541552.8,5372923.6,5291763.76,5365608.2,5375441.56,5457784.4,5366539.32,5354306.32
48,5479384.800000001,5345408.56,5547941.2,5396743.0,5346632.2,5382039.2,5396476.8,5511718.96,5383803.5200000005,5370022.1
49,5507773.88,5364111.16,5558043.0,5438213.000000002,5378452.92,5395570.44,5401953.44,5526641.16,5407170.88,5386186.72
50,5527935.04,5374449.96,5567675.8,5541542.800000001,5387208.92,5407661.479999999,5417551.22,5534000.2,5456806.92,5403901.4
