index,370_1_www.surfmusik.de,370_2_www.surfmusik.de,370_3_www.surfmusik.de,370_4_www.surfmusik.de,370_5_www.surfmusik.de,370_6_www.surfmusik.de,370_7_www.surfmusik.de,370_8_www.surfmusik.de,370_9_www.surfmusik.de,370_10_www.surfmusik.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,21732.34,29100.08,22834.84,22190.52,22940.72,20891.899999999998,31995.95999999999,4113.62,21588.14,21607.98
3,260945.07999999993,284271.16000000003,302243.08,185963.11999999988,320620.52,216343.79999999993,318635.8,8137.68,297012.76,324679.24
4,331686.66,334393.74,337144.84,329750.74,391271.88,333786.7,435143.08,16949.02,327278.48,334618.46
5,442561.79999999993,387591.24,350565.4,394629.44,414012.5999999999,380331.6,454795.16,21200.879999999997,438345.36,405626.92
6,461701.10000000003,439193.2,410360.6,417751.89999999997,464171.6,416628.0,491042.0,32046.099999999995,481263.7,421159.4
7,502674.68,519176.0,427003.84,456034.48,519047.76,523545.4,528756.0,70969.28000000009,503435.84,534321.88
8,511702.34,534937.02,530137.96,510501.36,535241.72,539666.3,551926.56,142329.56,508124.98,551322.24
9,525605.68,555085.6,545365.2,526007.64,557982.36,561735.6,590828.4799999999,207891.84000000005,521535.72,628830.04
10,544075.64,612736.5,621159.08,544902.5799999998,603654.2,632416.2999999997,704553.5599999999,302059.7,534092.5800000001,682623.98
11,617498.4,718504.8,673703.2,597289.6,693652.4,691606.0,852391.8,322463.60000000003,547162.6,823607.2
12,672252.66,863270.28,830453.5599999999,670587.54,844317.92,844038.2999999999,923091.0,327567.94,557561.24,891222.88
13,825353.3999999999,893301.16,887902.12,821472.28,890307.5999999997,896432.7999999998,966921.04,329311.64,585094.84,993198.08
14,898589.8199999997,911920.74,991046.44,875083.36,946705.48,946910.9999999999,1143286.88,334013.42,627782.5999999999,1026080.9
15,985211.4400000001,925722.1599999999,1040447.5600000006,966487.04,958542.64,1025332.8,1165864.96,337787.44,756529.76,1040360.8800000001
16,1033663.1,977594.1,1138898.8,1010223.7,982664.4,1036456.5,1183229.2,342916.70000000007,765790.1,1064641.7
17,1056291.32,1006657.96,1151195.92,1088897.919999999,1055291.84,1059711.9999999998,1226266.28,345075.76,796596.24,1087058.68
18,1100107.1199999999,1009840.64,1163915.04,1132961.7999999998,1072036.28,1092142.1999999995,1245423.3199999998,353914.62,918401.08,1112835.04
19,1216917.92,1037653.7199999999,1215951.4,1150141.36,1110223.5199999998,1112435.6,1277220.52,352887.12,945617.52,1121575.84
20,1248233.26,1088816.42,1268845.68,1176417.6600000001,1163756.76,1128449.9999999998,1296621.68,352680.48,956935.66,1159045.72
21,1254712.7999999996,1101736.6,1276343.5999999999,1198510.5999999999,1176293.8,1157747.0,1333966.6,361695.8,961149.1999999996,1244301.4
22,1291171.24,1127988.18,1301466.88,1222727.5999999999,1237062.28,1172745.6,1379728.1999999997,372886.88,996617.64,1280338.82
23,1308837.1600000001,1155646.76,1318200.84,1236095.8000000003,1371792.2,1201741.2000000002,1398290.76,377970.12,1013828.5599999999,1289228.8000000003
24,1336401.62,1174652.98,1327210.56,1241649.8599999999,1386607.52,1215063.2,1412943.04,387889.2000000003,1044778.22,1314930.66
25,1352302.68,1186378.8399999999,1372894.2,1269547.36,1406869.8,1243893.6,1435819.6,409405.56,1060940.64,1331740.52
26,1364502.5,1224941.0,1391790.0,1290691.0,1423166.0,1253369.5,1457123.0,408289.0,1084125.5,1343793.0
