index,122_1_www.springer.com,122_2_www.springer.com,122_3_www.springer.com,122_4_www.springer.com,122_5_www.springer.com,122_6_www.springer.com,122_7_www.springer.com,122_8_www.springer.com,122_9_www.springer.com,122_10_www.springer.com
1,-48.0,67.0,67.0,67.0,67.0,67.0,67.0,-442.0,-48.0,67.0
2,4998.88,5266.0,5058.999999999997,6952.22,6888.0199999999995,4651.420000000001,5556.0,6989.200000000001,4667.94,4737.000000000002
3,14928.12,50532.0,16030.400000000001,18515.52,15288.96,12465.44,49112.0,50471.24,25353.28,37678.400000000016
4,40344.08,55660.5,51950.600000000006,54086.159999999945,52586.52,57676.880000000005,52925.0,52634.42,38487.9,50750.2
5,64078.36,67392.0,66315.4,65585.88,67579.59999999999,58552.07999999999,92326.0,90191.32,52407.03999999999,66854.2
6,73217.6,140928.5,141086.0,103334.8,143473.20000000004,69869.9,144931.0,143746.8,131389.8,137624.5
7,150280.12,170303.0,158868.4,149430.84,160891.48,144217.52,238016.0,364515.7600000001,142342.79999999996,164816.0
8,156770.32,253870.0,375362.39999999997,175424.24,233561.52000000008,159848.6,413356.0,459037.82,325034.58,317538.99999999994
9,282203.8,372517.0,482656.4,269275.0,368906.0800000002,294710.75999999995,470543.0,506324.68,456734.0,500442.0
10,428432.52000000025,508388.5,552317.8,458764.38,559199.68,418815.78,566594.0,562389.06,486307.80000000005,558026.9
11,483162.6,598232.0,673147.0,590549.2,578024.8,485227.6,579809.0,580439.6000000001,620223.0,564424.0
12,591406.4400000001,740888.5,674491.3999999999,606477.1,598896.68,573059.3999999999,607385.0,605424.32,622318.34,566860.7
13,617825.08,865121.0,687905.4,618403.76,610155.24,583482.56,650892.0,660169.4400000001,636117.32,578350.4
14,648146.6,912595.0,742212.3999999999,718739.6999999998,712073.640000001,603475.86,788102.0,703640.82,661610.68,647041.5
15,693889.64,1029905.0,851687.2,833295.96,773972.12,626525.8,875242.0,869676.96,825301.28,770605.4
16,855246.0,1031222.0,918271.0,863060.7,797660.2000000001,815596.4,973211.0,920188.3999999999,925290.1,860579.5
17,946980.6,1090452.0,1011332.5999999999,882317.72,820999.16,892372.3999999999,996823.0,1023731.12,1032439.8,1015893.8
18,986229.2400000005,1181806.0,1136654.0,905703.6199999998,923855.2800000003,1042326.34,1013816.0,1120744.08,1102676.82,1109651.0000000002
19,1041015.8,1190206.0,1262233.7999999998,988210.8,1040294.4400000001,1069649.92,1096562.0,1217847.6,1112285.28,1156187.4
20,1137016.44,1241995.0,1289135.2,1100125.3999999997,1112766.38,1127938.3599999999,1211936.0,1267420.26,1199902.8,1162709.4000000001
21,1212392.4000000001,1302177.0,1344265.0,1182867.6000000003,1119636.4000000004,1236060.0,1239273.0,1275247.8,1264347.4,1217882.0
22,1306644.32,1310272.0,1347497.4,1269816.28,1174441.42,1239336.12,1248775.0,1285517.94,1265283.96,1218363.7
23,1317207.36,1328078.0,1353716.4,1297585.2000000002,1322913.48,1247764.4399999997,1258294.0,1293254.8,1273559.04,1227360.0
24,1336640.96,1339099.0,1363620.7999999998,1347809.24,1342385.96,1256167.66,1278312.0,1302284.16,1281523.28,1288978.4
25,1379947.76,1376588.0,1395085.3999999997,1358650.04,1376966.9200000006,1267885.5999999999,1318266.0,1329123.84,1309938.24,1336589.4
26,1396840.0,1420551.5,1410714.0,1394207.5,1425991.0,1308315.0,1364759.0,1349233.0,1347441.5,1367852.5
27,1427940.52,1440097.0,1461815.0,1446084.68,1434515.12,1352729.96,1380630.0,1391410.84,1379304.12,1418480.6
28,1473690.64,1449826.5,1474137.6,1454786.36,1451022.4800000004,1374460.9,1393664.0,1396601.02,1399852.7,1440164.0
29,1489215.24,1463892.0,1478727.5999999999,1467762.36,1469956.96,1382951.64,1403109.0,1447475.6,1407497.72,1449633.2
30,1502492.2,1471570.0,1525250.9999999998,1482124.7,1598931.48,1395212.82,1411712.0,1525866.6,1417480.9,1459590.5
31,1515694.6,1549148.0,1623980.0,1619023.8,1636971.0,1402959.4,1426575.0,1557709.2,1477034.0,1465845.0
32,1530276.28,1624703.0,1659061.9999999998,1628342.82,1679205.54,1419021.78,1470295.0,1567734.96,1519452.92,1485494.1
33,1539600.56,1666804.0,1704773.0,1663918.68,1689098.4000000006,1476886.72,1584565.0,1575727.56,1620239.2399999998,1496633.2
34,1623462.0799999996,1684292.0,1711019.0,1707748.06,1763073.66,1576496.7,1624150.0,1612204.72,1629090.3,1537806.3
35,1695850.76,1708270.0,1788547.6,1714657.9999999998,1767349.64,1617589.48,1627680.0,1652724.04,1636409.8,1573108.6000000008
36,1737923.2,1764274.0,1793056.0,1792562.2,1772820.3,1622416.3,1640513.0,1657352.3,1643884.9999999998,1651656.0
37,1744434.8,1780409.0,1804547.9999999998,1798236.6,1779522.8800000001,1699830.6800000002,1657827.0,1696331.6,1720075.96,1694245.0
38,1820466.96,1821389.0,1808706.6,1849032.66,1789088.42,1709931.319999999,1656913.0,1713267.94,1757138.98,1759936.200000001
39,1860604.9200000002,1821281.0,1825415.0,1849821.16,1797830.48,1758530.64,1660063.0,1715660.92,1777600.9200000002,1777892.0
40,1878251.32,1823170.0,1864584.2,1849922.98,1807467.64,1757136.08,1667478.0,1715775.76,1778581.96,1827735.2
41,1879530.2,1828422.0,1863003.0,1852370.6,1843255.6,1758953.2,1673179.0,1715317.2,1781262.6,1826519.0
42,1881382.92,1834203.0,1863234.6,1864156.02,1848312.92,1761607.18,1677284.0,1729971.74,1775868.68,1829002.3
43,1882808.96,1845030.0,1865664.6,1870450.96,1851946.04,1770748.24,1686532.0,1737202.96,1792345.56,1827543.6000000003
