index,363_1_soundcloud.com,363_2_soundcloud.com,363_3_soundcloud.com,363_4_soundcloud.com,363_5_soundcloud.com,363_6_soundcloud.com,363_7_soundcloud.com,363_8_soundcloud.com,363_9_soundcloud.com,363_10_soundcloud.com
1,-2192.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,110.0
2,4214.64,6767.8399999999965,4707.94,4806.919999999999,6552.240000000002,6332.72,4944.96,4451.34,4643.54,4584.42
3,16123.44,24870.36,16700.760000000002,16475.44,26389.96,24638.48,16547.88,21109.440000000002,16868.72,17089.759999999995
4,24171.440000000002,26111.519999999997,25057.82,24849.76,26258.18,25624.63999999998,24358.84,23607.859999999997,24782.88,23517.68
5,26767.76,37751.48,29175.68,27991.359999999997,43010.28,33268.88,28457.52,32607.56,28264.07999999999,27091.96
6,37555.2,56749.6,38984.9,41299.3,65628.69999999997,51729.4,36723.8,36804.799999999996,38833.9,38062.29999999995
7,41488.24,118374.92,41164.719999999994,86491.24,92776.68000000005,79770.15999999999,43205.28,60603.56,47957.12,46860.759999999966
8,113460.87999999992,275121.79999999976,135319.39999999997,213714.16,226764.08000000005,94823.24,42477.79999999998,107680.40000000001,144761.63999999998,68340.58
9,223232.28,340466.92,243288.64,243487.28,306125.56000000006,96601.4,121285.87999999992,233746.56,242936.76,127627.87999999998
10,251462.44000000003,592940.9599999995,258850.78,245457.96,639358.64,164708.2,241736.72,256368.44,245346.42,254556.9
11,255030.4,962805.3999999997,399437.0,261721.2,981038.6,315699.2,256346.8,258505.6,280360.3999999999,333680.2
12,256604.6,1252016.8399999999,548531.3200000001,335235.16000000015,1095135.6,501526.5200000001,257937.68,280165.9199999999,476359.87999999995,335653.84
13,294349.43999999994,1393154.48,735786.9600000001,443529.52000000037,1116024.68,681783.9199999998,271182.3199999999,475021.4800000001,692873.8399999997,413048.55999999994
14,492408.08000000013,1412594.64,945061.2800000005,688203.3200000004,1175508.76,963765.84,498043.12,710896.4799999997,950513.1600000003,538774.5799999998
15,806844.2399999994,1472205.04,1197248.88,1012000.8800000002,1182895.2000000002,1120173.4,734226.8799999999,945668.4400000002,1101678.44,674625.84
16,1081743.3999999997,1477249.6,1387321.7,1296535.6000000003,1235315.8,1132716.2,930504.5999999994,1114504.0,1109366.7,915482.3999999999
17,1338859.5599999998,1505187.52,1409557.52,1393223.88,1278573.24,1192747.6,1106889.84,1121888.24,1167197.48,1107773.08
18,1407560.52,1574278.32,1416061.54,1416013.2,1282574.62,1201883.2,1126888.08,1180526.78,1171594.14,1115222.58
19,1426798.44,1578107.24,1475105.92,1432348.6400000001,1289532.64,1273296.36,1134860.12,1184534.68,1182476.32,1173180.44
20,1480978.48,1581331.44,1479465.42,1479348.76,1309977.32,1290436.72,1188925.32,1194180.14,1267152.06,1179578.26
21,1492497.2,1594020.8,1493747.8,1487323.0,1358935.0,1302599.4,1195657.4,1262401.8,1269622.0,1190223.4
22,1498464.2,1615614.44,1560289.3800000001,1533793.86,1399216.92,1310117.8,1225041.32,1283316.02,1274269.0,1261445.76
23,1563807.88,1617986.2,1577074.8,1578202.68,1403521.92,1335599.92,1284141.16,1286873.48,1277787.7999999998,1282593.32
