index,224_1_web.de,224_2_web.de,224_3_web.de,224_4_web.de,224_5_web.de,224_6_web.de,224_7_web.de,224_8_web.de,224_9_web.de,224_10_web.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-113.0,-442.0,-442.0,-442.0,-442.0
2,3753.8000000000006,2397.2000000000003,3631.3999999999996,3631.3999999999996,4100.36,1296.7200000000003,3182.6,6578.120000000001,49936.979999999996,5029.14
3,5058.04,5367.24,5400.72,5116.72,4658.36,5547.280000000001,5149.84,11617.240000000002,207014.44,15313.16
4,8278.52,8541.42,8608.359999999999,8324.359999999999,8436.88,8671.24,8604.24,46146.54,381334.32000000007,42281.28
5,15452.119999999999,10985.800000000001,15774.16,15490.16,15481.88,13985.799999999997,14384.2,50506.48,504216.0,53964.2
6,38031.4,19259.39999999998,38561.8,38226.8,37817.8,38636.4,35223.99999999999,61971.999999999985,567268.5,108897.80000000019
7,40872.44000000001,37609.28,41876.48,41541.48,41606.08,39499.159999999996,39576.92,130495.43999999999,612955.6000000001,137864.08
8,43756.600000000006,41139.02,43266.04,42931.04,42251.479999999996,43463.24,43176.76,146616.12,730567.2799999996,191283.27999999997
9,52161.52000000001,42823.08,52463.6,54467.32,51684.92,52491.32,46669.8,214490.6,1055035.1999999997,227570.12
10,70203.84000000003,52589.2,54336.2,53862.32,76709.95999999996,57161.119999999966,54215.6,224304.82,1867207.8400000003,354927.20000000007
11,94157.80000000008,54215.4,89159.99999999997,88615.4,103794.8,87835.99999999997,59690.19999999999,351648.9999999999,2796183.2,378493.6000000001
12,124472.04,87493.31999999999,123133.04,104128.04,124449.64,106853.6,102179.92,384461.98,2813445.82,435787.5
13,126178.04,103699.2,127320.4,124371.96,134179.43999999997,124760.80000000002,122959.80000000002,438111.16,2862495.96,470730.8
14,149613.68,124443.82,137211.28,132707.95999999996,139448.48,138881.96,126161.35999999999,442113.12,2905267.2600000002,489832.26
15,152341.84,136596.56000000003,141288.6,139768.8,178230.64000000004,140248.0,138920.24,493512.48,2994778.16,496614.2399999999
16,206272.4,139719.3,154523.99999999997,155562.39999999994,206427.0,191524.99999999997,150946.2,502337.3,3662053.7000000007,536777.3
17,215427.4,170489.68000000005,204042.91999999998,207277.88,214756.4,207656.03999999998,167574.76,522512.84,4376457.48,539704.6
18,223064.95999999996,206792.2,209491.36,214775.4,251951.4800000002,214559.44,206634.24000000002,550030.04,4398278.4,549179.0
19,286411.0000000001,211380.6,213918.19999999998,239744.15999999977,280305.39999999997,219970.12,214751.76,555761.16,4442448.04,571972.96
20,360058.04000000015,242118.95999999985,223178.4,281925.24,322778.56,222788.56,252351.00000000006,569508.82,4526288.32,582682.38
21,368670.60000000003,275434.6,264955.19999999995,318525.99999999994,366544.0,277326.2,288871.79999999993,575841.8,4540306.8,592561.0
22,377012.76,342065.34,284055.88,366547.24,372768.16,299971.11999999994,357112.2,592196.78,4660681.5,614964.9599999998
23,378193.92,365512.64,360942.6,373507.4,380950.48000000004,356443.83999999997,366492.0,597931.96,4754289.68,622497.7199999999
24,425076.0000000001,375829.38,375228.3599999999,384542.3599999999,384168.48,380186.3199999999,377255.0,622536.5,4762208.62,629435.52
25,433517.52,382264.16,381065.00000000006,394374.76000000007,434193.24,382868.20000000007,390278.44,635941.32,4790161.84,640779.68
26,434605.0,385764.5,388594.0,436566.0,434708.0,392200.0,406155.0,652745.0,4814629.5,682715.0
27,439640.8,387054.24,391416.75999999983,440008.8,438531.84,393786.48,461731.08,660678.52,4824480.28,712624.36
28,440827.07999999996,431793.5999999999,441874.79999999993,441972.79999999993,436815.60000000003,446291.08,478168.32,670460.98,5011816.68,720189.54
29,453771.32,456478.24000000017,447345.36,474439.8,451694.39999999997,445834.96,488600.24,676482.56,5058563.52,723589.28
30,467968.56,470669.8,480524.04,495988.08,466720.92,478601.84,489880.28,685293.94,5066843.6,728026.26
31,467182.6,484293.80000000005,497909.9999999999,497601.6,466695.4,482607.0,499159.39999999997,688815.2,5274768.6,733648.7999999999
32,468206.44000000006,490144.22000000003,506112.88,511052.76,466072.56,498667.88,516434.0800000001,692654.58,5295898.54,753622.1599999999
33,514678.68,491381.16,508530.48,529896.36,465749.76,499635.24,522103.96,704299.84,5306020.96,770506.32
34,515729.84,515192.48000000004,519247.64,534677.88,475308.32,509812.67999999993,532804.52,727806.4400000001,5340157.64,768544.62
35,518801.68,520935.84,537627.8,541713.88,517687.6,530754.04,536591.48,725996.12,5451483.039999997,764528.36
36,521276.4,518793.1,535101.6,547366.2,523411.2,533118.1999999998,540578.2,759654.7,6208070.6,778147.2
37,531264.8,536645.76,553074.16,547865.96,524912.84,544150.5199999999,542313.96,795361.2799999997,7397978.040000004,789615.72
38,549081.64,540124.18,560196.96,551528.64,554484.44,549354.84,543947.48,1014354.0400000005,8351054.760000001,800687.14
39,554205.12,542836.28,559020.32,554509.92,567086.9600000001,551686.04,551092.36,1200845.7199999997,9129514.96,837351.2
40,556308.84,543565.02,562297.08,560785.84,582713.44,555939.48,554987.92,1232807.1400000001,9705576.38,838480.08
41,568567.6000000001,550998.8,569862.7999999999,565260.8,585323.4,562211.8,559646.0,1235518.8,9739587.6,870455.4000000003
42,571135.96,555528.38,575493.2,567920.92,589395.8,567721.4,561214.96,1243828.52,9758467.6,995624.2
43,588635.08,558091.2,573252.4,583235.6799999999,599915.8,570180.3999999999,577961.64,1247898.8,9805751.32,1026275.12
44,592984.4,560239.46,579751.72,587040.36,602560.6,572193.08,579407.44,1261460.4,9925560.08,1060342.48
45,598195.6,564389.12,594650.32,594497.6,604384.3200000001,588826.64,589905.3999999999,1267185.2799999998,9932009.200000001,1156899.36
46,600298.0,577084.1,596995.7999999999,611026.8,608681.7999999999,590399.4,605755.6,1277251.8000000003,9978544.600000001,1163850.2
47,606652.4,581219.44,606242.2,614076.12,610225.1599999999,599349.52,623127.88,1283608.4000000001,10002272.040000001,1233409.6400000001
48,610763.28,583410.5399999999,621372.92,617529.36,613417.48,616149.76,628973.32,1285488.76,10052570.4,1240087.18
49,615071.88,605320.76,640604.8,628764.16,632472.88,621420.8,634446.8,1287402.64,10049518.04,1240941.5999999999
50,631948.52,609259.3600000001,648183.48,644248.44,636007.04,623479.32,642269.36,1307757.8800000001,10086333.08,1247419.2399999998
