index,268_1_translate.google.de,268_2_translate.google.de,268_3_translate.google.de,268_4_translate.google.de,268_5_translate.google.de,268_6_translate.google.de,268_7_translate.google.de,268_8_translate.google.de,268_9_translate.google.de,268_10_translate.google.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1393.68,1357.34,1521.9,1482.6399999999999,1377.8799999999999,1369.98,1507.2,1106.4600000000003,1347.86,1591.16
3,3944.28,4041.88,1776.199999999999,3601.3599999999988,3987.48,4009.08,2024.6000000000008,5238.679999999999,4062.52,1397.5199999999998
4,5084.24,4575.379999999999,3576.84,4789.840000000001,5319.12,5356.54,3567.12,6028.700000000001,4162.32,3929.16
5,6132.2,4342.16,5242.08,8519.64,6116.079999999998,5183.680000000001,5455.44,7795.04,4359.64,4157.08
6,8298.4,8301.699999999999,4345.099999999999,7970.200000000003,8288.0,8379.5,4506.5999999999985,12185.099999999999,6132.3,5214.7
7,11885.999999999998,7887.3600000000015,6015.32,12657.08,8118.400000000001,7580.920000000001,6271.76,13194.559999999992,8365.64,4291.28
8,12687.68,12630.08,8144.54,14019.960000000003,12600.96,12588.84,8405.72,17043.82,12343.239999999998,8547.98
9,13346.52,12569.04,8217.799999999996,14977.600000000002,14131.64,14117.28,9439.400000000003,23633.32,12168.32,8449.12
10,14892.12,13199.86,11964.699999999997,17106.76,13952.679999999993,13024.44,11809.160000000002,33389.17999999998,13737.08,7642.340000000001
11,17037.199999999997,14976.4,13676.399999999996,23791.600000000002,17113.0,17220.2,14090.6,98526.4,14846.0,12199.2
12,23794.68,17171.66,13602.640000000001,23716.32,16222.119999999999,16700.62,13148.36,101503.98,16862.46,12904.22
13,23722.88,23022.559999999994,15121.800000000001,81421.44,23638.64,23703.16,16743.080000000005,102576.16,18301.599999999995,13959.439999999999
14,35996.59999999999,23205.719999999998,17182.7,100245.28,24119.32,23697.18,16942.48,106413.54000000002,23471.64,13183.44
15,99657.32,35977.23999999999,16778.32,101668.24,52216.71999999998,69041.52000000008,16861.199999999997,143317.56,25455.479999999978,17254.96
16,100648.4,62253.60000000003,23405.79999999998,104920.6,99318.2,95108.4,23626.399999999998,195530.1,59398.999999999956,17146.100000000002
