index,time,src_ip,dst_ip,tcp_seq,tcp_ack,tcp_len,direction,cumul_sum
1,1576407783.367414,192.168.1.6,192.168.1.4,1008297342,1180935503,343,0,-343
2,1576407783.368011,192.168.1.4,192.168.1.6,1180935503,1008297685,99,1,-244
3,1576407783.368226,192.168.1.6,192.168.1.4,1008297685,1180935602,382,0,-626
4,1576407783.379021,192.168.1.4,192.168.1.6,1180935602,1008298067,2266,1,1640
5,1576407783.379853,192.168.1.6,192.168.1.4,1008298067,1180937868,74,0,1566
6,1576407783.379958,192.168.1.6,192.168.1.4,1008298141,1180937868,245,0,1321
7,1576407783.380276,192.168.1.4,192.168.1.6,1180937868,1008298386,79,1,1400
8,1576407783.380646,192.168.1.4,192.168.1.6,1180937947,1008298386,79,1,1479
9,1576407783.512236,192.168.1.4,192.168.1.6,1180938026,1008298386,91,1,1570
10,1576407783.512793,192.168.1.6,192.168.1.4,1008298386,1180938117,539,0,1031
11,1576407783.549367,192.168.1.4,192.168.1.6,1180938117,1008298925,1385,1,2416
12,1576407783.592227,192.168.1.4,192.168.1.6,1180939502,1008298925,1705,1,4121
13,1576407783.610525,192.168.1.6,192.168.1.4,1008298925,1180941207,86,0,4035
14,1576407783.610906,192.168.1.6,192.168.1.4,1008299011,1180941207,108,0,3927
15,1576407783.611558,192.168.1.6,192.168.1.4,1008299119,1180941207,321,0,3606
16,1576407783.611706,192.168.1.6,192.168.1.4,1008299440,1180941207,54,0,3552
17,1576407783.636895,192.168.1.4,192.168.1.6,1180941207,1008299494,586,1,4138
18,1576407783.642226,192.168.1.6,192.168.1.4,1008299494,1180941793,53,0,4085
19,1576407783.644785,192.168.1.4,192.168.1.6,1180941793,1008299547,53,1,4138
20,1576407783.688637,192.168.1.4,192.168.1.6,1180941846,1008299547,1360,1,5498
21,1576407783.697368,192.168.1.6,192.168.1.4,1008299547,1180943206,61,0,5437
22,1576407783.940066,192.168.1.6,192.168.1.4,236946382,2248952624,343,0,5094
23,1576407783.941384,192.168.1.4,192.168.1.6,2248952624,236946725,99,1,5193
24,1576407783.941698,192.168.1.6,192.168.1.4,236946725,2248952723,382,0,4811
25,1576407783.942902,192.168.1.6,192.168.1.4,1789013844,2853190525,343,0,4468
26,1576407783.949204,192.168.1.4,192.168.1.6,2853190525,1789014187,99,1,4567
27,1576407783.949567,192.168.1.6,192.168.1.4,1789014187,2853190624,382,0,4185
28,1576407783.964714,192.168.1.4,192.168.1.6,2248952723,236947107,2266,1,6451
29,1576407783.964887,192.168.1.4,192.168.1.6,2853190624,1789014569,2266,1,8717
30,1576407783.965649,192.168.1.6,192.168.1.4,236947107,2248954989,74,0,8643
31,1576407783.965739,192.168.1.6,192.168.1.4,236947181,2248954989,235,0,8408
32,1576407783.966117,192.168.1.4,192.168.1.6,2248954989,236947416,79,1,8487
33,1576407783.966204,192.168.1.4,192.168.1.6,2248955068,236947416,79,1,8566
34,1576407783.966717,192.168.1.6,192.168.1.4,1789014569,2853192890,74,0,8492
35,1576407783.966800,192.168.1.6,192.168.1.4,1789014643,2853192890,235,0,8257
36,1576407783.967572,192.168.1.4,192.168.1.6,2853192890,1789014878,79,1,8336
37,1576407783.967644,192.168.1.4,192.168.1.6,2853192969,1789014878,79,1,8415
38,1576407784.015520,192.168.1.4,192.168.1.6,2248955147,236947416,91,1,8506
39,1576407784.016013,192.168.1.6,192.168.1.4,236947416,2248955238,539,0,7967
40,1576407784.017266,192.168.1.4,192.168.1.6,2853193048,1789014878,91,1,8058
41,1576407784.017589,192.168.1.6,192.168.1.4,1789014878,2853193139,539,0,7519
42,1576407784.073607,192.168.1.4,192.168.1.6,2248955238,236947955,2070,1,9589
43,1576407784.112857,192.168.1.4,192.168.1.6,2853193139,1789015417,2070,1,11659
44,1576407784.116416,192.168.1.4,192.168.1.6,2248957308,236947955,2143,1,13802
45,1576407784.125154,192.168.1.6,192.168.1.4,236947955,2248959451,102,0,13700
46,1576407784.135366,192.168.1.6,192.168.1.4,236948057,2248959451,534,0,13166
47,1576407784.157255,192.168.1.4,192.168.1.6,2248959451,236948591,325,1,13491
48,1576407784.160502,192.168.1.4,192.168.1.6,2853195209,1789015417,2143,1,15634
49,1576407784.163959,192.168.1.6,192.168.1.4,1789015417,2853197352,102,0,15532
50,1576407784.200971,192.168.1.4,192.168.1.6,2248959776,236948591,4414,1,19946
51,1576407784.206966,192.168.1.4,192.168.1.6,2248964190,236948591,4344,1,24290
52,1576407784.207290,192.168.1.4,192.168.1.6,2248968534,236948591,49,1,24339
53,1576407784.293291,192.168.1.4,192.168.1.6,2853197352,1789015519,325,1,24664
54,1576407784.345995,192.168.1.4,192.168.1.6,2853197677,1789015519,325,1,24989
55,1576407784.353269,192.168.1.6,192.168.1.4,236948591,2248968583,387,0,24602
56,1576407784.354315,192.168.1.6,192.168.1.4,1789015519,2853198002,390,0,24212
57,1576407784.357251,192.168.1.6,192.168.1.4,606341373,415682492,343,0,23869
58,1576407784.358064,192.168.1.4,192.168.1.6,415682492,606341716,99,1,23968
59,1576407784.358278,192.168.1.6,192.168.1.4,606341716,415682591,382,0,23586
60,1576407784.360146,192.168.1.6,192.168.1.4,3195382031,1222618381,343,0,23243
61,1576407784.363245,192.168.1.6,192.168.1.4,695619249,798920717,343,0,22900
62,1576407784.363824,192.168.1.4,192.168.1.6,1222618381,3195382374,99,1,22999
63,1576407784.364025,192.168.1.6,192.168.1.4,3195382374,1222618480,382,0,22617
64,1576407784.377822,192.168.1.4,192.168.1.6,798920717,695619592,99,1,22716
