index,time,src_ip,dst_ip,tcp_seq,tcp_ack,tcp_len,direction,cumul_sum
1,1576412667.357227,192.168.1.6,192.168.1.4,1111823078,3559690228,343,0,-343
2,1576412667.357695,192.168.1.4,192.168.1.6,3559690228,1111823421,99,1,-244
3,1576412667.358119,192.168.1.6,192.168.1.4,1111823421,3559690327,382,0,-626
4,1576412667.369603,192.168.1.4,192.168.1.6,3559690327,1111823803,2266,1,1640
5,1576412667.370406,192.168.1.6,192.168.1.4,1111823803,3559692593,74,0,1566
6,1576412667.370511,192.168.1.6,192.168.1.4,1111823877,3559692593,245,0,1321
7,1576412667.370811,192.168.1.4,192.168.1.6,3559692593,1111824122,79,1,1400
8,1576412667.371123,192.168.1.4,192.168.1.6,3559692672,1111824122,79,1,1479
9,1576412667.443691,192.168.1.4,192.168.1.6,3559692751,1111824122,91,1,1570
10,1576412667.445846,192.168.1.6,192.168.1.4,1111824122,3559692842,539,0,1031
11,1576412667.478283,192.168.1.4,192.168.1.6,3559692842,1111824661,1385,1,2416
12,1576412667.521474,192.168.1.4,192.168.1.6,3559694227,1111824661,1705,1,4121
13,1576412667.564941,192.168.1.6,192.168.1.4,1111824661,3559695932,86,0,4035
14,1576412667.567852,192.168.1.6,192.168.1.4,1111824747,3559695932,108,0,3927
15,1576412667.568563,192.168.1.6,192.168.1.4,1111824855,3559695932,321,0,3606
16,1576412667.568744,192.168.1.6,192.168.1.4,1111825176,3559695932,54,0,3552
17,1576412667.592904,192.168.1.4,192.168.1.6,3559695932,1111825230,586,1,4138
18,1576412667.593382,192.168.1.6,192.168.1.4,1111825230,3559696518,53,0,4085
19,1576412667.593542,192.168.1.4,192.168.1.6,3559696518,1111825230,53,1,4138
20,1576412667.611151,192.168.1.4,192.168.1.6,3559696571,1111825283,1003,1,5141
21,1576412667.653730,192.168.1.4,192.168.1.6,3559697574,1111825283,305,1,5446
22,1576412667.654289,192.168.1.6,192.168.1.4,1111825283,3559697879,61,0,5385
23,1576412667.924623,192.168.1.6,192.168.1.4,1514977573,755425501,343,0,5042
24,1576412667.925337,192.168.1.4,192.168.1.6,755425501,1514977916,99,1,5141
25,1576412667.925634,192.168.1.6,192.168.1.4,1514977916,755425600,382,0,4759
26,1576412667.926747,192.168.1.6,192.168.1.4,2521957572,601714079,343,0,4416
27,1576412667.929843,192.168.1.4,192.168.1.6,601714079,2521957915,99,1,4515
28,1576412667.930172,192.168.1.6,192.168.1.4,2521957915,601714178,382,0,4133
29,1576412667.945682,192.168.1.4,192.168.1.6,755425600,1514978298,2266,1,6399
30,1576412667.946505,192.168.1.6,192.168.1.4,1514978298,755427866,74,0,6325
31,1576412667.946640,192.168.1.6,192.168.1.4,1514978372,755427866,233,0,6092
32,1576412667.948494,192.168.1.4,192.168.1.6,601714178,2521958297,2266,1,8358
33,1576412667.948842,192.168.1.4,192.168.1.6,755427866,1514978605,79,1,8437
34,1576412667.949069,192.168.1.4,192.168.1.6,755427945,1514978605,79,1,8516
35,1576412667.950501,192.168.1.6,192.168.1.4,2521958297,601716444,74,0,8442
36,1576412667.950619,192.168.1.6,192.168.1.4,2521958371,601716444,233,0,8209
37,1576412667.950894,192.168.1.4,192.168.1.6,601716444,2521958371,79,1,8288
38,1576412667.950984,192.168.1.4,192.168.1.6,601716523,2521958604,79,1,8367
39,1576412668.588331,192.168.1.4,192.168.1.6,755428024,1514978605,91,1,8458
40,1576412668.588377,192.168.1.4,192.168.1.6,601716602,2521958604,91,1,8549
41,1576412668.589735,192.168.1.6,192.168.1.4,1514978605,755428115,539,0,8010
42,1576412668.590526,192.168.1.6,192.168.1.4,2521958604,601716693,539,0,7471
