index,2_10_www.google.com,2_1_www.google.com,2_2_www.google.com,2_3_www.google.com,2_4_www.google.com,2_5_www.google.com,2_6_www.google.com,2_7_www.google.com,2_8_www.google.com,2_9_www.google.com
1,67.0,67.0,-442.0,-48.0,-442.0,-48.0,-442.0,67.0,67.0,67.0
2,599.6000000000003,2548.7999999999997,2427.88,1667.360000000002,2373.6000000000004,4657.66,2633.02,1545.02,582.28,797.3199999999999
3,5506.400000000001,7244.2,6556.96,7148.88,5996.4,8125.5599999999995,6572.08,4256.1600000000035,1095.12,2742.8
4,7034.599999999997,15995.800000000005,15117.88,15081.32,9101.600000000002,14646.460000000001,14662.24,4429.800000000001,2293.3199999999993,3705.639999999998
5,16299.6,19589.4,17364.08,17098.6,16771.600000000002,23053.24,16818.84,6021.719999999998,5742.32,8253.24
6,35296.0,32901.0,33874.799999999996,34408.399999999994,23457.0,27330.6,34165.3,15340.6,7940.6,16367.6
7,34859.199999999975,77208.4,35931.84,34077.04,41646.600000000006,42678.76,34607.03999999999,16577.92,9670.600000000008,16573.279999999995
8,49485.39999999986,90601.2,78810.87999999999,46064.31999999998,41248.6,49969.38,41983.22,18083.06,16411.360000000004,20063.16
9,88160.4,94120.6,85197.48,93566.64000000001,47698.4,90956.60000000002,89718.88,22829.600000000082,18196.56,36722.92
10,88364.40000000001,93553.59999999999,91308.92,94408.80000000003,97048.2,101749.80000000003,93262.16,33739.18,20535.84,36642.159999999996
11,90208.0,92868.0,88675.4,122213.79999999999,100556.0,148665.4,90762.2,34411.399999999994,34231.4,42910.200000000004
12,133878.8,116090.00000000016,88565.96,140802.08,100175.6,147890.74,95635.51999999999,41141.68,34756.64,85298.28
13,186602.6,150057.60000000006,180686.84,143281.08,97682.20000000001,153266.52,128845.08,50141.36000000004,41182.360000000015,93679.23999999999
14,194329.4,197872.80000000002,190835.44,166666.6800000002,123682.59999999999,209464.8800000003,178539.92,85846.80000000002,59808.43999999992,96636.12
15,200053.8,205133.2,195504.32,290419.12,157063.2,335135.16,188188.36,89880.52000000002,84902.48,96797.48
16,233824.0,236992.0,203736.2,381544.1,163437.0,386519.2,203770.3,93840.2,88154.59999999998,97130.40000000001
17,298666.4,277015.2,219962.72000000015,381071.64,213306.4,395534.76,204723.28,92087.92,91743.12,103940.04
18,336531.2,346291.8,277319.84,388836.78,212214.2,397820.18,236813.08,90270.22,89976.64,128255.40000000001
19,384180.59999999945,390239.8000000005,359648.5200000005,389936.04,259635.4,397695.48000000004,303087.51999999996,91261.2,87795.08,163747.92
20,391083.4,403602.8,390843.95999999996,389622.26,299666.0,405077.46,378288.42,96525.72,104305.52000000002,173069.72
21,398032.0,403725.0,396329.4,395288.8,335635.0,407466.6,397136.2,132972.4,126718.6,186725.60000000038
22,401684.2,408805.80000000005,397092.52,399450.4,385124.19999999995,496230.2000000001,400100.9,137121.42,162700.72,206200.92
23,403195.99999999994,407311.6,400449.44,429254.12,407348.8,615833.4,400335.72000000003,141692.36,168686.88,207481.56
24,423647.4,427899.6,403706.68,436748.0000000002,406577.6,623072.6799999999,403256.58,155779.44000000015,171105.36,290829.48
25,421976.8,425962.2,408485.08,441051.64,414805.2,653971.4,409135.76,196677.84,195438.5200000001,337420.5999999999
26,421536.0,424838.0,481213.0,539293.0,418960.0,701980.0,411993.0,202288.5,196996.0,368100.0
27,514982.19999999984,497419.00000000006,490691.39999999997,650221.64,487030.2,814482.6,485343.84,207446.88,198168.56,397067.76
