index,58_1_www.microsoft.com,58_2_www.microsoft.com,58_3_www.microsoft.com,58_4_www.microsoft.com,58_5_www.microsoft.com,58_6_www.microsoft.com,58_7_www.microsoft.com,58_8_www.microsoft.com,58_9_www.microsoft.com,58_10_www.microsoft.com,59_1_www.microsoft.com,59_2_www.microsoft.com,59_3_www.microsoft.com,59_4_www.microsoft.com,59_5_www.microsoft.com,59_6_www.microsoft.com,59_7_www.microsoft.com,59_8_www.microsoft.com,59_9_www.microsoft.com,59_10_www.microsoft.com,60_1_www.microsoft.com,60_2_www.microsoft.com,60_3_www.microsoft.com,60_4_www.microsoft.com,60_5_www.microsoft.com,60_6_www.microsoft.com,60_7_www.microsoft.com,60_8_www.microsoft.com,60_9_www.microsoft.com,60_10_www.microsoft.com,61_1_www.microsoft.com,61_2_www.microsoft.com,61_3_www.microsoft.com,61_4_www.microsoft.com,61_5_www.microsoft.com,61_6_www.microsoft.com,61_7_www.microsoft.com,61_8_www.microsoft.com,61_9_www.microsoft.com,61_10_www.microsoft.com
1,67.0,67.0,67.0,67.0,-442.0,67.0,67.0,-48.0,67.0,-442.0,-48.0,67.0,67.0,67.0,67.0,67.0,-442.0,67.0,67.0,67.0,67.0,-48.0,67.0,67.0,67.0,67.0,67.0,67.0,-442.0,67.0,67.0,67.0,0.0,67.0,67.0,67.0,0.0,67.0,67.0,0.0
2,394.14,-51.800000000000125,395.96,967.0,1333.64,363.9600000000002,530.9799999999999,366.84000000000003,831.0399999999988,1444.24,1903.5,441.31999999999994,1921.62,1935.8400000000001,1826.82,4680.360000000002,2444.16,1810.3999999999999,2031.92,1790.82,1174.68,2089.64,1489.8799999999994,1529.0200000000002,1856.8400000000001,1488.92,1524.56,4785.22,1495.9600000000012,1769.12,160.55999999999995,656.9000000000001,24.60000000000028,286.88000000000005,793.48,1518.1599999999999,678.74,554.4199999999998,558.6800000000001,193.48000000000022
3,2006.4,1274.3999999999996,1996.6000000000001,3261.0,541.6800000000001,1746.9200000000005,2019.2399999999998,1818.92,2681.0799999999977,2484.12,4970.0,5976.24,4834.24,4862.68,4928.56,14753.72,6516.72,5025.04,4523.44,4813.56,4449.72,2721.12,7497.719999999999,4731.88,4731.719999999999,4768.56,4834.08,17773.079999999998,6950.04,4621.28,1358.8400000000004,2287.2,1983.3999999999999,1194.7600000000002,1398.7200000000003,4868.08,2187.9599999999996,1764.1599999999996,2397.64,2433.5199999999977
4,1100.3399999999997,3134.200000000006,1079.7600000000002,5492.0,2294.92,3406.3599999999997,5308.84,2318.5199999999977,5119.400000000001,4340.72,13594.0,10253.02,12581.980000000001,14013.840000000002,8791.86,32247.0,16767.96000000001,7523.08,7071.040000000001,10280.32,14679.44,7199.140000000001,8863.96,8081.380000000001,7975.6799999999985,8046.6399999999985,8498.400000000001,40950.340000000004,18678.039999999997,12726.039999999999,5036.32,8577.3,2461.6,4899.08,5957.200000000004,4582.3200000000015,5359.18,5161.68,3925.84,6719.439999999999
5,2729.64,4109.599999999999,2735.96,9257.0,4503.24,4931.3200000000015,4688.88,5142.84,9037.16,5792.96,30494.0,24160.640000000003,33412.16,20560.76,20201.72,39257.84,29179.24,18903.0,19211.039999999997,48127.0,24000.159999999996,15445.08,12903.52,21258.920000000002,21320.640000000003,19965.72,21915.679999999997,56266.52,24529.92,16822.52,7372.92,9564.8,6222.6,7210.76,10635.880000000001,7400.279999999995,7766.159999999999,9257.92000000001,5189.12,9462.119999999997
6,4664.899999999999,12406.0,4630.600000000001,19863.0,6634.2,8787.8,6112.900000000001,6328.8,19774.800000000003,8761.999999999995,34246.5,30553.3,41650.4,50603.6,41517.4,161872.20000000013,32354.7,16582.8,35811.99999999999,45938.299999999996,39799.8,27412.7,17289.00000000001,30956.8,27729.2,25992.0,23732.6,160072.00000000003,24020.2,23480.8,9123.99999999999,12963.5,9993.0,20398.399999999998,31118.799999999985,13828.199999999999,18193.600000000013,12796.000000000002,7371.6,20529.600000000002
7,6331.96,13344.800000000008,6341.44,29029.0,7031.200000000001,15345.599999999984,10038.919999999991,8493.24,29188.48,13866.12,44241.0,34873.03999999999,50749.240000000005,50464.04,46750.52,259379.84,37825.840000000004,20321.480000000003,41024.64,45594.48,42759.44,30713.16,25221.84,31331.120000000003,32971.76,23362.44,27461.56,260124.63999999998,28408.44,20976.04,19898.2,15899.000000000011,9352.19999999999,29430.719999999976,31454.88,19067.799999999996,28326.080000000024,14918.199999999999,14219.360000000008,32162.84
8,8861.76,18636.000000000007,8846.640000000001,26514.5,13577.24,19955.04,15626.219999999998,10036.88,26912.440000000002,13482.24,73544.0,77830.6,74663.71999999991,57450.96,57109.56,272980.12,122825.16000000002,38980.40000000008,42029.03999999999,49723.200000000004,61175.28,36663.42,27845.199999999983,35839.759999999966,42881.96,29517.24,76990.79999999999,274944.1,91420.52,26814.48,34002.200000000004,25843.399999999987,12986.599999999999,32060.84,41567.48,26912.960000000003,32100.64,26965.58,21386.800000000017,34969.64
9,10143.12,18419.399999999998,10273.72,32291.0,15144.600000000002,33748.79999999999,18238.68,21486.92,34011.48,20944.08,160150.0,179792.52000000002,218865.31999999998,155447.0800000001,95412.24,296267.8,238164.64,153003.40000000005,47153.44,56919.56,68918.47999999997,69188.40000000001,32193.96,169636.27999999997,168511.3600000001,90578.56,199219.36,304535.28,159364.64,127709.0,31600.48,36944.0,15366.400000000001,39596.6,48725.64,25047.760000000002,45519.12,24961.64,33482.08,39254.16
10,10550.199999999999,19022.4,13648.759999999997,49591.5,24363.239999999987,34963.36,29271.98,25052.87999999999,36200.8,19079.96,250958.0,256959.24,257337.2,245138.48,170180.44,324300.76,252761.96,242942.48,121850.32,135152.78,194104.64,174002.2,42351.40000000001,256698.36,257023.04,245725.31999999998,257758.96000000002,314107.34,255734.44,224061.8,35452.08,40976.7,17208.8,48591.56,120238.56,28380.44,52401.16000000001,35497.66,35266.83999999999,68799.31999999998
