,358_1_www.spotify.com,358_2_www.spotify.com,358_3_www.spotify.com,358_4_www.spotify.com,358_5_www.spotify.com,358_6_www.spotify.com,358_7_www.spotify.com,358_8_www.spotify.com,358_9_www.spotify.com,358_10_www.spotify.com,359_1_www.spotify.com,359_2_www.spotify.com,359_3_www.spotify.com,359_4_www.spotify.com,359_5_www.spotify.com,359_6_www.spotify.com,359_7_www.spotify.com,359_8_www.spotify.com,359_9_www.spotify.com,359_10_www.spotify.com,360_1_www.spotify.com,360_2_www.spotify.com,360_3_www.spotify.com,360_4_www.spotify.com,360_5_www.spotify.com,360_6_www.spotify.com,360_7_www.spotify.com,360_8_www.spotify.com,360_9_www.spotify.com,360_10_www.spotify.com,361_1_www.spotify.com,361_2_www.spotify.com,361_3_www.spotify.com,361_4_www.spotify.com,361_5_www.spotify.com,361_6_www.spotify.com,361_7_www.spotify.com,361_8_www.spotify.com,361_9_www.spotify.com,361_10_www.spotify.com
44,1531737.96,1417418.96,1523940.96,1520961.28,1532350.2,1351673.56,1478239.12,1502522.16,1507761.2,1508708.6,1609538.0,1558989.28,1585380.16,1620860.64,1603639.28,1591858.2,1614754.24,1609364.4,1619637.08,1537227.56,1347201.5200000005,1273714.6,1329071.8,1387312.84,1321027.64,1293210.76,1249026.2400000002,1316466.52,1276765.84,1282675.6,1352302.56,1263948.8,1280199.48,1310651.52,1243353.48,1190911.92,1242478.200000001,1207301.28,1322624.76,1220555.2
45,1537790.3999999997,1431664.1,1536571.7,1524338.2,1546526.0,1357136.2,1490340.6,1505734.3,1509555.9,1524818.5,1616721.8,1562367.4,1591977.1,1629328.2,1614751.8,1591926.0,1618982.1,1620672.0,1623634.8,1575161.9,1353391.6,1275495.8,1351111.5,1393360.2,1325640.0,1346209.4,1328681.7,1322927.4,1319183.4,1294956.4,1384810.6,1276639.4,1331179.6,1325268.0,1263157.8,1191760.0,1284642.0,1211642.4,1334854.0000000002,1234146.0
46,1550109.48,1444410.2799999998,1549074.04,1538043.08,1554791.6,1460217.88,1501439.72,1513187.52,1520079.76,1525370.6,1625094.56,1569154.52,1600820.84,1644018.24,1623662.2,1601150.2,1628126.28,1632306.4,1635138.28,1598147.72,1370129.4,1328446.880000001,1358072.2,1406772.08,1334335.72,1348112.72,1335910.0,1336925.36,1319332.4,1322435.96,1396849.0799999998,1296404.16,1371339.6,1343033.44,1286326.6,1223181.16,1304204.6,1218101.28,1342631.56,1256565.8400000015
47,1557821.36,1503641.32,1557763.220000001,1546363.06,1560804.5,1464928.4,1505230.56,1523617.8199999996,1528449.62,1531045.1,1629790.44,1575643.76,1606576.02,1657717.12,1631608.68,1611074.4,1639381.04,1640347.7999999996,1642970.04,1607959.6,1375626.56,1365214.92,1362500.9999999998,1410780.12,1344789.9,1354471.04,1339471.6,1343736.52,1339397.4,1341436.52,1402646.28,1334146.4,1373382.72,1347806.92,1314831.36,1241456.4399999995,1314094.7,1228132.28,1356374.24,1275745.76
48,1565600.0,1522032.84,1568002.48,1556182.4,1574474.0,1479596.44,1511867.96,1537711.36,1534494.64,1539994.0,1641643.12,1581725.96,1612936.7200000002,1663280.64,1636232.72,1628470.4,1645553.52,1647003.2,1649659.44,1618713.3199999996,1386284.64,1369838.56,1375841.4,1421786.52,1353833.08,1360573.04,1351918.2,1352626.12,1344515.6,1346905.28,1409961.04,1381660.64,1378608.1599999995,1355525.12,1346996.08,1306952.96,1320063.2,1252668.5200000005,1363531.84,1321643.72
49,1576583.44,1527903.24,1578707.24,1564198.88,1580037.4,1490201.04,1517538.24,1540413.32,1539142.92,1546437.2,1648145.72,1600788.92,1617671.16,1673755.32,1649190.56,1634155.4,1654174.78,1646826.6,1662891.68,1627704.56,1391844.36,1370558.72,1384764.7,1427857.24,1364307.2,1364228.7,1361065.62,1358658.56,1361288.88,1361674.84,1419255.24,1387400.28,1382864.08,1365338.16,1354560.36,1315072.02,1327871.7,1313785.06,1375891.48,1332388.8800000013
50,762.0,716.0,777.0,760.0,788.0,673.0,720.0,708.0,754.0,747.0,769.0,708.0,748.0,764.0,755.0,731.0,808.0,757.0,801.0,721.0,684.0,657.0,695.0,720.0,660.0,669.0,657.0,665.0,643.0,631.0,715.0,663.0,661.0,677.0,662.0,635.0,673.0,649.0,694.0,632.0
51,1174.0,981.0,1010.0,971.0,1017.0,889.0,936.0,933.0,967.0,988.0,999.0,936.0,979.0,982.0,963.0,959.0,1051.0,1013.0,1015.0,948.0,950.0,891.0,970.0,942.0,863.0,872.0,860.0,857.0,873.0,857.0,973.0,973.0,1045.0,941.0,890.0,868.0,932.0,872.0,932.0,864.0
52,195478.0,179326.0,193760.0,187771.0,192344.0,167161.0,182462.0,172754.0,182158.0,188228.0,189314.0,175893.0,185349.0,189167.0,188087.0,180622.0,198681.0,180086.0,193599.0,176788.0,174046.0,168510.0,179914.0,178287.0,169182.0,169441.0,167447.0,168896.0,165855.0,162078.0,185754.0,169418.0,169639.0,173452.0,168793.0,163793.0,172236.0,164089.0,180865.0,163532.0
53,1780965.0,1709996.0,1772413.0,1752137.0,1772772.0,1665161.0,1703991.0,1713417.0,1721780.0,1741219.0,1841495.0,1782190.0,1806681.0,1871510.0,1842287.0,1821052.0,1857774.0,1827636.0,1856531.0,1809235.0,1569674.0,1551889.0,1574808.0,1606663.0,1541975.0,1534407.0,1538584.0,1535000.0,1535515.0,1530285.0,1616637.0,1561966.0,1563595.0,1544364.0,1524099.0,1480248.0,1502866.0,1484139.0,1564286.0,1506788.0
