,129_1_www.debian.org,129_2_www.debian.org,129_3_www.debian.org,129_4_www.debian.org,129_5_www.debian.org,129_6_www.debian.org,129_7_www.debian.org,129_8_www.debian.org,129_9_www.debian.org,129_10_www.debian.org,130_1_www.debian.org,130_2_www.debian.org,130_3_www.debian.org,130_4_www.debian.org,130_5_www.debian.org,130_6_www.debian.org,130_7_www.debian.org,130_8_www.debian.org,130_9_www.debian.org,130_10_www.debian.org,131_2_www.debian.org,131_3_www.debian.org,131_4_www.debian.org,131_5_www.debian.org,131_6_www.debian.org,131_7_www.debian.org,131_9_www.debian.org,131_10_www.debian.org,132_1_www.debian.org,132_2_www.debian.org,132_3_www.debian.org,132_4_www.debian.org,132_5_www.debian.org,132_6_www.debian.org,132_7_www.debian.org,132_8_www.debian.org,132_9_www.debian.org,132_10_www.debian.org
0,-442.0,-442.0,-442.0,-442.0,-235.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
1,99.11999999999966,-343.0,-289.54,-266.92,-252.3,-450.28,-450.28,-404.44,-328.04000000000013,-350.95999999999987,-503.7600000000001,-297.48,-511.40000000000015,-358.59999999999985,-320.4000000000001,-496.12000000000006,-465.56000000000006,-503.7600000000001,-412.08,-350.95999999999987,-297.48,-396.8,-282.2000000000001,-297.48,-279.64,-312.7600000000001,-289.8400000000001,-249.94,-282.2000000000001,-289.8400000000001,-419.72,-274.56,-389.16,-320.4000000000001,-373.88,-282.2000000000001,-297.48,-465.56000000000006
2,1371.56,-244.0,-444.71999999999986,1631.12,1656.6,1546.4,1546.4,1577.84,1607.44,1598.56,1477.8,1619.28,1468.0,1595.6,1610.4,1487.6,1526.8,1477.8,1574.88,1598.56,1619.28,1580.8,1625.2,1619.28,8.479999999999562,1613.36,1622.24,1368.0799999999995,1625.2,1622.24,1571.92,1628.16,1583.76,1610.4,1589.68,1625.2,1619.28,1526.8
3,1052.5600000000004,-626.0,1594.12,1335.22,1607.1,1448.98,1448.98,1420.54,1373.14,1387.36,1482.64,1354.18,1488.1,1392.1,1368.4,1477.42,1458.46,1482.64,1425.28,1387.36,1354.18,1415.8,1344.7,1354.18,1571.92,1363.66,1349.44,1365.1,1344.7,1349.44,1430.02,1339.96,1411.06,1368.4,1401.58,1344.7,1542.1,1458.46
4,4004.76,1640.0,1333.64,1500.84,2216.4,1362.2000000000005,1252.6,1203.48,1559.0800000000004,1505.3200000000006,2521.400000000001,1529.96,2687.000000000001,1462.2000000000005,1551.8000000000004,2355.800000000001,1474.2000000000005,2028.2000000000005,1160.36,1505.3200000000006,1529.96,1246.6,1515.4,1529.96,1365.24,1544.52,1522.68,1460.04,1515.4,1522.68,1117.24,1508.12,1289.7200000000005,1551.8000000000004,1375.9600000000007,1515.4,1529.96,1693.4000000000005
5,3922.199999999999,1566.0,1455.3,1446.500000000001,2792.0,4060.8,4060.8,4112.4,3203.0000000000014,3097.9999999999977,3991.8,2000.5000000000011,2666.0,3268.5,3101.0,4002.6,4043.6,3991.8,4103.8,3097.9999999999977,2000.5000000000011,4121.0,1723.5,2480.0000000000023,1410.4000000000005,2894.0000000000014,2273.000000000003,1205.3,1723.5,1862.0000000000016,4095.2,1859.0000000000007,3950.499999999997,2416.0,3814.9999999999986,1723.5,2480.0000000000023,4043.6
6,5441.359999999999,1321.0,1440.64,2108.64,3744.2,3593.04,3593.04,3760.08,4000.44,3961.56,3601.360000000001,4048.76,2154.599999999999,3948.6,4013.4,3554.16,3580.08,3598.880000000001,3721.56,3961.56,4088.28,3798.6,4069.4,4048.76,1219.16,4026.36,4059.08,633.4799999999998,4069.4,4059.08,3683.04,4079.72,3837.12,4125.8,3914.16,4069.4,4048.76,3580.08
7,5093.3200000000015,1400.0,2645.600000000002,1645.94,4530.6,4127.66,4127.66,4131.979999999999,3576.84,3554.16,5116.160000000002,3612.42,4908.400000000005,3610.599999999999,3584.4,4117.86,4088.18,4125.28,4133.76,3554.16,3951.16,4020.8,3702.3,3612.42,688.3600000000005,3591.96,3657.36,387.44,3702.3,3657.36,4126.34,3747.24,3938.76,3820.6,3774.68,3702.3,3612.42,4132.940000000001
8,4345.080000000001,1479.0,4093.48,1362.64,4112.200000000002,5369.48,5156.48,5215.04,4097.72,4097.72,5071.56,4162.64,6185.600000000002,4106.2,4137.2,5378.96,5366.96,5271.08,4793.719999999998,4097.72,3644.320000000001,4416.799999999998,4020.8,4162.64,563.1600000000002,4114.68,4114.56,2454.52,4020.8,4114.56,5013.16,3946.88,4190.839999999998,3925.6000000000013,4123.16,4020.8,4131.64,5424.96
9,6162.2,1136.0,3942.12,4092.639999999998,5956.0,5070.14,4857.14,4910.22,5468.84,5176.72,4413.88,5222.460000000001,7227.8,5384.3,5558.2,4871.919999999999,5016.96,4754.839999999998,5008.719999999998,5473.28,4120.78,5265.200000000002,4132.7,5051.180000000001,1949.16,5025.220000000001,4238.960000000003,2220.34,4132.7,4233.680000000002,5034.86,5124.719999999998,5253.940000000001,4149.4,5200.42,4132.7,4474.700000000002,5074.96
