,209_1_www.playstation.com,209_2_www.playstation.com,209_3_www.playstation.com,209_4_www.playstation.com,209_5_www.playstation.com,209_6_www.playstation.com,209_7_www.playstation.com,209_8_www.playstation.com,209_9_www.playstation.com,209_10_www.playstation.com,210_1_www.playstation.com,210_2_www.playstation.com,210_3_www.playstation.com,210_4_www.playstation.com,210_5_www.playstation.com,210_6_www.playstation.com,210_7_www.playstation.com,210_8_www.playstation.com,210_9_www.playstation.com,210_10_www.playstation.com,211_1_www.playstation.com,211_2_www.playstation.com,211_3_www.playstation.com,211_4_www.playstation.com,211_5_www.playstation.com,211_6_www.playstation.com,211_7_www.playstation.com,211_8_www.playstation.com,211_9_www.playstation.com,211_10_www.playstation.com,212_1_www.playstation.com,212_2_www.playstation.com,212_4_www.playstation.com,212_6_www.playstation.com,212_7_www.playstation.com,212_8_www.playstation.com,212_9_www.playstation.com,212_10_www.playstation.com
0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-113.0,-442.0,-48.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
1,7633.2000000000035,7906.2199999999975,8381.1,7940.04,8079.600000000002,19445.0,20126.8,19144.0,7916.76,17479.600000000002,-277.66,-285.58,-350.95999999999987,-366.24,-303.4,-325.18,1628.16,-8.479999999999961,-442.64,-511.40000000000015,43754.2,42281.52,43745.7,44294.66,44493.88,43986.0,43766.0,43880.3,43540.38,44281.5,55899.4,85487.79999999999,56280.99999999999,55872.78,57293.32,90445.4,72336.08,19039.92
2,140669.7200000001,118519.96000000002,48774.39999999995,114870.68000000002,117889.2,253828.0,350522.72,57787.8,49559.04,148192.40000000002,99.11999999999966,-263.4399999999997,1598.56,1592.64,-549.5999999999998,-381.52,1768.4,-404.03999999999985,1556.2,1468.0,232171.92,236918.0,226093.56,234716.56,203035.36000000004,217473.0,237913.2,234978.0,236967.76,228788.0,362097.6,444339.2,486281.79999999993,447549.1999999998,461927.32,392815.20000000007,512756.96,191163.84
3,498376.82,458998.96,385114.19999999984,470505.08,439282.4,476855.5,498246.8000000001,246460.8,121867.88,479985.00000000006,1567.48,1585.24,1439.2,1396.84,1625.2,597.6400000000001,1928.52,1687.32,1444.24,1488.1,585370.96,609861.76,519292.32,588101.12,430386.5200000001,377598.0,612940.6000000002,561329.4,512875.18000000005,501417.5,718911.0,725070.1,725601.3,731347.5,729917.3200000002,718305.4,735536.24,331201.24000000005
4,505423.8000000001,506201.32,504177.6,505039.92,507075.48,512250.8,530437.28,383573.4,251623.12,504918.2,1695.56,1670.28,1505.3200000000006,1419.0800000000006,1419.0,1586.72,3681.2,1731.2,1196.6,2687.000000000001,679903.24,693461.4,679021.92,682439.64,640614.28,666593.0,693293.0,682224.2,684305.52,675923.0,1010890.6,1146462.1999999995,1176693.6,996920.04,1180895.92,1034868.0,1405339.3999999994,601456.92
5,528889.0,522129.7,508145.5,519867.4,515748.6,546493.5,599982.0,575927.0,477324.8000000002,524005.0,1506.3,1503.5,3097.9999999999977,3438.9999999999995,1400.0,1345.5000000000002,4467.2,1253.8000000000004,4069.4,3981.0,794869.8,984894.4000000006,778044.1,793948.1,696274.2,703692.0,977875.0,801990.8000000002,787953.5000000001,805198.0,1680479.0,1787101.0,1977141.0,1779348.9,1716189.0,1945912.0,2129242.6,724868.3999999998
6,593856.1200000001,548676.76,528414.2,544452.16,545938.12,646069.0,716384.72,679550.8,618380.84,551333.0,1052.5600000000004,1311.2799999999995,3961.56,3935.64,1515.4,1406.32,3837.28,4222.24,3599.52,3675.400000000002,1240370.92,1677845.12,1087272.24,1291059.6000000006,843907.6,1070625.0,1689081.200000001,1392649.72,1188514.2400000002,1406460.0,2158712.8,2315171.4,2466059.4,2287354.56,2406424.4000000004,2555748.200000001,2569483.08,776749.92
7,744304.62,687898.7600000005,597724.6,743488.08,654975.7600000001,743401.1,844288.6,798932.2,717622.2,707957.8,3733.3999999999987,2518.300000000001,3554.16,3700.0799999999986,1138.8000000000004,1502.66,5932.480000000001,3875.08,4104.08,4807.200000000002,1908229.2399999998,2328889.2,1644477.6799999997,1845393.3,1311964.96,1789619.0,2526118.000000001,2051429.2399999998,1798514.04,2063008.0,2625579.2,2687023.3,2850397.7,2871416.46,2626943.16,3062902.6,2835774.0,936107.44
8,822258.08,743950.4,702157.6,785446.3200000002,751830.64,868696.2,981105.76,890699.4,829818.08,751009.0,4004.76,4065.96,4097.72,4746.559999999999,2756.9999999999986,1332.84,6575.96,4182.6799999999985,5390.24,5396.2,2806655.12,3090386.8000000007,2352061.8,2384753.96,1788909.3600000003,2361864.0,3105152.0000000005,2713637.2,2638719.0400000005,2645712.0,2871625.8,3358959.2,3674778.6,3602373.7999999993,3395830.84,3639355.6000000006,3663790.44,939540.32
9,932265.72,809171.78,789885.1,856882.2,826916.3999999998,1157854.3,1131708.04,985545.8,1020778.4,801952.4,3625.26,3856.38,5171.28,5521.32,4069.4,1889.6999999999991,8279.44,4437.319999999999,5063.32,4873.0999999999985,3490428.04,3580561.9200000013,2965322.96,2959932.1,2502988.2,2945719.0,3829731.7,3443747.880000001,3300286.1,3425219.0,3685075.6,4173395.199999999,4545517.1,4052028.3999999994,4387171.36,4424199.8,4482852.079999999,1105109.2799999998
