,250_1_www.faz.net,250_2_www.faz.net,250_3_www.faz.net,250_4_www.faz.net,250_5_www.faz.net,250_6_www.faz.net,250_7_www.faz.net,250_8_www.faz.net,250_9_www.faz.net,250_10_www.faz.net,251_1_www.faz.net,251_2_www.faz.net,251_3_www.faz.net,251_5_www.faz.net,251_6_www.faz.net,251_7_www.faz.net,251_8_www.faz.net,251_9_www.faz.net,251_10_www.faz.net,252_2_www.faz.net,252_3_www.faz.net,252_4_www.faz.net,252_5_www.faz.net,252_6_www.faz.net,252_7_www.faz.net,252_8_www.faz.net,252_9_www.faz.net,252_10_www.faz.net,253_1_www.faz.net,253_2_www.faz.net,253_3_www.faz.net,253_4_www.faz.net,253_5_www.faz.net,253_6_www.faz.net,253_7_www.faz.net,253_8_www.faz.net,253_9_www.faz.net,253_10_www.faz.net
11,2067422.2,1873904.84,1854400.2,1792057.28,1789455.48,1794761.04,2108475.36,1853002.12,1826239.94,1937445.12,1454085.74,1438856.04,1471683.7,1465180.34,1465874.6,1461716.4,1461482.3199999996,1354804.0,1459927.3,1320547.16,1178830.3,1186772.5600000005,1078570.92,1058320.28,1121053.4,1041988.8,1061620.02,1069088.4,1102072.0,1253369.62,1385345.76,1372834.56,1388338.4,1269383.4,1256415.3,1392339.5,1308086.3999999994,1384603.08
12,2189962.12,1932718.8,2049093.6,1799096.64,1819349.12,1835230.9599999997,2208966.08,2068505.44,1837855.48,2186698.52,1496403.12,1467500.56,1498887.6,1504493.36,1475852.8,1481597.6,1638828.84,1466914.0,1501310.8,1383524.52,1280196.6,1267883.36,1137843.04,1199755.8,1179336.4,1144460.6000000008,1121896.36,1175390.92,1224273.0,1373763.04,1397066.44,1387864.36,1388344.6,1387967.84,1379800.9600000002,1428177.0,1397136.04,1420875.32
13,2264555.48,2294705.120000001,2222765.2,1828488.2,1995568.3200000003,2132048.48,2275426.6,2221816.76,1932074.12,2262332.8,1524559.6800000004,1503491.26,1528937.1,1521911.98,1514889.7,1504104.4,1719260.3199999996,1490458.0,1503483.6,1386348.76,1344769.6,1385997.36,1207914.48,1234190.1200000006,1222700.08,1248999.0000000002,1212083.34,1272273.3200000005,1320774.0,1386742.22,1389249.88,1392248.36,1403318.8,1398899.32,1385802.92,1420572.5,1400055.32,1424647.24
14,2362632.44,2459797.96,2294696.8,2135276.84,2162889.2,2204997.4,2364173.84,2289850.2,2218883.76,2351429.56,1606441.5599999996,1686313.1600000004,1555116.6,1603624.36,1554514.8,1601238.6,1822595.12,1505199.0,1582355.6,1409760.88,1387192.6,1385180.68,1283399.12,1372355.6,1292591.6,1289929.4,1261344.8,1364597.8,1322969.0,1389820.4400000002,1413397.2,1407276.6,1429374.4,1425077.96,1396297.32,1460346.0,1397811.88,1429170.52
15,2433772.400000001,2557480.0,2361601.0,2182895.2,2220580.6,2258292.6,2395641.6,2380442.2,2261279.6,2443408.2,1617625.4,1853401.3,1609659.0,1634238.5,1659531.0,1616133.5,1863619.2,1603006.0,1599460.0,1447079.3999999997,1409198.0,1404138.8,1394378.8,1396581.4,1349409.0,1321449.0,1388117.0,1400839.8,1336226.0,1408786.4,1467339.1999999997,1475751.2,1516319.0,1439921.8,1402923.8,1468840.0,1428488.3,1494587.2
16,2532824.88,2715219.2,2627597.4,2224851.72,2318011.08,2480534.76,2521384.4,2445246.32,2375357.36,2574081.32,1656710.96,1872651.92,1670923.8,1717420.1999999997,1668498.8,1619141.7999999996,1917838.24,1620430.0,1654502.8,1511421.72,1428665.0,1432769.92,1444414.36,1405740.08,1364913.08,1336588.6,1399875.88,1401104.28,1345182.0,1484040.04,1577957.16,1487569.76,1525943.6,1474400.32,1474282.08,1581578.0,1445000.8,1553481.32
17,2710467.4,2941132.84,2736331.599999998,2299540.2399999993,2370097.96,2613925.08,2707066.08,2610105.680000001,2394480.16,2706131.3600000003,1769684.68,1922124.72,1692625.5,1803754.06,1704078.4,1662255.1999999997,1990056.44,1639183.0,1708297.7,1524750.8,1456197.0,1497797.6,1468301.12,1409520.28,1371433.4,1366911.8,1394819.56,1409445.96,1355532.0,1496673.52,1581867.08,1514878.84,1541177.2,1476692.6,1506072.1,1579665.0,1556873.3,1579659.16
18,2987128.92,2962695.92,2970084.4,2370979.36,2595470.44,2781083.48,2859105.279999998,2696241.76,2459773.28,2908744.28,1808168.88,1998030.84,1908723.2,1807277.64,1759071.8,1730266.2,2010837.76,1713551.0,1795584.0,1532047.84,1576958.4,1523761.64,1507377.28,1407775.16,1394974.2,1412485.8,1418269.36,1425417.16,1414397.0,1500508.92,1599530.6,1525193.04,1566785.2,1585697.64,1511343.16,1603468.0,1585073.36,1586852.24
19,3001111.44,2985285.28,2966779.8000000007,2387864.52,2650097.68,2954676.96,3034336.04,2877936.48,2645020.24,2970001.36,1818522.26,2022982.32,1973980.2,1911693.6,1800862.1,1798556.8,2011071.18,1789985.0,1824169.8,1538773.12,1586264.3,1536413.8,1535531.32,1428571.36,1458131.48,1441549.8,1466551.22,1450918.6,1454419.0,1525842.98,1625728.44,1551657.32,1659206.6,1589734.2,1527363.38,1619126.5,1587190.98,1582864.4
20,3042157.8,3125131.6,3023069.0,2455750.2,2873582.6,2962287.8,3062546.0,2982542.8000000007,2706981.2,3051901.8000000007,1916384.6,2066781.2000000004,1990581.0,2128697.0,1949363.0,1807224.0,2136540.2,1822474.0,1839586.0,1602836.0,1591329.0,1572032.6,1555794.6,1449964.8,1509953.0,1458369.0,1514874.0000000002,1511483.8000000003,1495027.0,1537474.8,1613123.8000000003,1631348.6,1682141.0,1597106.4,1574752.0,1612994.0,1624626.4,1598764.4
21,3083430.68,3677430.0000000014,3065847.2,2587756.08,2982962.96,2971707.8,3428511.9999999986,3062178.8000000017,2804465.14,3085596.36,2080393.82,2071134.48,2044063.1,2243923.42,2159209.7,1917319.3,2209009.38,1881104.0,2056530.1000000003,1650899.5199999998,1613875.8,1574901.24,1547474.16,1503909.96,1551595.08,1502574.8,1538363.8,1626922.24,1566618.0,1606311.26,1670230.28,1710004.68,1684390.2,1601834.08,1611136.28,1671736.5,1612344.1,1612611.04
22,3329260.24,3947924.84,3433796.799999998,2691105.44,3004154.28,3005448.08,3848122.92,3514901.600000001,2927459.6,3333403.0000000014,2199960.96,2139399.44,2113856.2,2318648.04,2181491.8,2130803.6,2215428.04,2171797.0,2245152.0000000005,1711441.16,1615654.0000000002,1614802.8,1559635.48,1513435.88,1568755.64,1564356.2000000004,1598616.4,1637179.92,1597187.0,1675538.88,1690547.72,1710645.16,1719344.8000000003,1608316.04,1691946.6400000008,1688315.0,1669383.64,1664725.08
23,3632674.12,4364122.84,3987800.6,2697964.84,3040787.28,3228051.68,4334514.319999998,3998546.0000000005,3201868.6,3927926.760000001,2314310.08,2161026.06,2198080.7,2374883.46,2250873.1,2220167.8,2234837.72,2241339.0,2339761.9,1712495.16,1665968.7,1671916.08,1587608.32,1569422.24,1631548.48,1621068.6,1638046.7599999998,1658618.12,1679113.0,1700774.12,1734349.42,1725445.96,1766536.0,1644512.2000000004,1707869.24,1710271.0,1681733.94,1675361.28
24,4235246.44,4804965.68,4585917.199999996,2745168.3600000003,3734074.5200000005,3698794.279999996,4848726.24,4604184.48,3602383.24,4340673.48,2595174.52,2220110.76,2210594.2,2388993.48,2336325.8,2342457.8,2249339.68,2353864.0,2537224.8,1754114.56,1723446.6,1715257.08,1591457.56,1627108.5600000003,1662894.24,1662728.6,1648349.76,1679424.08,1728268.0,1706851.4,1745725.96,1794323.68,1788431.0000000012,1647371.52,1720858.4,1746806.0,1697346.08,1701929.56
25,4810642.0,5400274.0,5017226.0,3004709.0,4397535.000000004,4210763.0,5502350.0,5298252.0,4075787.5,4856979.0,2658540.0,2290270.0,2221583.0,2409630.5,2394651.4999999995,2395098.5,2276510.0,2584519.0,2591501.0000000005,1828675.0,1732850.5,1788718.0,1608613.0,1664813.0,1687867.0,1673658.0,1674006.0,1732100.0,1751815.0,1743948.0,1789881.5,1822937.0,1884659.0,1744011.0,1745559.5,1759276.0,1741431.5,1736910.0
26,5537902.920000001,5512108.6000000015,5481303.6,3181057.08,5235841.480000003,4655176.2399999965,5657042.2,5569010.64,4531206.72,5380496.28,2669498.72,2359514.08,2286733.0,2430167.28,2405231.6,2586525.2,2320766.24,2611359.0,2606804.4000000004,1867662.56,1744109.2000000004,1843515.88,1678733.56,1687489.84,1751937.48,1692225.4,1748932.48,1804469.56,1791625.0,1827555.4,1813169.16,1868528.2,1987680.6,1750893.72,1836629.4400000009,1782057.0,1781171.9200000004,1747266.48
27,5662782.92,5695591.88,5697775.6,3537528.6,5456574.64,5103289.92,5755270.78,5586646.84,5028234.919999996,5748546.88,2676032.56,2469956.52,2290743.8000000003,2482555.06,2445600.2,2596644.9,2335859.52,2622593.0,2664464.1,1896539.24,1809959.2,1887731.08,1676092.92,1737497.68,1781942.24,1715250.8,1784788.52,1857261.88,1818677.0,1928318.34,1820558.58,1948308.56,1992666.4,1796067.12,1878844.68,1791937.0,1795812.14,1771542.04
28,5678381.88,5768221.36,5791242.2,4054112.7199999993,5480356.76,5574639.72,5787974.92,5622002.12,5398484.559999998,5766657.52,2777820.76,2643901.4,2300308.6,2506302.04,2483175.8,2608429.2,2465927.44,2630625.0,2674769.4,1909649.6,1814550.4,1914544.12,1745411.64,1831544.36,1852049.1199999996,1755590.3999999997,1835668.28,1877235.04,1839543.0,1933839.88,1834611.28,1999008.56,2034325.2,1853251.9600000004,1888517.24,1831037.0,1835028.08,1820913.04
29,5746696.44,5816978.76,5989462.6000000015,4569090.119999999,5501574.16,5607306.36,5985472.520000001,5639242.64,5487313.12,5790925.560000001,2794444.54,2721891.58,2303399.3,2590162.58,2513689.6,2618486.4,2477352.46,2688415.0,2687786.8000000003,1975982.16,1833654.7,2034128.84,1838288.4,1864823.08,1908552.96,1781148.6,1904858.44,1902586.88,1874485.0,1950187.66,1843449.38,2017768.28,2262353.6,1863396.08,1909881.7,1883517.5,1847067.12,1836833.92
30,5931869.4,5831036.4,6025257.0,5031340.199999998,5626960.8,5649499.4,6001638.6000000015,5668168.8,5543873.0,5820584.2,2875278.2,2732437.6,2315066.0,2750130.8,2558074.0,2679065.0,2487428.6,2696527.0,2720936.0,2046727.6,1864601.0,2056587.4,1903480.2,1931255.8,1933953.4,1785988.0,1998234.4,1941809.6,1902922.0,2023185.6,1878556.2,2114211.8,2271303.0,1868070.6,2038176.6,1953526.0,1888186.4,1860578.2
31,5949578.84,5865475.72,6036236.6,5561153.88,5665978.28,5675826.16,6016214.38,5738955.52,5628082.86,5851354.24,2889023.64,2764607.6,2331235.5,2848772.4,2660298.5999999987,2686501.8,2493762.4000000004,2741156.0,2780945.4,2183813.28,1889195.3,2066883.6,1922165.6,1984337.44,1946028.4,1823384.4,2015327.62,1997928.2,1918207.0,2094351.14,1968225.56,2256484.68,2393238.6,1926670.040000001,2186643.48,1959065.0,1910258.88,1913054.24
32,5988337.32,5880932.72,6060116.8,5668043.36,5725748.840000003,5735982.48,6101417.44,5752325.04,5736243.04,5903975.880000001,2916638.92,2880137.52,2430349.2,2944643.24,2796957.2,2708048.2,2530397.72,2775348.0,2818000.8,2294698.4,1960671.8,2099913.84,1984830.72,2013492.0800000003,1997784.36,1897242.8,2024067.64,2019164.0000000002,1991404.0,2264263.68,1969615.68,2264667.96,2419693.8,1993157.9200000016,2215020.08,1958153.0,1932531.64,1951008.04
33,6282206.04,6009296.24,6198570.999999996,5688319.88,5753142.04,5752823.2,6129282.18,5799049.48,5772402.12,6061168.12,2929554.52,2894306.68,2543321.1,2941695.94,2940708.1,2746584.4,2616417.2,2801981.0,2900389.2,2430038.44,1977723.3,2117837.76,2083261.72,2046660.72,2111496.12,1945936.6,2065910.66,2081797.52,2030518.0,2272452.42,1987393.78,2318586.16,2446733.6,2073492.2,2333180.380000001,1975821.0,1954818.56,1969415.84
34,6367582.76,6148266.2,6503305.4,5797724.2,5864491.24,5770668.24,6154025.04,5935308.2,5815002.2,6079465.0,2957231.24,2901233.68,2639081.1999999997,2962698.08,2940523.6,2793940.4,2827421.640000002,2933623.0,2919041.6,2434739.52,2002474.2,2116819.84,2095248.64,2073035.16,2131669.32,1999504.4,2075046.84,2138873.04,2080736.0,2307374.68,1999783.68,2329208.44,2465339.2,2090394.8,2409048.4000000004,1995510.0,1983383.0,1963698.16
35,6462043.2,6162478.3999999985,6523351.0,5818150.0,5876409.0,5809750.999999997,6168338.9,6067218.800000003,5825863.1,6221423.8,3004768.3,3007411.8000000007,2825379.5,2966551.1,2956768.5,2914140.0,2937704.3,2980420.0,2949298.5,2439155.6,2058285.5,2124124.8,2095678.6,2087673.6,2141645.2,2034808.0,2114372.0000000005,2184783.0,2164372.0,2328527.6,2006869.2,2490361.4000000004,2552977.0,2099401.0,2438094.2,2008656.0,1999221.9,1989514.2
36,6543946.84,6186396.48,6535247.6,5953514.92,6013549.279999998,5919807.96,6184517.16,6096464.48,5916510.48,6359000.32,3011590.28,3017965.8800000013,2843292.4,2981479.9600000004,2971126.8000000007,2955540.2,2955738.32,2989024.0,2955152.2,2454211.72,2073699.2,2131860.88,2116463.16,2168643.8000000003,2147264.08,2051088.4,2170863.52,2249493.4,2221063.0,2457378.16,2077068.72,2554752.68,2566576.8,2104266.92,2449335.32,2112993.0,2170439.04,2004892.76
37,6552004.96,6301050.44,6555776.4,5967411.76,6033557.64,5987956.6000000015,6356543.520000001,6115256.4,5991399.64,6589534.48,3028639.58,3055963.84,2854085.9,2990758.12,2981134.4,2970412.2,2967021.86,3003524.0,3009275.1,2465576.36,2102433.6,2175498.12,2141506.48,2183574.76,2165857.8000000003,2112554.2,2213503.3200000003,2312893.28,2252960.0,2488364.38,2082466.74,2573878.36,2574023.2,2114457.76,2479442.58,2182596.0,2295454.32,2016720.04
38,6726161.8,6338004.36,6559012.6,5975555.68,6190511.84,6047251.88,6390330.44,6228491.32,6041768.68,6588411.400000001,3061152.88,3069827.44,2965392.6,3004540.64,2991106.6,2977427.6,2977108.24,3005839.0,3015828.6,2467358.76,2106622.8,2188791.8,2170472.6,2219044.08,2183503.08,2157065.0000000005,2283176.64,2355626.36,2363386.0,2580578.08,2108768.5600000005,2586250.36,2610608.6,2134100.76,2561790.92,2213508.0,2373816.56,2136211.76
39,6744356.64,6377167.08,6575936.3999999985,6036475.48,6243522.48,6072960.64,6414943.14,6236613.28,6042046.54,6641218.04,3068089.88,3077288.62,3099809.2,3017459.64,3006055.6,3035965.7999999993,3106157.02,3144268.0,3038059.7,2489440.8,2203536.6,2258120.88,2179319.0,2224934.04,2188286.96,2198982.2,2328422.86,2369248.52,2378909.0,2593838.1,2141121.86,2590254.92,2619173.4,2134127.36,2572056.72,2255229.5,2388792.78,2135597.96
40,6817484.6,6567099.0,6706058.0,6092208.6,6258146.2,6092940.6,6444484.6,6287098.2,6100390.6,6664173.2,3200970.6,3099920.8,3116774.0,3025042.6,3035883.0,3120343.0,3122329.0000000005,3173758.0,3056392.0,2507597.2,2258877.0,2291137.8,2224024.2,2270353.4,2244747.799999997,2259155.0,2407087.8,2392519.6,2491538.0,2628845.6,2185416.2,2599028.8,2648571.0,2150761.6,2581481.0,2333015.0,2397520.8,2138952.4
41,6934079.159999998,6598998.6,6726232.4,6131233.48,6279486.12,6128820.24,6470460.2,6458366.32,6134713.399999998,6705121.48,3221757.72,3105973.04,3147030.7,3139026.7199999983,3156046.7,3137167.9,3161311.88,3188443.0,3177144.1,2540398.84,2304078.6,2357960.68,2283615.36,2342051.4,2351937.72,2301946.6,2520638.88,2436142.2,2559830.0,2630858.96,2344238.9,2620470.6,2667043.6,2159755.8800000004,2588258.38,2349589.0,2408445.66,2225756.48
42,7457152.719999998,7107980.68,6791099.6,6178756.919999997,6305449.240000001,6251494.92,6606972.28,6813866.360000001,6183016.44,6855816.68,3240466.36,3131041.56,3157959.6,3182602.44,3175744.4,3153729.4,3174920.08,3207568.0,3197376.400000001,2552193.84,2365370.4,2453956.360000001,2311976.5200000005,2359192.96,2412842.4,2365719.0000000005,2526556.84,2460581.12,2625624.0,2635357.36,2549828.5200000014,2651672.24,2696942.4,2233793.8000000003,2623865.2,2573670.0,2422011.56,2309316.4000000004
43,7507213.8,7121223.12,6818340.8,6296568.68,6433498.84,6328557.28,6738126.62,6994840.64,6218251.04,7073663.28,3257212.0,3177824.6,3165168.9,3192654.54,3188629.8,3169355.1,3181541.76,3216939.0,3210775.9,2650581.96,2371030.6,2634333.92,2372135.44,2366499.04,2458506.2,2412837.8,2539041.76,2529917.16,2650082.0,2661780.12,2586245.68,2658730.04,2700148.2,2449062.120000001,2659654.9200000013,2604553.5,2445152.88,2366234.8
44,7559266.12,7174756.84,6887246.4,6300533.680000002,6509490.92,6340888.56,6900725.72,7039507.08,6436278.72,7581872.2,3258660.52,3173555.36,3193600.0,3206774.88,3196080.8,3186329.4,3188274.44,3226242.0,3222621.6,2656647.6,2405605.0000000005,2703940.04,2418811.24,2435305.04,2556358.8,2456856.4,2553863.76,2567508.28,2662944.0,2658168.8,2609867.8000000003,2665881.72,2710004.0,2560836.84,2683966.44,2706292.0,2528063.12,2376518.48
45,7636228.3999999985,7309174.4,7008368.0,6325148.6,6523470.2,6393578.399999998,7284728.8,7110878.200000002,6684726.8,7690786.4,3276927.7,3173479.0000000005,3216491.5,3215916.6,3303594.0,3217128.5,3185052.1,3253902.0,3241937.5,2671512.6,2570356.5,2716419.4,2436332.9999999995,2605651.6,2576742.4000000004,2535843.0,2669307.6,2614516.2,2673226.0,2693419.3,2702214.2,2689547.2,2738776.0,2576858.6,2702013.6,2722637.5,2529707.1,2390108.6
46,7707276.84,7328229.08,7536675.4,6660954.519999994,6730757.6400000015,6860600.76,7514951.48,7198297.92,7078382.719999999,7707417.44,3294579.76,3190987.48,3227570.4,3219772.16,3373969.4,3221269.8000000007,3219556.52,3253399.0,3376548.6,2678903.92,2585712.2,2724674.96,2491923.36,2705849.36,2672958.72,2625618.2,2677243.96,2678875.2,2701481.0,2704864.92,2714327.68,2705919.32,2751722.6,2587985.64,2718633.48,2750041.0,2651384.84,2389726.44
47,7712606.72,7346297.76,7587493.4,6843232.68,7043149.04,7038505.08,7537846.98,7215560.4,7171273.92,7727367.16,3365578.14,3246524.8000000017,3250082.699999999,3262488.5199999963,3375504.2,3258242.2,3245990.14,3410259.0,3381831.3,2712212.12,2691162.6,2741119.76,2646239.2,2719569.64,2696125.24,2633253.2,2695931.14,2733675.72,2737702.0,2713375.4000000004,2728791.079999999,2714458.4000000004,2753838.8,2594716.76,2729893.78,2750701.5,2685351.74,2415005.52
48,7754406.12,7379061.08,7719134.2,6973273.04,7213474.24,7063242.72,7649816.6400000015,7249509.04,7299832.96,7862091.12,3389270.88,3343332.56,3399355.4,3392415.24,3379195.6,3305855.6,3333995.76,3407666.0,3393704.0,2728133.56,2696842.6,2774754.04,2735996.8,2729448.36,2717659.0,2741721.2,2730476.76,2772426.32,2751576.0,2723424.08,2756598.88,2722554.56,2765241.8,2605077.84,2738447.64,2793886.0,2709461.88,2639682.96
49,7765549.56,7404855.96,7743885.6,7043150.64,7227500.64,7103688.24,7689670.02,7275557.2,7317404.56,7880633.96,3400082.42,3336818.6,3402273.7,3400925.54,3398821.1,3398122.0,3400925.68,3421720.0,3416205.9,2729832.76,2710421.700000001,2784588.64,2784351.64,2770088.2400000016,2728515.8400000003,2758967.2,2752889.3,2780695.36,2761893.0,2736479.54,2768215.46,2742196.72,2782311.6,2676851.3200000003,2750108.38,2812739.5,2739456.82,2730621.12
50,1697.0,1510.0,1541.0,1241.0,1424.0,1425.0,1653.0,1489.0,1391.0,1705.0,1452.0,1222.0,1364.0,1381.0,1411.0,1365.0,1325.0,1427.0,1413.0,1073.0,1138.0,1127.0,1074.0,995.0,1039.0,1056.0,1058.0,1072.0,1118.0,1028.0,1229.0,1098.0,1144.0,1084.0,1037.0,1201.0,1101.0,1161.0
51,2671.0,2504.0,2589.0,2185.0,2310.0,2387.0,2680.0,2485.0,2482.0,2947.0,1895.0,1647.0,1801.0,1860.0,1844.0,1800.0,1766.0,2023.0,1882.0,1463.0,1697.0,1637.0,1874.0,1597.0,1767.0,1824.0,1783.0,1774.0,1732.0,1375.0,1534.0,1438.0,1486.0,1442.0,1382.0,1524.0,1448.0,1463.0
52,524339.0,439202.0,457579.0,356690.0,415187.0,397613.0,477251.0,424935.0,413157.0,500552.0,432664.0,383029.0,409549.0,411851.0,414224.0,408014.0,395444.0,427395.0,410132.0,305605.0,309186.0,307449.0,288415.0,266289.0,278312.0,295999.0,290159.0,297723.0,301241.0,285670.0,329414.0,304071.0,326285.0,296828.0,288383.0,327843.0,303752.0,316696.0
53,8308198.0,7851654.0,8232140.0,7421381.0,7688516.0,7503517.0,8196331.0,7707554.0,7767837.0,8432545.0,3837145.0,3726254.0,3813752.0,3810128.0,3831445.0,3804464.0,3795632.0,3855246.0,3846366.0,3044127.0,3067308.0,3126614.0,3092782.0,3045720.0,3036660.0,3065333.0,3063593.0,3087571.0,3087389.0,3036948.0,3096849.0,3046189.0,3109537.0,3040933.0,3058222.0,3155241.0,3048545.0,3095401.0
