,50_1_www.linkedin.com,50_2_www.linkedin.com,50_3_www.linkedin.com,50_4_www.linkedin.com,50_5_www.linkedin.com,50_6_www.linkedin.com,50_7_www.linkedin.com,50_8_www.linkedin.com,50_9_www.linkedin.com,50_10_www.linkedin.com,51_1_www.linkedin.com,51_2_www.linkedin.com,51_3_www.linkedin.com,51_4_www.linkedin.com,51_5_www.linkedin.com,51_6_www.linkedin.com,51_7_www.linkedin.com,51_8_www.linkedin.com,51_9_www.linkedin.com,51_10_www.linkedin.com,52_1_www.linkedin.com,52_2_www.linkedin.com,52_3_www.linkedin.com,52_4_www.linkedin.com,52_5_www.linkedin.com,52_6_www.linkedin.com,52_7_www.linkedin.com,52_8_www.linkedin.com,52_9_www.linkedin.com,53_1_www.linkedin.com,53_2_www.linkedin.com,53_3_www.linkedin.com,53_4_www.linkedin.com,53_5_www.linkedin.com,53_7_www.linkedin.com,53_8_www.linkedin.com,53_9_www.linkedin.com,53_10_www.linkedin.com
0,67.0,67.0,67.0,-442.0,67.0,-48.0,67.0,67.0,0.0,-442.0,67.0,67.0,0.0,67.0,0.0,0.0,67.0,0.0,67.0,-442.0,67.0,-48.0,-48.0,-442.0,67.0,0.0,-442.0,67.0,67.0,67.0,-48.0,67.0,67.0,67.0,67.0,67.0,-48.0,67.0
1,299.16,210.8,547.14,1619.28,207.44,164.14,162.32,233.64,1969.5,-282.2000000000001,7250.420000000001,7413.599999999993,8356.84,12653.32,11476.14,10582.04,10984.8,7399.8,16059.1,11709.0,1411.6399999999978,1904.7,594.9199999999995,4462.86,898.5600000000003,975.9399999999997,2242.6800000000007,915.7999999999997,1750.319999999999,344.04,204.56,370.48,1103.44,1619.0400000000006,306.44,223.28,87.36,-69.43999999999997
2,168.47999999999996,381.4,4616.519999999999,1286.9199999999996,422.92,437.92,321.96,467.28,5009.4000000000015,1625.2,51476.96,57222.84,54513.32,36242.64,58837.92,47374.72,52775.36,29321.4,58805.88,46182.0,6552.32,4855.000000000006,8131.36,6002.48,6937.52,8528.8,5690.239999999998,6962.200000000003,10924.4,1692.96,516.08,770.44,3055.48,1338.12,634.3199999999998,446.56,-136.92000000000002,1620.52
3,1803.12,605.6000000000001,6519.380000000001,593.16,622.3199999999998,293.3800000000001,449.44,648.8399999999998,9176.1,1344.7,63853.44,118354.63999999994,69750.02,76847.96,202619.32,57163.32,139138.04,60372.2,186145.15999999977,68284.0,11569.399999999996,16078.5,27958.18,20415.979999999967,12301.400000000018,25967.599999999984,26765.32,16163.200000000004,13225.24,3200.0799999999977,764.62,1111.44,6190.379999999999,2547.32,852.3199999999998,669.84,1689.88,771.6800000000002
4,1299.2800000000002,776.2,10702.799999999996,2189.48,711.84,1908.64,547.56,2318.16,16153.0,1341.8,216211.4,363680.72,247064.95999999996,315474.36,507506.84,218823.64,444211.16,92330.0,508847.04,248608.0,22640.52,47070.8,50489.28,38237.36,42578.32,43028.32,40661.24,39206.6,45687.08,3051.16,1080.16,1473.88,13738.4,4705.04,1134.64,885.08,1633.2,2470.04
5,4765.799999999994,561.0,28939.7,4434.4,903.2,1542.6000000000006,101.80000000000014,2100.4,28767.0,1044.0,445559.7,504586.2,511551.6,538780.6,531732.2000000001,498208.2,506891.4,303244.0,520132.7,466336.0,54555.8,54216.0,55174.7,53958.50000000001,52151.6,52046.8,53912.4,55514.0,51524.4,4441.8,1328.7000000000005,1825.6,30362.1,6249.7,112.40000000000023,1089.6,1044.3999999999996,4615.8
6,5022.56,2321.999999999999,31781.559999999994,4173.480000000001,538.4800000000001,3050.24,2111.6,1223.7600000000002,33178.200000000004,569.4000000000002,507354.52,507949.16,510876.68,543611.5599999999,539604.92,521637.88,517615.6,469564.3999999999,529973.88,513432.0,62108.83999999999,58954.200000000026,69715.64,59366.4,58479.24,55418.60000000001,58585.52,58833.00000000002,60872.32,6180.3600000000015,1601.36,2869.8799999999987,34925.44,9702.8,1737.2000000000005,1294.12,2966.24,6271.64
7,4827.52,2146.7999999999993,38628.099999999984,6899.32,2383.0999999999995,5161.62,2025.56,5428.28,47554.19999999998,1813.2000000000025,515559.02,517929.64,524142.4799999999,559798.32,640757.3600000001,530730.48,526518.76,514103.2,657400.36,520960.0,62829.08,67811.7,136591.6,88269.58,64219.60000000003,84682.39999999997,67004.56,65907.09999999999,80192.79999999997,9167.319999999998,3207.0799999999995,3186.04,42762.08,13095.880000000012,1367.5199999999995,1498.6400000000006,2401.9600000000005,5883.600000000011
8,7329.3200000000015,1452.1999999999994,57748.08,6572.6399999999985,2234.36,4914.24,1748.88,5270.32,69326.99999999999,2227.8,523943.44,553151.7599999999,664872.16,575543.56,864317.5200000004,549789.52,748017.96,521445.2,841625.88,530629.0,80900.32,85583.00000000001,267320.12000000017,185796.76,184198.16,211441.87999999983,158938.16000000027,120318.80000000019,133287.43999999994,11494.6,2797.4800000000005,6696.24,76463.63999999993,14201.2,5652.88,1719.24,3993.8799999999987,8262.92
9,7557.519999999998,2844.800000000001,63489.80000000001,7264.400000000007,1587.7800000000002,6600.36,1152.32,5171.76,84774.8,2330.100000000001,662586.92,676326.76,842201.7000000002,769899.6,1133572.48,645561.6400000001,1000543.68,525776.4,1067912.84,681394.0,95100.47999999997,236224.0,402832.76000000007,314588.2,319535.36,315059.54,314187.68,259075.4,284901.88,14615.72,2879.360000000002,6287.08,92791.66,15472.4,5564.24,1942.52,4456.56,9997.44
10,9787.999999999987,5251.0,90148.4,13314.800000000007,941.1999999999997,6638.4,3053.2000000000007,7815.4,86675.0,4530.0,789165.7999999992,906256.0,1184226.4,1019139.0,1501879.4000000006,876194.0,1249654.1999999995,553204.0,1213319.8000000005,890748.0,227971.99999999997,319095.0,586205.0,337216.60000000003,326181.6,456233.8,379719.2000000003,326200.0,356990.19999999984,15225.2,6166.6,9116.8,94674.6,32405.8,5865.4,1782.2000000000064,4331.5999999999985,11997.000000000013
11,12218.12,5287.199999999999,90061.89999999998,15494.8,2838.2599999999993,9630.799999999996,2811.88,6995.760000000001,93680.59999999996,4377.9000000000015,992744.3999999996,1072864.6,1510398.8,1389194.1199999996,1851586.8,1129771.2,1650145.4,699473.4,1688026.76,1175225.0,364381.64,442841.6000000001,593053.02,470615.32,398664.48,578062.98,504675.84,460533.20000000007,574472.56,19196.160000000003,6089.940000000001,10146.36,99676.62,33886.86,6155.76,3348.6800000000007,7155.84,17060.84
12,12001.64,5290.4000000000015,95951.32,15454.4,2991.88,11695.640000000005,5161.24,11718.560000000007,121774.19999999994,4432.199999999999,1366036.88,1434171.76,1835907.8800000004,1707513.24,2214744.6,1465640.4,1981456.0000000002,831183.7999999992,2241587.919999999,1392342.0,538635.36,578467.6,595793.08,575632.24,566599.1200000003,579165.04,575913.64,588181.2,588196.96,19906.32,8639.08,13431.72,101848.88,33076.72,6411.28,2945.52,6660.92,16941.8
13,16062.599999999993,6930.6,130097.88000000002,24758.480000000003,4840.28,11664.340000000002,5002.3600000000015,12336.719999999998,131484.9,6376.4000000000015,1711514.64,1788450.24,2152937.9199999995,1806418.42,2540881.7,1698443.0,2395526.6,1009040.0,2647628.44,1683620.0,580940.8799999999,582154.2,602243.38,586177.28,591450.52,581477.58,582266.64,589452.1,606178.8,28565.400000000063,8137.399999999998,13652.24,106749.28,34805.38,9956.2,2997.759999999999,6558.2800000000025,33071.759999999995
