,38_1_en.wikipedia.org,38_2_en.wikipedia.org,38_3_en.wikipedia.org,38_4_en.wikipedia.org,38_5_en.wikipedia.org,38_6_en.wikipedia.org,38_7_en.wikipedia.org,38_8_en.wikipedia.org,38_9_en.wikipedia.org,38_10_en.wikipedia.org,39_1_en.wikipedia.org,39_2_en.wikipedia.org,39_3_en.wikipedia.org,39_4_en.wikipedia.org,39_6_en.wikipedia.org,39_7_en.wikipedia.org,39_8_en.wikipedia.org,39_9_en.wikipedia.org,39_10_en.wikipedia.org,40_1_en.wikipedia.org,40_2_en.wikipedia.org,40_3_en.wikipedia.org,40_4_en.wikipedia.org,40_5_en.wikipedia.org,40_6_en.wikipedia.org,40_7_en.wikipedia.org,40_8_en.wikipedia.org,40_9_en.wikipedia.org,40_10_en.wikipedia.org,41_1_en.wikipedia.org,41_2_en.wikipedia.org,41_3_en.wikipedia.org,41_4_en.wikipedia.org,41_5_en.wikipedia.org,41_7_en.wikipedia.org,41_8_en.wikipedia.org,41_9_en.wikipedia.org,41_10_en.wikipedia.org
0,67.0,-442.0,-442.0,-48.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,67.0,67.0,-442.0,67.0,67.0,67.0,-115.0,67.0,67.0,67.0,67.0,-442.0,67.0,67.0,-442.0,67.0,67.0,-442.0,-442.0,-442.0,-442.0,-115.0,-442.0,-442.0,-442.0,-442.0
1,-457.52000000000015,1507.2,1341.54,1576.36,1324.16,1463.1,1603.92,1576.36,1404.74,1336.8,-366.24,-173.11999999999995,25.820000000000075,-228.0,-335.68000000000006,66.97999999999996,-77.08000000000001,-35.91999999999999,70.36,-130.98000000000002,-15.339999999999973,107.32,-97.66000000000004,-271.72,-56.5,228.08,-271.72,87.55999999999996,-166.2599999999999,-564.8799999999999,-266.92,1186.7999999999995,-473.2000000000001,74.67999999999998,-389.16,-457.92,597.6400000000001,-626.0
2,1571.88,1051.64,561.48,606.0399999999997,517.92,914.12,868.2799999999997,1207.28,498.9199999999983,549.6,1592.64,1029.8799999999994,-327.6399999999999,1755.0,1604.48,-235.96000000000006,-239.07999999999973,-465.16,188.72,1445.8,-419.32,214.64,32.84000000000049,371.0399999999999,-511.0,1507.4399999999994,371.0399999999999,-190.1200000000001,939.2399999999992,1399.4,1631.12,1447.4,1517.0,-188.64000000000004,1583.76,1536.6,1406.32,1321.0
3,682.4200000000002,2439.72,4388.28,2304.82,2268.48,2356.860000000001,2313.84,1541.2800000000045,4544.22,4493.4000000000015,1396.84,1477.08,1697.28,1515.0,1377.88,1723.92,1514.4,1602.6,-95.42000000000002,1344.06,1646.7,-109.04,1470.3,1526.8,1558.5,1690.04,1526.8,1737.24,1472.34,1300.64,1335.22,715.8000000000004,1463.2,1640.3599999999979,1411.06,1453.72,998.1599999999997,1136.0
4,4694.84,4532.96,4109.96,4302.839999999998,4463.56,4367.480000000001,4310.12,3335.040000000003,4049.799999999997,4521.8,1163.72,1286.64,1518.16,1350.0,1149.7199999999998,1480.24,1511.6799999999996,1575.04,848.9600000000012,372.56,1556.08,-289.0399999999999,1429.36,1390.52,1594.0,849.7600000000001,1390.52,1461.28,1278.72,729.5200000000003,1396.6799999999996,2478.2000000000007,1082.1999999999996,1434.12,1187.48,1143.32,589.5600000000004,510.0
5,4429.7,4415.0000000000055,5880.7,6705.100000000002,3518.9999999999986,6172.800000000001,6478.200000000003,4476.3,9049.8,5175.0,647.2000000000003,644.8,1280.6999999999996,724.0,784.3999999999997,1353.8999999999996,1044.3999999999996,1273.6000000000004,1600.4999999999998,4334.399999999997,1340.1,1840.4,933.6999999999997,1273.2,1159.0,2887.5999999999995,1273.2,1456.8,634.9,2860.2000000000007,1120.3999999999996,2322.0,609.0,1364.2,544.3000000000004,589.2,2219.3,2493.0
6,6348.880000000004,6507.48,8429.52,9174.56,14452.36,6840.839999999997,7062.960000000003,6985.719999999998,11464.44,15985.4,257.5600000000007,2698.639999999998,775.9200000000003,2534.0,440.91999999999945,1029.12,586.4800000000002,688.36,1672.36,4434.68,652.7199999999998,1557.32,448.95999999999975,1112.76,724.0,3746.319999999999,1112.76,1166.64,2426.719999999996,2628.16,1325.7599999999989,4322.2,2448.6,974.5600000000006,861.4799999999984,2466.36,4452.799999999998,4430.0
7,6636.8200000000015,7031.5999999999985,9987.98,13742.560000000007,15731.08,7993.340000000001,8499.76,6084.340000000003,28247.399999999987,15243.2,2361.640000000001,4589.68,410.76000000000056,2453.0,2442.68,2845.680000000001,4692.720000000004,2602.08,1439.02,4191.46,1837.5600000000006,1690.04,4848.84,513.9599999999998,2571.0,4634.76,600.639999999998,680.44,4623.14,4316.079999999998,2843.92,5210.999999999995,2258.8,608.3200000000006,2250.7,2236.6800000000007,4149.459999999999,4514.0
8,6281.960000000003,13910.760000000006,13386.599999999995,29282.60000000001,15880.76,12316.48,12350.800000000005,9482.600000000006,31357.52,16276.2,2303.24,4665.72,2514.880000000001,4406.0,2252.6800000000007,2887.32,4598.92,3473.319999999999,727.8800000000001,7027.28,2385.639999999998,1409.56,4636.84,318.68000000000006,2374.0,6667.48,2851.24,1792.2400000000016,4677.56,4315.88,2583.92,6734.6,4528.8,2542.56,2412.639999999998,4552.48,6033.32,4417.0
9,11328.800000000005,16788.88,18799.84,35463.98,16867.28,16814.54,17201.32,11976.82,32944.78,33941.60000000003,4538.88,4529.24,4587.86,4655.0,4592.16,2656.6799999999994,4635.440000000001,4715.84,1022.1600000000036,7208.54,4673.18,1041.8400000000004,4506.379999999999,3580.680000000001,4682.0,6788.88,2686.28,4820.72,4515.02,4206.160000000002,2285.66,7031.5999999999985,4369.6,2658.52,4406.9000000000015,4341.16,5892.94,6039.0
