,238_1_www.nist.gov,238_2_www.nist.gov,238_3_www.nist.gov,238_4_www.nist.gov,238_5_www.nist.gov,238_6_www.nist.gov,238_7_www.nist.gov,238_8_www.nist.gov,238_9_www.nist.gov,238_10_www.nist.gov,239_2_www.nist.gov,239_3_www.nist.gov,239_4_www.nist.gov,239_5_www.nist.gov,239_6_www.nist.gov,239_7_www.nist.gov,239_8_www.nist.gov,239_9_www.nist.gov,239_10_www.nist.gov,240_1_www.nist.gov,240_2_www.nist.gov,240_3_www.nist.gov,240_4_www.nist.gov,240_5_www.nist.gov,240_6_www.nist.gov,240_7_www.nist.gov,240_8_www.nist.gov,240_9_www.nist.gov,240_10_www.nist.gov,241_1_www.nist.gov,241_2_www.nist.gov,241_3_www.nist.gov,241_4_www.nist.gov,241_5_www.nist.gov,241_6_www.nist.gov,241_7_www.nist.gov,241_9_www.nist.gov,241_10_www.nist.gov
10,31117.39999999998,31633.4,35494.0,31241.2,32143.2,34343.8,31192.599999999995,30629.8,31226.6,32167.0,11687.4,14345.4,14161.0,14091.8,14696.0,29467.2,11094.00000000001,12255.800000000005,10737.0,59163.39999999992,56521.19999999998,38876.599999999984,45339.39999999997,55755.0,39329.6,39349.0,37768.6,37194.2,59119.2,14389.000000000005,27517.0,28108.6,29726.0,26963.0,26694.2,27746.4,27513.19999999999,29147.0
11,34294.16,30785.44,39435.1,32397.56,34082.44,35724.9,32580.12,32247.36,32758.38,34101.0,14226.66,14950.7,26895.6,16123.87999999999,13623.199999999995,28777.76,14073.84,14029.08,13976.1,66805.68000000001,76587.74,55790.20000000002,54382.03999999999,55188.2,55093.24000000001,54627.38,45289.919999999904,38827.84,76478.83999999997,17326.84,26913.14,26476.66,31183.7,27866.799999999992,27975.56,29038.54,29772.84,29700.6
12,35841.6,32387.640000000007,38548.6,34322.16,49316.03999999993,52064.44,34434.04,34028.04,34193.96,38928.0,13783.96,26101.56,25430.2,25901.32,15682.2,28454.039999999994,19891.919999999995,27020.04,26943.8,76245.92,108976.20000000011,56890.72,54627.68,58287.6,56866.76,56168.04,56739.48,57361.99999999999,105562.44,32282.48,28176.12,27951.24,32531.6,30394.6,30235.32,32843.16,33046.88,30140.400000000005
13,40606.12,34017.92,41902.2,36913.44000000003,60349.799999999974,54022.44,35861.96,40948.12,37388.89999999998,53835.0,27003.56,25284.96000000001,27109.6,25650.119999999984,20617.800000000007,34103.56,25962.36,25629.24,25438.7,111771.95999999996,121458.97999999994,57546.87999999999,74164.64,92046.6,57971.88,58376.42,57102.54,59227.68,120442.3,33038.96,30275.88,30103.66,34437.1,29895.200000000004,29135.44,33450.419999999984,35930.92,31590.2
14,49909.19999999999,40443.23999999998,43618.00000000003,51750.96,76278.72,69449.59999999999,51833.92,51175.56,51843.08,53202.0,25688.08,27242.72,29274.8,29227.84,32594.60000000001,33685.72,25020.56,27144.04,27053.8,127942.28,174282.24000000002,103685.08,77231.24,94528.2,94043.72,105626.64,80509.16,59188.88000000003,182323.48000000004,34504.96,29877.36,31850.12,50746.2,31398.8,30846.04,34566.44,34144.92,33058.200000000004
15,54093.60000000001,51951.4,60553.5,52347.6,80326.4,100206.1,52659.0,52637.00000000001,54799.3,70013.0,27412.4,29331.7,29004.0,29131.4,35384.0,48429.79999999999,27045.8,27906.40000000001,29195.0,134330.0000000001,198432.0,105776.6,86246.59999999999,109019.0,92667.2,120366.3,99427.19999999997,105221.4,242409.39999999985,34498.400000000016,28600.200000000004,31438.3,51310.5,33120.0,32539.6,35860.6,36188.2,34948.0
16,70386.03999999996,54399.04,59597.00000000002,67394.92000000003,95582.15999999996,98875.44,53298.96,71790.80000000003,71846.92,99525.0,29571.36,28445.44,27729.4,28111.68,33828.8,51185.12,29107.92,29100.04,28761.8,192102.68,222875.0,121798.56,103160.08,138887.99999999994,109679.8,121831.03999999994,105861.43999999996,103467.76,306306.36,37433.16000000002,30602.559999999994,32705.28,66221.79999999997,34464.8,34663.76,37939.64,38054.08,51492.60000000001
17,97691.96,58945.43999999996,60918.6,91595.8,115532.52,114563.46,73096.72,99579.16,71169.28,99503.0,29169.74,27684.72,29423.4,27330.84,35462.7,51351.68,28693.68,28108.84,27871.2,245553.1599999998,276162.04000000004,123847.4,112820.88,168491.99999999985,130790.91999999988,153576.19999999998,118980.78,118313.24,374157.88,37498.88,32392.18,37335.56,81398.0,39549.599999999984,37559.08,37527.24,37765.83999999998,50241.8
18,117003.04,72782.76,78452.79999999999,100000.64,113799.8,129048.52000000002,100346.88,98831.64,80161.6,114761.0,28474.04,31748.64,31588.6,29366.08,37604.8,51481.19999999999,30942.76,27439.64,29428.6,302188.96000000014,350110.84,166853.68,124286.2,206163.8,162858.39999999994,191176.84,137523.76,123168.8,396176.56,37665.680000000015,34507.72,51267.76,125292.8,50846.8,53676.68,36401.04,38974.28,51603.2
19,114760.44,81528.04000000002,105401.4,98052.04,125092.91999999988,181518.87999999983,98513.24,113983.2,102901.19999999992,133643.0,30218.46,33356.48,33749.0,33643.64,37295.8,86957.76000000001,29985.24,29268.36,31569.8,340230.76,391952.6,195319.8,167911.19999999998,259569.1999999999,192607.72,258441.94,192091.2,168299.28000000006,399138.8000000001,40600.44000000002,40304.12,50545.22,125623.9,49647.2,52859.36,38464.54,40729.72,53668.4
20,124916.79999999994,98979.8,106526.0,114947.8,160493.80000000002,213969.40000000008,114236.60000000006,130088.20000000011,120202.4,171758.0,30145.200000000008,33715.6,37836.0,33523.2,35983.0,118209.40000000008,31690.6,31774.200000000008,33711.0,388749.0,401567.8,213596.0,209674.79999999973,306829.0,224061.2,324412.4,236477.1999999999,211570.19999999995,426624.4,40492.8,49874.99999999999,51406.60000000001,144468.0,67244.0,61158.4,45942.99999999999,42420.6,55709.0
21,134246.76,114102.2,122884.5,121817.1599999999,197583.48,278176.91999999987,120304.76,175329.52,134928.4,227553.0,31784.14,49583.17999999999,47075.8,37386.12,37963.1,123601.82,33582.080000000016,33528.2,34509.500000000015,407299.2,425059.9,275717.12000000005,244943.2799999998,372696.0,258539.8,352141.24,283472.48000000004,280563.56,437916.78,45304.2,50128.86,54416.60000000001,176642.7,77176.99999999997,68257.08,59427.86,51473.03999999994,54892.6
