index,156_3_www.icann.org,156_4_www.icann.org,156_5_www.icann.org,156_6_www.icann.org,156_7_www.icann.org,156_8_www.icann.org,156_9_www.icann.org,156_10_www.icann.org,342_1_www.alternate.de,342_2_www.alternate.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,-309.34,-344.98,-344.98,-344.98,-358.84000000000003,-360.82,-309.34,-346.96,3582.2400000000002,3634.42
3,-503.76000000000005,-247.96,-247.96,-247.96,-275.68,-279.64,-503.76000000000005,-251.92000000000002,6136.5199999999995,6240.84
4,1638.52,-603.0799999999999,-603.0799999999999,-603.0799999999999,-442.64,-419.72,1638.52,-580.16,13961.72,14052.880000000001
5,1477.8,1458.7199999999998,1458.7199999999998,1458.7199999999998,189.75999999999976,8.479999999999563,1477.8,1277.4399999999996,34153.159999999996,36943.44
6,1376.3,1573.4,1573.4,1573.4,1625.2,1632.6000000000001,1376.3,1580.8,52405.8,70385.4
7,1482.64,1350.4,1350.4,1350.4,1556.2,1571.92,1482.64,1626.04,80585.12,97954.68000000001
8,1365.1799999999996,1388.94,1388.94,1388.94,1350.4,1384.7000000000003,1365.1799999999996,1701.8799999999999,127090.47999999997,150480.26
9,2028.2000000000007,1466.36,1466.36,1466.36,1377.8799999999999,1365.24,2028.2000000000007,1557.4,236781.27999999994,209936.52
10,3821.52,1553.6200000000001,1553.6200000000001,1553.6200000000001,1444.24,1430.02,4115.84,1537.24,293087.84,268842.12
11,4108.6,1138.7999999999997,1138.7999999999997,1138.7999999999997,1515.4,1497.2,3991.8,1246.6000000000001,296693.6,296268.2
12,3977.08,2111.2999999999993,2111.2999999999993,2111.2999999999993,1440.6399999999999,1559.2200000000003,3689.46,1806.599999999998,295991.6,296192.46
13,3623.68,3468.5999999999995,3711.7999999999997,3711.7999999999997,1141.8000000000002,1117.24,3601.360000000001,3302.5999999999995,302257.12,299502.04
14,3833.1400000000012,4054.08,4057.36,4057.36,2305.2,1945.1000000000004,4146.74,4079.72,299019.48,302375.34
15,4150.72,4081.08,3957.2400000000002,3957.2400000000002,3711.7999999999997,3234.399999999998,4832.680000000001,3987.48,319980.96,313293.52
16,5529.9,3981.4,3702.3,3702.3,4069.4,4095.2000000000003,5485.9,3798.6000000000004,362067.2,323241.2
17,5324.08,3730.7200000000003,3569.28,3569.28,3987.48,4022.04,5280.08,3586.56,358929.07999999996,321255.72
18,5209.22,3592.36,3959.2200000000003,3938.76,3837.1200000000003,3933.48,5165.22,3739.52,410572.1600000001,357247.5400000001
19,5120.920000000002,3968.88,4135.08,4104.08,3599.52,3683.04,5076.920000000002,4123.16,465221.32,362022.52
20,7080.96,4158.14,4928.200000000002,4117.86,3554.16,3574.6800000000003,7036.96,4097.72,466251.60000000003,385896.4
21,6851.4,4598.800000000001,5552.6,4912.000000000002,4020.8,3786.399999999999,6807.4,4356.599999999999,490319.80000000005,419969.80000000005
22,6894.06,5185.5599999999995,5601.62,5392.62,4104.08,4126.34,6850.06,5221.24,557291.64,430092.82
23,7005.68,5353.84,5383.92,5174.92,4110.44,4087.12,6961.68,5128.840000000001,632204.3200000001,469580.16000000003
24,6611.0199999999995,5141.780000000001,5286.46,5077.46,4458.96,4130.58,6567.0199999999995,4834.92,684389.12,499580.58
