index,129_2_www.debian.org,129_3_www.debian.org,129_4_www.debian.org,129_5_www.debian.org,129_6_www.debian.org,129_7_www.debian.org,129_8_www.debian.org,129_9_www.debian.org,129_10_www.debian.org,130_1_www.debian.org
1,-442.0,-442.0,-442.0,-235.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,-343.0,-289.54,-266.92,-252.3,-450.28,-450.28,-404.43999999999994,-328.0400000000001,-350.9599999999999,-503.76000000000005
3,-244.0,-444.7199999999998,1631.12,1656.6,1546.4,1546.4,1577.84,1607.44,1598.56,1477.8
4,-626.0,1594.12,1335.22,1607.1,1448.98,1448.98,1420.54,1373.14,1387.36,1482.64
5,1640.0,1333.64,1500.84,2216.4,1362.2000000000003,1252.6000000000001,1203.48,1559.0800000000002,1505.3200000000004,2521.4000000000015
6,1566.0,1455.3,1446.500000000001,2792.0,4060.8,4060.8,4112.4,3203.0000000000014,3097.9999999999977,3991.8
7,1321.0,1440.6399999999999,2108.64,3744.2,3593.04,3593.04,3760.08,4000.44,3961.56,3601.360000000001
8,1400.0,2645.600000000002,1645.94,4530.6,4127.66,4127.66,4131.979999999999,3576.84,3554.16,5116.160000000002
9,1479.0,4093.48,1362.6399999999999,4112.200000000001,5369.48,5156.48,5215.04,4097.72,4097.72,5071.56
10,1136.0,3942.12,4092.639999999998,5956.0,5070.14,4857.14,4910.22,5468.84,5176.72,4413.88
11,1235.0,3584.4,4920.0,6733.0,4398.599999999999,4185.599999999999,4226.8,5111.8,4870.600000000001,5931.800000000001
12,853.0,4131.9800000000005,4668.72,6419.7,6206.040000000003,5993.040000000003,5328.919999999995,4664.94,4491.56,6113.92
13,510.0,4523.04,4367.88,8328.6,8421.2,5857.92,5971.6399999999985,4320.5199999999995,4137.4800000000005,8488.16
14,609.0,5164.78,4426.88,8279.1,8455.52,8242.52,8262.34,6385.36,6111.64,8257.36
15,227.0,4912.919999999999,6618.84,8888.400000000001,8192.24,7979.24,8024.200000000001,8412.32,7934.719999999996,8159.719999999998
16,2493.0,4822.799999999999,6443.1,9464.0,8343.099999999999,8130.099999999999,8181.3,8541.8,8259.2,7867.0000000000055
17,4759.0,4259.48,7092.56,10416.199999999999,7604.04,7391.04,7771.5199999999995,8296.08,8002.92,13478.840000000006
18,4685.0,4166.24,7117.820000000001,11202.6,11935.74,11722.74,9617.800000000001,8480.34,8192.16,15719.88
19,4450.0,5484.519999999998,6675.28,10784.2,15762.56,13002.880000000001,13483.88,8052.36,7744.4400000000005,15616.720000000001
20,4529.0,5983.9,6380.860000000001,12575.500000000002,15274.279999999999,15436.199999999995,15018.139999999994,9959.600000000015,9959.399999999985,21859.880000000012
21,4608.0,7622.800000000001,7722.0000000000055,12751.0,20634.199999999986,21362.399999999998,15838.199999999999,14657.200000000012,14795.799999999988,21349.2
22,4534.0,8129.84,10987.72,15276.2,20806.379999999997,20593.379999999997,21230.84,15777.76,15461.24,20832.96
23,4299.0,7874.2,14276.76,14754.6,20342.84,20129.84,20451.76,15491.000000000002,15353.479999999998,20318.28
24,4378.0,7958.18,15593.24,16575.899999999987,19652.58,19439.58,19918.620000000003,21784.719999999998,21347.280000000002,19814.52
25,4457.0,8079.84,15152.0,16336.600000000004,19423.04,19210.04,19491.56,20933.96,20493.04,23536.120000000017
26,4548.0,8219.5,18780.5,15596.0,21171.5,20900.0,19084.0,20594.999999999996,20114.000000000004,24768.0
27,4009.0,7704.4400000000005,20992.6,17409.0,24492.6,22873.6,21090.92,19814.039999999997,19455.72,24641.76
28,4100.0,8387.599999999997,20539.38,19778.600000000002,24391.82,22772.82,20955.86,19457.92,19200.44,26332.36
29,3561.0,11566.200000000006,19961.76,19587.6,23863.92000000001,24969.8,23726.51999999998,19514.56000000001,20765.43999999999,26132.16
30,4946.0,12717.68,19582.26,20635.999999999978,25628.9,24894.14,26422.7,21254.699999999997,21090.919999999976,28420.72
