index,153_3_www.icann.org,153_4_www.icann.org,153_5_www.icann.org,153_6_www.icann.org,153_7_www.icann.org,153_8_www.icann.org,153_9_www.icann.org,153_10_www.icann.org,154_1_www.icann.org,154_2_www.icann.org
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1440.6399999999999,1472.9800000000002,1559.0800000000002,1529.96,1533.6,1462.2000000000003,1225.0399999999997,1472.9800000000002,1445.82,1447.3999999999999
3,4110.44,4391.759999999999,4619.360000000001,4131.64,4158.4,4106.2,4497.520000000001,4104.08,3597.36,3595.2
4,5671.519999999998,5536.639999999998,5040.36,4631.32,6722.400000000001,5763.599999999995,6306.92,5265.639999999998,5175.26,5125.2
5,8270.84,8524.88,8881.84,8534.08,9903.4,8622.199999999999,8132.159999999999,8253.88,6877.120000000001,6127.599999999999
6,10805.000000000004,15041.6,12152.60000000001,11345.00000000001,11500.0,15124.0,14637.000000000005,14770.6,8508.9,8462.0
7,22084.56,22339.440000000002,22900.96,20989.6,15364.599999999988,22506.19999999999,23987.84,21897.279999999995,14957.72,14891.4
8,27391.88,28649.219999999987,26094.600000000006,24130.720000000005,15639.99999999999,42449.999999999985,35773.8,41678.89999999998,14289.000000000002,15838.399999999976
9,60178.200000000004,50152.19999999997,43298.08000000001,50024.36000000005,29580.399999999976,79472.2,60918.32000000002,71416.56,28881.52,28987.2
10,66091.64,80043.14,67934.24,73168.64000000004,31555.6,84433.2,81164.68,88036.08000000005,30846.399999999998,30595.400000000005
11,74286.20000000001,82432.0,74014.60000000006,80547.4,64997.0,102342.0,89164.60000000003,115567.8,36002.399999999994,37490.0
12,97626.4,102487.1,100916.48,91033.60000000002,69524.8,139336.99999999997,143360.4,150668.59999999998,75446.39999999994,68985.8
13,109178.59999999999,138960.19999999998,134461.12,132574.63999999998,81177.8,154556.99999999997,147536.72,177714.27999999997,94888.28,94373.19999999997
14,167688.56000000006,178620.14000000004,169652.40000000002,166910.84,106340.59999999996,177879.79999999996,167892.36000000002,208081.16000000003,113796.60000000005,106747.59999999999
15,211493.28000000003,232157.19999999998,187837.96,204089.68000000005,144253.59999999995,204774.99999999997,182240.88,253122.75999999983,120407.04,119053.39999999998
16,249889.79999999996,290618.5,246818.20000000007,227868.40000000002,173664.0,241351.0,226926.4,285006.0,127740.5,129871.0
17,293072.88,320692.12,287055.8,253587.08000000002,208824.8,310064.79999999993,256655.2400000001,338602.28,157482.52000000002,161419.19999999995
18,293321.92,321287.02,294947.72,301591.4,245558.79999999987,359319.9999999998,304644.87999999995,339120.02,184227.8200000001,191628.99999999997
19,294841.32,322538.96,296128.88,346552.84,296298.0,390744.2,312132.96,340398.24,242215.8,211477.99999999997
20,298702.2,326857.9,296170.5200000001,371515.88000000006,357866.00000000006,388805.4,313964.88,342943.7,274962.32,250950.40000000008
21,301300.8,341840.0,298719.4,388368.2,382953.0,418395.0,345341.8,353281.39999999997,296416.8,280606.0
22,350045.24,373839.68,334834.0000000002,399174.32,381035.4,423407.8,348746.8,372640.6,324410.22000000003,297483.6
23,360100.76,387209.6,378214.8000000002,399957.44,384951.0,431900.3999999996,351125.8,433946.67999999976,365718.27999999985,343469.8
