index,129_2_www.debian.org,129_3_www.debian.org,129_4_www.debian.org,129_5_www.debian.org,129_6_www.debian.org,129_7_www.debian.org,129_8_www.debian.org,129_9_www.debian.org,129_10_www.debian.org,130_1_www.debian.org,130_2_www.debian.org,130_3_www.debian.org,130_4_www.debian.org,130_5_www.debian.org,130_6_www.debian.org,130_7_www.debian.org,130_8_www.debian.org,130_9_www.debian.org,130_10_www.debian.org,131_1_www.debian.org,131_2_www.debian.org,131_3_www.debian.org,131_4_www.debian.org,131_5_www.debian.org,131_6_www.debian.org,131_7_www.debian.org,131_8_www.debian.org,131_9_www.debian.org,131_10_www.debian.org,132_1_www.debian.org,132_2_www.debian.org,132_3_www.debian.org,132_4_www.debian.org,132_5_www.debian.org,132_6_www.debian.org,132_7_www.debian.org,132_8_www.debian.org,132_9_www.debian.org,132_10_www.debian.org,153_2_www.icann.org
1,-442.0,-442.0,-442.0,-235.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,-343.0,-289.54,-266.92,-252.3,-450.28,-450.28,-404.43999999999994,-328.0400000000001,-350.9599999999999,-503.76000000000005,-297.48,-511.4000000000001,-358.5999999999999,-320.4000000000001,-496.12000000000006,-465.56000000000006,-503.76000000000005,-412.08,-350.9599999999999,-259.84,-297.48,-396.79999999999995,-282.20000000000005,-297.48,-279.64,-312.76000000000005,-442.64,-289.84000000000003,-249.94,-282.20000000000005,-289.84000000000003,-419.72,-274.56,-389.15999999999997,-320.4000000000001,-373.87999999999994,-282.20000000000005,-297.48,-465.56000000000006,1889.699999999999
3,-244.0,-444.7199999999998,1631.12,1656.6,1546.4,1546.4,1577.84,1607.44,1598.56,1477.8,1619.28,1468.0,1595.6,1610.3999999999999,1487.6,1526.8,1477.8,1574.88,1598.56,914.8800000000003,1619.28,1580.8,1625.2,1619.28,8.479999999999563,1613.36,1556.2,1622.24,1368.0799999999997,1625.2,1622.24,1571.92,1628.16,1583.76,1610.3999999999999,1589.68,1625.2,1619.28,1526.8,5387.68
4,-626.0,1594.12,1335.22,1607.1,1448.98,1448.98,1420.54,1373.14,1387.36,1482.64,1354.18,1488.1000000000001,1392.1,1368.4,1477.42,1458.46,1482.64,1425.28,1387.36,1438.6,1354.18,1415.8,1344.7,1354.18,1571.92,1363.66,1444.24,1349.44,1365.1,1344.7,1349.44,1430.02,1339.96,1411.06,1368.4,1401.58,1344.7,1542.1,1458.46,6323.94
5,1640.0,1333.64,1500.84,2216.4,1362.2000000000003,1252.6000000000001,1203.48,1559.0800000000002,1505.3200000000004,2521.4000000000015,1529.96,2687.0000000000014,1462.2000000000003,1551.8000000000002,2355.800000000001,1474.2000000000003,2028.2000000000007,1160.3600000000001,1505.3200000000004,1428.44,1529.96,1246.6000000000001,1515.4,1529.96,1365.24,1544.52,1141.8000000000002,1522.68,1460.04,1515.4,1522.68,1117.24,1508.1200000000001,1289.7200000000003,1551.8000000000002,1375.9600000000003,1515.4,1529.96,1693.4000000000005,10619.599999999993
6,1566.0,1455.3,1446.500000000001,2792.0,4060.8,4060.8,4112.4,3203.0000000000014,3097.9999999999977,3991.8,2000.5000000000014,2666.0,3268.5,3101.0,4002.6,4043.6,3991.8,4103.8,3097.9999999999977,1462.1999999999994,2000.5000000000014,4121.0,1723.5,2480.0000000000023,1410.4000000000003,2894.000000000001,4069.4,2273.0000000000027,1205.3,1723.5,1862.0000000000018,4095.2,1859.0000000000007,3950.4999999999973,2416.0,3814.999999999999,1723.5,2480.0000000000023,4043.6,22107.899999999998
7,1321.0,1440.6399999999999,2108.64,3744.2,3593.04,3593.04,3760.08,4000.44,3961.56,3601.360000000001,4048.76,2154.599999999999,3948.6,4013.4,3554.16,3580.08,3598.880000000001,3721.56,3961.56,2484.2000000000016,4088.2799999999997,3798.6000000000004,4069.4,4048.76,1219.16,4026.3599999999997,3599.52,4059.08,633.4799999999998,4069.4,4059.08,3683.04,4079.72,3837.1200000000003,4125.8,3914.1600000000003,4069.4,4048.76,3580.08,39197.599999999984
8,1400.0,2645.600000000002,1645.94,4530.6,4127.66,4127.66,4131.979999999999,3576.84,3554.16,5116.160000000002,3612.42,4908.400000000005,3610.5999999999985,3584.4,4117.86,4088.1800000000003,4125.28,4133.76,3554.16,4045.3199999999997,3951.16,4020.8,3702.2999999999997,3612.42,688.3600000000005,3591.96,4104.08,3657.36,387.43999999999994,3702.2999999999997,3657.36,4126.34,3747.24,3938.76,3820.5999999999995,3774.6799999999994,3702.2999999999997,3612.42,4132.940000000001,60553.840000000004
9,1479.0,4093.48,1362.6399999999999,4112.200000000001,5369.48,5156.48,5215.04,4097.72,4097.72,5071.56,4162.64,6185.600000000003,4106.2,4137.2,5378.96,5366.96,5271.08,4793.719999999999,4097.72,3695.8799999999997,3644.3200000000006,4416.799999999999,4020.8,4162.64,563.1600000000003,4114.68,5412.24,4114.56,2454.52,4020.8,4114.56,5013.16,3946.88,4190.839999999999,3925.600000000001,4123.16,4020.8,4131.64,5424.96,64389.04
10,1136.0,3942.12,4092.639999999998,5956.0,5070.14,4857.14,4910.22,5468.84,5176.72,4413.88,5222.460000000001,7227.8,5384.3,5558.2,4871.919999999999,5016.96,4754.839999999999,5008.719999999999,5473.28,3880.160000000001,4120.78,5265.200000000001,4132.7,5051.180000000001,1949.1599999999996,5025.220000000001,5085.32,4238.960000000003,2220.34,4132.7,4233.680000000002,5034.86,5124.719999999998,5253.9400000000005,4149.4,5200.42,4132.7,4474.700000000002,5074.96,69253.3
