,270_1_www.transfermarkt.de,270_2_www.transfermarkt.de,270_3_www.transfermarkt.de,270_4_www.transfermarkt.de,270_5_www.transfermarkt.de,270_6_www.transfermarkt.de,270_7_www.transfermarkt.de,270_8_www.transfermarkt.de,270_9_www.transfermarkt.de,270_10_www.transfermarkt.de,271_2_www.transfermarkt.de,271_4_www.transfermarkt.de,271_5_www.transfermarkt.de,271_6_www.transfermarkt.de,271_7_www.transfermarkt.de,271_8_www.transfermarkt.de,271_9_www.transfermarkt.de,271_10_www.transfermarkt.de,272_1_www.transfermarkt.de,272_2_www.transfermarkt.de,272_3_www.transfermarkt.de,272_4_www.transfermarkt.de,272_5_www.transfermarkt.de,272_6_www.transfermarkt.de,272_7_www.transfermarkt.de,272_8_www.transfermarkt.de,272_9_www.transfermarkt.de,272_10_www.transfermarkt.de,273_1_www.transfermarkt.de,273_2_www.transfermarkt.de,273_3_www.transfermarkt.de,273_4_www.transfermarkt.de,273_5_www.transfermarkt.de,273_6_www.transfermarkt.de,273_7_www.transfermarkt.de,273_8_www.transfermarkt.de,273_9_www.transfermarkt.de,273_10_www.transfermarkt.de
19,2793712.32,2385642.84,2361522.44,2308533.8,2259806.6,2415660.84,2718238.56,2157048.84,2764651.96,2006976.32,2324388.98,2318393.2,2901131.880000001,2945256.52,2864051.68,3015308.5,3014979.94,3013793.2000000007,2404860.16,2533737.4,2512301.58,2405873.6,2424360.6,2480005.86,2423204.8,2472918.8,2555387.0,2389593.18,2521073.68,2732769.5,2665329.28,2649856.96,2503299.34,2523185.2,2457845.639999999,2599146.36,2533591.24,2171434.0
20,2827644.6,2398732.0,2369672.4,2358174.0,2308243.0,2456410.8,2769558.8,2175532.8,2812765.8,2079107.000000001,2386325.9999999995,2331044.0,3013708.6,2975466.4,2967277.400000001,3052381.0,3032444.0,3166260.8000000007,2424305.2,2562511.0,2537060.4,2512170.0,2448209.6,2494321.6,2440944.6,2483303.2,2565583.2,2422945.8,2555852.0,2760708.0,2695854.2,2752988.8,2506138.8,2571459.8,2503480.0,2677331.4,2556707.6,2176736.0
21,2842709.36,2763159.4400000004,2403669.72,2374106.2,2366163.6,2474897.08,2798607.84,2188945.64,2840278.52,2132843.92,2732726.040000001,2370953.8,3089101.98,2986928.42,2986286.12,3072058.2,3069161.1,3190686.8000000007,2440815.56,2581554.4,2569078.1,2528479.4,2450595.92,2550052.02,2514261.76,2514708.12,2594968.28,2448715.56,2596631.16,2799057.0,2710023.4,2784879.98,2552926.44,2590227.44,2549453.12,2713811.56,2634726.52,2200198.0
22,2859142.28,2785442.84,2419724.96,2398586.2,2625450.199999997,2493490.04,2825833.2,2215550.64,2848983.12,2145876.8,2959014.76,2419074.2,3163093.64,3023858.04,3032992.4,3102705.6,3198733.72,3246424.52,2450760.6,2609653.8000000003,2585899.6,2542530.2,2496514.52,2557037.24,2538607.76,2526750.32,2611744.96,2469323.6,2623293.64,2811942.0,2796336.08,2799976.44,2567176.36,2615720.28,2579058.12,2754103.44,2655932.08,2332850.0
23,2902370.92,2810519.1,2440883.36,2409549.5,2749781.2,2543598.28,2842970.48,2231651.120000001,2884230.4,2158697.96,2998039.380000001,2446946.200000001,3210905.98,3069909.24,3238673.48,3142301.6,3305772.42,3335827.88,2472987.8400000003,2621949.8,2607557.2800000003,2577629.8,2514339.76,2577841.26,2577029.44,2621520.16,2635950.8,2488444.8000000003,2674278.72,2825672.0,2831102.88,2835601.1200000006,2618100.42,2669175.28,2589698.6,2775357.04,2674719.68,2633457.0
24,2917650.76,2842161.48,2468619.28,2417324.4,2784634.4,2552230.64,2864782.84,2248788.84,2907514.12,2196658.36,3113891.88,2467451.2,3230649.84,3260402.32,3265270.16,3349726.6,3336392.96,3377252.96,2500898.32,2633342.4,2621920.8,2616582.6,2537674.16,2597159.8,2605550.92,2647847.92,2717487.88,2512085.16,2686274.28,2858344.0,2860746.88,2856819.76,2648619.76,2695355.8,2610280.4,2798076.4,2731370.56,2674841.0
25,2960843.0,2865840.5,2503104.5,2431518.5,2789280.0,2584262.0,2882839.0,2277574.0,2911809.0,2434038.0,3199136.0,2485648.0,3259086.5,3287301.5,3284058.0,3361877.5,3354475.0,3388391.0,2521998.0,2655434.0,2635855.5,2640719.0,2552317.0,2611085.5,2623823.0,2664084.0,2768086.0,2533809.5,2705264.0,2892287.5,2869050.0,2899205.0,2672154.5,2708710.5,2633289.0,2839470.0,2752456.0,2695842.0
26,3130137.9600000004,2910239.36,2523570.28,2660942.0,2808139.0,2592670.48,2929217.6,2298619.44,2938589.48,2573595.88,3244758.28,2595813.4,3280023.36,3309060.12,3304669.48,3436260.2,3456643.08,3433467.16,2543113.32,2688878.0,2657399.24,2652333.4,2563113.52,2631878.6,2652281.32,2684768.88,2807544.64,2548494.880000001,2727024.04,2911616.0,2912309.16,2911048.88,2693230.36,2730027.32,2718329.6,2903948.44,2776147.96,2722173.0
27,3157250.76,2909925.64,2526653.52,2838515.8,2868765.6,2608384.64,2943822.16,2319165.68,2981789.96,2576302.96,3320601.14,2620418.8000000003,3311535.68,3336586.8200000008,3332182.64,3475458.2,3498665.84,3865682.52,2553854.24,2702036.8000000003,2676139.8,2667910.2,2579758.92,2660145.9,2663307.84,2701633.16,2871291.88,2559166.2800000003,2827822.16,2937377.0,2927328.44,2942765.3,2705493.54,2809889.62,2788256.88,2931967.72,2804362.16,2739904.0
28,3296420.08,2989809.56,2605793.96,2840937.6,2873537.0,2720300.92,2966835.12,2330129.32,3017718.36,2583191.16,3713202.1199999982,2645283.2,3353415.72,3346665.24,3373843.64,3628096.2,3668703.079999999,4322850.920000006,2565914.52,2716985.6,2705835.92,2687189.4,2617467.92,2772646.04,2673794.88,2728085.76,2980527.2,2574278.44,2844276.48,2968338.0,2957247.12,2971085.32,2786520.4800000004,2884173.88,2805925.48,2983629.12,2823607.0800000015,2750605.0
29,3315382.04,2990369.06,2618944.72,2860726.3,2955158.8000000007,2999912.28,2985189.04,2356350.6,3029146.44,2615835.08,4121717.74,2659491.2,3376142.28,3432187.3,3451940.3600000013,4370180.0,4319432.66,4397112.840000002,2584934.28,2764055.2,2726173.52,2703986.2,2695496.88,2788240.46,2691134.24,2769373.88,3002754.48,2600225.36,2883428.84,3014812.5,2976380.8000000007,2997772.76,2836778.58,2981463.44,2824556.4399999995,3013624.08,2916236.96,2769772.0
30,3364669.4,3034367.6,2646041.6,2894744.0,2997943.0,3008676.8,2990593.2,2365181.6,3120822.4,2717749.5999999987,4146764.0,2671727.0,3436800.4000000036,3484527.6,3976123.200000002,4456571.0,4414648.0,4440762.0,2600345.4,2788262.0,2767674.2,2725529.0,2705160.2,2809067.6,2711146.2,2799363.2,3084245.6,2615421.0,2965557.2,3027850.0,3030997.5999999987,3030020.0000000005,2918063.8,2994270.2,2897680.8,3069538.8000000007,2984026.8,2796745.0
31,3450069.68,3061618.22,2668622.18,2915485.4,3115994.2,3034720.68,3100867.84,2408907.04,3173933.92,2807563.28,4178908.66,2718253.8,4190684.78,3773443.6799999964,4286600.6000000015,4514013.9,4481397.86,4494915.32,2617326.8,2829669.2,2781702.92,2738294.6,2724056.12,2861009.52,2735861.0,2809347.36,3105886.9999999986,2620537.1,2971265.6,3104157.0,3050392.76,3074471.96,2934280.16,3040003.68,2901853.52,3135632.16,3006356.84,2846651.0
32,3608241.2,3082608.0,2715615.24,2929779.2,3129113.9999999995,3166355.36,3141493.36,2418250.52,3278798.8800000018,2850167.44,4203959.16,3134469.6,4281177.84,4361918.4,4389871.36,4537575.0,4547529.92,4524876.96,2734493.52,2868442.8,2845020.64,2753134.6,2765813.16,2891563.88,2748277.44,2881639.56,3207540.2,2699636.68,3008505.72,3145773.0,3101169.84,3189196.52,2959224.28,3111507.52,2941157.2399999993,3374932.36,3032756.4,2885650.0
