,22_1_www.dotdash.com,22_2_www.dotdash.com,22_3_www.dotdash.com,22_5_www.dotdash.com,22_6_www.dotdash.com,22_7_www.dotdash.com,22_8_www.dotdash.com,22_9_www.dotdash.com,22_10_www.dotdash.com,23_1_www.dotdash.com,23_2_www.dotdash.com,23_3_www.dotdash.com,23_4_www.dotdash.com,23_5_www.dotdash.com,23_6_www.dotdash.com,23_7_www.dotdash.com,23_8_www.dotdash.com,23_9_www.dotdash.com,23_10_www.dotdash.com,24_1_www.dotdash.com,24_2_www.dotdash.com,24_3_www.dotdash.com,24_4_www.dotdash.com,24_5_www.dotdash.com,24_6_www.dotdash.com,24_7_www.dotdash.com,24_8_www.dotdash.com,24_9_www.dotdash.com,24_10_www.dotdash.com,25_2_www.dotdash.com,25_3_www.dotdash.com,25_4_www.dotdash.com,25_5_www.dotdash.com,25_6_www.dotdash.com,25_7_www.dotdash.com,25_8_www.dotdash.com,25_9_www.dotdash.com,25_10_www.dotdash.com
0,-442.0,0.0,67.0,-442.0,67.0,67.0,67.0,67.0,-442.0,67.0,67.0,-442.0,67.0,67.0,-442.0,67.0,67.0,-442.0,67.0,67.0,-442.0,-442.0,-115.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,67.0,67.0,-442.0,67.0,67.0,67.0
1,1390.52,467.28,638.6999999999998,1458.46,571.16,317.55999999999995,446.08,837.6800000000004,1406.32,2337.38,3050.24,4447.46,2139.94,4705.72,4374.0999999999985,2795.08,2777.14,4361.46,3039.88,221.36,-308.7599999999997,-587.8,22.399999999999935,-541.9599999999998,1588.2,371.0399999999999,-490.0399999999999,53.799999999999606,-127.47999999999956,1330.8,1327.32,1729.84,1664.36,1494.8,1384.7,1718.0,1752.04,1726.88
2,318.68000000000006,865.1199999999999,2388.0000000000005,3580.680000000001,1834.8799999999994,1678.64,892.16,3225.240000000001,589.5600000000004,7685.760000000001,16735.96,12556.52,7442.359999999999,9387.4,12214.2,7629.879999999997,18343.64,17782.96,8123.64,29.720000000000024,1343.12,1370.0,371.40000000000083,1428.8000000000004,1175.6,1390.52,1330.48,1368.4,1355.76,537.44,525.84,1090.2400000000002,1342.08,525.3600000000001,688.3599999999999,968.0,1319.44,1059.68
3,4558.64,2316.6799999999994,3315.300000000001,4391.38,1330.36,1398.8400000000045,2585.54,7509.519999999998,4475.12,28431.199999999993,30286.96,32258.86,25942.82,39785.52,55363.3,25723.320000000003,55866.86,27028.78,41502.86,1916.92,1177.58,1238.9000000000005,1459.4,1362.38,453.6000000000032,1112.76,1153.82,1225.1,1201.34,4481.72,4472.96,2304.58,2542.88,4675.12,2205.38,2342.5,2506.28,2314.06
4,6301.959999999999,3263.16,6580.999999999994,6590.84,5322.44,2944.76,1269.2400000000002,19634.6,5763.68,37337.84,56631.35999999999,57500.28,54904.48,59865.64,63006.599999999984,29704.119999999984,69188.56,34838.359999999986,61671.08,1631.9199999999996,565.44,647.2000000000003,1306.2,811.8400000000003,2322.2000000000007,318.68000000000006,533.76,532.6000000000003,597.1200000000001,4452.36,4494.12,4529.44,4458.96,7129.68,4382.84,4580.0,4434.64,4542.08
5,7607.199999999998,5409.4,9087.5,9166.000000000004,8050.4,4834.4,5428.299999999998,75915.40000000001,8532.6,63071.9,70714.40000000001,66214.1,63150.8,71472.8,70526.5,48928.1,74352.8,66645.3,67306.1,874.8,2441.2,2582.5,2867.0,265.20000000000056,4409.5,4637.2,2470.8,2299.5,2395.0999999999995,6932.6,6782.6,7058.4,6890.400000000002,7406.199999999993,7044.8,5948.5,7202.8,7036.8
6,10078.600000000002,7740.160000000003,20023.8,14917.24,14092.4,7089.919999999997,7968.280000000002,121186.04,9248.920000000006,71624.68,75073.84,73805.28,67687.56,74549.56,75125.40000000001,66376.64,76368.76,74519.44,75126.48,2775.84,2325.36,2488.2000000000007,2668.8,2256.48,7071.8,4556.64,2287.44,4150.799999999994,3063.1200000000013,8081.64,8421.72,8382.56,7227.72,14299.6,7583.559999999998,8621.0,7236.84,8434.48
7,19081.84,8661.159999999998,76166.09999999998,58564.08,55034.43999999996,8985.960000000001,7532.18,221278.96,12251.200000000004,76422.14,75762.88,74488.62,73892.65999999999,81659.88,103990.79999999984,73284.26,307360.4,75189.38,87682.11999999995,4907.92,4607.42,4581.8,3335.400000000005,4561.34,7075.299999999998,4456.28,4429.62,4377.9,4651.66,10021.239999999998,10301.520000000002,9998.459999999994,7788.920000000001,14164.2,7744.98,10071.5,8175.600000000002,11922.219999999996
8,53177.4,20114.4,77511.4,74756.04,73853.28,14099.960000000005,15191.2,341608.5199999998,20686.36,81495.28,222488.08,134512.23999999987,137282.92000000007,193781.68,307932.0,132354.67999999993,372643.72,187105.64,304754.2399999999,4724.480000000001,4475.32,4385.8,4429.4000000000015,4627.96,8191.5999999999985,6600.36,4492.68,4828.999999999997,4130.359999999999,13211.8,13539.4,12175.8,14218.8,15576.32,10069.0,13285.0,14132.32,13925.0
9,74921.56,56378.08,95555.8,89620.95999999995,76428.96,19705.28,26813.64000000001,446799.16,60066.87999999999,188361.87999999983,374210.4,296327.5199999998,368370.98,396161.64,369594.0,137890.02,433152.32,372251.24,425885.54,5045.16,7066.6399999999985,4207.999999999995,4199.799999999998,4541.82,10977.6,6586.84,6330.919999999997,6927.4,7004.72,13147.52,13439.96,13646.66,13991.6,18455.4,13818.76,15562.0,14101.96,14983.46
10,76507.2,75650.6,185949.0,132949.40000000002,79230.8,38288.999999999985,60571.0,521231.2,76196.6,372472.0,463362.4,374399.2,375037.2,435495.4,379540.0,205957.79999999973,468841.8,429598.4,437192.2,4277.999999999997,6552.4,7003.0,7094.0,3660.800000000001,10520.0,7563.599999999998,6702.4,7137.0,6643.400000000002,15353.8,15754.4,15723.6,13702.8,44377.2,15267.399999999998,15318.0,15531.4,15532.8
11,116480.32,94105.27999999993,305667.19999999984,184878.24,99892.27999999998,72791.64,76113.28,637698.56,79965.59999999999,434905.9,473784.96,408736.52,447548.52,475102.2,466609.5,433510.66,477997.76,467266.02,471580.56,10730.679999999997,6410.940000000001,6525.4,6629.2,8456.859999999997,15645.000000000005,8389.44,6255.2599999999975,8461.3,8370.38,18268.6,18554.8,18530.9,15711.96,42680.64,15427.8,17106.5,17411.479999999996,16861.22
12,151080.16,117640.56,393192.2,221249.28,122168.16,75260.52,77972.79999999999,737085.2,120946.04,468168.52,482885.16,470410.84,471658.96,511418.88,476600.99999999994,467923.36,644517.4400000002,475805.64,524855.44,11720.56,6204.96,7095.4,6038.399999999998,10170.6,24334.8,9975.600000000002,6068.24,10846.199999999992,9211.8,31613.4,39240.520000000055,42638.32,18147.44,43997.12,18314.44,20330.0,18199.8,20335.84
