,173_1_us.norton.com,173_2_us.norton.com,173_3_us.norton.com,173_4_us.norton.com,173_5_us.norton.com,173_6_us.norton.com,173_7_us.norton.com,173_8_us.norton.com,173_9_us.norton.com,174_1_us.norton.com,174_2_us.norton.com,174_3_us.norton.com,174_4_us.norton.com,174_5_us.norton.com,174_6_us.norton.com,174_7_us.norton.com,174_8_us.norton.com,174_10_us.norton.com,175_1_us.norton.com,175_2_us.norton.com,175_3_us.norton.com,175_4_us.norton.com,175_5_us.norton.com,175_6_us.norton.com,175_7_us.norton.com,175_8_us.norton.com,175_9_us.norton.com,175_10_us.norton.com,176_1_us.norton.com,176_2_us.norton.com,176_3_us.norton.com,176_4_us.norton.com,176_5_us.norton.com,176_6_us.norton.com,176_7_us.norton.com,176_8_us.norton.com,176_9_us.norton.com,176_10_us.norton.com
0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,67.0,67.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,67.0,-442.0,67.0,-442.0,0.0,67.0,67.0,67.0,-442.0,-442.0,67.0,67.0,-442.0,67.0
1,8140.06,7755.2400000000025,8443.96,19584.8,8346.12,8497.1,8121.660000000002,-876.08,10098.32,17615.55999999999,17331.48,8764.400000000001,8742.06,8354.099999999999,8059.800000000001,8367.400000000001,8476.14,13197.46,8007.599999999998,8532.48,7898.239999999998,8513.199999999999,5981.88,8464.719999999998,8442.32,8306.539999999999,4714.6399999999985,9034.200000000004,-273.6,6621.0,6809.519999999998,6352.600000000002,8510.64,4620.12,4782.8,4769.18,9911.36,6953.32
2,31754.96,32628.16,32240.44,39236.6,19621.84,31014.4,31487.72,1021.5599999999997,24694.68,48865.32,42923.48,42373.4,34704.04,41727.8,29371.19999999992,41910.4,19932.76,27102.72,36061.2,36117.76,34319.759999999995,35947.8,19219.76,33586.96,34296.96,23532.88,19843.32,34595.08,7510.4,29893.0,28706.199999999964,19071.6,37736.76,15220.72,16737.999999999996,19948.48,26611.08,15848.760000000002
3,38104.72,37087.72,37327.88,65627.8,34567.36000000001,39901.800000000025,39236.44,10477.79999999999,37128.36,76116.45999999999,67278.84000000001,53759.2,53162.22,53001.3,52887.6,52519.2,51168.98,54273.78,42865.0,42214.19999999997,44925.08,40808.6,34241.28,44181.96,45090.24,44867.32,37254.08,45271.58,32549.2,62692.0,44264.14,58007.7,57978.92,27277.52,32057.4,45266.96,52436.64000000001,27800.52
4,56981.88000000001,48235.2,49739.00000000001,378240.80000000016,45433.08,61239.6,55144.64,30761.68,48584.08,147618.4,136553.88,79796.8,86644.84,78369.6,76689.2,77578.0,74007.99999999999,70098.56,62729.99999999996,100960.56,66575.64,66935.6,45868.96,68360.44,64705.60000000003,64198.19999999997,43275.19999999998,66610.31999999999,70076.4,77339.0,72108.08,68968.4,88631.27999999998,41612.48,50770.8,66633.96,76188.56,45012.76
5,140842.5999999999,78622.4,137122.8000000002,523508.0,85909.19999999997,162182.5,180651.3,39445.1,70164.2,354063.4,309677.59999999986,275592.0,214415.1,179054.5,237277.0,264357.0,155841.19999999998,174287.59999999992,111207.0,273526.99999999994,174382.60000000006,91313.0,52547.0,192576.2,236384.8000000001,118258.5,70464.40000000001,193875.30000000005,137678.0,137838.0,103462.4,92508.0,139087.99999999994,49446.19999999998,67068.0,86411.9,98561.4,76799.59999999999
6,365141.6,262442.32,355464.6399999999,723503.8,357984.3600000001,376924.6000000001,333334.24,63352.48,185747.04,432247.56,404592.36,425361.4,367997.4,376982.0,417610.8,382988.6,335167.80000000005,378896.04,340000.4,380532.56,361134.52000000014,172406.39999999994,159474.84000000005,376372.0,418640.48,282563.72,123175.88000000002,341204.76,343993.0000000002,265373.0,154528.87999999998,171292.00000000006,325316.55999999994,73708.44,89544.2,121483.19999999994,125923.07999999994,96422.92
7,466637.68000000005,399956.5200000001,593778.08,737950.6000000002,457899.24,439128.7,438665.76,153334.12000000002,413095.96000000037,503265.24,498954.64,483717.6,462468.7200000001,463149.5,482237.0,473549.0,382857.62,459666.9,378446.5999999999,447861.16,412318.0,417254.79999999993,346161.80000000005,474392.8000000001,473940.72000000026,368839.3,225732.28,406259.42,429180.0,390858.0,254459.4,298871.5,445713.48,100216.88,138574.40000000002,276885.3,265866.3199999999,163371.2
8,567496.24,438515.52,645825.36,900357.6000000002,644296.2,525758.6000000001,524543.7999999999,387702.3599999999,457179.8000000001,543671.92,542978.68,517970.3999999999,508009.4,498889.0,507691.4,507325.0,477787.4,504251.56,467425.1999999998,482023.3599999999,489713.96,465674.4,367115.2,505168.36,530599.76,446089.2,362973.1599999999,488336.36,507615.0,466870.0,356964.6,397006.4,495605.84,141377.56,249808.0,458538.5199999998,404422.5999999999,267295.4
9,673801.16,571237.3199999997,668774.36,973523.0,705176.96,670296.2,672372.78,446016.78,678407.4,600402.7,588665.52,530544.8,531224.1,549944.8,567721.0,601521.4,498654.62,529116.2,502926.2,487183.3599999999,519710.04,493922.8,468684.0,548489.12,599880.52,497255.32,393928.28,502860.94,607325.4,509992.0,446453.4800000002,473804.3000000002,516135.9199999999,263622.6,395185.0,483743.1,489391.84,404635.88
