,137_1_www.office.com,137_2_www.office.com,137_3_www.office.com,137_4_www.office.com,137_5_www.office.com,137_6_www.office.com,137_7_www.office.com,137_8_www.office.com,137_9_www.office.com,137_10_www.office.com,138_1_www.office.com,138_2_www.office.com,138_3_www.office.com,138_4_www.office.com,138_5_www.office.com,138_6_www.office.com,138_7_www.office.com,138_8_www.office.com,138_9_www.office.com,138_10_www.office.com,139_1_www.office.com,139_2_www.office.com,139_3_www.office.com,139_4_www.office.com,139_5_www.office.com,139_6_www.office.com,139_7_www.office.com,139_8_www.office.com,139_9_www.office.com,139_10_www.office.com,140_1_www.office.com,140_2_www.office.com,140_3_www.office.com,140_5_www.office.com,140_6_www.office.com,140_7_www.office.com,140_8_www.office.com,140_10_www.office.com
23,67774.32,69604.52,81198.04,112975.6,90938.0,109448.68,70400.92,157059.94,207594.36,72853.95999999999,260689.88,403306.5999999999,428496.00000000006,590554.4400000001,502392.46,536300.2,601344.0,376435.02,330025.88,396693.0,42732.5,42431.60000000001,74427.4,69173.38,47555.99999999999,49661.56000000001,41446.0,40669.72,68872.3,47822.76,154252.48,131962.28,153688.08,151225.46,154756.08,151463.92,147846.1,155400.26
24,70161.16,68889.16,81402.59999999998,116999.6,99707.99999999993,116375.4,70476.36,179189.48000000007,212456.68,90532.76,365960.6,507589.67999999993,501930.8000000001,673820.72,556663.04,598213.44,641831.0,428825.8399999999,359195.44000000006,452978.0,41815.0,48043.12,75624.40000000002,69448.40000000001,47801.52,55539.92,42339.0,42577.64,68508.68,54993.91999999999,155890.84,143490.16,153302.16,152998.48,153884.88,155858.96,151311.2,156392.12
25,105305.0,70159.0,87326.5,117719.5,156607.99999999994,126118.5,69683.0,196978.5,213710.0,93387.0,466468.5,575526.0,587377.0,730472.0,628117.5,650419.0,707785.5,539197.5,409099.0,516507.0,48035.0,48124.0,82639.5,74269.5,64663.0,55714.0,42030.5,42464.0,74397.0,67287.5,155291.5,152536.0,155093.0,154918.0,153854.0,155314.0,152264.0,159847.5
26,103383.64,80718.16,97783.04,127457.2,170212.19999999995,135535.12000000034,69116.64,205331.16,211266.52,99736.4,567360.16,614224.64,692856.5599999999,748110.72,703141.0399999999,761217.7199999997,734513.0,612261.0399999996,477147.2,556165.0,55203.0,66108.23999999999,102277.6,83085.2,67170.48,74664.48,45686.0,41940.8,74555.24,67269.48,158209.19999999998,154122.44,155169.84,160051.44,157066.4,156316.59999999998,157346.2,161916.72
27,130268.60000000006,104315.4,116789.2,129806.1,191708.4,158702.71999999994,72165.60000000003,207149.8,217914.96,107249.60000000006,627091.62,734939.1600000003,744275.7599999999,812605.9999999999,765892.7200000002,794347.9199999998,783975.0,676441.24,521349.72,629987.0,66156.0,67005.92,127460.2,105252.68,68566.74,76280.16,47810.0,47892.88,86112.96000000004,68665.74,164722.22,152854.88,155959.72,157567.34,155380.96,161012.6,157847.0,160764.46000000002
28,133900.16,140016.08000000002,130523.8,158922.99999999994,211254.6,176885.84000000003,72280.31999999999,206155.4,252311.8,117616.2,733831.1999999998,803448.0399999998,792256.4,926021.88,816554.9600000002,860747.52,861278.0,714804.2,635437.68,687519.0,66951.0,68751.64,153187.99999999994,138187.36000000025,68294.64,76054.76,54978.0,48138.76,117937.44,68393.64,185655.6,158184.32,161900.08,167310.03999999998,161147.80000000002,167258.6,164510.6,161393.44
29,184105.84,180128.43999999992,146107.16,213993.1999999999,211536.2,212931.18,82343.32,219494.6,280416.11999999994,119069.24,760068.64,866152.8399999999,900603.86,1015458.76,877661.1,934414.36,976125.0,767377.1,743197.6399999999,762615.0,68937.5,68513.68,175372.0000000001,160327.44000000006,74079.48,81828.36,67158.5,57475.47999999999,153132.84000000005,74178.48,195233.08,162081.83999999994,159277.16,176093.88,176995.28000000003,179508.75999999995,167612.70000000007,165094.4
30,192727.40000000023,206500.0,145296.0,233312.0,237465.0,246602.4,97210.2,244654.6,328316.1999999998,120852.00000000007,797512.8,929322.2,976184.6,1038153.0,952222.2000000002,1017190.8,1046152.0,821593.2,801921.0000000001,825225.0,68608.0,72401.00000000004,207097.0,171542.60000000006,74276.8,82869.99999999999,68970.0,67046.2,185170.0,74344.8,196761.0,175892.59999999998,166490.6,179999.4,195604.6,194786.6,169072.0,171931.99999999994
31,214181.64,207154.44,172994.24000000005,248724.6,276271.8,293538.8399999999,103700.80000000002,256892.60000000003,368312.36,141804.44,881729.5199999998,1015780.9,1024463.76,1056167.36,1032038.74,1033002.52,1060462.5,905168.9,869263.36,861161.0,72404.0,73956.76000000001,235147.60000000012,199423.06000000003,82357.58,105560.87999999992,68769.5,68836.8,219480.12000000017,82731.59999999999,197095.56,182423.04,170171.43999999994,193050.37999999995,200591.44,195283.56,173469.8,195256.6
32,270665.4,208906.28,191805.92,281474.1999999999,289226.2,319394.04000000004,105989.92,295558.2,402275.4,160524.80000000002,959199.72,1037670.16,1053472.72,1065506.72,1053629.04,1053985.24,1078368.0,999296.56,922514.4,928524.0,74022.0,82549.40000000001,236889.0,229904.44000000003,89085.59999999998,139497.83999999973,68482.0,68836.31999999999,235985.8,117087.15999999992,196502.8,190535.12,180854.28,192287.08,202298.84,194872.8,171040.0,201848.83999999997
