,177_1_www.aboutads.info,177_2_www.aboutads.info,177_3_www.aboutads.info,177_4_www.aboutads.info,177_5_www.aboutads.info,177_6_www.aboutads.info,177_7_www.aboutads.info,177_8_www.aboutads.info,177_9_www.aboutads.info,177_10_www.aboutads.info,178_1_www.aboutads.info,178_2_www.aboutads.info,178_3_www.aboutads.info,178_4_www.aboutads.info,178_5_www.aboutads.info,178_6_www.aboutads.info,178_7_www.aboutads.info,178_8_www.aboutads.info,178_9_www.aboutads.info,178_10_www.aboutads.info,179_1_www.aboutads.info,179_2_www.aboutads.info,179_3_www.aboutads.info,179_4_www.aboutads.info,179_5_www.aboutads.info,179_6_www.aboutads.info,179_7_www.aboutads.info,179_8_www.aboutads.info,179_9_www.aboutads.info,179_10_www.aboutads.info,180_1_www.aboutads.info,180_2_www.aboutads.info,180_3_www.aboutads.info,180_4_www.aboutads.info,180_5_www.aboutads.info,180_6_www.aboutads.info,180_7_www.aboutads.info,180_8_www.aboutads.info,180_9_www.aboutads.info,180_10_www.aboutads.info
0,-442.0,-442.0,1210.0,1210.0,1210.0,1210.0,1210.0,-442.0,1210.0,1210.0,1210.0,-442.0,-442.0,1210.0,1210.0,1210.0,1210.0,-442.0,1210.0,1210.0,1210.0,1210.0,1210.0,-442.0,1210.0,1210.0,1210.0,1210.0,1210.0,1210.0,1210.0,1210.0,-442.0,1210.0,-442.0,1210.0,1210.0,1210.0,1210.0,1210.0
1,1450.56,1390.52,2643.78,2730.9,2735.8,2308.84,2635.88,1415.8,2840.28,2721.1,2832.88,1436.34,1325.74,2716.2,2172.879999999999,2696.6,2601.12,1431.6,2789.7000000000007,2832.88,2926.7000000000007,2601.12,2610.6,1395.26,2841.76,2871.4,2809.3,2647.6,2612.18,2809.3,2686.8,2730.9,1341.54,2745.6,1480.82,2804.4,2760.3,2875.8,2667.2000000000007,2775.0
2,3590.88,3952.92,1174.5199999999998,5313.64,5305.24,2569.28,4840.24,3798.6,4930.200000000002,5306.76,4969.799999999998,3631.68,4110.68,5303.32,2429.64,5288.68,2855.9200000000005,3670.2,5354.92,4969.799999999998,4992.4,5005.240000000002,4928.2,3545.12,1997.48,5271.4,5368.68,5245.480000000001,4915.36,5368.68,5280.04,5313.64,4076.28,5323.96,3575.44,5365.24,5334.28,3530.9999999999986,5262.76,5344.6
3,4100.440000000001,5059.36,7225.34,6735.46,6872.12,4852.12,6024.119999999999,5268.2,5725.22,6700.14,5864.240000000002,6713.82,4228.6399999999985,6856.48,3748.04,6629.92,6206.439999999991,4907.8,5968.039999999997,5376.92,5890.199999999999,6375.16,6161.5999999999985,4360.52,3099.0799999999995,6830.2,6488.26,6427.84,6209.680000000001,5658.799999999998,6500.52,6537.98,4715.040000000001,6516.320000000002,4771.42,6702.36,6560.42,5365.299999999998,3932.08,6833.4
4,7911.24,6039.8,8720.400000000001,6609.319999999999,6561.040000000003,6383.719999999998,9599.52,6428.8,5745.88,6943.879999999999,5690.48,7327.44,4649.68,7285.160000000003,5578.72,10096.08,7858.52,5889.5999999999985,5613.080000000001,5911.64,9314.8,7199.48,9271.4,7044.92,5355.799999999998,7802.4000000000015,8107.839999999997,7286.68,9348.72,5833.3200000000015,7477.24,7561.52,4328.96,5586.04,6237.279999999996,6129.120000000001,7558.04,6351.6,7672.56,7369.800000000001
5,20510.4,8888.599999999999,23442.7,9584.1,9709.2,7047.200000000006,23146.4,8462.0,7333.0999999999985,9571.9,9455.6,9599.7,5852.7,9730.8,7206.999999999997,13096.799999999968,12920.999999999998,9614.0,9540.2,7297.5999999999985,9415.5,10095.6,9591.0,7128.1,8287.599999999999,9802.0,9478.7,10098.4,10364.60000000001,9672.8,9453.2,9566.1,5876.7,9422.6,21209.9,9517.6,9479.7,7382.0,11070.39999999997,9718.0
6,18702.120000000006,22704.96,28596.08,22536.72,23235.88,9584.44,23715.68,18839.6,14130.6,20184.640000000007,20722.96,17405.68,8842.439999999999,20790.36,7923.319999999998,21160.84,17115.760000000002,20085.8,24167.120000000006,20808.96,11146.8,22256.76,23256.8,8479.96,10113.839999999998,20880.2,9780.32,10894.32,19695.640000000007,9693.04,20393.52,15589.04,15111.16,15037.44,19623.84,22507.52,21949.08,9644.2,20646.88,25380.8
7,26795.52,20938.120000000006,29458.88,20979.34,21098.48,20871.26,30710.04,26990.8,19262.22,18445.58,18979.88,24921.02,21669.56,18574.92,20722.32,27182.72,21833.359999999982,18131.6,22326.02,19065.88,23201.00000000002,20627.28,21181.6,22739.06,20747.68,19167.8,10242.68,14137.56,18018.92,23991.56,19012.56,13848.88,20905.76,22523.48,23039.06,20920.44,19994.18,20537.4,22875.19999999998,23805.6
8,27807.48,24284.04,33513.56,28411.28,22194.52,19711.56,31621.24,27368.8,18175.32,19531.44,19299.439999999995,33968.76,19961.52,20814.320000000007,19371.56,30806.88,25380.96,20026.200000000008,25583.48,20192.64,29009.8,24371.24,22344.8,21183.36,19093.56,19768.799999999992,21056.87999999999,26363.04,22588.76,22373.64,22396.92,16989.72,19557.56,21563.08,31070.559999999994,27049.64,23263.32,19014.2,29717.88,28338.8
9,32015.04,26065.720000000005,36706.78000000001,29565.18,26226.96,18221.34,35008.759999999995,28297.2,21228.320000000007,26929.62,29970.76,35346.86,28681.54,23772.36000000002,18549.32,34504.68,30018.52,23239.8,27505.76,21267.68,27278.3,27806.52,25561.2,20014.28,17990.120000000006,21425.6,22630.64,29266.36,24409.62,23874.64,24449.39999999999,20669.92,20629.86,25737.199999999993,34528.68,25559.64,25201.84,18845.499999999996,31281.04,31763.8
10,37327.8,27543.4,38413.8,32972.2,27594.4,21814.6,36762.8,32317.0,23137.2,30829.4,31424.799999999992,36048.8,33029.599999999984,25062.6,23032.4,35817.8,38125.8,24968.0,28724.6,28674.8,35497.0,29299.4,27391.0,23541.00000000001,23348.59999999999,25630.0,22574.4,27915.8,28399.6,29625.6,32845.399999999965,21950.2,27162.200000000004,29779.4,35330.8,27475.4,33724.6,26822.0,34687.6,35279.0
11,35984.16,34365.32,40023.70000000001,34958.22,35534.04,22635.000000000004,52578.08,33671.8,25075.82,35452.34,33225.520000000004,37474.42,33027.98,38340.84,25389.92,39886.72,39403.32,36356.2,38186.04,38030.32,39953.800000000025,36991.44,36709.6,28440.440000000013,25789.32,37039.6,22818.55999999999,31491.720000000005,36946.38,32753.92,36899.96,35659.68,26726.32,31267.08,35822.68,35624.88,35255.14,26503.8,36708.16,37080.8
12,42793.15999999999,35596.36,52607.52,38983.60000000001,41135.76000000003,33676.52,67664.40000000002,35457.8,35589.52,36935.239999999976,37842.44,38354.319999999985,34416.16,39450.12,26610.64,45688.51999999999,51568.599999999984,45944.00000000002,39240.72,38814.960000000014,42777.4,46019.63999999997,38318.2,29648.12,27192.48,37204.8,24929.64,34542.28,55319.39999999999,34235.52,36828.64,36681.24,29592.480000000025,35848.119999999995,43347.79999999999,36694.84,38728.88000000003,27927.200000000004,37200.92,36971.0
13,57103.68,45140.76,58281.76,57401.9,57325.80000000001,34760.20000000001,93656.20000000004,37050.4,36800.06,52089.53999999999,40567.639999999985,40608.42,36113.62,54298.88,26244.52,67179.55999999997,60895.39999999997,57875.60000000001,47589.33999999998,45937.8,44129.2,64715.35999999994,54090.8,32584.019999999997,35711.55999999997,39806.2,26731.62,37058.36,67262.84,36177.44,39501.0,37090.24,34517.07999999999,43362.72,47834.04,62666.48000000002,54549.81999999998,35706.4,55832.68,37416.4
