,145_1_www.netflix.com,145_2_www.netflix.com,145_4_www.netflix.com,145_5_www.netflix.com,145_6_www.netflix.com,145_7_www.netflix.com,145_8_www.netflix.com,145_9_www.netflix.com,145_10_www.netflix.com,146_1_www.netflix.com,146_2_www.netflix.com,146_3_www.netflix.com,146_4_www.netflix.com,146_5_www.netflix.com,146_6_www.netflix.com,146_7_www.netflix.com,146_8_www.netflix.com,146_9_www.netflix.com,146_10_www.netflix.com,147_1_www.netflix.com,147_2_www.netflix.com,147_3_www.netflix.com,147_4_www.netflix.com,147_5_www.netflix.com,147_6_www.netflix.com,147_7_www.netflix.com,147_8_www.netflix.com,147_9_www.netflix.com,147_10_www.netflix.com,148_1_www.netflix.com,148_2_www.netflix.com,148_3_www.netflix.com,148_4_www.netflix.com,148_5_www.netflix.com,148_6_www.netflix.com,148_7_www.netflix.com,148_9_www.netflix.com,148_10_www.netflix.com
0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
1,3708.72,5289.0,4991.480000000001,4266.500000000002,5360.06,4121.04,3977.24,4844.8600000000015,5171.64,1484.46,1439.5,1456.88,1486.28,1339.96,1418.96,1390.52,1428.44,1369.98,1325.74,4300.319999999999,4048.76,3612.42,1095.6799999999996,4136.94,3689.46,4006.92,3998.28,3933.48,3702.3,1601.52,1477.8,78.15999999999951,1591.16,1580.22,1512.1,1536.6,1472.9,1592.86
2,6227.68,8314.400000000001,14756.56,8319.199999999999,13265.08,8330.32,8528.12,6926.68,10914.28,3626.04,3606.0,3582.24,3650.72,4079.72,3772.92,3952.92,3695.88,4009.08,4110.68,8267.92,4579.32,5877.48,5144.240000000002,8450.52,6308.24,6808.08,4533.32,6002.079999999997,6331.200000000002,1548.4400000000005,2521.400000000001,1641.32,1397.5199999999998,1776.1999999999991,1941.7999999999988,1527.8000000000006,2083.5999999999995,1972.8
3,13264.36,33690.19999999998,30945.06,16856.7,15552.38,14924.52,15730.79999999999,13479.18,39446.92,4735.26,5155.5,5033.88,4795.6799999999985,4123.16,4990.28,5508.96,5087.92,5216.44,4094.54,16128.519999999995,8265.720000000003,14504.459999999995,6189.32,15173.42,13662.979999999998,12922.46,7962.82,9035.4,13473.89999999999,3974.52,3601.360000000001,4065.76,3929.16,3576.84,3570.36,3586.56,3634.04,3563.72
4,43336.4,52561.2,39246.96,47250.80000000004,40151.92,51096.4,72331.32,38211.4,46417.72,6827.840000000005,6152.0,6111.52,7090.120000000001,4296.719999999998,8470.96,5413.319999999999,6258.719999999998,4277.6399999999985,4566.68,19650.479999999992,15144.52,16514.72,7974.3200000000015,18579.44,16744.84,16009.16,14915.64,16631.76,16736.2,4089.24,5295.08,4300.439999999999,4901.920000000001,5462.08,5095.160000000002,5460.72,5241.64,5434.04
5,39763.6,65182.0,65432.49999999996,66522.0,40441.8,63554.6,91146.59999999998,48755.4,67617.6,7878.299999999997,8468.5,8080.5999999999985,7905.4000000000015,8236.800000000001,8254.2,8445.2,8381.2,8450.6,6001.7,35606.19999999997,17804.0,34425.1,14109.2,32433.7,31997.00000000001,22242.800000000007,17761.5,18424.1,34883.5,5121.4,4270.4,4649.100000000001,4554.0999999999985,4565.0999999999985,4371.599999999995,4519.4000000000015,4206.200000000002,4495.3
6,74788.32,81871.39999999997,104348.67999999998,84521.4,50916.07999999997,86297.96,102419.44,69699.84,88656.40000000002,14662.28,14885.0,14579.64,14752.04,8266.039999999999,13796.959999999995,8144.600000000002,13507.440000000004,8098.920000000001,8198.44,37658.92,34385.28000000001,36844.8,16692.48,37607.88,35252.76,25013.76000000001,33714.96,33080.52,34409.4,4424.9199999999955,8506.64,6185.280000000002,6225.96,8420.32,6983.120000000001,6188.88,6915.480000000002,8367.16
7,85213.36,106951.4,116460.17999999993,106070.39999999998,86135.81999999999,98780.4,107709.12,73089.98,114517.88,36691.7,29925.5,38217.88,37548.92,12564.12,25925.399999999994,14613.760000000002,23769.60000000005,14568.68,10292.399999999987,43959.72,37432.88,37546.14,18490.72,49584.26,38515.82,42640.56,39453.02,39085.82,37668.4,8424.56,8467.32,8236.66,8364.119999999999,8360.539999999999,8420.14,8311.36,8454.06,8320.02
8,103944.44,130041.0,179986.8,109874.8,114397.24,109231.44,110676.08,113546.48,146099.03999999998,51478.64,42980.0,39801.24,49830.52,13993.16,60231.08,44941.11999999999,60386.16,26484.000000000004,14229.280000000002,58839.27999999996,38747.92,43473.44000000002,33738.72,54298.16,41789.56,45098.32,38304.52,38930.72,43235.4,8312.64,11415.600000000004,7951.880000000001,8197.08,8433.799999999996,11118.199999999995,7528.559999999998,11702.36,8424.839999999998
9,106903.2,169099.80000000002,213152.68,125022.3,145415.0000000001,169416.36,179427.4,125050.98,206278.4,51285.66,43123.5,40805.92,55559.96,68755.96000000006,57563.88000000001,60511.96,60061.68,58566.06,43857.8,72500.84,50463.04000000001,56263.78,37371.92,58441.9,43341.26,46736.94,42910.74,49157.92,47120.69999999995,7655.480000000004,14530.36,14763.68,10943.459999999995,14641.24,14608.54,14705.16,14407.88,14539.38
