,161_1_www.snapchat.com,161_2_www.snapchat.com,161_3_www.snapchat.com,161_4_www.snapchat.com,161_5_www.snapchat.com,161_6_www.snapchat.com,161_7_www.snapchat.com,161_8_www.snapchat.com,161_9_www.snapchat.com,161_10_www.snapchat.com,162_1_www.snapchat.com,162_2_www.snapchat.com,162_3_www.snapchat.com,162_4_www.snapchat.com,162_5_www.snapchat.com,162_6_www.snapchat.com,162_7_www.snapchat.com,162_8_www.snapchat.com,162_9_www.snapchat.com,162_10_www.snapchat.com,163_1_www.snapchat.com,163_2_www.snapchat.com,163_3_www.snapchat.com,163_4_www.snapchat.com,163_5_www.snapchat.com,163_6_www.snapchat.com,163_7_www.snapchat.com,163_8_www.snapchat.com,163_9_www.snapchat.com,163_10_www.snapchat.com,164_1_www.snapchat.com,164_2_www.snapchat.com,164_3_www.snapchat.com,164_4_www.snapchat.com,164_5_www.snapchat.com,164_6_www.snapchat.com,164_8_www.snapchat.com,164_9_www.snapchat.com,164_10_www.snapchat.com
0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-235.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
1,1616.32,1579.32,1574.88,1625.2,1640.0,1573.4,1604.48,1614.84,1626.68,1568.96,2933.64,4570.080000000001,5341.24,5101.999999999999,5381.26,8453.92,4122.1,8247.300000000001,4731.0,4752.0,4072.84,4030.68,4072.84,4022.04,3903.6000000000013,3594.52,4091.68,3580.08,3792.18,4108.32,-419.72,-435.0,-511.40000000000015,-354.07999999999976,-572.52,371.0399999999999,-259.28000000000003,189.75999999999974,-557.24
2,1537.24,1225.0399999999995,1160.36,1515.4,1479.0,1138.7999999999995,1566.36,1540.88,1511.76,1074.12,7817.760000000001,14078.399999999996,10919.8,12573.199999999993,10332.2,31795.719999999917,8443.4,20234.800000000017,14048.0,21094.0,5045.16,4252.279999999996,4265.88,4387.3200000000015,6241.8,7069.96,8740.32,8385.360000000002,6237.84,8422.52,1571.92,1566.0,1468.0,1339.96,1389.6,1390.52,1634.08,1377.88,1409.2
3,4038.44,3779.34,3721.56,4069.4,4121.0,3702.3,3987.48,4032.84,4074.56,3644.52,20293.44,46950.339999999895,19870.64,16096.200000000004,20002.44,263165.84,20677.8,212180.5000000001,21391.0,105705.0,8200.72,7871.320000000002,8254.88,7903.76,13460.400000000005,11761.96,12981.04,14275.16,11847.879999999996,15953.48,1430.02,1439.5,1488.1,1375.9600000000007,1531.78,921.24,1330.48,1141.8000000000004,1520.86
4,4123.16,4493.3200000000015,4797.879999999999,4020.8,3552.0,4929.4000000000015,4089.24,4118.92,3973.9199999999987,5302.24,40689.76,175501.0,80697.24,28080.6,78421.92,418082.2,31218.199999999964,439051.20000000007,56478.0,292170.0,13845.64,13558.48,13733.64,13603.56,14785.799999999996,14848.36,15260.76,15206.4,15870.48,13584.24,1117.24,1031.0,2139.000000000001,3965.16,3549.7999999999993,144.32000000000005,1493.56,3987.48,2893.3999999999987
5,4968.2,4685.7,4582.8,5504.0,5617.0,4598.5,3374.7999999999993,5440.7,5390.1,4562.5999999999985,133563.90000000002,291921.4,209970.6,73596.0,254861.70000000004,566208.2,108358.5,600022.5,191051.0,414626.0,15128.0,14392.8,14702.2,14436.4,17591.0,17657.6,25461.399999999936,15367.999999999998,14046.3,36996.2,4095.2,4078.0,3981.0,3756.4,3830.7,2302.1999999999985,1444.9999999999984,3277.6,3894.9
6,4296.08,6291.92,6219.08,4554.8,4930.0,6240.4,6353.0800000000045,4758.280000000002,4422.92,6221.3600000000015,263285.2799999999,469644.28,336732.80000000005,185428.39999999985,419948.24,671976.36,195763.6,720973.6000000002,289602.0,558214.0,13240.6,17122.96,13916.759999999998,16593.88,37731.000000000015,37418.2,48208.4,28445.95999999997,17510.319999999992,74373.40000000002,3683.04,3606.0,3675.400000000002,4152.84,4129.52,3852.56,4100.36,2598.84,4091.119999999999
7,5893.96,8416.24,8358.76,6348.4,6570.0,8375.3,8685.44,6383.88,6261.8600000000015,8341.92,411873.2,560514.9,460309.64,287768.4,534919.48,821248.2799999998,285955.5000000001,920309.9,416750.0,660881.0,18246.88,41505.48,48948.52000000002,45386.24000000001,62249.4,59440.9,89812.52,55160.12,52511.54,147372.80000000002,4157.34,4111.5,5233.800000000003,5515.2,5628.78,6132.88,3837.12,2858.44,5222.8399999999965
8,8091.16,8457.960000000001,7871.64,8584.6,8602.0,7936.2,8568.36,8500.88,8476.44,8248.48,515212.0,647691.16,561637.8,387702.5999999999,604284.16,1010612.84,380285.4,1130150.4,506458.0,776081.0,53270.52000000002,80513.48,84391.36000000004,107172.99999999994,117809.2000000001,94633.6,140917.19999999998,83544.95999999999,72161.12,224395.2,5361.52,5483.0,5152.2,5210.719999999998,5313.12,6601.4,3739.52,5086.88,5255.44
9,7760.679999999998,12068.440000000004,12736.160000000005,8546.800000000001,8447.0,13081.8,7990.519999999996,8373.460000000001,8410.42,12959.96,559956.78,726980.84,648570.88,538597.4,674245.42,1186645.32,466012.3,1236359.7,571256.0,918878.0,93789.08000000002,110879.08,143723.6,130860.84,206690.0,160607.84000000005,178022.27999999997,112400.2,147917.08,264780.04000000004,5044.52,5128.5,4629.0999999999985,4578.92,4673.26,6588.84,4531.759999999998,5540.839999999997,4611.62
10,11655.600000000004,14018.4,13626.2,8963.0,8169.0,13982.0,13033.2,8299.999999999996,9113.999999999996,13776.4,648729.2000000001,852099.5999999999,707902.1999999998,600392.0,731009.8,1342367.2,519068.0,1360428.0,710802.0,1104321.0,139320.00000000006,158323.5999999999,169238.80000000002,182294.4,349631.0,189763.00000000003,231074.0,163336.6000000001,220741.19999999995,378651.20000000007,4432.4000000000015,4453.0,4106.0,6539.2,7942.599999999995,7651.599999999998,5127.8,6997.4000000000015,6542.2
11,12880.760000000006,13697.180000000006,21862.56,12107.6,13108.0,13737.7,14205.56,14224.36,12744.16,25825.52000000001,669518.86,1044179.68,805500.2000000002,668298.4,914822.84,1451993.92,574615.2,1470025.0000000002,757826.0,1242285.0,200367.68,179506.16,192708.84,236810.99999999997,454646.6000000002,259018.70000000004,303421.84,201843.44,287829.12000000005,472493.84,6351.56,5303.0,8586.199999999999,8532.28,8572.34,8606.44,4852.919999999999,8396.56,6324.58
12,13591.48,16212.32,32680.96,13860.8,14250.0,33934.2,30221.120000000035,13980.24,15040.52,33819.96,752812.5599999998,1135212.2,930629.24,724422.7999999997,1114692.48,1609087.64,660923.4,1558314.0,872462.0,1352933.0,260752.24,211815.87999999983,255316.2,326126.56,548786.2000000001,346098.4,392380.04,254364.71999999997,370745.92,529523.8,6084.08,6123.0,8435.6,8485.84,8543.52,9507.600000000002,4343.52,7919.12,8605.84
