,9_1_www.heise.de,9_2_www.heise.de,9_3_www.heise.de,9_4_www.heise.de,9_5_www.heise.de,9_6_www.heise.de,9_7_www.heise.de,9_8_www.heise.de,9_9_www.heise.de,9_10_www.heise.de,10_1_www.heise.de,10_2_www.heise.de,10_3_www.heise.de,10_5_www.heise.de,10_6_www.heise.de,10_7_www.heise.de,10_9_www.heise.de,10_10_www.heise.de,11_1_www.heise.de,11_2_www.heise.de,11_3_www.heise.de,11_4_www.heise.de,11_5_www.heise.de,11_6_www.heise.de,11_7_www.heise.de,11_8_www.heise.de,11_9_www.heise.de,11_10_www.heise.de,12_1_www.heise.de,12_2_www.heise.de,12_3_www.heise.de,12_4_www.heise.de,12_5_www.heise.de,12_6_www.heise.de,12_7_www.heise.de,12_8_www.heise.de,12_9_www.heise.de,12_10_www.heise.de
20,1288690.4,1371264.2,1037559.0,1170043.6,920044.0,1352255.6,1353353.8,1402477.8,1246311.8,1407109.4,1068623.4,1733874.8,1097183.4000000004,1450361.4,1659867.6,1235176.799999999,1736460.8,1157861.0,723575.0,1011052.0,1059635.6,866617.6,1007377.4,1102525.8000000005,881988.8,1013931.8,1027367.0,1106763.6,872990.0,859867.3999999998,948853.0000000008,739685.0,987352.4,873377.0,1014917.6,690350.2,968179.2,1036296.0
21,1339727.4,1371558.02,1043808.3,1233344.92,1094722.8,1371859.3999999994,1380745.46,1412357.32,1255009.68,1418137.82,1170016.52,1741171.04,1274731.88,1502830.94,1729722.08,1393692.54,1759167.66,1359056.0,755584.0,1020647.6,1202744.92,870406.92,1133140.9600000002,1282136.96,885638.76,1028698.52,1161874.9999999993,1223507.7599999988,889549.0,872519.8,970827.9599999998,790081.76,1005206.84,891724.2000000003,1226534.7400000002,755583.56,1009732.92,1095255.56
22,1360549.44,1382707.64,1120118.2,1245326.12,1098955.4,1394890.08,1384537.72,1432014.8,1315226.76,1431760.92,1312728.16,1764097.04,1359876.08,1518479.8,1746773.68,1450167.8800000004,1777459.6,1419832.0,796583.2000000002,1106915.600000001,1211274.16,935543.16,1200739.88,1285748.96,944767.48,1038074.44,1322737.2,1255301.72,903616.8,885990.48,996807.68,798257.84,1009554.24,920410.0,1235337.08,788992.4400000002,1046344.52,1159837.08
23,1516958.38,1397681.14,1153047.8,1257776.84,1103004.4,1487636.44,1398373.16,1447940.08,1351573.84,1560768.0199999998,1353517.4,1802384.68,1438798.96,1530926.94,1785490.54,1502466.02,1793940.94,1432074.5,848728.6,1282858.6,1218162.56,947011.38,1273942.58,1299383.56,961085.3,1177228.4400000002,1345655.2,1270114.6799999995,933139.2,917142.78,1042483.48,856006.1600000005,1017469.08,932196.2,1247467.28,794576.78,1054581.96,1167832.52
24,1623293.4,1420222.48,1159337.6,1311976.48,1162291.6,1591557.48,1414089.56,1585735.32,1480639.4,1578525.24,1439446.84,1864872.64,1452168.84,1601068.88,1847346.92,1525933.56,1828821.76,1450153.0,865086.2000000002,1291801.4,1228128.2,958472.28,1304005.12,1434433.64,965444.36,1253713.04,1351881.2,1280215.64,938817.4,929514.04,1053174.64,865059.68,1027414.84,939908.4,1249134.52,854562.6399999999,1064277.88,1172412.76
25,1741847.5,1427691.0,1167874.0,1329142.0,1167904.0,1619666.0,1546468.5,1594958.0,1522262.0,1591692.0,1452078.5,1886906.0,1470723.0,1605851.0,1860541.5,1534665.0,1899140.5,1522497.5,869319.0,1295916.0,1236312.0,992821.5,1343030.0,1452351.0,973199.0,1342448.0,1358177.0,1281843.5,1014098.0,933057.0,1057359.0,904224.5,1037779.0,947730.0,1262617.5,879239.0,1072196.0,1178160.0
26,1746393.08,1444971.08,1196197.4,1378814.04,1209454.8000000005,1632540.08,1555272.92,1651230.6,1528621.2,1609148.04,1470819.8,1906598.52,1487060.76,1651271.48,1875937.6,1595477.16,1944925.2,1530647.0,870991.4,1438589.6,1256103.24,999357.48,1361534.04,1464106.08,984887.24,1394319.6000000006,1364625.4,1291133.76,1014854.8,962339.4800000004,1072770.48,913208.56,1166660.52,1024995.4,1266037.36,898702.52,1078187.52,1186279.8000000005
27,1754679.96,1550288.54,1218742.0,1396657.56,1225782.2,1695382.1999999997,1565257.12,1687014.52,1673486.4,1686087.34,1488560.58,1968960.32,1534958.4,1712257.26,1977903.2000000027,1604254.88,2077182.48,1595201.0,881808.4,1440403.6,1385789.56,1004653.92,1367844.08,1494627.36,1068707.32,1405299.66,1370685.7,1307477.94,1040935.8,983710.92,1078366.88,919525.86,1171036.56,1026443.4,1275921.94,908168.72,1085942.32,1219926.12
28,1772520.24,1610672.4800000011,1223330.8,1536900.56,1234651.6,1858916.08,1598727.12,1691822.32,1693621.64,1691557.56,1535058.44,2022336.76,1543119.52,1715478.08,1998324.56,1649274.32,2122816.8000000003,1600346.0,910607.8,1449744.6000000003,1395476.56,1049938.96,1368557.16,1497034.04,1209768.36,1411854.48,1377622.8,1319733.76,1084424.8,990294.88,1132428.44,924226.76,1182682.16,1047711.4,1319670.32,911755.2799999998,1086033.36,1243692.08
29,1778085.08,1629135.98,1229620.3,1582372.1599999978,1242180.2,1903729.7599999998,1619388.76,1888786.4199999997,1700221.56,1707957.08,1545559.12,2067582.8,1607240.64,1722938.26,2048073.92,1711182.48,2198349.100000001,1605085.5,920427.6,1469043.2,1430302.88,1055365.82,1373901.62,1505367.96,1229559.2,1421443.6,1393886.2,1342330.66,1099953.4,1068065.96,1162941.92,933296.56,1216364.68,1192742.6,1398142.78,916022.54,1170606.52,1266723.04
30,1788523.6,1638177.2,1279922.0,1684448.2,1248307.0,1927166.8,1650081.5999999992,1918780.6,1704656.2,1713706.8,1608345.8,2202717.8,1612199.2,1728804.8,2121622.0000000005,1711708.4,2222496.6,1649254.0,924576.0,1468965.0,1441354.0,1151698.6,1384286.2,1530664.6,1322199.8,1437424.6,1423716.0,1377442.6,1211296.0,1197692.8,1177069.2,988226.0000000005,1230823.2,1274603.0,1411138.4,965202.0,1210211.6,1289541.6
31,1803388.54,1934592.62,1300088.4,1691858.12,1255710.2,1944786.96,1854943.52,1931176.58,1717126.92,1921382.7599999998,1613415.12,2217218.04,1634166.8000000003,1741903.8000000003,2198608.54,1722235.96,2234109.04,1708749.0,932103.2,1475821.8,1454224.64,1262008.4,1389946.34,1538525.48,1329231.96,1468468.02,1431745.7,1440268.3999999997,1215658.4,1205780.74,1218337.56,1060152.82,1235272.92,1290124.2,1470494.42,1043337.02,1225750.48,1336387.12
32,1811402.24,1938489.56,1391020.0,1708816.04,1268488.2,1992605.16,1875097.12,2044851.44,1721437.5600000003,1954663.76,1656645.24,2218954.08,1664124.84,1755477.32,2205103.64,1731298.68,2240024.72,1714272.0,942716.6,1493899.6,1462055.64,1277047.8,1410546.96,1551133.32,1353678.68,1476845.12,1467792.7999999996,1483368.24,1224158.8,1209130.52,1242621.08,1165825.56,1256551.04,1354660.6,1503444.2400000002,1151680.32,1230590.56,1344959.6
33,1828556.16,1949259.94,1435525.8,1709581.76,1292263.4000000008,2173033.84,1887247.6,2261213.2,1749495.96,1965163.1,1718553.16,2231495.6,1726011.28,1791423.38,2213159.56,1737182.96,2239315.92,1719449.5,1046178.4,1503255.8,1548188.32,1415793.74,1436778.64,1602120.7600000002,1389011.6,1516500.68,1474054.9,1503333.399999999,1230646.2,1220452.68,1260772.4,1178115.64,1264454.16,1407892.8,1510617.8,1164759.12,1248022.8000000005,1387057.52
34,1838164.2,2004564.16,1492633.8,1720010.48,1387005.0,2702011.6,1901734.16,2630337.0399999986,1799060.6,1977207.6,1717878.76,2239696.96,1725321.56,1803462.24,2219168.48,1743821.16,2249212.56,1734144.0,1059896.0,1509438.6,1554890.68,1414636.24,1444423.16,1612429.08,1550067.56,1626540.96,1487701.2000000004,1535457.76,1235994.4,1223554.24,1265962.96,1179748.12,1292544.64,1406884.8,1528412.84,1163593.32,1264209.28,1644841.5599999996
35,1848692.2,2036271.0,1600686.5,1729226.8,1460573.0,2858631.4,1911577.0,2950097.0,1830683.0,2042270.8,1726664.1,2305179.4,1735000.4,1822509.5,2255719.4,1765094.4,2264206.9,1741986.5,1095891.0,1538950.0,1595185.4,1420018.3,1450285.9,1625951.8,1660254.0000000002,1875268.4000000027,1530413.5,1547092.9,1236723.0,1229637.0,1268562.4,1184205.3,1337684.4,1419848.0,1534756.4,1168173.9,1282569.2,1960010.2000000016
36,1942649.96,2057658.96,1786298.2,1738115.68,1469403.8,3048280.88,1973084.639999999,3075910.04,1841079.72,2142589.84,1730899.52,2319019.48,1736538.16,1952017.76,2267225.04,1826446.4,2287840.24,1754710.0,1268981.4,1559132.2,1681383.96,1427216.04,1480396.08,1632415.04,1743813.76,2234820.76,1651450.4,1560623.2399999988,1244124.6,1241067.44,1272841.96,1192214.4,1384089.16,1427893.4,1542362.28,1175273.96,1316666.4,2185368.64
37,2082597.36,2065013.2000000004,1798474.1,1748575.96,1501294.4,3331742.3200000008,2283010.68,3283297.16,1970551.96,2521906.5599999963,1737804.64,2327343.92,1745464.56,1958758.06,2282927.34,1931447.44,2311483.08,1768979.5,1354189.6,1568074.6,2040763.8399999982,1434369.4,1498090.2,1652014.7999999996,1748434.18,2501829.2,1921838.399999999,1697289.06,1247434.6,1246885.52,1280402.4,1196453.64,1546900.8399999982,1425468.6,1608066.4,1180523.48,1332687.84,2321036.6
38,2104702.160000001,2137966.04,1802874.4,1789508.56,1553561.6,3537351.64,2622472.399999999,3314113.52,1976633.76,2855990.76,1746524.36,2339423.68,1757250.32,1963648.88,2294962.8400000003,1947916.92,2326216.52,1855093.0,1375366.6,1641614.4,2362794.0,1442608.36,1506421.8,1690930.6,1752677.6,2700803.8000000003,2271945.9999999995,2125927.3999999985,1288443.0,1254494.72,1283732.48,1201383.84,1924661.1599999985,1429459.6,1720147.8,1188167.48,1343340.04,2482573.4
39,2121356.72,2226129.3600000003,1815481.6,1801318.88,1721778.8,3810712.32,2998971.2,3692460.8,1983978.68,3069559.08,1756115.22,2356011.84,1770582.48,2012648.2000000004,2306090.84,1954170.82,2336875.48,1937827.0,1381796.2,1649560.7999999996,2621881.799999999,1446758.28,1518594.2,1741222.52,1764846.64,2962638.08,2473216.8,2405802.8,1344494.6,1260833.44,1297443.92,1205173.5,2215814.6,1435946.2,1953155.6800000032,1193862.64,1419498.7200000002,2655426.2
40,2131363.8,2407887.4000000004,1821659.0,1836477.2,1809338.0,3941254.0,3223307.8,3969655.0,1989069.0,3218445.6,1796121.7999999996,2368498.4,1807644.0,2122896.600000001,2309630.2,1959080.0,2352922.6,1951448.0,1387507.0,1684305.0,2958651.0,1451575.2,1590518.9999999998,1790710.4,1766889.6,3145071.0000000005,2614954.0,2549496.8,1377859.0,1298741.4,1332693.2000000002,1211387.8,2451039.2,1444752.0,2304561.0000000005,1199919.6,1627802.4,2818393.8
41,2143958.62,2760414.4799999986,1827109.1,1845593.08,1813546.8,3987326.72,3542607.84,4213122.26,2001458.92,3304959.02,1808451.72,2371334.44,1818991.92,2143923.600000001,2314623.4000000004,1999074.68,2370325.92,1957069.5,1390209.2,1720500.2,3226304.92,1459321.94,1631772.2399999998,1846153.08,1776471.56,3289131.64,2765149.8,2710918.08,1386106.4,1306239.2000000002,1342039.44,1241054.52,2612727.4,1521540.6,2443599.4000000004,1205372.84,1946263.6000000003,3067525.8
42,2160296.76,2945487.96,1828379.8,1852323.76,1819569.2,4134728.7999999993,3849003.12,4293990.5200000005,2013203.2,3602079.08,1818138.84,2382458.8,1828334.56,2174062.08,2327075.16,2104665.6,2376054.08,1964491.0,1396202.6,1742367.800000001,3393290.2800000007,1467636.6799999997,1710658.96,1890695.3600000003,1822843.16,3513734.2800000007,3005649.5999999987,2916069.44,1388786.4,1314259.68,1389864.52,1245862.36,2773943.8,1568664.2000000004,2616015.8400000017,1255353.12,2116397.2,3335245.4800000004
43,2170625.76,3181090.8000000007,1837359.3,1896956.24,1823890.6,4386092.199999998,4140816.7200000007,4550110.599999999,2058344.84,3928263.9999999986,1939490.1599999985,2399893.84,1958950.2,2182407.88,2338681.94,2129938.92,2390482.52,1973304.0,1397454.4,1777104.2,3623228.36,1540192.74,1921632.96,1976826.8,1867732.58,3715866.4800000014,3212806.9999999995,3145939.6,1403068.6,1318396.58,1504829.8800000004,1252955.74,2948342.2,1594611.0000000002,2755287.2,1256827.48,2245699.8800000004,3521051.4
44,2227723.68,3467863.1200000006,1844201.6,1924134.88,1827214.0,4566060.6,4343031.159999995,4697180.4,2059967.08,4253665.92,1952648.36,2409846.72,1963218.12,2200085.96,2357194.68,2137817.24,2400625.04,2087617.0,1401775.2,1788345.6,3813117.04,1544678.6800000004,2194392.56,2079527.44,1916734.56,3962628.4,3409427.599999998,3386808.8,1431722.4,1320656.32,1738014.84,1262128.24,3170588.519999998,1618483.2,2924482.920000001,1264106.48,2355458.24,3709872.04
45,2262963.1,3732121.5999999987,1882912.0,2009476.2,1836714.0,4854619.4,4508283.799999995,4705790.199999998,2064644.6,4379987.199999998,1957816.9,2423217.4000000004,1968131.8,2207722.7,2360959.1,2179891.8,2414064.4,2132758.0,1406180.0,1867176.0,3960859.2,1554509.2,2459947.0,2071779.2,1932323.5,4171482.600000002,3629925.0,3707563.6,1434247.0,1328904.9,1989926.200000001,1264848.6,3339054.6,1627514.0,3103506.4000000013,1268296.7,2455883.0000000005,3985932.6
46,2265571.68,4072385.6,1891086.8,2030146.92,1841967.8,5026073.08,4854018.08,4975636.56,2100826.92,4672900.6,1978558.600000001,2436417.8800000013,1995574.5199999984,2209277.64,2380380.92,2192012.56,2432675.08,2136401.0,1409309.2,1911286.4000000004,4086345.4,1559473.72,2697837.959999999,2069730.76,1934821.12,4255509.36,3800316.0,3925606.2,1441295.6,1336487.56,2107356.359999999,1272191.96,3512960.4,1637238.4,3183722.4400000004,1274286.6,2652619.68,4093628.84
47,2272254.88,4439728.2,1894398.3,2047255.16,1862506.6,5037624.44,4863247.14,5033852.98,2186645.16,4867828.74,2086423.66,2443581.6,2090552.12,2212431.680000001,2389175.42,2204502.48,2441277.98,2174385.5,1445019.6,2002406.6,4295650.84,1562122.54,2963415.18,2079420.76,1937470.78,4300092.760000002,3997318.0,4137039.4,1478311.0,1376243.26,2287454.4000000004,1288942.2000000002,3711808.8,1646242.6,3400066.8000000007,1279647.38,2854533.2,4133760.32
48,2274038.04,4785186.120000001,1899309.6,2069574.68,1865746.4,5063762.36,4872276.92,5068313.72,2187626.48,5023371.72,2096306.56,2456190.120000001,2137669.56,2224938.28,2397942.2,2210131.32,2452375.44,2182597.0,1450719.8,2035024.0,4367606.44,1568834.64,3067751.56,2085599.16,1943135.76,4305583.12,4218938.199999998,4386037.96,1488100.8,1384585.6,2400091.52,1315843.84,3892381.04,1653240.0,3586800.8800000013,1287493.96,3058817.8000000007,4142901.72
49,2277878.62,4922915.920000001,1898391.4,2179803.68,1871277.0,5085202.52,4885834.52,5080379.14,2187392.12,5051286.2,2166619.42,2465403.76,2144646.28,2248071.16,2410298.84,2213638.14,2461442.74,2182686.0,1455246.4,2141447.8,4421021.44,1608892.24,3202970.96,2093841.4,1950136.44,4316027.76,4233403.3,4425385.24,1491389.6,1414953.12,2569622.64,1320011.5,4115818.08,1662447.0,3722049.94,1324535.52,3182600.48,4150850.28
50,1039.0,1037.0,725.0,911.0,710.0,1297.0,1021.0,1153.0,992.0,1148.0,576.0,990.0,570.0,705.0,984.0,657.0,1034.0,638.0,488.0,807.0,737.0,563.0,758.0,893.0,593.0,706.0,659.0,840.0,618.0,581.0,685.0,512.0,670.0,589.0,685.0,483.0,650.0,697.0
51,1312.0,1632.0,920.0,1175.0,880.0,1929.0,1626.0,1810.0,1202.0,1751.0,825.0,1252.0,838.0,962.0,1267.0,910.0,1303.0,887.0,652.0,1053.0,1299.0,738.0,1119.0,1153.0,790.0,1313.0,1256.0,1373.0,812.0,792.0,983.0,709.0,1266.0,801.0,1216.0,660.0,1094.0,1335.0
52,278523.0,276360.0,188908.0,245970.0,180828.0,356742.0,270785.0,312221.0,262721.0,320112.0,161456.0,272322.0,160621.0,192986.0,270066.0,183770.0,284926.0,172134.0,124099.0,213085.0,195293.0,146909.0,192750.0,248676.0,146894.0,185768.0,173466.0,222842.0,160828.0,153535.0,183455.0,138977.0,181131.0,153469.0,185060.0,132843.0,176680.0,193926.0
53,2569037.0,5199983.0,2087177.0,2448753.0,2059814.0,5460679.0,5157947.0,5401930.0,2450505.0,5372644.0,2333137.0,2744725.0,2341125.0,2443252.0,2689274.0,2404805.0,2772365.0,2354856.0,1585893.0,2355505.0,4616752.0,1763963.0,3395684.0,2347009.0,2100616.0,4505043.0,4406211.0,4655707.0,1656766.0,1571263.0,2855062.0,1461448.0,4339665.0,1851684.0,4007829.0,1462967.0,3516856.0,4344520.0
