,54_1_www.flickr.com,54_2_www.flickr.com,54_3_www.flickr.com,54_4_www.flickr.com,54_5_www.flickr.com,54_6_www.flickr.com,54_7_www.flickr.com,54_8_www.flickr.com,54_9_www.flickr.com,54_10_www.flickr.com,55_1_www.flickr.com,55_2_www.flickr.com,55_3_www.flickr.com,55_4_www.flickr.com,55_5_www.flickr.com,55_6_www.flickr.com,55_7_www.flickr.com,55_8_www.flickr.com,55_9_www.flickr.com,55_10_www.flickr.com,56_2_www.flickr.com,56_3_www.flickr.com,56_4_www.flickr.com,56_5_www.flickr.com,56_6_www.flickr.com,56_7_www.flickr.com,56_8_www.flickr.com,56_9_www.flickr.com,57_1_www.flickr.com,57_2_www.flickr.com,57_3_www.flickr.com,57_4_www.flickr.com,57_5_www.flickr.com,57_6_www.flickr.com,57_7_www.flickr.com,57_8_www.flickr.com,57_9_www.flickr.com,57_10_www.flickr.com
0,67.0,-442.0,67.0,0.0,0.0,67.0,-442.0,67.0,67.0,67.0,67.0,67.0,0.0,-48.0,67.0,67.0,0.0,67.0,-442.0,67.0,67.0,-48.0,67.0,67.0,67.0,-48.0,67.0,67.0,-442.0,67.0,67.0,-442.0,67.0,67.0,-442.0,67.0,67.0,-442.0
1,5099.5999999999985,2464.88,1572.08,7503.88,4829.5,1332.5600000000004,6588.42,4896.46,4814.3,4909.4000000000015,2822.600000000001,2227.879999999999,2751.44,4804.480000000001,2533.7,4961.7,5004.0,5061.68,6730.52,5022.18,696.2800000000002,347.0,803.3800000000001,2324.08,1831.4799999999989,426.5600000000003,2294.48,2055.24,372.1600000000003,975.64,662.6200000000001,2478.2000000000007,636.8799999999999,533.0,486.7599999999998,722.02,418.39999999999975,4351.120000000001
2,65244.79999999995,9938.080000000004,4440.24,71082.2,27391.999999999975,7650.4000000000015,57152.96,18967.599999999995,19866.0,18842.84,14357.72,8964.76,10369.52,13780.6,10598.200000000004,14099.480000000007,12613.4,19265.84,38793.52000000001,13952.44,6641.920000000001,5449.0,3179.2000000000007,5286.16,4300.959999999997,5274.32,5220.84,5248.92,5856.519999999998,4580.84,5709.2000000000035,6786.6,4632.7999999999965,5758.0,5345.800000000001,7183.280000000002,6400.000000000003,6559.44
3,89595.8,23823.800000000007,14118.52,93355.16,92473.9,26229.84000000004,93925.06,89549.38,92788.9,74334.32,51490.28,17515.599999999944,31195.199999999986,92469.52,87767.92,56847.86,92111.4,101756.76,93353.4,96055.54,10001.200000000008,7272.0,8032.94,8891.84,9087.94,11785.8,9127.04,14093.96,11043.2,8685.799999999996,11630.02,12744.0,8376.199999999999,28786.0,11382.44,11846.66,11064.4,13928.96
4,94774.4,83601.52,77034.76,100242.52,96074.2,78335.84000000001,101618.72,93517.72,97715.2,96196.56,97086.28,97632.76,103404.92,99073.52,102654.44,103103.84,99121.6,99402.76,102548.08,93616.24,66669.16000000003,13101.0,17416.879999999994,19538.39999999999,19532.399999999994,81775.04,42355.44000000002,85931.68000000001,18545.599999999995,13997.84,26551.32000000001,46526.4,16913.599999999995,79837.0,50590.68000000002,46892.44,48640.00000000002,46048.96
5,124012.0,86811.1,89701.4,231472.4000000001,102770.5,92220.4,121531.1,101718.9,111320.5,102293.2,101007.4,99566.2,103570.2,100511.4,101008.2,103904.3,97268.0,109119.4,110673.19999999997,105908.9,80769.4,87481.0,64438.6,92930.4,93300.1,86129.4,88513.40000000002,88394.4,101738.59999999992,82150.1,57593.2,111402.0,43533.99999999999,92050.5,76632.2,46358.2,108733.0,66438.9
6,414259.3999999996,87686.48,92648.52,481994.8799999998,265690.19999999984,94136.28,195489.16,237860.64,149989.19999999992,145789.75999999995,107609.76,100888.27999999996,113214.64,109498.72,111347.52,110553.72,109544.4,112989.08,115077.44,108703.32000000002,93317.76,95140.0,95873.28,96078.48,93606.32,93105.4,92545.08,93699.44,110162.28,94633.83999999997,108681.72,110301.8,99234.64,106079.0,105514.56,93926.08,106268.4,107610.44
7,576496.6,93655.24,95586.76,566614.12,494982.0,101853.96,483558.1600000002,506160.04,318969.7000000001,321638.32,109684.24,109008.32,117442.08,113995.36,112991.36,115366.28,114061.2,126131.88,120877.60000000006,114180.34,98848.16,95442.0,98706.66,99270.24,99192.34,98128.84,95740.36,96444.08,109641.38,107522.02,111251.62,107301.6,109387.88,108271.0,107724.68,93677.02,107799.2,111299.84000000004
8,616604.6,95612.04,96746.76,617203.2,654339.7999999999,120067.12,636238.44,651407.4,586717.0,516169.2799999999,118628.51999999995,114226.04,118887.68,134056.72,120027.8,122259.96,122017.0,319219.1600000002,295340.7200000001,227315.88000000003,101651.16000000002,101367.0,101312.88,101939.36,102120.96,100808.72,98656.84,98510.36,107115.84,110582.84,111763.28,117128.4,112217.04,116460.0,110909.08,113530.84,110623.4,116424.24
9,803226.9999999995,99317.18,103415.84,778074.7200000002,685002.4,183423.84,728619.32,777472.28,726357.8,664010.36,120474.2,121028.32,150735.48,141920.4,126990.18,213209.12000000017,278703.40000000014,566315.08,565998.16,332847.72,103073.64,102047.0,104399.94,103762.51999999992,102526.31999999996,106152.44,101367.28,104981.16,113744.28,114834.12,118137.72000000006,121308.2,112670.36,123583.0,115511.08,121337.11999999998,115548.8,123033.46
