,370_1_www.surfmusik.de,370_2_www.surfmusik.de,370_3_www.surfmusik.de,370_4_www.surfmusik.de,370_5_www.surfmusik.de,370_6_www.surfmusik.de,370_7_www.surfmusik.de,370_9_www.surfmusik.de,370_10_www.surfmusik.de,371_1_www.surfmusik.de,371_2_www.surfmusik.de,371_3_www.surfmusik.de,371_4_www.surfmusik.de,371_5_www.surfmusik.de,371_6_www.surfmusik.de,371_8_www.surfmusik.de,371_9_www.surfmusik.de,371_10_www.surfmusik.de,372_1_www.surfmusik.de,372_2_www.surfmusik.de,372_3_www.surfmusik.de,372_4_www.surfmusik.de,372_5_www.surfmusik.de,372_6_www.surfmusik.de,372_7_www.surfmusik.de,372_8_www.surfmusik.de,372_9_www.surfmusik.de,372_10_www.surfmusik.de,373_1_www.surfmusik.de,373_2_www.surfmusik.de,373_3_www.surfmusik.de,373_4_www.surfmusik.de,373_5_www.surfmusik.de,373_6_www.surfmusik.de,373_7_www.surfmusik.de,373_8_www.surfmusik.de,373_9_www.surfmusik.de,373_10_www.surfmusik.de
0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-2192.0,-442.0,-442.0,491.0,-75.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-2192.0,-442.0
1,21732.34,29100.08,22834.84,22190.52,22940.72,20891.9,31995.959999999985,21588.14,21607.98,8352.639999999996,12951.679999999993,11236.76,11952.259999999998,11813.32,11904.800000000005,10178.24,11362.9,11936.04,-480.84,-488.48,-1261.16,-496.12000000000006,-526.6800000000002,-103.92,-85.22000000000001,-444.71999999999986,-354.07999999999976,-496.12000000000006,12533.52,4095.2,11745.16,10942.1,1539.06,1418.799999999999,11715.86,12384.32,10999.38,11780.26
2,260945.07999999996,284271.16000000003,302243.08,185963.11999999988,320620.52,216343.79999999996,318635.8,297012.76,324679.24,17062.28,25084.76,42420.08,32551.4,40028.52,165143.59999999998,48272.96,35857.4,68854.6,1507.2,1497.4,682.3199999999998,1487.6,1448.4,1725.84,-394.52,1333.64,1339.96,1487.6,25179.52,4361.4000000000015,35493.72,39644.19999999996,4121.04,5096.959999999999,28843.599999999995,63438.72,25186.72,17267.64
3,331686.66,334393.74,337144.84,329750.74,391271.88,333786.7,435143.08,327278.48,334618.46,32720.52,83326.84,127252.92,176936.34,189368.7,411018.29999999993,177420.32000000004,156033.10000000006,254825.36,1467.94,1472.68,672.3999999999999,1477.42,1499.02,1608.04,1479.28,1440.64,1375.9600000000007,1477.42,60779.799999999974,10901.50000000001,114840.64,134153.1,6675.68,7000.920000000001,83840.46,168971.84,125194.12000000016,77796.83999999997
4,442561.79999999993,387591.24,350565.4,394629.44,414012.5999999999,380331.6,454795.16,438345.36,405626.92,137606.6799999999,199465.2,252228.56,332112.8,305787.68,642898.4,285639.12,327209.0,419321.2,1695.8000000000006,1806.6000000000006,1421.8000000000009,1917.4000000000005,3018.200000000001,2120.8,1379.64,4093.48,4079.72,2355.800000000001,152810.84,10303.6,309252.36,253999.1999999999,8296.56,10603.64,198988.31999999992,310442.12,306281.52,268140.32
5,461701.1,439193.2,410360.6,417751.9,464171.6,416628.0,491042.0,481263.7,421159.4,268036.8,322061.99999999994,385904.6,530906.1,437897.6,664211.5,422071.6000000001,449705.5,588901.6,4024.2,4013.4,3014.6,4002.6,3959.4,4118.2,2824.499999999995,3584.4,3573.6,4002.6,316822.80000000005,16267.0,314097.6,310378.5,11256.1,10843.2,308340.3,318177.60000000003,316318.2,312542.4
6,502674.68,519176.0,427003.84,456034.48,519047.76,523545.4,528756.0,503435.84,534321.88,356639.0400000001,496575.96,489726.4,646536.52,579874.12,692721.9999999999,547117.12,609751.6000000001,707810.8,3567.12,3560.64,3210.320000000001,3554.16,3809.840000000001,4020.84,3644.24,4110.44,4123.16,3554.16,322762.56,24006.00000000001,355641.4,322656.4,11912.12,15449.72,337443.52,356202.12,343763.04,331075.32
7,511702.34,534937.02,530137.96,510501.36,535241.72,539666.3,551926.56,508124.98,551322.24,528894.48,633307.36,569996.1999999997,771978.66,647176.88,706787.7000000002,678112.4,650592.2,775338.96,4103.02,4110.44,4512.68,4117.86,4365.879999999999,5317.84,3991.54,5160.919999999999,5273.88,4117.86,339467.04,33624.9,363803.32,351019.1,16367.12,17779.72,348432.12,428982.26,356326.52,351660.28
8,525605.68,555085.6,545365.2,526007.64,557982.36,561735.6,590828.4799999999,521535.72,628830.04,624531.4400000001,736503.32,751138.6799999998,793421.2,651350.68,783245.8,764820.24,658244.8,791928.0800000002,5432.44,5235.839999999998,4108.04,5318.96,5027.44,4983.64,5345.56,4507.48,7111.360000000002,5444.96,363431.6,65274.6,434976.5200000001,388606.0,17559.760000000002,21395.24,358302.2,482603.36,426454.28,362436.84
9,544075.64,612736.5,621159.08,544902.5799999997,603654.2,632416.2999999997,704553.5599999998,534092.5800000001,682623.98,764434.3999999998,783577.12,781852.6799999998,807408.06,673710.84,915560.3,781219.84,686994.0,824831.64,4964.44,4742.6799999999985,3420.92,4811.919999999999,4490.619999999999,6910.28,4630.380000000001,6695.72,6976.32,4937.919999999999,431418.0800000001,109553.20000000004,486097.88000000024,437493.3,33217.58,24338.48,429433.94,527863.62,475351.34,432990.98
10,617498.4,718504.8,673703.2,597289.6,693652.4,691606.0,852391.8,547162.6,823607.2,773341.8,804347.4,799078.6,817043.4,708125.2,953357.0,816024.0,693481.0,858012.6,4483.5999999999985,4254.199999999999,5104.999999999999,4315.799999999998,4997.400000000005,6714.8,5480.599999999988,6327.2,7015.000000000006,4441.799999999998,484359.4000000001,125754.0,556088.4,493885.0,45128.4,38430.8,453854.2,577849.4,527741.6,482186.8
11,672252.66,863270.28,830453.5599999998,670587.54,844317.92,844038.2999999998,923091.0,557561.24,891222.88,788337.76,830527.16,814845.0800000002,864635.7,769350.9,1001613.1,827015.32,725282.8000000002,909479.44,6383.32,6197.399999999999,6789.160000000013,6227.5999999999985,5804.06,6496.199999999996,7771.7599999999975,8161.88,10304.44,6353.5999999999985,502556.3599999999,178341.50000000003,575339.32,536431.9999999993,59966.24000000003,53868.32,497701.62,610594.14,570093.34,535730.6000000001
12,825353.3999999998,893301.16,887902.12,821472.28,890307.5999999997,896432.7999999998,966921.04,585094.84,993198.08,801374.76,838300.36,830860.64,903554.64,842778.36,1157377.6,905381.12,830496.2,925221.24,5993.76,5859.72,7410.68,6016.68,7945.0800000000045,10063.68,8182.48,8710.36,10514.68,8329.68,612233.08,232156.00000000003,610161.6799999999,597089.4,79908.08,68184.59999999998,506936.3599999999,697979.24,581644.92,570080.48
13,898589.8199999997,911920.74,991046.44,875083.36,946705.48,946911.0,1143286.88,627782.6,1026080.9,818981.4400000002,854144.28,897203.28,918882.14,909395.38,1197568.9999999995,916293.88,893177.1000000008,954059.64,8234.74,8102.28,7805.56,8260.82,8270.98,9351.72,8756.119999999999,8387.96,13383.84,8386.82,680380.32,278469.0000000001,639364.4,618603.9,91090.08,100992.44,539826.9400000001,800033.16,615516.22,589564.26
14,985211.44,925722.16,1040447.5600000006,966487.04,958542.64,1025332.8,1165864.96,756529.76,1040360.88,833626.96,924555.1999999998,909285.08,944184.6,921754.04,1287053.2,945994.68,915473.8,991907.24,8670.88,8634.36,7750.840000000005,8794.76,8732.36,8753.160000000002,8467.36,10358.12,12853.24,8920.76,691432.7999999999,308093.2,716653.12,645814.4,100741.84000000004,105322.68,573805.04,812803.24,637895.32,594669.28
15,1033663.1,977594.1,1138898.8,1010223.7,982664.4,1036456.5,1183229.2,765790.1,1064641.7,872424.7999999997,955022.8,937495.8,970488.9,941204.2000000002,1357628.5,959148.0,926086.5,1127762.4,8701.099999999999,8445.199999999999,9195.6,8480.299999999997,8434.8,10241.799999999994,10320.4,10152.8,12181.399999999998,8606.299999999997,726718.4,308648.5,741029.8,657538.5,119274.4000000001,109453.8,585913.9,841784.7,677360.7000000002,630744.4
16,1056291.32,1006657.96,1151195.92,1088897.919999999,1055291.84,1059711.9999999998,1226266.28,796596.24,1087058.68,908246.32,961871.48,974862.8,981964.64,960814.76,1449181.8,1020366.84,975666.6,1202533.4,8208.56,8568.840000000004,9111.159999999998,9431.960000000003,10294.84,10187.88,10250.56,10347.600000000002,13846.2,9557.960000000003,777849.48,312066.8,747625.9199999998,680196.2,164939.44,135257.95999999985,613348.72,886121.52,725037.64,640912.16
17,1100107.12,1009840.64,1163915.04,1132961.7999999998,1072036.28,1092142.1999999995,1245423.3199999998,918401.08,1112835.04,918129.16,1013025.56,987456.76,1043074.28,983677.34,1466377.9,1028152.08,996177.1,1298912.04,10243.1,10010.2,11872.44,10137.38,10172.82,11209.08,12292.699999999995,12831.56,16228.04,10263.38,833053.92,312534.9,777770.28,690848.7000000001,180147.7,187131.6,720349.48,963182.32,749642.22,658792.6
18,1216917.92,1037653.72,1215951.4,1150141.36,1110223.5199999998,1112435.6,1277220.52,945617.52,1121575.84,944637.12,1046475.64,1065271.3200000005,1074631.84,1033769.24,1475303.2,1053660.16,1014929.4,1357424.28,10307.56,10187.32,12805.800000000005,10358.08,10201.20000000001,14918.960000000005,12673.800000000005,15108.039999999995,16381.56,10484.08,849393.28,312559.4,786124.48,724248.7999999998,234732.43999999997,260196.47999999995,778228.8399999997,1008446.04,800789.88,755359.36
19,1248233.26,1088816.42,1268845.68,1176417.66,1163756.76,1128449.9999999998,1296621.68,956935.66,1159045.72,990167.64,1100256.52,1225463.68,1156635.7,1062212.74,1505190.6,1113912.92,1029339.4,1394431.24,10925.3,11352.200000000004,14117.96,12458.900000000007,12732.76,15958.92,15398.96,15059.48,16634.96,12269.80000000001,879776.36,319430.19999999995,793859.04,741991.9,293123.0599999999,313498.72,801866.22,1017888.78,806979.34,774822.6
20,1254712.7999999996,1101736.6,1276343.6,1198510.6,1176293.8,1157747.0,1333966.6,961149.1999999995,1244301.4,1013946.4,1124439.8,1252363.6,1205840.8,1143714.6,1534481.0,1108954.6,1032067.0,1410079.4,12920.4,12885.8,13507.8,12974.999999999998,14127.00000000001,16430.4,14676.400000000005,14441.4,17011.400000000012,13100.999999999998,882953.8,325965.0,801844.6,762460.0,306635.19999999995,315396.4,833858.7999999998,1048095.6,813697.2,781403.4
21,1291171.24,1127988.18,1301466.88,1222727.6,1237062.28,1172745.6,1379728.1999999995,996617.64,1280338.82,1021160.36,1156964.7999999998,1275261.36,1281735.18,1184664.96,1558768.4999999998,1144484.2,1046713.9,1424446.16,14653.320000000005,14648.44000000001,15444.36,15605.86,15155.779999999995,16049.76,13961.220000000005,15296.880000000017,18103.08,15827.759999999998,898491.44,343504.7,804131.08,777102.7,308742.76,316519.68,869867.38,1055098.28,819213.98,789393.22
22,1308837.16,1155646.76,1318200.84,1236095.8000000005,1371792.2,1201741.2000000002,1398290.76,1013828.56,1289228.8000000005,1067855.48,1171127.24,1281483.88,1329166.84,1194212.08,1590381.6,1180725.16,1053308.8,1443561.4800000002,15208.48,14939.92,15282.08,15121.48,14618.96,17925.600000000002,13256.96,15868.4,17966.04,15247.48,909338.56,348875.8,824179.52,814140.6,307975.48,317624.88,910152.36,1054456.64,824723.28,811176.28
