,342_1_www.alternate.de,342_2_www.alternate.de,342_3_www.alternate.de,342_4_www.alternate.de,342_5_www.alternate.de,342_6_www.alternate.de,342_7_www.alternate.de,342_9_www.alternate.de,342_10_www.alternate.de,343_1_www.alternate.de,343_2_www.alternate.de,343_3_www.alternate.de,343_4_www.alternate.de,343_5_www.alternate.de,343_6_www.alternate.de,343_7_www.alternate.de,343_8_www.alternate.de,343_9_www.alternate.de,344_1_www.alternate.de,344_2_www.alternate.de,344_3_www.alternate.de,344_4_www.alternate.de,344_5_www.alternate.de,344_6_www.alternate.de,344_7_www.alternate.de,344_8_www.alternate.de,344_9_www.alternate.de,344_10_www.alternate.de,345_1_www.alternate.de,345_2_www.alternate.de,345_3_www.alternate.de,345_4_www.alternate.de,345_5_www.alternate.de,345_6_www.alternate.de,345_7_www.alternate.de,345_8_www.alternate.de,345_9_www.alternate.de,345_10_www.alternate.de
0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-2192.0,-442.0,-442.0,-442.0,-442.0,110.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
1,3582.24,3634.42,3774.12,4127.4,4090.3,5180.100000000001,3959.22,4098.78,4130.58,426.5,1484.9999999999998,1343.62,1555.44,1693.4000000000005,1422.86,1539.06,1235.8200000000004,1113.799999999998,-360.82,-400.42,-368.74,-360.82,-283.6,-327.16,-269.74,-400.42,-400.42,-356.86,3712.4200000000014,3590.88,3576.6799999999994,4106.2,3559.56,4090.3,4045.32,3933.48,4030.68,3573.6
2,6136.52,6240.84,8536.72,9748.2,8385.800000000001,8330.08,8274.52,8223.92,8557.08,2672.0,2547.28,4146.48,4101.96,5434.96,3946.48,4121.04,4430.079999999998,5312.12,-279.64,-358.8400000000001,-295.48,-279.64,-172.79999999999959,-366.24,461.68000000000006,-358.8400000000001,-358.8400000000001,-271.72,7365.320000000007,6244.24,6487.279999999996,8099.8,7827.519999999998,8358.199999999999,4659.24,5937.079999999997,4188.279999999996,6461.8
3,13961.72,14052.88,14217.799999999996,16321.6,15738.8,31822.18,15970.600000000008,33193.8,16754.160000000003,4047.0,4917.6399999999985,6309.76,4383.48,6189.84,6866.58,4754.02,6244.36,5966.48,-419.72,-317.26,-328.0399999999999,-419.72,1580.8,461.67999999999887,1528.6,-317.26,-317.26,-465.56000000000006,14434.88,13904.439999999993,14257.48,22382.00000000003,13896.320000000003,22220.9,8269.039999999999,8404.7,7807.320000000002,12237.2
4,34153.16,36943.44,33013.76,33984.000000000015,41504.6,36637.76,34387.24,36441.84,27557.96000000001,5341.0,6126.440000000001,8346.88,8265.960000000001,7874.800000000001,9867.56,8524.039999999999,8096.2800000000025,7782.760000000002,8.479999999999562,-275.68,-610.72,8.479999999999562,1352.6,1592.64,1471.84,-275.68,-275.68,371.0399999999999,32847.16,32017.88,33186.64,35427.400000000016,33000.76,34831.6,21968.480000000032,32172.24,23107.599999999995,32227.4
5,52405.8,70385.4,47636.2,43025.0,43155.5,51826.9,57472.99999999999,73508.19999999981,36004.3,9119.5,7249.3,13924.6,11781.200000000004,18046.400000000005,12227.9,12239.299999999996,14111.300000000005,14117.999999999995,1632.6,-282.2000000000001,960.2000000000003,1632.6,1479.0,1370.0,2022.9999999999993,-282.2000000000001,-282.2000000000001,1617.8,38939.80000000003,36291.4,41092.99999999999,60488.0,39503.7,44150.0,33204.4,36562.2,31587.60000000001,36870.0
6,80585.12,97954.68,69316.91999999997,61655.8,60842.00000000002,75439.43999999999,72799.72,134304.8,38992.640000000014,12771.0,8574.239999999998,34275.64,13626.72,34326.44,16135.44,18236.36,34199.04,32868.76,1571.92,-442.64,1607.44,1571.92,1246.5999999999992,1396.84,2237.44,-442.64,-442.64,1526.8,58914.52000000001,44007.76,91003.16,124452.6,90614.44,55011.99999999999,45718.28,49693.04,34078.24,48679.99999999999
7,127090.47999999994,150480.26,124681.96,102934.2,78014.9,120764.30000000002,107174.4,155856.99999999994,75924.46,14514.5,15010.739999999998,35229.26,16143.799999999996,35418.68,19813.779999999995,35128.700000000004,35252.86,33636.48,1384.7000000000005,-603.0799999999998,1521.9,1384.7000000000005,707.8000000000002,1489.9199999999996,1898.82,-603.0799999999998,-603.0799999999998,1322.58,134765.12,108281.64,142437.84,214976.20000000013,165555.4,69516.49999999997,51266.60000000001,80233.22,38106.12,105049.80000000002
8,236781.27999999997,209936.52,164639.07999999993,160577.6,120650.00000000006,154544.24000000008,149715.6,244627.11999999997,157813.32,18410.0,35245.88,37296.6,21417.76,39044.16,37418.12,34001.04,40765.07999999998,36249.52,1365.24,189.75999999999974,1340.6,1365.24,481.39999999999975,1419.0800000000006,1628.56,189.75999999999974,189.75999999999974,1390.52,250049.72,178310.8,204743.44,294413.60000000003,247586.12,145375.99999999994,57906.040000000066,129483.2,50583.19999999999,151883.6
9,293087.84,268842.12,260329.48000000013,177235.6,187197.1,190814.1,227175.92,281788.56,243592.82,37346.5,36377.54,54363.66000000001,36243.92,68749.08,40962.42,35206.26,44598.78,45046.47999999995,1430.02,1141.4799999999996,1373.14,1430.02,101.60000000000004,1941.7999999999988,3815.16,1141.4799999999996,1141.4799999999996,1458.46,292382.58,283794.19999999995,277052.32,299660.6,278783.48000000004,195464.7,94521.2,194258.24,70195.72,281063.80000000005
