,310_1_www.bild.de,310_3_www.bild.de,310_4_www.bild.de,310_5_www.bild.de,310_6_www.bild.de,310_7_www.bild.de,310_8_www.bild.de,310_9_www.bild.de,310_10_www.bild.de,311_1_www.bild.de,311_2_www.bild.de,311_3_www.bild.de,311_4_www.bild.de,311_5_www.bild.de,311_6_www.bild.de,311_7_www.bild.de,311_8_www.bild.de,311_9_www.bild.de,311_10_www.bild.de,312_1_www.bild.de,312_2_www.bild.de,312_3_www.bild.de,312_4_www.bild.de,312_5_www.bild.de,312_6_www.bild.de,312_7_www.bild.de,312_8_www.bild.de,312_9_www.bild.de,313_1_www.bild.de,313_2_www.bild.de,313_3_www.bild.de,313_4_www.bild.de,313_5_www.bild.de,313_6_www.bild.de,313_7_www.bild.de,313_8_www.bild.de,313_9_www.bild.de,313_10_www.bild.de
25,3116396.0,3310136.0,3368658.0,3021126.0,3378375.0,3200963.5,3284875.5,3024443.0,3372358.0,1470190.0,1234682.0,1412482.0,1387969.5,1336861.0,1471061.0,1336133.0,1341572.5,1388729.0,1392172.0,2359297.5,2250067.0,2196147.5,2292728.5,2254076.0,2259512.0,2271734.0,2256737.5,2248275.0,722485.0,673175.0,691519.5,667145.0,747529.0,561192.0,710276.0,560123.0,690157.5,713032.0
26,3127957.24,3361049.6,3520932.88,3068302.76,3402986.64,3282822.24,3334789.76,3045341.24,3465822.96,1622873.24,1250747.88,1462619.4,1405614.96,1442685.0,1532987.28,1386177.28,1433392.3999999994,1408236.2,1473093.44,2392405.8000000003,2301294.4,2220801.2,2326538.2,2290949.28,2298732.440000001,2288031.96,2292013.44,2273802.92,726907.72,678460.6,693893.72,674811.96,756040.08,658254.6800000004,750945.1200000001,679872.08,695686.6,745426.4
27,3211831.08,3402431.16,3611337.12,3198482.1,3483212.08,3348505.740000001,3364222.18,3117744.52,3463295.72,1645269.04,1261845.84,1542900.3,1444912.6,1518910.56,1634046.9799999997,1415334.6799999997,1491876.1,1473446.8,1539636.78,2412326.9,2344457.7,2270599.3,2332031.2,2336380.54,2325542.4,2333235.52,2321051.02,2322331.24,737981.7999999998,692519.6,705520.86,682371.72,761737.56,698892.12,758672.64,687317.72,705765.2,757502.54
28,3268888.12,3457015.04,3674007.8,3249843.2,3521815.84,3381550.04,3476969.56,3201707.92,3532114.88,1798699.88,1303832.88,1679242.2,1496137.6,1626977.32,1666404.4,1524359.3599999992,1640706.9999999998,1527706.6,1625189.92,2423527.4,2369873.4000000004,2308889.4,2351402.4,2418928.84,2368672.16,2360310.04,2419374.76,2352203.96,775966.2799999998,695062.7999999999,717607.16,692911.56,773253.28,739386.4,763173.44,690742.12,708706.52,772251.56
29,3328764.44,3486766.24,3736574.24,3338600.22,3605465.16,3430010.38,3557606.96,3348734.2800000007,3586968.5,1829807.1600000004,1288173.52,1798762.999999999,1553347.02,1779392.8800000013,1720723.6800000009,1661986.4399999997,1707340.2,1664339.7000000004,1739546.5600000003,2482976.2,2446974.8000000003,2354331.7,2387730.0,2429007.62,2429492.88,2425075.36,2438752.84,2367353.8,781965.88,708104.6,724655.24,697570.04,775337.32,742654.12,776755.48,700578.44,715452.52,783489.32
30,3373391.6,3487731.6,3733058.8,3374913.199999997,3644352.2,3553947.6,3657792.6,3451664.6,3624401.6,1866884.6,1353323.1999999993,1834055.0,1583670.2,1819612.4,1844655.6,1791225.4,1778980.0,1684243.0,1803328.2,2519077.0,2486222.0,2369982.0,2488321.0,2465462.0,2462143.2,2493251.4,2454477.6,2400406.8,793504.6,713918.0,739635.4,707026.6,782564.6000000002,744990.7999999998,784736.7999999998,710105.8,727657.3999999998,784829.2
31,3428144.280000001,3502837.24,3803733.12,3396477.3399999994,3701220.56,3578638.44,3665440.04,3499426.92,3691187.98,1871336.26,1423751.52,1859723.0,1585826.62,1846984.32,1872873.04,1818722.48,1808249.8,1778427.5999999996,1829503.28,2551849.1,2499552.4,2389446.6,2510202.9,2489925.72,2485730.96,2508034.6,2509602.98,2448680.1999999997,799892.6000000002,724625.6,744569.58,718552.2,784580.92,757718.36,793238.88,752117.16,739619.58,786928.42
32,3554212.2,3541720.92,3882849.08,3493174.76,3747828.12,3614081.24,3710084.24,3538014.36,3757591.56,1923495.4,1430684.4399999997,1889226.2,1599073.32,1863564.64,1884570.0800000003,1853094.64,1872771.8,1851236.9999999998,1839785.52,2579115.0,2556466.8,2416112.0,2524250.6,2505806.4400000004,2527895.2,2519781.76,2538358.3600000003,2559501.84,804479.04,762686.4,755533.56,762519.48,792237.12,768285.36,795612.08,760819.4,764805.32,792737.52
33,3725358.199999999,3627300.12,3924230.68,3602115.32,3783299.16,3659630.4,3750992.26,3648552.2,3963459.36,1923090.34,1473800.04,1896271.7999999996,1647230.46,1902317.6000000003,1882484.42,1896125.32,1906710.9,1863749.7,1862473.18,2593652.2,2616294.0,2428673.7,2565133.600000001,2541631.84,2550611.8000000007,2556580.0799999973,2589665.66,2572831.44,807131.32,776622.4,762008.2000000002,766510.16,798317.48,775925.96,800992.5599999998,769683.2,786215.78,799724.92
34,3856246.92,3639013.52,3950618.64,3773974.16,3803611.12,3691848.12,3734356.32,3723178.84,4160332.84,1938189.64,1479053.2799999998,1917545.0,1732583.0799999987,1912467.56,1918507.08,1889527.88,1922878.8,1883764.4,1923203.36,2606372.4,2626503.6,2471227.4,2599247.2,2612757.4,2618960.16,2632347.24,2629190.64,2670681.08,813691.36,786015.3999999998,771538.92,778331.76,804016.48,775938.64,811073.52,777382.28,787652.0800000002,809196.3999999998
35,3880141.4,3699728.8,3953517.6,3875141.1,3937367.8,3766516.8,3766488.0,3855332.0000000005,4291629.7,1961547.9,1570646.6,1927617.5,1777667.4,1923095.8,1941905.0,1913567.2,1934441.0,1889063.5,1917637.0,2715775.5,2639771.5,2500940.5,2642875.5,2626298.9,2645000.600000001,2646563.6,2671028.0,2699599.0,818149.2,787797.0,781526.7000000002,782099.4,817296.8,780357.2,816575.8,779563.6,790588.9,813568.8
36,3912531.6,3728674.24,3970250.64,3960988.24,3983589.1999999993,3793559.96,3893509.52,3952437.52,4306780.32,1970537.52,1624378.04,1976413.2,1793593.56,1935557.56,1950946.68,1926846.88,1958874.2,1921477.0,1953001.4,2726491.2,2708380.4000000013,2534582.6,2676009.8,2670051.3600000003,2689155.96,2686335.28,2708747.8,2728154.36,824324.24,789320.4,797786.84,783052.6,825558.16,784879.24,820119.52,776358.4400000002,788261.04,821411.72
37,3945447.24,3880092.84,4089054.96,3996108.44,4117841.52,3874420.66,3930490.5999999987,3996057.880000001,4330519.24,2002798.38,1628975.56,1980605.8,1820939.44,1941731.16,1975937.06,1941624.64,1963615.7,1941820.6,1959912.66,2789091.999999999,2817904.7,2640322.1,2717905.399999994,2758705.84,2727614.16,2764188.52,2838382.620000001,2749880.84,832700.36,793943.2,791336.62,788361.4400000002,830683.4,789748.08,825357.16,780004.76,821897.94,831742.18
38,4022522.32,3937038.36,4117087.12,4025982.44,4168755.84,3910669.6,3956671.12,4038638.12,4353706.8,2016458.08,1634538.08,1999724.8,1833519.68,1964795.44,1985571.120000001,1955796.76,1998477.2,1957620.0,2001606.88,2850479.9999999995,2836790.799999999,2752680.0000000005,2805152.8000000003,2774003.52,2814186.24,2839032.32,2898837.92,2773902.84,838826.44,795706.2,800312.52,791731.24,832525.76,797182.92,827845.56,792791.52,834565.96,832810.84
39,4247790.84,3948905.88,4186420.96,4070995.1199999987,4195447.36,4041874.220000002,3970954.64,4170101.72,4375498.66,2019089.84,1654261.8,2043576.4,1846754.96,1988999.92,2025939.68,1958204.6,2018536.8,1973287.9000000004,2027608.64,2950576.7,2988517.8,2845435.9,2881174.2,2952195.800000001,2936057.64,2905686.36,3034056.98,2788352.039999998,840169.08,800798.0000000001,839142.9000000005,795644.16,834882.72,797960.44,830046.52,800419.84,834317.1199999999,842930.1199999999
40,4310408.2,4034184.8,4231686.0,4128414.2,4330945.999999999,4118852.2,3991377.4,4191560.4,4436352.999999999,2037906.4,1668641.7999999996,2056414.0,1870619.4,2038190.8,2055709.6,1984375.9999999998,2027164.0,2017219.0,2041161.8,3004361.0,3040262.0,2859271.0,3003454.0,2981662.2,2971053.4,2920178.6,3045589.8,2808179.9999999986,839990.0,810459.0,839503.6,800880.2,840334.8,803845.3999999998,830963.2,809610.4,839909.4,850555.0
41,4343930.24,4293682.72,4377076.96,4270753.22,4498288.44,4256516.22,4061069.879999995,4215620.16,4455767.76,2058106.16,1679952.7199999997,2066724.7,1900626.68,2058976.04,2075459.04,2021240.48,2052994.2,2027636.9,2070911.52,3094911.1,3076996.3,2879443.4000000013,3084910.1,3001996.98,2989208.8,3073636.400000001,3071007.9200000013,2909587.8799999994,842646.72,817137.4,864917.72,806583.16,877732.3999999998,811752.8,828802.88,811947.4,849434.06,855902.58
42,4473881.6000000015,4349240.2,4592407.84,4305105.5200000005,4564266.76,4479159.88,4245386.6,4249677.6000000015,4469801.16,2074075.48,1739416.16,2069870.8,1894436.04,2065004.84,2101144.28,2010151.48,2063489.4,2032943.8,2082442.88,3168900.8,3088231.2,2891854.8,3092575.6,3060588.56,3148773.72,3118739.44,3152536.24,2936172.04,849123.96,820575.0,880338.36,812026.76,892281.12,816551.64,832514.24,818458.88,865455.76,856003.04
43,4631210.48,4469725.84,4593174.28,4397796.1,4696024.24,4608257.46,4474756.68,4381924.000000002,4584246.519999998,2099516.28,1740691.64,2088064.1,1944703.6,2079070.36,2105457.42,2034461.44,2101166.9,2049931.3,2090281.68,3214546.7,3134972.2,2906010.3000000007,3180051.7,3096066.18,3183585.88,3144849.76,3179166.54,2969699.9199999995,868391.76,828678.8,888875.5599999998,814622.4,898352.64,826215.28,848276.52,824603.08,886847.1399999999,852298.38
44,4690736.199999998,4559354.08,4612759.2,4521590.880000001,4769984.08,4662967.56,4577276.12,4487998.96,4615939.44,2113598.64,1749190.72,2091407.2,2052187.12,2092535.36,2125182.96,2047535.88,2115736.2,2070897.6,2107378.4400000004,3421010.0,3156684.0000000005,2983637.6,3192207.4,3116948.92,3236088.200000001,3195163.199999999,3205656.12,3003114.92,873049.56,832702.6,890659.92,821518.88,900227.1200000001,828512.68,866426.0399999998,832857.84,885842.88,861430.12
45,4714868.2,4638881.800000006,4650768.8,4531537.7,4803050.3999999985,4683275.6,4701364.1000000015,4608167.4,4632145.3,2164452.2,1760628.6,2111355.5,2068315.2,2123606.2,2139253.7,2055479.0,2129759.0,2103288.0,2121587.7,3530985.0,3216012.0,3024988.0,3245029.5,3158091.4999999995,3254661.8,3226889.6,3222823.4,3031866.399999999,878306.8,835708.0,896447.4000000003,825566.8,901853.4,833987.4,880155.4,840956.4,894657.9,873908.7
46,4772083.84,4762621.32,4713099.48,4540941.52,4809953.72,4742863.800000002,4824829.72,4647084.12,4712347.84,2172447.36,1778528.2,2145382.4,2113467.12,2131499.16,2167743.92,2061552.92,2135816.8,2116672.8,2171440.44,3544726.8,3237978.6,3090068.4,3268335.8,3176676.8,3351724.84,3279368.28,3262711.76,3051118.28,883953.08,836601.4,899865.96,829939.0800000002,908082.68,841434.48,897818.84,839706.56,900132.72,873638.8
47,4806338.8,4773826.32,4732039.48,4591767.1,4829037.64,4772105.34,4874016.76,4694956.44,4721453.72,2178163.4000000004,1789725.52,2160286.9999999995,2127879.36,2141053.12,2175898.86,2109276.9600000004,2167249.1,2133036.8,2172286.2,3584198.1,3268226.9,3133507.7,3298507.5,3265013.06,3442062.04,3294079.72,3358361.46,3080881.44,917806.12,839092.2,904331.34,838070.32,944804.2,843340.36,901948.92,869294.08,903314.9,889730.54
48,4873275.72,4783347.44,4770744.64,4600242.84,4844076.04,4774242.24,4909483.48,4734902.0,4753282.72,2205535.52,1798872.6,2181277.2,2145264.72,2159189.92,2201782.68,2129247.72,2178310.6,2154696.8,2190464.12,3700339.3999999994,3292685.8000000007,3449031.8000000026,3380352.4,3602540.28,3565589.96,3323650.879999998,3377370.96,3100238.36,927253.56,848208.0000000001,913635.56,841270.04,949737.04,879407.9199999998,906750.7600000001,870136.92,906800.84,910400.76
49,4875553.28,4813814.44,4777714.76,4607607.34,4916800.8,4814225.400000001,4955449.76,4771821.6400000015,4802833.64,2227710.9,1810740.08,2196397.599999998,2156582.52,2170544.72,2218883.86,2137509.28,2191797.4,2167432.9,2202105.94,3869718.5,3465458.2,3512837.4999999995,3637498.799999999,3613172.82,4025324.64,3559444.16,3663884.3,3322617.1199999927,928198.16,864279.2,916451.08,880527.48,956668.52,881118.72,942986.4,878905.2000000003,911504.0,913847.66
50,1867.0,1904.0,1716.0,1603.0,1871.0,1898.0,1846.0,1799.0,2126.0,1843.0,1078.0,1863.0,1744.0,1727.0,1868.0,1779.0,1814.0,1721.0,1779.0,2586.0,2549.0,2364.0,2533.0,2413.0,2479.0,2505.0,2481.0,2456.0,664.0,572.0,645.0,560.0,684.0,582.0,659.0,555.0,629.0,658.0
51,2815.0,2700.0,2712.0,2466.0,2745.0,2861.0,2691.0,2785.0,3017.0,2210.0,1378.0,2192.0,2099.0,2059.0,2199.0,2147.0,2221.0,2084.0,2164.0,3279.0,3196.0,2931.0,3132.0,3028.0,3109.0,3157.0,3068.0,3010.0,772.0,708.0,776.0,708.0,792.0,666.0,757.0,677.0,740.0,761.0
52,607306.0,627466.0,563500.0,496672.0,598396.0,604076.0,594767.0,582134.0,681528.0,545767.0,331322.0,553945.0,517587.0,517892.0,559531.0,535790.0,540068.0,520466.0,540134.0,823905.0,809560.0,753733.0,804966.0,765895.0,790618.0,794993.0,795313.0,787026.0,173191.0,153460.0,173904.0,153412.0,176951.0,156982.0,170651.0,149397.0,168959.0,171476.0
53,5495051.0,5492342.0,5385822.0,5110153.0,5522776.0,5469752.0,5558558.0,5400376.0,5498450.0,2780380.0,2150492.0,2754373.0,2685840.0,2696069.0,2791242.0,2691479.0,2744406.0,2701859.0,2754877.0,4764623.0,4426502.0,4290818.0,4535078.0,4378870.0,4839711.0,4530101.0,4505780.0,4250741.0,1101351.0,1021551.0,1128852.0,1038929.0,1133608.0,1043843.0,1113791.0,1040357.0,1116695.0,1119799.0
