index,285_1_www.ing-diba.de,285_2_www.ing-diba.de,285_3_www.ing-diba.de,285_4_www.ing-diba.de,285_5_www.ing-diba.de,285_6_www.ing-diba.de,285_7_www.ing-diba.de,285_8_www.ing-diba.de,285_9_www.ing-diba.de,285_10_www.ing-diba.de
1,-442.0,67.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1452.14,57.20000000000039,1559.2200000000003,1830.04,1519.04,1509.94,1477.42,1537.24,1445.82,1533.6
3,3588.72,2089.000000000001,4087.12,4256.360000000001,4067.6799999999994,3971.56,3554.16,4123.16,3597.36,4127.4
4,5047.86,4336.2,4322.959999999997,5414.18,5537.120000000001,6851.26,4558.58,4327.08,5111.26,4729.2
5,6162.08,4909.599999999999,8308.32,6290.52,9880.039999999997,10028.12,8611.68,8100.32,6093.28,8554.800000000001
6,8353.3,6655.0,16122.099999999984,8396.699999999999,13164.400000000001,12529.599999999999,7606.899999999997,11398.80000000001,8404.9,11805.0
7,18359.440000000002,8322.2,20030.479999999996,18185.76,14011.08,13976.639999999998,19989.080000000005,19536.36,18330.359999999997,19931.399999999998
8,19776.98,18620.6,23381.1,21824.72,16222.880000000001,15421.180000000002,21627.02,23224.48,19888.24,21883.19999999999
9,23418.28,21075.4,24835.72,23041.28,25731.359999999997,27160.519999999997,24884.280000000006,24549.760000000002,22642.24,25193.0
10,25103.44,23433.799999999992,24522.019999999993,24834.62,29003.839999999993,29118.94,25200.520000000008,24755.960000000003,25139.72,24910.399999999994
11,24937.599999999995,25528.0,66835.39999999985,24844.200000000008,31062.000000000004,32393.000000000004,42487.00000000008,56487.40000000001,25121.799999999996,51787.0
12,32143.160000000054,25552.999999999996,91875.62,58616.899999999994,32652.32,32681.639999999996,88137.96,93973.84,33043.95999999998,87352.2
13,72128.08,39581.400000000016,90198.83999999998,70936.87999999983,32362.920000000002,47301.079999999994,91516.04,90743.76,81500.44000000009,86747.59999999993
14,70598.42,64979.4,93148.15999999997,90265.58,67900.84,73496.94,97351.36,92637.04,87888.78,92282.6
15,92079.28,63404.2,99142.16,90140.08,95849.12,71778.24,95701.28,117607.12,86810.92000000001,96299.6
16,96825.40000000001,88094.0,100810.8,94446.1,98806.8,95143.2,98077.3,121680.40000000001,92798.3,98681.0
17,98866.24,91193.20000000001,135153.12,98402.56,103182.96,99117.04,115431.8,156269.44000000015,97040.16,111155.5999999999
18,101185.35999999999,95213.6,169478.16,98889.31999999999,103972.67999999998,107476.62,123896.02,202837.2799999999,99101.94,133343.2
19,154754.4,99597.6,200945.24,102733.11999999991,134072.47999999995,106104.16,124259.51999999999,264555.52000000014,101230.76,165757.59999999998
20,153998.94,98899.6,234678.95999999996,134021.66,148655.23999999982,107148.36000000002,148369.38000000006,269235.32,123310.84000000005,191719.40000000008
21,212087.19999999995,97789.0,276164.0,133753.80000000002,177920.6,108676.79999999999,156558.0,267162.6,135934.6,206247.0
22,218575.46,129532.6000000001,275740.72000000003,169262.16,176201.96,148723.74,156575.78,271085.76,147226.32000000004,239804.2
23,250975.40000000002,136119.60000000003,308456.48,201918.88,174740.40000000002,180197.47999999998,202034.96,272458.28,170740.52,272163.2
24,280017.02,174316.59999999995,334635.30000000005,236570.86,207863.91999999998,199878.03999999998,202430.80000000005,318078.4400000002,199681.18,280134.99999999994
25,288514.84,201256.6,384609.79999999993,269478.3199999999,240778.16,220155.36,234408.04,333982.44,223985.08000000005,326502.7999999999
26,294458.5,198370.0,422276.0,285883.0,281143.0,263126.0,270723.5,336409.0,242502.0,349484.0
27,344042.39999999997,254175.20000000027,488954.63999999996,285714.92,296268.56,283145.76,295440.88000000006,350935.4,288440.8,381355.19999999995
28,359261.7,275370.0,557264.54,311998.6,319969.95999999996,293167.06,293721.4,352023.88,335660.1,406309.39999999985
29,380508.0000000001,304357.19999999995,579277.84,368949.55999999976,354646.48,308946.39999999997,312538.84,358594.32000000007,341561.4,490621.99999999977
30,429729.7,337735.60000000003,599046.08,416078.81999999995,387484.39999999997,325789.55999999994,335939.84,404258.84,360954.7,535852.4
31,502617.80000000016,343339.0,650935.7999999997,449796.4,438888.0,361479.5999999999,365884.00000000006,469571.2000000002,373233.0,598952.0
32,547374.38,342804.0,688564.76,482425.79999999993,453569.24,415423.5200000002,388349.16,518861.24000000034,383125.48,609709.0
33,593015.28,361347.60000000003,713351.72,519497.5999999999,488340.7999999999,456693.52,431742.96000000014,572000.4,409344.36000000004,648203.1999999998
34,603928.88,391419.0,756774.8399999999,575224.1,526194.64,525064.0399999996,474098.54000000044,585725.68,466888.4800000002,726236.0000000001
35,632472.16,430508.0,781328.56,594347.5999999996,578000.6,566138.68,526150.52,619736.12,534812.16,761346.2
36,667051.0000000001,468061.0,810203.7999999999,612318.2,607431.4,587164.6,582018.4,683885.2000000001,577783.9,809170.0
37,708181.3999999999,522954.7999999999,826181.72,633060.1199999999,643655.32,605927.48,606547.5599999999,718971.2800000003,601682.48,820413.9999999999
38,764792.48,573713.0000000001,829293.08,656528.0399999999,670890.7999999999,622241.44,637976.92,762068.9600000001,634471.3199999998,838216.0
39,823894.4,598565.6000000001,828873.08,684848.2399999999,692050.5599999999,684504.2800000001,694664.1200000001,798222.44,694815.8800000001,855409.2000000001
40,830082.6,614112.6000000001,887481.6799999997,741665.6599999998,722417.6799999999,742750.4999999999,749740.4,840224.3200000002,734167.12,898439.0
41,868138.6,636866.0,941433.1999999995,790148.7999999996,764396.9999999995,784506.8,806649.8000000002,893145.4000000003,787302.4,924352.0
42,889047.52,671622.6,976815.82,797375.26,803765.0799999995,802181.34,865954.28,930192.1600000001,822059.4,971461.7999999997
43,925882.1200000001,721780.6000000002,1040488.52,832962.9199999998,828086.16,840423.28,892080.64,972804.24,827141.72,1031535.6
44,964198.6,770693.2000000002,1090085.1599999992,881320.3999999999,869079.9199999996,891477.76,923893.4800000002,1029827.2400000001,873377.1799999999,1070101.8
45,1027529.0000000001,816048.0000000001,1169143.8,935969.24,926008.5999999996,949859.5599999998,946582.76,1049889.4000000001,916338.4799999997,1159785.4
46,1044865.5999999999,821485.0,1179802.1,986010.4,985047.7999999999,990197.4,995979.6000000002,1103366.4000000001,946181.7000000002,1171285.0
47,1075193.16,852027.2,1179375.6,1020253.64,1041031.7200000001,1013115.72,1009851.2000000001,1170792.1200000006,1002269.6000000001,1176073.0
48,1139708.74,890675.4,1199176.64,1042767.4799999999,1070916.7999999996,1036034.04,1039218.48,1179257.32,1032847.5199999999,1197126.0
49,1169737.24,910764.6000000001,1204913.48,1090399.6399999997,1144157.8800000001,1049723.8,1068337.72,1183914.84,1065789.96,1204274.2
50,1170632.66,970087.2,1219872.6,1149571.0,1178128.72,1108757.7599999998,1116063.7600000002,1210595.2,1105321.5600000003,1207018.0
