index,206_1_www.justice.gov,206_2_www.justice.gov,206_3_www.justice.gov,206_4_www.justice.gov,206_5_www.justice.gov,206_6_www.justice.gov,206_7_www.justice.gov,206_8_www.justice.gov,206_9_www.justice.gov,206_10_www.justice.gov,207_1_www.justice.gov,207_2_www.justice.gov,207_3_www.justice.gov,207_4_www.justice.gov,207_5_www.justice.gov,207_6_www.justice.gov,207_7_www.justice.gov,207_8_www.justice.gov,207_9_www.justice.gov,207_10_www.justice.gov,208_1_www.justice.gov,208_2_www.justice.gov,208_3_www.justice.gov,208_4_www.justice.gov,208_5_www.justice.gov,208_6_www.justice.gov,208_7_www.justice.gov,208_8_www.justice.gov,208_9_www.justice.gov,208_10_www.justice.gov,209_1_www.justice.gov,209_2_www.justice.gov,209_3_www.justice.gov,209_4_www.justice.gov,209_5_www.justice.gov,209_6_www.justice.gov,209_7_www.justice.gov,209_8_www.justice.gov,209_9_www.justice.gov,209_10_www.justice.gov
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1484.46,1450.56,1458.46,1444.24,1431.6000000000001,1467.94,1557.4,1379.46,1452.14,1504.48,1433.18,1350.4,1406.32,1327.32,1444.24,1453.72,1332.06,1422.1200000000001,1352.6000000000001,1389.6000000000001,1453.72,1415.8,1458.46,1460.04,1493.56,1398.42,1506.3,1403.16,1444.24,1452.14,1430.02,1486.28,1445.82,1425.28,1400.0,1461.6200000000001,1458.46,1430.02,1406.32,1426.86
3,3626.0400000000004,3590.88,3580.08,3599.52,3670.2,3567.12,3586.56,3983.16,3588.72,3880.1599999999994,4566.28,3876.2,3875.64,4107.24,3599.52,3586.56,4096.92,3747.24,4052.2,3549.7999999999993,3586.56,3798.6,2457.48,3577.92,3749.44,3931.3199999999997,3922.2000000000007,3901.32,3599.52,3588.72,3683.04,3650.7200000000003,3597.36,3721.56,3927.0,3575.7599999999998,3580.08,3683.04,3875.64,3708.7200000000003
4,4386.82,4881.56,5334.96,4885.32,4999.8,4834.44,5103.72,5383.58,5165.02,4264.880000000001,5667.74,4135.08,5408.679999999999,4481.040000000003,5191.32,5079.72,4107.26,5012.16,4444.000000000005,4129.52,4973.280000000001,5230.2,4391.38,5279.480000000002,4504.36,5436.66,4607.299999999999,5229.88,4659.24,4775.639999999999,5148.86,7126.24,5218.26,5084.719999999999,5536.0,4787.38,5148.78,5165.86,5436.679999999999,5074.360000000001
5,8447.24,6303.24,6441.84,6407.8399999999965,6120.799999999999,8303.76,7697.519999999998,4099.28,6164.56,8297.12,6763.84,5050.360000000001,6481.32,4638.68,6713.8399999999965,6098.88,4696.92,5984.4800000000005,4697.400000000001,5258.12,6451.88,6390.8,5200.5599999999995,7792.559999999998,7606.240000000002,6265.720000000004,8654.199999999999,6463.08,5963.96,6226.56,6294.76,10340.48,6216.28,6287.639999999999,6550.0,8587.48,6182.48,6311.76,6509.32,6057.44
6,8037.000000000009,8021.2,8350.699999999999,8207.8,8297.0,7853.3,8464.4,8411.199999999999,8314.300000000001,8084.999999999997,8968.1,6338.200000000001,8338.6,8576.6,8513.8,8188.400000000001,6273.3,8282.4,8655.0,6483.6,8175.4,8331.0,10938.300000000005,12550.199999999992,7480.800000000001,8272.699999999999,8655.0,8471.800000000001,8300.8,7947.3,8444.1,10084.2,8543.9,8356.4,8352.0,8137.9,8507.7,8461.1,8366.6,8363.7
7,14449.8,14760.68,15005.880000000001,14663.72,13877.60000000001,14475.359999999999,14759.16,7715.840000000001,14824.92,14380.399999999998,14739.879999999994,8331.12,10303.800000000005,8593.68,14969.72,12673.519999999997,8476.36,13058.36,8456.399999999998,8491.16,14829.640000000001,11987.800000000005,14302.16,14419.56,14281.800000000001,9332.600000000006,14764.000000000002,12179.560000000003,14517.72,14659.92,13339.120000000003,11300.92,14972.96,13167.480000000003,9684.0,14424.16,14960.880000000001,13340.56,10660.600000000008,14876.08
8,24851.94,25938.36,26722.24,26281.079999999998,22722.800000000014,25441.1,26198.68,14188.36,26499.38,26667.359999999986,25116.97999999999,7902.1999999999925,14649.800000000001,12728.640000000003,24606.079999999998,24195.68,11691.599999999993,24333.72,14829.200000000008,8109.4400000000005,27662.68,19926.79999999998,27398.920000000002,15906.28,28116.12,14391.8,26612.60000000002,17271.64000000001,27495.079999999998,27696.38,24954.620000000003,16323.960000000001,24923.079999999998,21598.72000000001,14538.0,24329.079999999998,24859.24,24970.620000000003,14677.800000000001,24897.66
9,26312.359999999997,26873.16,27045.44,23705.64,24912.399999999998,26807.12,26517.08,26110.559999999998,27117.12,25653.76,25602.64,14731.48,24600.24,14757.2,24769.48,22683.039999999994,14550.599999999999,22252.32,24929.399999999998,14957.52,31749.599999999984,27639.600000000002,28185.44,18731.519999999997,26900.96,26881.96,27729.8,27130.12,28072.92,28117.96,25384.28,22760.28,23939.24,22848.92,23506.0,24436.24,25118.68,25484.04,23269.48,24241.519999999997
10,24353.78,25379.239999999998,25606.620000000003,21915.96,23180.199999999997,41373.24000000002,25584.16,27072.14,25599.58,23935.36,24514.46,24632.08,24737.96,23376.12,23624.280000000002,23125.84,23546.960000000003,23326.079999999998,25487.6,24740.36,60957.84,27837.4,26336.620000000003,29640.920000000027,25102.56,28102.739999999998,29460.3,28130.48,26522.96,37981.95999999998,24285.58,32729.28,23894.54,24587.84,25369.0,23327.98,23725.620000000003,24541.559999999998,24194.04,24510.079999999998
11,51086.799999999996,28224.6,24665.199999999997,40341.8,40772.0,45697.2,60301.8,25733.199999999997,49392.99999999992,46021.399999999994,22863.8,25154.2,22701.600000000002,24983.2,22102.399999999998,21708.4,24726.2,22210.2,24747.0,22761.4,59618.4,26205.0,40531.799999999996,36130.6,26917.0,39295.20000000013,56046.0,43157.799999999996,24956.2,58697.8,33820.2,32888.8,40486.99999999998,22858.399999999998,23332.0,22213.2,38992.2,22793.600000000002,23451.4,22535.600000000002
12,60656.159999999996,53962.72,25746.54,66158.08,55113.40000000001,48101.660000000025,80837.92,24304.86,56124.86,60479.4,30970.080000000024,24399.760000000002,21871.12,23792.84,34584.71999999998,55726.55999999996,23861.720000000005,45153.0,23131.600000000002,24218.079999999998,64308.03999999991,24936.6,59225.74,34923.52,30876.04,58943.98,60381.00000000002,58747.56,42739.16,56975.74,41551.22,31479.16,64602.58,22455.200000000015,38144.0,43920.19999999999,58690.200000000004,26443.63999999998,27219.959999999974,45244.32
13,84322.4,59788.48,46357.52,70190.88,63268.00000000002,57093.68,80868.76,52463.399999999936,62181.72,64470.8,50998.39999999999,23206.079999999998,25412.48,31290.16000000002,65423.399999999994,59404.19999999999,26312.559999999958,55584.399999999994,38637.399999999994,23921.52,69476.35999999999,40373.20000000002,62528.4,33120.88,32786.96,59238.16000000001,92827.6,57801.64,58967.88,61031.68,51140.28000000002,29918.279999999995,68487.84,54611.44,54360.0,60446.8,86574.15999999997,39908.880000000005,54655.28,48982.04
14,88471.48,63726.32,62871.06,75305.48,93402.2,63334.22,101022.44,66864.12,77207.54,68353.56,75121.34,31683.71999999998,27764.640000000014,55330.72,73274.48,88685.92000000003,54154.15999999994,64844.2,54678.6,22334.48,92071.84,46147.000000000015,92327.44,46989.12,37299.08,60965.46,96298.1,75452.08,62833.12,66074.08,62998.799999999996,49668.04,71096.72000000004,60410.6,59862.0,86682.24,102059.06,49982.7,77780.64000000001,54563.72
