index,102_1_www.huffingtonpost.de,102_2_www.huffingtonpost.de,102_3_www.huffingtonpost.de,102_4_www.huffingtonpost.de,102_5_www.huffingtonpost.de,102_6_www.huffingtonpost.de,102_7_www.huffingtonpost.de,102_8_www.huffingtonpost.de,102_9_www.huffingtonpost.de,102_10_www.huffingtonpost.de,103_1_www.huffingtonpost.de,103_2_www.huffingtonpost.de,103_3_www.huffingtonpost.de,103_4_www.huffingtonpost.de,103_5_www.huffingtonpost.de,103_6_www.huffingtonpost.de,103_7_www.huffingtonpost.de,103_8_www.huffingtonpost.de,103_9_www.huffingtonpost.de,103_10_www.huffingtonpost.de,104_1_www.huffingtonpost.de,104_2_www.huffingtonpost.de,104_3_www.huffingtonpost.de,104_4_www.huffingtonpost.de,104_5_www.huffingtonpost.de,104_6_www.huffingtonpost.de,104_7_www.huffingtonpost.de,104_8_www.huffingtonpost.de,104_9_www.huffingtonpost.de,104_10_www.huffingtonpost.de,105_1_www.huffingtonpost.de,105_2_www.huffingtonpost.de,105_3_www.huffingtonpost.de,105_4_www.huffingtonpost.de,105_5_www.huffingtonpost.de,105_6_www.huffingtonpost.de,105_7_www.huffingtonpost.de,105_8_www.huffingtonpost.de,105_9_www.huffingtonpost.de,105_10_www.huffingtonpost.de
1,-442.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-48.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0
2,-327.16,105.4,104.44,106.84,106.36,96.76,-70.22,103.96000000000001,95.8,105.4,202.55999999999997,-263.43999999999966,1580.8,1368.0799999999997,371.03999999999985,-125.10000000000005,-490.03999999999985,-490.03999999999985,1610.3999999999999,-127.47999999999956,-251.64000000000001,-295.48,-263.8,-295.48,552.3199999999999,-245.98000000000002,-249.94,-251.92000000000002,-297.46,-259.84,1549.3600000000001,-102.89999999999993,-343.31999999999994,-366.23999999999995,-381.52,-350.9599999999999,1634.08,-457.92,-480.84000000000003,-1.6199999999999477
3,-366.23999999999995,210.8,208.88,213.68,212.72,158.68,-329.7199999999998,207.92000000000002,151.39999999999998,210.8,1858.16,1346.28,2238.4,1460.04,1390.52,395.4000000000008,1330.48,1330.48,1204.5999999999997,1355.76,1637.04,-610.72,733.6000000000001,-610.72,1403.16,1549.3600000000001,1368.0799999999997,1277.4399999999996,-595.44,914.8800000000003,1472.68,-473.1999999999999,1601.52,1592.64,1586.72,1598.56,1424.12,1536.6,1507.2,-388.7599999999999
4,461.6799999999989,-44.40000000000026,-3.2399999999998954,-106.13999999999982,-85.56,223.28,1575.6,17.339999999999975,220.39999999999998,-44.40000000000026,1626.6799999999998,1183.52,2504.399999999997,633.4799999999998,824.6800000000001,1443.9,1153.82,1153.82,532.5999999999996,1201.34,1325.74,1607.44,1468.0,1607.44,1021.0799999999998,1335.7,1365.1,1379.8,1611.88,1438.6,551.1600000000003,1573.4,1382.62,1396.84,1406.32,1387.36,533.76,1453.72,1467.94,1676.1000000000001
5,1592.64,-166.80000000000013,-105.68000000000008,-258.4799999999999,-227.91999999999985,-99.27999999999997,1683.56,-75.12000000000006,-44.39999999999992,-166.80000000000013,771.6800000000001,573.36,3911.9999999999995,2676.7200000000003,318.68000000000006,1319.5999999999997,533.76,533.76,2227.4,597.1200000000001,1451.56,1340.6,1415.8,1340.6,408.2800000000002,1472.68,1460.04,1453.72,1360.2,1428.44,4396.44,1415.8,1139.9599999999998,1163.72,1179.56,1147.8799999999999,2341.24,1143.32,1051.6399999999999,1543.44
6,1370.0,1870.0,1416.8000000000015,1847.8000000000002,1855.2,-90.40000000000006,2252.9999999999995,1190.2000000000005,-14.0,1870.0,2553.4000000000005,2433.7999999999997,4204.0,3244.399999999997,2633.1999999999985,796.5,2470.7999999999997,2729.2999999999997,4291.0,2395.0999999999995,1196.8000000000002,1431.6000000000001,1136.0,1431.6000000000001,2352.2,1225.1000000000001,1205.3,1195.3999999999999,1423.7,1155.8000000000002,4584.2,1185.5,750.1000000000004,647.2000000000002,578.6000000000004,715.8000000000005,4478.599999999999,589.2,570.7999999999995,1320.3
7,1396.84,1648.9999999999995,1707.8000000000002,1560.8000000000002,1590.2,601.0399999999988,2371.68,1814.96,57.1999999999984,1843.4,4798.48,2334.84,5907.2,4392.12,4556.64,795.2000000000064,4474.44,2287.44,4829.000000000005,4550.28,521.8800000000001,1177.1600000000003,929.3999999999997,1177.1600000000003,4496.84,551.1600000000003,633.4799999999998,674.6400000000001,1218.3200000000002,839.2799999999996,4422.04,578.6000000000004,395.0800000000005,257.5600000000007,589.5600000000004,349.2400000000001,4484.68,2466.36,2439.72,628.9599999999999
8,1437.8400000000004,1645.8000000000002,1623.68,1678.98,1667.9199999999998,1819.68,1912.0399999999995,1683.8999999999996,1840.3999999999999,1904.9999999999998,4729.96,4300.4800000000005,6466.2,6233.88,4456.28,2318.8999999999996,4429.62,4429.62,6967.8,4333.66,544.2400000000013,1097.4800000000002,569.4,1097.4800000000002,4499.24,280.48000000000025,387.43999999999994,440.9200000000002,1150.9600000000005,597.1200000000001,6795.959999999999,453.59999999999513,2432.32,2360.6800000000003,2292.6400000000003,4668.359999999998,7032.84,2248.6800000000003,3347.4399999999996,1203.0799999999977
9,1163.72,1434.5999999999997,1544.36,1393.72,1377.8799999999999,1570.6,3965.6,1599.2399999999998,1649.0,1434.5999999999997,7263.96,4389.079999999999,8170.0,6571.84,6118.32,3812.600000000003,4492.68,4492.68,6083.999999999998,4130.359999999999,2380.12,564.8800000000001,1133.4000000000008,564.8800000000001,7067.24,4396.44,2454.52,2466.36,619.7600000000001,1858.5200000000013,6529.28,4729.400000000001,4448.32,2299.24,2324.52,4424.24,6906.88,4564.48,4528.96,2359.0400000000004
10,1066.92,1312.1999999999998,1449.7199999999996,1105.92,1174.68,1642.64,3996.94,1451.1399999999999,1614.1999999999998,1312.1999999999998,7171.919999999999,7051.16,8915.2,7101.76,5196.5599999999995,4429.7,6330.919999999998,6620.719999999999,8801.000000000004,7004.72,4456.22,486.7599999999999,2370.4,486.7599999999999,6529.28,4485.74,3218.360000000002,2810.4800000000023,555.5199999999998,2282.9199999999996,5810.04,4497.3,4574.84,4534.88,4467.68,4166.08,8381.52,4365.16,4407.82,4631.56
11,647.2000000000002,740.0,877.1999999999995,799.3999999999997,779.5999999999999,1571.8,4663.6,945.7999999999998,1709.0,740.0,8634.2,6541.6,10536.0,8036.800000000001,5870.6,4655.0,6702.4,6702.4,9181.0,6538.2,4585.2,2039.8000000000015,2255.0,2039.8000000000015,8206.8,4461.8,4491.400000000001,4536.8,1586.5999999999992,2286.6000000000004,7414.4,4526.0,4330.4,4377.8,4409.4,4346.2,8595.999999999996,4208.599999999999,4407.0000000000055,4543.8
12,585.24,609.7999999999995,777.88,1046.1599999999955,547.639999999998,1429.3600000000001,4428.06,833.0600000000002,1385.8,3065.4,7815.399999999999,6540.920000000003,10985.999999999998,7684.28,5846.639999999999,6898.600000000003,7102.0199999999995,7071.0199999999995,12571.400000000001,5936.619999999999,4300.38,2350.9599999999996,4146.800000000001,2350.9599999999996,7951.920000000001,4336.46,4443.38,4496.840000000001,2404.4200000000005,4582.24,15727.680000000006,4385.7,4519.26,4251.72,4014.5600000000013,4488.880000000001,17161.76,7067.24,7010.48,4535.46
13,257.5600000000007,3176.200000000006,2088.5199999999977,4807.719999999996,2672.68,1128.8400000000004,6282.48,1544.680000000001,1312.2000000000005,3046.8,13513.32,7513.320000000001,10646.800000000003,9862.200000000004,5378.16,6881.5999999999985,8064.5199999999995,8388.08,12748.4,7040.4800000000005,4462.84,2236.04,4380.2,3898.1599999999953,12089.840000000006,4422.04,4384.12,4365.16,2217.08,4289.32,16004.919999999998,4208.600000000001,6185.159999999997,6139.44,7053.48,6429.48,16949.16,6655.88,6542.24,4273.599999999997
14,2487.08,4929.8,2579.2799999999997,4770.580000000001,2425.28,751.8800000000001,6154.58,2644.02,877.2000000000002,2910.7999999999997,13992.28,6695.599999999997,12551.6,18420.760000000002,8192.399999999998,6672.099999999999,7221.579999999999,8132.579999999999,14133.800000000001,7709.54,4531.2000000000035,2877.8399999999965,4393.6,4539.96,16873.52,4133.140000000001,4413.420000000001,4528.36,2332.42,4434.68,22930.11999999999,6979.199999999999,6953.960000000001,5619.760000000002,6668.72,6925.88,25057.28,6628.4800000000005,7048.18,7159.88
