index,232_1_www.msn.com,232_2_www.msn.com,232_3_www.msn.com,232_4_www.msn.com,232_5_www.msn.com,232_6_www.msn.com,232_7_www.msn.com,232_8_www.msn.com,232_9_www.msn.com,232_10_www.msn.com
1,110.0,-442.0,-442.0,-442.0,-113.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,4049.92,3849.96,3573.6,4088.18,4107.6,3837.1200000000003,3957.24,3907.74,3689.46,3766.5
3,5423.959999999997,6176.08,6624.199999999998,8631.52,4715.28,7704.959999999997,8648.44,6358.12,6393.08,6249.0
4,10063.319999999994,14416.799999999996,19162.8,13865.999999999978,8401.539999999999,11324.799999999992,12265.400000000014,9204.599999999999,16603.799999999996,13170.5
5,25595.279999999988,40694.32000000001,92547.0,27075.6,19142.8,33824.24,29758.440000000024,44561.520000000004,34021.840000000004,52704.0
6,30627.200000000004,100252.4,132335.0,58202.1,69466.1,128712.6,34110.799999999996,49950.4,102543.9,66821.5
7,50768.72,101628.56,163552.59999999998,61586.920000000006,69244.16,164211.24,34679.600000000006,51184.28,131020.92,66638.0
8,73256.34,132705.96,169617.4,67547.94,72357.36,164273.28,44146.88,62256.18,134339.88,75233.0
9,79415.24,138664.68,173725.8,74955.68,85767.36,169630.96,60335.28000000008,67792.68000000001,137147.56,80313.0
10,80878.81999999999,147079.64,176863.4,100547.79999999999,92009.54,181236.32,81402.32000000005,131458.46000000002,142924.16,120135.5
11,108817.99999999997,151468.4,191275.0,140092.2,130758.80000000019,179033.2,146551.60000000015,133816.6,178890.4,162921.0
12,153575.16,190562.80000000002,196775.2,147499.68,183733.98,188006.96,181206.68000000008,177381.19999999998,180571.62000000002,194505.0
13,179335.04,199894.56,225316.59999999998,198320.5599999999,185211.36,189557.19999999998,195941.28,198248.44,203579.76,197970.0
14,211555.68,205378.40000000002,312055.59999999986,237594.13999999975,216814.6400000001,243315.35999999993,197406.47999999998,196670.92,202951.04,232237.0
15,259290.63999999993,290439.28,384911.4,358041.5599999998,250504.91999999998,277454.27999999997,233057.80000000005,226616.0,249664.28000000003,299185.0
16,308251.5,370359.3999999999,433322.0,414918.59999999986,299851.4000000001,352157.7999999999,287781.80000000005,301497.60000000003,306785.99999999994,377752.0
17,385073.11999999994,400954.36,441364.2,474215.1999999999,350885.32,393351.6,357104.96,364226.4800000001,367108.24,401519.0
18,387242.16,416570.56,445395.2,552943.6799999999,396574.72,397826.6,399910.52,426556.08,395034.54,432233.0
19,399966.1999999995,429242.32,445910.2,559868.28,439450.4,440575.4799999999,456229.83999999997,469251.04000000004,441010.76,455423.0
20,462684.54,433982.6,468408.39999999997,568441.8,503947.34,469826.32,485873.60000000003,506068.82,464983.96,495238.0
21,465047.99999999994,469992.4,500559.0,574595.0,507001.4,471434.99999999994,487725.2,512358.8,510621.0,517141.0
22,503953.88,514305.64,528709.1999999998,585128.68,528347.2999999999,503050.44,519469.92,515279.38,562291.78,546843.0
23,513529.16,543386.7600000001,566290.6,590252.32,553635.08,521672.52,558985.84,535316.4,566610.04,560113.0
24,515794.22000000003,556447.36,567162.2,595921.82,558535.22,532844.4,560243.56,564939.14,571469.14,564298.5
25,573889.2,555448.64,566300.8,600016.4400000001,563297.36,586640.96,564294.04,567770.44,568437.68,564698.0
26,577117.5,559234.0,569866.0,604004.0,560316.5,583786.0,561172.0,585385.5,576437.5,567131.5
27,579961.92,565727.24,580435.4,620934.1999999998,566272.48,589535.12,567037.88,585152.08,580819.96,573498.0
28,585966.74,570466.92,582560.2,662437.2199999997,571351.3600000001,592839.24,573356.76,587383.92,582290.6000000001,576527.0
29,589100.24,567852.92,595588.6,674515.92,573068.84,600367.36,571538.2,593606.88,594879.44,577553.0
30,598571.12,581084.12,597065.6,698211.06,594376.84,603750.12,595894.32,594201.18,594440.9,611177.5
31,602843.4,590190.2,630792.0,699171.2,599503.6,607666.8,600611.6,601261.8,614591.1999999998,642431.0
32,636087.08,590298.08,666181.5999999999,703627.6,604475.22,624856.56,600143.8,601593.9,658227.86,647624.5
33,653964.6,624029.4,674492.8,703296.4400000001,650913.84,661797.2,616322.6800000002,604877.84,692058.3200000001,648990.0
34,674252.8399999996,653636.2,672402.2,706382.8,649063.46,685588.7999999999,651166.44,636283.9,690471.78,689118.5
35,692998.0,682580.52,672669.6,718695.8,666763.08,694291.68,658752.8,662208.84,688428.44,695436.0
36,728458.7,681370.6,670501.0,716257.0,683058.0,692312.2,701413.0,664285.9,686371.1,693426.0
37,726398.8,678569.4,668411.0,751468.76,710510.8,690311.52,699551.2,662432.6,684397.16,691403.0
38,726265.2000000001,683565.76,666307.0,801345.3999999998,708562.94,688387.84,697633.4,725643.18,682427.42,689451.0
39,744322.8,687223.4,714677.7999999992,874323.8,706689.56,686495.4,706704.84,743114.32,688114.28,690121.0
40,742337.2,690984.84,814039.1999999998,945284.2200000001,711589.7,684540.28,709212.8,741146.4,735041.28,698092.0
41,763718.8,691251.0,855006.0,953481.2,710026.0,760104.3999999991,734111.4000000007,739213.0,810492.8,726278.0
42,837794.78,717431.5600000004,922267.6000000001,954559.3,722495.3,798448.04,734522.2,773359.74,872643.0400000005,883097.0
43,913506.08,850185.7200000004,933363.8,959112.48,735457.76,843679.32,752414.0800000001,790344.88,925761.8,916662.0
44,916276.72,913069.68,941728.7999999999,957809.2799999998,776668.2,866045.3999999999,786778.8000000005,788422.6,932940.1,928103.0
