index,133_1_www.android.com,133_2_www.android.com,133_3_www.android.com,133_4_www.android.com,133_5_www.android.com,133_6_www.android.com,133_7_www.android.com,133_8_www.android.com,133_9_www.android.com,133_10_www.android.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1859.0000000000007,1559.2200000000003,2976.7999999999993,1776.199999999999,1279.3999999999983,1117.24,3774.2000000000003,4032.84,1300.5,1817.6000000000017
3,5422.2,4146.719999999999,5035.160000000001,5455.08,5524.36,5073.679999999999,4392.68,4155.6399999999985,4138.0,5226.64
4,8394.800000000001,4199.959999999997,8056.120000000001,8413.32,6209.44,6269.76,8302.42,7901.659999999999,6378.0,8192.06
5,8730.000000000004,8217.32,12307.399999999998,8426.799999999996,7836.280000000002,8011.76,13262.88,13426.24,8466.0,8010.200000000004
6,13568.0,12622.999999999995,22617.399999999943,13478.8,13987.599999999997,13457.4,29795.8,37674.700000000004,13415.0,15392.3
7,38122.4,13427.36,38032.44,38440.08,38991.36,35996.84,32572.279999999995,37462.12,26944.0,38441.92
8,39360.6,38178.02,35831.42,36598.36,37097.880000000005,37367.840000000004,39398.659999999996,42724.86,38178.0,36293.619999999995
9,37436.6,39201.64,36457.36,37591.52,38223.84,38696.04,43491.96,56956.84,36287.0,42240.72
10,50013.20000000004,37771.08,39226.700000000004,45366.24,44206.32,39090.92,41539.06,57502.44,41692.5,46349.9
11,74561.0,36719.600000000006,40620.200000000004,44461.4,43583.600000000006,54353.80000000001,42156.8,60602.2,43571.0,52432.6
12,78955.00000000001,71028.23999999999,57313.380000000005,58956.28,42675.68,56322.24,48271.15999999998,63206.38,78140.0,67255.82
13,85159.2,107606.32,61039.12,63778.9999999999,54149.79999999999,69837.84,54945.68,71549.44000000015,96104.0,65669.16
14,113889.59999999999,109541.7,65766.72,74917.24,67150.16,73155.92,71129.28000000003,91220.54,113931.5,86459.79999999999
15,122715.59999999999,122013.12,67291.64,80362.44,94550.68000000001,78183.19999999998,71045.84,98968.6,115360.0,108762.96
16,127319.0,120704.1,86528.59999999999,108839.20000000001,100682.2,85695.79999999994,93251.9,121407.59999999995,113953.5,134000.2
17,130838.2,125495.76000000001,111452.64,138681.76,104321.12000000001,118483.04,90180.16,143707.87999999998,126818.0,137975.08
18,138246.60000000006,126161.62,109403.78,159876.16,111577.16,124676.04,100389.4,168911.28,130147.5,145995.96
19,156451.2,127599.19999999997,122587.47999999995,177395.15999999997,145636.6,126440.48,108397.88,169358.27999999997,135129.0,177040.44
20,155300.4,136298.88,158780.19999999998,177627.44,150464.08000000002,154691.2,109556.93999999997,173968.24,135381.0,173384.08
21,174919.0,137350.80000000002,169536.2,191206.2,148159.40000000002,156510.8,131870.59999999998,225073.8,143955.0,185830.6
22,186569.80000000002,141669.92,198069.79999999996,209232.16,150349.48,172802.99999999997,181409.28000000003,249086.16000000003,153944.0,197191.14000000004
23,191829.2,165435.91999999998,208250.32,211996.88,149318.36,184688.72,229237.75999999983,275987.12,178341.0,207617.04
24,191257.2,181013.86,210370.18,213985.12,174783.19999999998,195355.52,279341.64,306686.07999999996,184085.0,207897.76
25,192212.2,211301.72,209303.16,213688.36,190144.59999999998,204759.84,305615.6000000002,374666.04000000004,200863.0,235767.36
26,232274.0,219173.0,208733.5,213502.0,208711.0,220685.0,368917.0,439046.0,204759.0,235034.5
27,252492.40000000055,219534.84,262006.47999999998,221612.4,222921.2,223162.48,404106.60000000003,481517.84,212265.0,267679.95999999996
28,298698.4,221452.44,295222.82,231754.19999999995,241861.7999999999,224741.52,446507.02,513548.86,227832.0,303050.1000000001
29,328923.4,224949.84,346150.44,252942.39999999976,285501.5199999995,247178.44,506777.3600000002,566166.88,253503.0,358399.96000000054
30,372301.80000000005,225046.97999999998,366589.0,297140.16,346639.4799999996,294287.8000000002,535468.5599999999,599681.62,296264.5,383143.9600000001
31,428194.0,251748.4,425413.5999999999,370677.6,407575.3999999998,342101.8,590260.2000000001,653639.7999999999,343985.0,431984.20000000007
32,488296.20000000007,294856.76,486688.8,429074.5199999997,483831.4399999996,406950.68,634159.9799999997,682809.34,371818.0,477419.46
33,528492.2000000001,335482.8,523149.1599999998,481114.4799999999,551495.32,457169.1599999999,677896.2,718016.4,426543.0,540857.6
34,589713.4,359834.19999999995,544121.22,543686.88,634702.5599999997,493255.27999999985,725072.4400000001,818988.7199999999,520092.0,589304.68
35,605560.0000000001,441339.08000000013,615047.08,595397.4800000001,681238.6,559855.12,768617.84,852238.8,616409.0,652375.76
36,620414.0,532013.7,645460.7,675722.1999999996,724708.6,624950.3999999999,819687.0000000002,938939.6,669162.5,725988.2000000001
37,681312.0000000005,627671.3199999995,676732.12,757779.3999999997,767571.9599999998,663290.52,883895.48,989711.5599999999,766018.0,778133.12
38,724801.8000000002,726458.8600000001,720291.6799999996,808547.36,824991.44,706969.8799999999,915937.16,1059565.52,877329.0,859699.68
39,800794.3999999999,798610.6399999999,770880.5599999999,867351.0799999991,890256.3999999992,786431.56,961608.84,1115789.48,986599.0,911776.5600000003
40,883649.8000000004,872242.08,833610.04,910791.6399999997,949131.52,811336.4,1026716.9,1164598.7199999997,1074931.0,961771.98
41,937981.0,950000.5999999994,886105.0,990500.7999999999,983637.3999999999,873594.6000000003,1071180.4,1249500.1999999997,1176775.0,999906.2000000001
42,973791.8,1044632.72,958808.0199999997,1069602.3599999999,1054081.7999999993,965988.16,1117573.8800000001,1326223.6799999997,1245375.5,1036974.4600000003
43,1041489.4,1127155.8,1003888.9599999995,1100094.56,1099796.92,1036340.08,1213017.08,1371960.0000000002,1338547.0,1073452.8800000001
44,1086026.5999999999,1204904.4599999997,1049446.92,1176083.2799999998,1156823.5599999998,1123782.72,1242086.28,1480123.0000000002,1415721.5,1119748.36
