index,59_1_www.microsoft.com,59_2_www.microsoft.com,59_3_www.microsoft.com,59_4_www.microsoft.com,59_5_www.microsoft.com,59_6_www.microsoft.com,59_7_www.microsoft.com,59_8_www.microsoft.com,59_9_www.microsoft.com,59_10_www.microsoft.com
1,-48.0,67.0,67.0,67.0,67.0,67.0,-442.0,67.0,67.0,67.0
2,1903.5,441.31999999999994,1921.62,1935.8400000000001,1826.82,4680.360000000002,2444.16,1810.3999999999999,2031.92,1790.82
3,4970.0,5976.24,4834.24,4862.68,4928.56,14753.72,6516.72,5025.04,4523.44,4813.56
4,13594.0,10253.02,12581.980000000001,14013.840000000002,8791.86,32247.0,16767.96000000001,7523.08,7071.040000000001,10280.32
5,30494.0,24160.640000000003,33412.16,20560.76,20201.72,39257.84,29179.24,18903.0,19211.039999999997,48127.0
6,34246.5,30553.3,41650.4,50603.6,41517.4,161872.20000000013,32354.7,16582.8,35811.99999999999,45938.299999999996
7,44241.0,34873.03999999999,50749.240000000005,50464.04,46750.52,259379.84,37825.840000000004,20321.480000000003,41024.64,45594.48
8,73544.0,77830.6,74663.71999999991,57450.96,57109.56,272980.12,122825.16000000002,38980.40000000008,42029.03999999999,49723.200000000004
9,160150.0,179792.52000000002,218865.31999999998,155447.0800000001,95412.24,296267.8,238164.64,153003.40000000005,47153.44,56919.56
10,250958.0,256959.24,257337.2,245138.48,170180.44,324300.76,252761.96,242942.48,121850.32,135152.78
11,262069.0,264014.2,264090.39999999997,256247.40000000008,255100.8,369448.00000000006,264168.4,253101.2,221494.79999999987,233562.6000000001
12,270257.5,274062.80000000005,270162.38,273385.2,261895.82,434274.92,273224.19999999995,259795.6,256542.2,246247.59999999998
13,292702.0,281225.6,310986.88,293639.32,269803.68,438593.92,280228.4,268736.96,263176.76,261926.44
14,304071.5,300505.58,326931.51999999996,300976.16,299641.14,435618.92,304646.54,272889.92,274579.4,260575.6
15,313759.0,320238.32,343213.8,321601.4,303338.88,476688.96,346686.16,299608.76000000007,294465.68,271890.28
16,315506.5,367525.1,345607.6,340122.6,312907.3,642440.2000000001,371169.2,324918.2,302122.4,309940.0
17,337541.0,379826.72,348963.2,338198.4,336576.92,784419.4400000002,398058.44,338852.92000000004,310141.88,329151.92
18,335423.5,399114.6,346772.34,335989.16,339501.88,814561.68,433278.86,357434.8000000001,311589.52,338760.58
19,333489.0,427028.1599999999,344706.04,333848.6,337500.68,821567.28,438966.76,400233.16,309817.04,341809.8
20,351379.0,449347.12,342801.04,331911.12,335648.76,842433.76,445875.42,421055.5200000001,308016.16,340320.22000000003
21,458041.0,452346.8,365249.5999999999,329824.39999999997,333869.8,851959.0,446419.6,423401.8,306354.8,338450.8
22,492493.0,457037.77999999997,447064.2799999999,393498.9200000001,348567.24000000005,885763.4,452025.14,421539.04,304802.64,336575.6
23,596286.0,462457.27999999997,554239.2,473610.64,392632.64,1015582.04,450499.28,419842.04,304732.24,334815.12
24,698886.0,460562.44,726369.98,494382.64,460275.0799999999,1026888.84,448519.14,418089.76,360248.72000000015,346305.11999999994
25,789580.0,468315.19999999995,791875.48,611462.8,477349.72000000003,1049658.72,498558.2800000002,443439.92,473903.44,403771.56
26,794578.0,562471.0,815885.5,670618.0,585125.0,1058750.0,623306.0,475131.0,488042.0,468332.5
27,818350.0,690948.3200000001,818383.12,752576.2800000001,663678.08,1064162.92,723131.7200000001,551450.2799999999,614527.5200000003,494465.12
28,821712.0,797814.6000000001,824943.8,803467.72,783959.5200000004,1072529.56,794261.66,627640.8400000002,777765.0399999996,564761.56
29,827647.0,801127.48,836107.24,817575.84,802167.48,1077710.52,816261.0000000001,659493.0,795235.16,662069.0
30,839594.0,825133.54,865803.58,839963.88,812693.78,1226065.32,818242.86,754572.3600000001,811497.88,689212.2
31,849621.0,828380.2,868646.6,842943.6,836582.2,1321979.0000000002,824178.2,786211.6,836098.6,799595.8
32,856358.0,854685.92,871279.6,846239.16,839165.82,1527588.88,832354.92,793343.52,837177.48,802512.48
33,902999.0,860114.72,885617.76,878612.4,842876.24,1653602.4000000001,837349.64,813073.84,840311.76,826527.24
