index,82_1_www.mozilla.org,82_2_www.mozilla.org,82_3_www.mozilla.org,82_4_www.mozilla.org,82_5_www.mozilla.org,82_6_www.mozilla.org,82_7_www.mozilla.org,82_8_www.mozilla.org,82_9_www.mozilla.org,82_10_www.mozilla.org,83_1_www.mozilla.org,83_2_www.mozilla.org,83_3_www.mozilla.org,83_4_www.mozilla.org,83_5_www.mozilla.org,83_6_www.mozilla.org,83_7_www.mozilla.org,83_8_www.mozilla.org,83_9_www.mozilla.org,83_10_www.mozilla.org,84_1_www.mozilla.org,84_2_www.mozilla.org,84_3_www.mozilla.org,84_4_www.mozilla.org,84_5_www.mozilla.org,84_6_www.mozilla.org,84_7_www.mozilla.org,84_8_www.mozilla.org,84_9_www.mozilla.org,84_10_www.mozilla.org,85_1_www.mozilla.org,85_2_www.mozilla.org,85_3_www.mozilla.org,85_4_www.mozilla.org,85_5_www.mozilla.org,85_6_www.mozilla.org,85_7_www.mozilla.org,85_8_www.mozilla.org,85_9_www.mozilla.org,85_10_www.mozilla.org
1,-442.0,67.0,67.0,67.0,67.0,-442.0,-442.0,-48.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-48.0,67.0,67.0,-48.0,-442.0,-115.0,67.0,67.0,-442.0,67.0,-442.0,67.0,-442.0,-48.0,-48.0,-442.0,67.0,-48.0
2,1595.6,78.15999999999951,-103.12000000000063,-182.47999999999988,-136.24000000000012,1571.92,1394.5,960.2000000000005,1322.58,1592.64,685.8000000000002,2478.2000000000003,288.12000000000006,317.63999999999805,1405.319999999999,408.2800000000002,1314.680000000001,2482.64,498.91999999999825,1858.5200000000013,3807.28,2088.5199999999977,547.6200000000001,1062.4199999999998,1490.8999999999999,563.9600000000005,2467.84,1165.9599999999998,660.64,632.7200000000003,1066.92,1567.14,1217.18,1346.04,1229.06,1508.68,1455.6,1185.5,1278.72,1474.26
3,1155.8,1415.64,1470.5200000000002,1458.12,1489.4799999999998,1219.16,715.7999999999998,1175.6000000000001,600.639999999998,1163.72,7226.2,6610.6,6767.24,7086.12,7002.68,7079.24,7749.44,6809.12,6075.24,6959.48,6553.36,7300.68,5083.400000000002,4467.400000000002,4800.2,7331.68,6664.72,5105.800000000003,4345.920000000001,6787.68,4526.88,3008.120000000001,4563.56,4705.68,4320.079999999998,4186.44,2545.84,4513.0,4665.56,2237.52
4,303.40000000000043,426.04000000000025,517.7200000000003,1189.5600000000006,2632.360000000002,1949.1599999999996,2189.9,2777.2999999999997,2699.0800000000004,2867.08,14900.8,10811.599999999997,11767.28,11398.719999999996,14219.920000000004,11688.08,29691.959999999974,15180.88,11648.44,15250.24,14903.24,15135.52,11730.96,24117.38,10780.199999999995,15399.079999999996,12681.119999999994,9956.399999999998,9045.88,11235.98,6532.72,6120.6,6929.32,7181.36,6779.8,7114.64,4221.3600000000015,6028.0,7004.799999999992,6881.76
5,2292.6,4645.16,4619.88,1610.959999999997,4695.639999999999,4580.72,4358.2,4546.8,4460.28,2305.24,40661.0,53623.19999999996,83412.59999999999,53951.95999999994,28989.399999999976,40553.16,96619.40000000001,110347.36000000004,30422.479999999992,52518.600000000006,115460.48,101972.59999999999,80172.68000000001,83626.32,27357.999999999996,117005.52,115280.04,62071.32000000003,25326.28,50920.95999999994,11630.64,6090.04,6765.600000000002,12263.88,9780.919999999998,8374.199999999999,5887.4800000000005,8358.0,13419.84,8335.16
6,4374.0,4595.3,4560.099999999999,2431.2999999999997,4002.5999999999995,4507.6,6056.0,5040.0,6866.900000000001,4389.8,114175.0,141622.0,193523.2,206153.5999999998,117706.99999999999,126125.0,174005.4,249058.20000000004,153009.0,132579.00000000003,115349.2,118691.4,113728.1,112049.5,96475.0,116154.2,118114.3,117297.60000000002,111315.4,119743.3,13504.8,15030.2,14534.6,18373.8,12522.3,14953.2,15098.4,10587.0,15522.799999999997,14658.4
7,3772.6000000000013,7061.52,7113.360000000001,4476.36,8376.76,6950.84,5906.0000000000055,6542.2,5698.319999999999,6930.119999999996,228558.59999999992,223728.0,256959.52,263491.68,207590.60000000006,175292.6,224952.19999999998,262709.84,258535.92,233946.92000000013,115955.68000000001,118404.68,113854.96,114324.64,113093.2,123748.16,115453.72,118804.23999999999,116700.64,119251.68000000001,18260.24,16217.44,18245.720000000005,20287.72,13948.96,17574.079999999998,16028.640000000001,14534.0,17411.480000000003,15514.52
8,9660.800000000001,6379.0199999999995,7402.6799999999985,5531.199999999995,9329.039999999999,7425.479999999999,8016.4,6197.3,11081.46,6567.679999999999,261744.3,248515.19999999998,257796.84,263741.04,260153.32,260604.44,257113.04,260152.02,261553.92,262314.96,125666.74,126014.04,118290.56000000003,113736.92,113262.3,127243.72,120940.94,120628.04,115059.31999999999,123838.48,21285.36,17460.819999999996,20330.079999999998,22851.519999999997,16522.26,20795.920000000002,17881.6,15811.0,20572.800000000003,19664.12
9,8964.6,9030.599999999997,9601.16,6686.52,10066.68,8462.960000000001,9746.6,11957.600000000002,13329.720000000001,6238.64,261292.6,262340.4,257623.28,263421.16,263341.16,263837.56,259927.92,262905.92,259185.28,262294.68,127185.64,129092.76,123131.04,121862.92,118291.2,131862.88,124658.96,127030.04,121930.52,128509.11999999998,23366.52,20561.32,21928.079999999998,25467.560000000005,17917.640000000003,22792.36,20845.04,19427.0,22720.84,21125.36
10,9085.4,13792.76,10927.3,7568.7199999999975,46074.400000000016,12951.640000000001,12813.300000000007,13244.2,13513.899999999998,11032.199999999995,263644.7,265323.6,262262.24,271596.44,260745.76,260772.04,257460.76,269522.16,264084.44,263190.68000000005,130190.72,131928.92,124063.56,123438.66,122604.1,130910.32,127885.08,128034.64,126500.96,132960.36000000002,24984.000000000004,22775.039999999994,23339.579999999998,28203.240000000034,19773.39999999999,24552.760000000002,22751.92,24686.0,26471.36,22541.86
