index,204_1_www.warnerbros.com,204_2_www.warnerbros.com,204_3_www.warnerbros.com,204_4_www.warnerbros.com,204_5_www.warnerbros.com,204_6_www.warnerbros.com,204_7_www.warnerbros.com,204_8_www.warnerbros.com,204_9_www.warnerbros.com,204_10_www.warnerbros.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,4780.240000000002,3634.8799999999997,3962.2,3587.1599999999994,3606.0,4136.94,4126.280000000001,4122.1,4155.22,3554.16
3,8479.32,6122.08,8363.4,8499.48,8792.0,8476.28,8280.96,8401.199999999999,8484.64,7905.200000000003
4,23723.080000000013,15929.24,15812.7,15886.560000000001,16240.0,15474.04,15718.18,16464.600000000002,16089.34,14312.88
5,89022.8,29410.600000000006,117796.8,112795.47999999997,37705.0,117051.08,115869.52000000003,113770.80000000002,118784.04,23662.160000000007
6,171038.40000000017,117427.59999999999,118246.0,122147.8,95998.0,117122.7,118432.1,118334.5,118976.4,46487.80000000003
7,301719.68,117764.68000000001,191913.1999999998,192749.9599999999,117472.0,122214.20000000001,120829.52,121253.4,124357.20000000001,125433.31999999999
8,485072.24000000005,120478.16,317955.69999999984,283712.5399999999,157561.0,219012.5,176198.46,169585.70000000004,234201.72,125684.04
9,687604.92,206750.32000000007,481173.5999999999,356426.2799999999,279268.0,389284.16,276719.4,290965.60000000003,402658.48000000004,128922.72
10,776374.28,323862.4400000003,660599.7999999997,522516.75999999995,376760.0,563479.7600000001,408600.33999999997,416129.60000000015,544515.72,177446.44000000018
11,780817.4,468830.60000000003,784191.0,626696.6,597269.0,747612.1999999998,596507.8000000002,566944.0,689422.6000000003,291156.4000000001
12,780253.48,620737.5200000003,788168.1,776836.26,730507.0,788707.8,787907.08,732866.2000000001,789764.12,460450.68
13,789320.16,756913.2400000001,820805.4,787560.48,784561.0,800908.32,791006.72,788773.2,790406.64,581525.6000000002
14,793208.0800000001,787234.92,819421.8,788713.2999999999,788304.0,808973.64,800861.3,794584.4,809233.4800000001,761496.2800000003
15,803801.4,789158.24,818902.2,908443.88,795888.0,851839.12,825928.24,819585.0000000001,824813.88,796077.8
16,803041.4,805033.8,898570.0,938093.5999999997,809386.0,853500.1,901093.9,827257.5,873320.2000000005,818194.4
17,832860.76,804105.4,1016603.7999999998,1011653.64,852631.0,869189.2,943138.24,858380.2000000002,1002109.8400000001,832920.48
18,838921.28,858185.3200000001,1127253.9,1018994.52,854071.0,1003230.1999999996,1091546.4400000002,954039.4000000001,1120873.0400000003,832494.12
19,839560.4,937042.0800000001,1268619.0,1077055.88,943501.0,1156865.56,1245445.8,1083336.6000000003,1220560.76,875029.28
20,840462.8,1019873.8,1456135.3,1182456.88,963738.0,1289519.88,1337601.0,1242764.0,1346869.0800000008,983351.88
21,1004770.8,1139236.8000000005,1494763.0,1368618.9999999998,1017524.0,1436903.5999999999,1461524.4,1372432.0,1437480.2,1138212.2000000007
22,1078897.2,1301745.0,1653632.2,1481352.7999999998,1181441.0,1479800.56,1607109.4799999997,1489443.8,1463147.04,1270176.76
23,1193634.3200000005,1338917.16,1729634.4,1673967.96,1317175.0,1568907.1199999999,1730303.28,1672808.0,1561174.72,1453372.56
24,1372506.4000000004,1449826.36,1756195.9999999995,1741842.3,1449536.0,1697993.4599999995,1745684.9000000001,1738048.9000000001,1709929.82,1499768.4800000007
25,1587696.4400000002,1580592.08,1786466.6,1787396.08,1533384.0,1746021.8,1791851.76,1789457.6,1744499.52,1733430.04
26,1771823.0,1730489.0,1789536.5,1787145.5,1680888.0,1797379.5,1797383.5,1788827.5,1790760.5,1750739.0
