index,159_1_www.oracle.com,159_2_www.oracle.com,159_3_www.oracle.com,159_4_www.oracle.com,159_5_www.oracle.com,159_6_www.oracle.com,159_7_www.oracle.com,159_8_www.oracle.com,159_9_www.oracle.com,159_10_www.oracle.com
1,-442.0,-442.0,67.0,67.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0
2,3998.600000000001,4161.58,583.4799999999985,2802.0000000000014,3875.64,4128.4,4040.16,3708.7200000000003,3683.04,4017.72
3,4743.679999999999,8336.12,4472.5199999999995,4996.799999999999,6349.8,7049.4,4157.84,6351.400000000001,6145.8,4891.120000000001
4,8148.56,23061.800000000017,8829.6,8400.6,13484.440000000015,12465.200000000003,7968.62,13870.799999999997,16289.840000000004,7780.279999999998
5,18689.52,31704.56,15587.559999999989,18766.8,28396.48,16025.800000000001,18950.92,28697.6,34760.2,28920.08
6,28012.199999999997,85060.5,28814.800000000003,27731.0,31481.2,28923.0,28873.200000000008,31504.600000000002,63550.2,29309.2
7,31233.12,170598.56,31832.4,38264.600000000064,84537.64000000009,39333.799999999996,30797.04,69583.59999999999,150210.2,49817.76000000013
8,72646.92000000013,217958.96,97961.79999999992,152201.00000000006,167797.04,88205.40000000001,67735.39999999998,141388.19999999998,170056.2,145411.24
9,147318.92,221097.63999999998,164917.83999999997,170077.8,173169.72,173727.99999999994,127783.71999999999,156982.48,217779.56,170261.76
10,170120.64,249975.01999999996,204855.44,188711.6,204046.47999999998,213557.39999999997,150442.62,207165.40000000002,218873.24,217570.92
11,217124.4,306301.80000000005,219604.2,219542.0,225808.2,231337.0,193218.40000000005,220250.6,233169.0,225719.8
12,221099.96,440556.24000000034,223321.88,243601.00000000012,270595.3999999999,247485.4,225464.38,227958.96,263461.8,247324.72
13,229737.84,566005.96,234936.19999999998,257257.59999999998,425248.52000000025,272929.0,229211.48,254067.4,371597.7200000001,255067.56000000003
14,244702.4,694376.74,266554.8,297906.60000000003,495006.76,361620.8,259961.32,285008.84,513272.24,344299.4
15,270253.80000000016,705483.44,385959.5199999998,393917.2000000003,503442.56000000006,494954.79999999993,310221.83999999997,376436.9999999998,602989.7599999999,451653.4400000002
16,360949.40000000014,710819.2,504037.6,510012.0,594514.4,530472.0,391420.6,456756.19999999984,692442.6,541455.4
17,466405.2,734416.04,585016.2399999999,545183.6,693546.48,582939.2,471386.23999999993,546378.24,707135.8,634140.92
18,516452.12,760463.2,682738.16,658237.0000000003,703189.8,650556.3999999999,523012.48,659386.36,741029.4400000001,695736.88
19,623730.04,774093.7599999999,704282.7999999999,695627.6,737880.12,740120.5999999995,572793.4400000001,696313.32,747814.64,707126.16
20,694208.04,787083.26,739117.44,737232.4,742754.72,747966.4,652071.1,702786.5599999999,763208.12,738801.4400000001
21,704182.6,837929.2000000001,744257.4,742074.0,745789.8,766371.0,706048.4,713581.2,765173.0,745566.8
22,736981.64,882792.06,761528.72,753875.2,749161.48,810699.0,720675.6800000002,715996.6,816631.92,747072.08
23,739930.48,894392.36,762443.44,758147.4,768303.48,816993.3999999999,742360.2,758133.48,826897.8,753266.44
24,745569.48,962491.6800000002,791196.44,772044.8,778253.6,818972.4,757439.98,778722.04,838225.68,776379.6
25,775734.04,1087314.6400000001,804334.2,775427.8,799363.4,824463.8,763117.96,793919.8,840468.52,794506.6400000001
26,805949.0,1217123.0,826953.0,783166.0,838399.0,832521.0,793321.0,798033.0,852962.0,815660.0
27,807405.24,1347132.8399999999,834511.2,809195.8,839326.72,922965.6,808549.96,827765.08,966953.48,816462.8
28,811124.4,1461499.48,840880.52,850245.2,895064.72,1024241.2,819809.84,863742.6,1074236.8399999996,837216.36
29,840081.24,1574292.56,865098.1999999996,858010.2,961551.8800000004,1130516.3999999997,826392.8,917819.2399999994,1158176.44,854522.8
30,948943.6400000005,1587205.54,953094.2,886596.0000000001,1038238.72,1245988.1999999997,870337.52,1004535.3999999999,1213270.6800000002,965933.8399999997
31,1023682.4000000006,1600548.4,1050051.8,912627.0,1106919.8000000003,1373710.0,967160.8,1057071.4,1340386.2,1056202.8000000003
32,1119445.8400000005,1609620.84,1160361.08,979375.2,1134156.5999999999,1422832.2,1046585.6,1133488.92,1389758.6,1180496.88
33,1157570.64,1627573.92,1248957.7599999998,1025956.6000000001,1245343.4,1442351.8,1151802.4799999997,1227025.28,1406870.4,1318317.12
34,1228866.08,1656849.82,1335621.4,1057826.2000000002,1312096.4400000002,1454408.4,1269779.1199999996,1307436.6,1486252.76,1443500.08
35,1296738.6,1679791.72,1405730.2,1095150.0,1371285.56,1501274.4,1386875.7599999998,1411622.6,1495494.36,1481655.08
36,1414613.6,1699318.7,1481391.6,1196651.0,1413061.2,1534267.0,1435684.4,1483352.7999999998,1514989.4000000001,1482049.0
37,1424060.64,1702582.04,1485064.28,1272703.8,1475645.6,1546308.9999999998,1482104.16,1486674.92,1577016.2,1486564.6
38,1436064.96,1710663.78,1492269.36,1339954.4000000001,1495889.3199999998,1582040.1999999997,1484629.5999999999,1491045.6,1622929.68,1535682.2
39,1443518.88,1715211.28,1502640.5999999999,1421645.6,1562649.4800000007,1644482.2,1524963.44,1576728.4800000002,1641810.24,1575217.8399999999
40,1466085.36,1719195.34,1559655.0799999998,1501971.2000000007,1622927.4000000001,1669420.8,1525561.48,1623907.08,1655345.72,1620678.24
41,1520393.2000000002,1730306.8000000003,1621573.7999999998,1620778.0,1641871.2,1670506.0,1564788.6000000003,1629390.4,1677965.8,1625963.2
42,1529192.5600000005,1777442.24,1632650.2000000002,1625835.0,1654216.32,1687733.4,1610128.92,1646935.6,1679299.6,1628278.16
43,1613111.32,1796122.6,1663797.68,1644722.6,1669414.24,1699888.4,1627288.92,1679534.16,1687119.72,1632883.08
44,1623032.8,1820211.6799999997,1667063.04,1656848.8,1672628.52,1709222.2,1653353.0799999998,1682973.24,1696498.48,1640501.68
45,1637533.48,1919953.2000000002,1666858.4,1664075.0,1692880.7999999998,1716006.8,1672286.56,1688334.72,1704398.2,1685294.08
46,1647810.4000000001,1947019.0999999999,1687509.6,1682971.0,1699968.8,1719304.0,1679063.7,1700342.8,1708765.2,1686644.8
47,1676602.0,1949305.44,1699333.72,1694680.0,1703985.44,1721769.2,1680509.28,1703205.96,1711654.2,1693640.76
