index,260_1_www.samsung.com,260_2_www.samsung.com,260_3_www.samsung.com,260_4_www.samsung.com,260_5_www.samsung.com,260_6_www.samsung.com,260_7_www.samsung.com,260_8_www.samsung.com,260_9_www.samsung.com,260_10_www.samsung.com
1,67.0,-442.0,-442.0,67.0,-442.0,67.0,-442.0,-442.0,-442.0,67.0
2,5116.800000000002,3821.5600000000004,4119.98,5643.5,3798.120000000001,3889.6799999999994,5220.5199999999995,3604.92,3564.96,8079.0
3,33083.600000000006,8466.68,9823.56,17534.0,8491.36,8511.76,17826.56,6310.6399999999985,6007.08,53169.0
4,55866.1,17171.4,15942.58,52486.0,17168.800000000003,17810.6,52760.68,18006.12,17379.28,208726.0
5,191865.6,52769.36,25053.6,141723.0,53291.32,52420.36,57003.24,54098.16,53275.08,472231.0
6,354987.0,56861.700000000004,60094.8,326424.0,71666.60000000005,57400.4,162250.20000000004,57962.199999999924,52297.799999999996,757232.0
7,581143.8,145769.56000000008,62234.159999999996,468971.0,84026.40000000002,98477.6,310699.36,146207.88000000006,57929.96,954049.0
8,725523.3999999999,232380.4,87434.27999999993,603037.5,209150.54,268817.95999999996,454681.18000000005,200009.8,133843.15999999995,1168218.0
9,948718.4000000001,361752.96,239185.63999999998,774078.0,299930.1600000002,419768.12,637527.04,239120.19999999998,259806.08,1277542.0
10,1041533.2,478227.3200000001,364149.36000000004,996006.0,403654.60000000003,532345.5199999998,779448.74,383912.12000000005,302767.36,1476668.0
11,1135999.0,542374.2,436275.60000000003,1046186.0,558344.8,658444.3999999999,1038183.2,476235.0,383773.8,1636848.0
12,1340967.9,620477.52,578587.4400000002,1100734.5,584852.14,778375.82,1042516.7200000001,572057.7,462926.6399999999,1825438.0
13,1342607.2,706861.6000000001,633851.9199999999,1198497.0,718334.6400000001,971366.36,1141141.32,593869.1200000001,575731.88,2084876.0
14,1444267.6,799151.2000000002,755120.6799999999,1314195.5,836601.22,1037864.78,1196267.78,665086.9199999999,607645.64,2379604.0
15,1636895.1999999997,839591.6,788475.2,1461611.0,860596.5600000003,1102255.68,1282691.6400000004,758808.04,744252.3199999998,2698203.0
16,1876525.0,837004.2,909858.2000000003,1563315.5,1005949.6000000001,1172178.8,1365578.0,892925.9,834727.6,2970339.0
