index,377_1_www.kino.de,377_2_www.kino.de,377_3_www.kino.de,377_4_www.kino.de,377_5_www.kino.de,377_6_www.kino.de,377_7_www.kino.de,377_8_www.kino.de,377_9_www.kino.de,377_10_www.kino.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,112560.12,81973.38,111899.76,82431.6,95621.52000000002,114589.0,66076.16000000002,70483.22,112092.5,112932.68000000001
3,220784.5999999999,182632.6,240612.72,216061.39999999994,202446.76,275498.0,192134.4,208563.12000000008,279453.0,194221.36
4,308496.56,293340.22000000003,303990.39999999997,296021.8,289726.26,306310.0,296847.0,305291.14,318912.0,309286.9
5,409325.4,318788.2,399276.92,371885.8,325221.48,472777.0,340376.2,377515.76,507042.0,351029.76
6,572404.0,475907.7000000002,573056.0,540125.0,489521.4,589500.0,477137.40000000014,540364.0,631710.0,519072.89999999997
7,640237.96,589166.72,638932.56,616387.8,591025.8,645976.0,593548.48,643603.04,709960.0,609434.12
8,723340.88,636846.84,719330.08,656091.4,646131.2,722788.5,646876.54,721264.54,725023.0,720641.02
9,762721.72,712291.04,739669.96,724739.8,722110.6000000001,761221.0,722195.48,735853.36,762548.0,730754.36
10,793212.56,756070.6599999999,754814.5599999999,742010.0,726676.7999999999,786118.0,724324.62,747987.38,804903.0,755624.76
11,837472.6000000001,772495.6,804810.0,783374.0,782631.4,825808.0,768791.2,805899.8,859104.0,800291.2
12,863328.4,814685.24,853839.68,824876.4,810936.12,852928.5,809697.92,866964.48,879482.5,835603.2
13,872575.36,847371.84,886235.28,861480.0,812935.08,867160.0,826244.9199999999,881290.84,910624.0,877137.16
14,895538.68,866121.0800000004,899118.04,884306.7999999999,875824.04,882331.5,862758.94,895655.8000000003,981691.5,892395.84
15,916276.8,914497.72,933213.84,904141.8,890782.4400000001,955594.0,883182.1599999999,914167.32,1016118.0,912451.88
16,977610.2000000001,928935.0000000002,995323.2000000001,926131.0,917469.7999999999,978668.0,896281.9999999999,975111.6000000002,1029653.0,964220.3
